yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
106510014,ABDULLAH GÜL ÜNİVERSİTESİ,Mimarlık Fakültesi,Mimarlık,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,72.0,72.0,62.0,"358,17297","361,32470","333,46626","412,18169","442,96066","395,06894",92.887,64.698,87.866,162.04,167.478,178.37,72.0,72.0,62.0,True,True,True,3
106510023,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,Endüstri Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,72.0,72.0,77.0,"423,42621","429,99227","397,13988","466,58148","465,40819","442,80691",42.509,44.511,43.917,81.355,77.203,85.623,72.0,72.0,77.0,True,True,True,3
106510032,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,İnşaat Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,72.0,72.0,41.0,"298,58385","307,75636","299,90795","404,71507","405,36731","372,58306",100.867,104.095,114.61,297.945,299.665,265.278,48.0,72.0,41.0,True,True,True,3
106510041,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,Makine Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,62.0,62.0,67.0,"370,55295","387,46548","366,79266","425,93218","429,01494","409,96831",78.827,78.202,72.447,143.349,126.983,122.318,62.0,62.0,67.0,True,True,True,3
106510059,ABDULLAH GÜL ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,ea,62.0,64.0,69.0,"338,84918","337,17449","333,57367","412,34512","376,70299","449,57600",37.644,89.201,4.372,214.368,208.787,178.257,62.0,62.0,68.0,True,True,True,3
106510068,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,Elektrik-Elektronik Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,88.0,88.0,88.0,"426,59799","432,84083","406,17442","473,66943","467,83609","473,57885",36.721,42.391,23.225,78.121,74.294,76.264,88.0,88.0,88.0,True,True,True,3
106510077,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,77.0,77.0,82.0,"469,42657","471,55314","439,02957","513,57950","507,97368","503,07244",9.658,13.882,9.37,40.125,39.283,46.89,77.0,77.0,82.0,True,True,True,3
106510086,ABDULLAH GÜL ÜNİVERSİTESİ,Yaşam ve Doğa Bilimleri Fakültesi,Moleküler Biyoloji ve Genetik,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,62.0,64.0,42.0,"382,65185","380,25895","352,55296","461,51961","472,37291","399,69140",46.677,38.598,82.994,126.848,137.136,143.974,62.0,62.0,42.0,True,True,True,3
106510087,ABDULLAH GÜL ÜNİVERSİTESİ,Yaşam ve Doğa Bilimleri Fakültesi,Biyomühendislik,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,67.0,67.0,67.0,"318,43439","327,63917","306,59419","382,38264","402,05289","404,05574",127.19,108.126,78.404,242.41,240.148,244.541,67.0,67.0,67.0,True,True,True,3
106510088,ABDULLAH GÜL ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,Ekonomi,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,ea,52.0,54.0,64.0,"322,03299","326,15215","319,73570","413,21690","380,76640","379,25302",36.365,80.263,62.899,285.499,258.17,236.515,52.0,52.0,64.0,True,True,True,3
106510089,ABDULLAH GÜL ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,ea,62.0,64.0,69.0,"329,12545","327,87129","318,54235","376,11205","376,79672","385,43579",106.104,88.974,53.325,253.313,249.9,242.306,62.0,64.0,69.0,True,True,True,3
106510090,ABDULLAH GÜL ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,ea,62.0,64.0,64.0,"389,52654","386,69241","374,17808","472,48942","408,24813","403,76166",3.845,33.562,30.442,77.269,68.218,71.75,62.0,64.0,64.0,True,True,True,3
106510105,ABDULLAH GÜL ÜNİVERSİTESİ,Mühendislik Fakültesi,Malzeme Bilimi ve Nanoteknoloji Mühendisliği,(İngilizce) (4 Yıllık),KAYSERİ,Devlet,Ücretsiz,say,,,21.0,,,"350,74195",,,"429,83666",,,54.452,,,146.879,,,21.0,False,False,True,1
200110026,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Sağlık Yönetimi,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,4.0,6.0,6.0,"340,73931","342,26221","334,21656","370,72394","364,53802","342,43685",118.944,118.436,148.345,207.471,188.600,175.825,4.0,5.0,5.0,True,True,True,3
200110044,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Fizyoterapi ve Rehabilitasyon,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,5.0,7.0,7.0,"426,75470","409,50615","374,47639","437,60900","448,50496","414,13154",67.741,59.605,68.5,78.002,99.258,112.159,5.0,6.0,7.0,True,True,True,3
200110053,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,12.0,13.0,13.0,"425,01809","415,02549","388,44676","440,23891","430,84322","413,62744",65.406,76.337,68.975,79.746,92.947,95.341,12.0,12.0,13.0,True,True,True,3
200110071,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Tıp Fakültesi,Tıp,(İngilizce) (Burslu) (6 Yıllık),İSTANBUL,Vakıf,Burslu,say,40.0,8.0,7.0,"546,54893","553,48171","549,12085","558,01465","555,23991","552,42448",2.0,36.0,78.0,357.0,71,203,40.0,7.0,7.0,True,True,True,3
