yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
106510014,864.0,796.0,724.0,864.0,932.0,764.0,12.0,11.0,12.0
106510023,942.0,998.0,1175.0,738.0,682.0,625.0,13.0,14.0,16.0
106510032,607.0,869.0,523.0,545.0,859.0,461.0,13.0,12.0,13.0
106510041,855.0,798.0,739.0,633.0,690.0,845.0,14.0,13.0,11.0
106510059,521.0,495.0,515.0,943.0,969.0,1045.0,9.0,8.0,8.0
106510068,1172.0,1278.0,1145.0,868.0,762.0,895.0,14.0,15.0,13.0
106510077,1017.0,1156.0,1056.0,783.0,644.0,864.0,14.0,15.0,13.0
106510086,593.0,658.0,436.0,847.0,830.0,524.0,10.0,11.0,11.0
106510087,818.0,783.0,829.0,790.0,825.0,779.0,12.0,12.0,12.0
106510088,387.0,527.0,665.0,861.0,721.0,823.0,7.0,10.0,11.0
106510089,526.0,602.0,560.0,962.0,886.0,1048.0,8.0,10.0,8.0
106510090,866.0,910.0,689.0,574.0,530.0,751.0,14.0,15.0,11.0
106510105,,,261.0,,,219.0,,,13.0
200110026,71.0,59.0,67.0,25.0,37.0,29.0,18.0,15.0,17.0
200110044,64.0,71.0,61.0,56.0,49.0,59.0,13.0,14.0,12.0
200110053,197.0,168.0,146.0,91.0,72.0,94.0,16.0,17.0,15.0
200110071,331.0,73.0,36.0,629.0,71.0,84.0,8.0,12.0,7.0
200110114,703.0,565.0,443.0,305.0,443.0,565.0,17.0,13.0,11.0
200110123,104.0,63.0,104.0,112.0,129.0,88.0,12.0,8.0,13.0
200110141,124.0,126.0,76.0,92.0,66.0,44.0,14.0,16.0,15.0
200110159,1038.0,894.0,935.0,594.0,738.0,697.0,15.0,13.0,14.0
200110168,815.0,701.0,411.0,409.0,499.0,405.0,16.0,14.0,12.0
200110177,306.0,341.0,368.0,198.0,259.0,352.0,15.0,14.0,12.0
200110265,493.0,380.0,128.0,203.0,196.0,40.0,17.0,16.0,18.0
200110274,77.0,65.0,51.0,115.0,127.0,69.0,10.0,8.0,10.0
200110283,,,352.0,,,296.0,,,13.0
200190026,35.0,57.0,46.0,61.0,15.0,26.0,9.0,19.0,15.0
200190027,299.0,153.0,151.0,85.0,255.0,209.0,19.0,9.0,10.0
200190040,83.0,130.0,126.0,133.0,86.0,90.0,9.0,14.0,14.0
200190050,663.0,687.0,464.0,345.0,321.0,544.0,16.0,16.0,11.0
200190051,111.0,96.0,114.0,105.0,96.0,78.0,12.0,12.0,14.0
200190052,97.0,88.0,96.0,119.0,128.0,120.0,11.0,10.0,11.0
200190053,149.0,101.0,100.0,67.0,91.0,92.0,17.0,13.0,13.0
200190054,595.0,636.0,664.0,629.0,588.0,560.0,12.0,12.0,13.0
