yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
201410029,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,12.0,7.0,6.0,"373,37042","371,85383","400,29068","420,65551","441,39439","435,55315",9.628,3.120,6.872,56.837,57.972,31.580,12.0,5.0,5.0,True,True,True,3
201410038,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,23.0,34.0,25.0,"282,22639","186,22448","197,07028","368,20556","336,54961","383,37498",66.343,155.408,56.442,493.574,1.457.779,1.333.343,23.0,15.0,15.0,True,True,True,3
201410056,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Türk Dili ve Edebiyatı,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,30.0,34.0,25.0,"282,64544","175,30449","224,97371","345,20384","362,68834","377,60783",125.626,76.811,67.307,489.95,1.515.007,1.117.651,30.0,25.0,9.0,True,True,True,3
201410065,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Türk Dili ve Edebiyatı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,10.0,7.0,6.0,"363,37310","368,29250","388,16918","431,07426","370,01198","408,84758",6.041,61.438,22.721,76.462,64.900,48.337,10.0,6.0,6.0,True,True,True,3
201410135,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,10.0,28.0,36.0,"287,78792","209,30205","208,83670","312,21766","316,32612","260,08978",335.914,309.136,709.358,497.815,1.439.714,1.401.035,10.0,28.0,36.0,True,True,True,3
201410144,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12.0,13.0,15.0,"388,98249","385,91640","367,45128","399,05612","398,77333","390,22416",59.198,47.016,46.492,78.385,69.764,84.579,12.0,11.0,15.0,True,True,True,3
201410171,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,14.0,10.0,12.0,"458,88503","463,95530","400,68337","469,76764","472,52865","452,62654",39.86,38.463,36.666,48.937,45.822,81.935,14.0,9.0,11.0,True,True,True,3
201410189,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,Bilgisayar Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,46.0,40.0,40.0,"389,78704","397,18831","314,19615","445,40432","435,68729","422,02167",60.697,71.539,61.261,117.986,114.261,223.324,46.0,40.0,25.0,True,True,True,3
201410205,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,İnşaat Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,15.0,11.0,11.0,"311,97577","336,40178","332,16676","349,66811","353,44532","345,51157",176.538,181.954,155.7,258.96,218.296,181.100,15.0,10.0,11.0,True,True,True,3
201410214,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Mühendislik Fakültesi,İnşaat Mühendisliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,5.0,10.0,15.0,0,"309,59711","309,04866",0,"332,99686","324,66835",0.0,226.531,197.475,0.0,293.394,237.469,0.0,8.0,5.0,True,True,True,3
201410232,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Arapça) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,16.0,17.0,21.0,"387,43739","385,55415","400,34377","494,23358","451,24683","453,33541",319.0,1.933,2.911,35.884,36.656,31.527,16.0,16.0,19.0,True,True,True,3
