university,yop_kodu,year,il,tercih_sayisi
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,ANKARA,6
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,ANTALYA,2
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,BURSA,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,İSTANBUL,126
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,İZMİR,3
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,KAHRAMANMARAŞ,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2022,KOCAELİ,2
fatih_sultan_mehmet_vakif_universitesi,201410029,2023,BURSA,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2023,ESKİŞEHİR,2
fatih_sultan_mehmet_vakif_universitesi,201410029,2023,İSTANBUL,27
fatih_sultan_mehmet_vakif_universitesi,201410029,2023,KOCAELİ,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,ANKARA,13
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,ANTALYA,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,BURSA,1
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,ESKİŞEHİR,3
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,İSTANBUL,45
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,İZMİR,5
fatih_sultan_mehmet_vakif_universitesi,201410029,2024,TRABZON,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,ANKARA,3
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,ANTALYA,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,BOLU,3
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,BURSA,2
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,ÇANAKKALE,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,EDİRNE,2
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,ESKİŞEHİR,4
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,İSTANBUL,183
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,İZMİR,3
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,KIRKLARELİ,5
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,KOCAELİ,2
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,MANİSA,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,SAKARYA,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,SİNOP,1
fatih_sultan_mehmet_vakif_universitesi,201410038,2022,TEKİRDAĞ,3
fatih_sultan_mehmet_vakif_universitesi,201410038,2023,ADIYAMAN,3
