yop_kodu,year,universite,tercih_sayisi,university_type
201410029,2022,AKDENİZ ÜNİVERSİTESİ,2,devlet
201410029,2022,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,2,devlet
201410029,2022,ANKARA ÜNİVERSİTESİ,1,devlet
201410029,2022,BOĞAZİÇİ ÜNİVERSİTESİ,2,devlet
201410029,2022,BURSA ULUDAĞ ÜNİVERSİTESİ,1,devlet
201410029,2022,DOKUZ EYLÜL ÜNİVERSİTESİ,1,devlet
201410029,2022,EGE ÜNİVERSİTESİ,2,devlet
201410029,2022,HACETTEPE ÜNİVERSİTESİ,3,devlet
201410029,2022,İSTANBUL MEDENİYET ÜNİVERSİTESİ,18,devlet
201410029,2022,İSTANBUL ÜNİVERSİTESİ,13,devlet
201410029,2022,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,1,devlet
201410029,2022,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,1,devlet
201410029,2022,KOCAELİ ÜNİVERSİTESİ,2,devlet
201410029,2022,MARMARA ÜNİVERSİTESİ,17,devlet
201410029,2022,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,12,devlet
201410029,2022,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,1,devlet
201410029,2022,YILDIZ TEKNİK ÜNİVERSİTESİ,2,devlet
201410029,2022,BEYKENT ÜNİVERSİTESİ,11,vakif
201410029,2022,DOĞUŞ ÜNİVERSİTESİ,1,vakif
201410029,2022,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,16,vakif
201410029,2022,FENERBAHÇE ÜNİVERSİTESİ,1,vakif
201410029,2022,HALİÇ ÜNİVERSİTESİ,2,vakif
201410029,2022,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,1,vakif
201410029,2022,İSTANBUL AYDIN ÜNİVERSİTESİ,5,vakif
201410029,2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,2,vakif
