yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
201410029,141.0,31.0,46.0,147.0,89.0,50.0,12.0,6.0,12.0
201410038,215.0,161.0,193.0,337.0,199.0,167.0,9.0,11.0,13.0
201410056,301.0,254.0,82.0,419.0,346.0,134.0,10.0,10.0,9.0
201410065,91.0,46.0,43.0,149.0,74.0,53.0,9.0,9.0,11.0
201410135,130.0,402.0,511.0,110.0,270.0,353.0,13.0,14.0,14.0
201410144,182.0,107.0,159.0,106.0,133.0,129.0,15.0,11.0,13.0
201410171,239.0,151.0,159.0,97.0,41.0,81.0,17.0,19.0,16.0
201410189,481.0,434.0,269.0,623.0,526.0,331.0,10.0,11.0,11.0
201410205,223.0,125.0,163.0,137.0,115.0,77.0,15.0,13.0,16.0
201410214,,137.0,44.0,,55.0,76.0,,17.0,9.0
201410232,102.0,97.0,122.0,282.0,239.0,310.0,6.0,7.0,7.0
201410295,511.0,283.0,335.0,137.0,197.0,169.0,19.0,14.0,16.0
201410453,291.0,267.0,169.0,189.0,189.0,167.0,15.0,14.0,12.0
201410505,,,754.0,,,1070.0,,,10.0
201410532,158.0,74.0,95.0,58.0,46.0,73.0,18.0,15.0,14.0
201410541,195.0,337.0,130.0,237.0,479.0,206.0,11.0,10.0,9.0
201410577,98.0,77.0,82.0,118.0,91.0,86.0,11.0,11.0,12.0
201410586,610.0,473.0,154.0,494.0,655.0,206.0,13.0,10.0,10.0
201410611,138.0,83.0,86.0,78.0,109.0,82.0,15.0,10.0,12.0
201410629,561.0,465.0,286.0,663.0,759.0,530.0,11.0,9.0,8.0
201410656,274.0,206.0,125.0,86.0,130.0,43.0,18.0,15.0,18.0
201410665,209.0,351.0,206.0,271.0,249.0,178.0,10.0,14.0,13.0
201490082,24.0,35.0,43.0,96.0,61.0,53.0,5.0,9.0,11.0
201490083,191.0,208.0,41.0,289.0,320.0,151.0,10.0,9.0,5.0
201490091,88.0,37.0,108.0,152.0,83.0,84.0,9.0,7.0,14.0
201490092,182.0,343.0,407.0,538.0,473.0,481.0,6.0,10.0,11.0
201490093,142.0,55.0,53.0,98.0,65.0,67.0,14.0,11.0,11.0
201490094,254.0,309.0,333.0,226.0,315.0,483.0,13.0,12.0,10.0
201490095,136.0,52.0,53.0,224.0,44.0,67.0,9.0,13.0,11.0
201490098,169.0,133.0,149.0,71.0,59.0,91.0,17.0,17.0,15.0
201490099,442.0,547.0,198.0,518.0,413.0,210.0,11.0,14.0,12.0
201490108,85.0,59.0,61.0,59.0,61.0,59.0,14.0,12.0,12.0
201490136,,1564.0,1328.0,,1484.0,1624.0,,12.0,11.0
201490143,,219.0,200.0,,285.0,232.0,,10.0,11.0
201490157,,28.0,41.0,,44.0,55.0,,9.0,10.0
201490206,,,238.0,,,242.0,,,12.0
201490213,,,141.0,,,195.0,,,10.0
201490220,,,64.0,,,32.0,,,16.0
201490227,,,328.0,,,272.0,,,13.0
201490234,,,91.0,,,29.0,,,18.0
201490241,,,440.0,,,376.0,,,13.0
201490248,,,484.0,,,476.0,,,12.0
201490255,,,122.0,,,22.0,,,20.0
201490269,,,314.0,,,118.0,,,17.0
201490276,,,67.0,,,125.0,,,8.0
201490290,,,295.0,,,425.0,,,10.0
201490297,,,89.0,,,55.0,,,15.0
201490311,,,349.0,,,467.0,,,10.0
201490318,,,164.0,,,172.0,,,12.0
201490325,,,110.0,,,202.0,,,8.0
201490332,,,115.0,,,77.0,,,14.0
201490339,,,56.0,,,40.0,,,14.0
