yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
201910015,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Amerikan Kültürü ve Edebiyatı,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,dil,,,8.0,,,"202,29412",,,"348,17212",,,47.934,,,138.125,,,3.0,False,False,True,1
201910024,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Amerikan Kültürü ve Edebiyatı,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,10.0,12.0,12.0,"419,39341","426,10053","419,85327","434,14597","440,05911","437,65012",13.216,13.601,11.727,17.414,18.226,17.176,10.0,10.0,10.0,True,True,True,3
201910078,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,24.0,17.0,9.0,"288,39891","262,03256","272,48064","317,78298","296,62478","286,87476",306.517,436.782,447.262,493.201,749.067,576.907,24.0,17.0,9.0,True,True,True,3
201910087,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,14.0,16.0,15.0,"388,39367","390,73106","371,69954","461,73438","402,95072","398,62188",5.719,40.823,35.887,79.638,60.697,76.214,14.0,14.0,14.0,True,True,True,3
201910103,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Matematik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,5.0,7.0,8.0,"359,47611","373,44390","340,59418","410,77869","386,13543","350,99112",94.373,128.789,146.473,159.946,147.439,164.564,5.0,6.0,7.0,True,True,True,3
201910121,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,,,8.0,,,"211,62747",,,"228,73837",,,1.122.332,,,1.363.757,,,8.0,False,False,True,1
201910139,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,8.0,10.0,12.0,"338,61605","342,57751","336,96986","351,59687","361,63575","349,34545",171.381,126.326,127.967,215.274,187.454,166.037,8.0,9.0,11.0,True,True,True,3
201910148,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(İngilizce) (Ücretli) (4 Yıllık),İSTANBUL,Vakıf,Ücretli,ea,,,8.0,,,"210,06111",,,"240,05607",,,962.983,,,1.384.805,,,8.0,False,False,True,1
201910157,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9.0,11.0,13.0,"368,69665","362,06911","353,25192","382,37623","390,26469","366,91482",92.143,61.539,85.681,123.896,125.092,117.536,9.0,10.0,11.0,True,True,True,3
201910218,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,Mimarlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,6.0,4.0,5.0,"396,30258","406,33190","383,44577","420,95289","426,20917","387,53256",83.798,81.075,96.374,110.337,102.925,101.069,6.0,3.0,4.0,True,True,True,3
201910306,HALİÇ ÜNİVERSİTESİ,Sağlık Bilimleri Fakültesi,Hemşirelik,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,14.0,15.0,15.0,"364,47845","367,82887","346,62539","377,68337","376,92349","350,75036",133.406,142.047,146.866,152.335,156.350,153.783,14.0,13.0,14.0,True,True,True,3
