yop_kodu,year,il,tercih_sayisi
201910015,2024,ESKİŞEHİR,1
201910015,2024,İSTANBUL,3
201910024,2022,BURSA,1
201910024,2022,ÇANAKKALE,1
201910024,2022,EDİRNE,1
201910024,2022,İSTANBUL,113
201910024,2022,İZMİR,3
201910024,2022,KOCAELİ,1
201910024,2022,TEKİRDAĞ,1
201910024,2023,ANKARA,14
201910024,2023,ÇANAKKALE,1
201910024,2023,EDİRNE,1
201910024,2023,İSTANBUL,89
201910024,2023,İZMİR,3
201910024,2023,KIRKLARELİ,1
201910024,2023,KOCAELİ,1
201910024,2023,MERSİN,2
201910024,2023,TEKİRDAĞ,1
201910024,2024,AMASYA,1
201910024,2024,ANKARA,8
201910024,2024,ANTALYA,4
201910024,2024,AYDIN,3
201910024,2024,BALIKESİR,1
201910024,2024,BOLU,2
201910024,2024,ÇANAKKALE,1
201910024,2024,EDİRNE,1
201910024,2024,İSTANBUL,91
201910024,2024,İZMİR,4
201910024,2024,KOCAELİ,1
201910024,2024,MANİSA,1
201910024,2024,MUĞLA,3
201910024,2024,SAKARYA,1
201910024,2024,TEKİRDAĞ,1
201910078,2022,ANKARA,2
201910078,2022,ANTALYA,4
201910078,2022,AYDIN,1
201910078,2022,BOLU,2
201910078,2022,BURDUR,1
201910078,2022,BURSA,2
201910078,2022,DÜZCE,2
201910078,2022,ELAZIĞ,1
201910078,2022,ESKİŞEHİR,4
201910078,2022,ISPARTA,1
201910078,2022,İSTANBUL,234
201910078,2022,İZMİR,4
201910078,2022,KAYSERİ,1
201910078,2022,KKTC-LEFKOŞA,1
201910078,2022,KOCAELİ,1
201910078,2022,KONYA,2
201910078,2022,MUĞLA,1
201910078,2022,SAKARYA,1
201910078,2022,SAMSUN,1
201910078,2023,ANKARA,3
201910078,2023,İSTANBUL,182
201910078,2023,İZMİR,1
201910078,2023,KAYSERİ,2
201910078,2023,KOCAELİ,1
201910078,2023,MALATYA,1
201910078,2023,NEVŞEHİR,3
201910078,2024,ÇANAKKALE,1
201910078,2024,İSTANBUL,69
201910087,2022,ADANA,1
201910087,2022,ANKARA,6
201910087,2022,ANTALYA,4
201910087,2022,AYDIN,1
201910087,2022,BALIKESİR,1
201910087,2022,BURSA,2
201910087,2022,ÇANAKKALE,3
201910087,2022,ESKİŞEHİR,3
201910087,2022,GAZİANTEP,1
201910087,2022,ISPARTA,1
201910087,2022,İSTANBUL,124
201910087,2022,İZMİR,8
201910087,2022,KIRIKKALE,1
201910087,2022,KIRKLARELİ,2
201910087,2022,KONYA,5
201910087,2022,MERSİN,2
201910087,2022,MUĞLA,2
201910087,2022,SAKARYA,7
201910087,2022,SAMSUN,1
201910087,2022,TEKİRDAĞ,3
201910087,2022,TRABZON,2
201910087,2022,YALOVA,2
201910087,2023,ANKARA,10
201910087,2023,BALIKESİR,1
201910087,2023,BURSA,3
201910087,2023,ÇANAKKALE,2
201910087,2023,ESKİŞEHİR,8
201910087,2023,İSTANBUL,113
201910087,2023,İZMİR,3
201910087,2023,KAYSERİ,1
201910087,2023,KIRKLARELİ,1
201910087,2023,SAKARYA,1
201910087,2023,SAMSUN,1
201910087,2023,SİVAS,1
201910087,2023,TEKİRDAĞ,1
201910087,2024,ANKARA,8
201910087,2024,ANTALYA,6
201910087,2024,AYDIN,1
201910087,2024,BARTIN,1
201910087,2024,BİNGÖL,1
201910087,2024,BOLU,1
201910087,2024,BURSA,3
201910087,2024,ÇANAKKALE,1
201910087,2024,ÇANKIRI,1
201910087,2024,DENİZLİ,3
201910087,2024,DÜZCE,1
201910087,2024,ESKİŞEHİR,5
201910087,2024,İSTANBUL,139
201910087,2024,İZMİR,8
201910087,2024,KIRKLARELİ,1
201910087,2024,KOCAELİ,1
201910087,2024,MANİSA,1
201910087,2024,MUĞLA,1
201910087,2024,RİZE,2
201910087,2024,SAKARYA,1
201910087,2024,SAMSUN,1
201910087,2024,TEKİRDAĞ,1
201910087,2024,TRABZON,1
201910087,2024,YALOVA,1
201910087,2024,ZONGULDAK,1
201910103,2022,İSTANBUL,70
201910103,2022,KOCAELİ,1
201910103,2023,ANKARA,4
201910103,2023,ANTALYA,2
201910103,2023,BURSA,1
201910103,2023,İSTANBUL,27
201910103,2023,İZMİR,6
201910103,2023,KOCAELİ,1
201910103,2024,ANKARA,3
201910103,2024,ANTALYA,1
201910103,2024,ÇANAKKALE,1
201910103,2024,ESKİŞEHİR,4
201910103,2024,İSTANBUL,39
201910103,2024,İZMİR,4
201910103,2024,KOCAELİ,5
201910121,2024,İSTANBUL,112
201910139,2022,ANKARA,3
201910139,2022,BURSA,1
201910139,2022,İSTANBUL,120
201910139,2022,ORDU,2
201910139,2022,SAKARYA,1
201910139,2023,ANKARA,1
201910139,2023,BURSA,1
201910139,2023,ESKİŞEHİR,1
201910139,2023,GİRESUN,1
201910139,2023,İSTANBUL,90
201910139,2023,ORDU,1
201910139,2023,TOKAT,1
201910139,2023,ZONGULDAK,1
201910139,2024,ANKARA,3
201910139,2024,ANTALYA,1
201910139,2024,BALIKESİR,1
201910139,2024,BURSA,3
201910139,2024,ÇANAKKALE,2
201910139,2024,EDİRNE,1
201910139,2024,GİRESUN,2
201910139,2024,İSTANBUL,133
201910139,2024,MANİSA,2
201910139,2024,ORDU,1
201910139,2024,SAKARYA,1
201910139,2024,TRABZON,1
201910148,2024,ANKARA,2
201910148,2024,İSTANBUL,85
201910148,2024,İZMİR,2
201910148,2024,KIBRIS,2
201910157,2022,ANKARA,5
201910157,2022,İSTANBUL,123
201910157,2023,ANKARA,5
201910157,2023,ÇANKIRI,1
201910157,2023,DİYARBAKIR,1
201910157,2023,ERZİNCAN,1
201910157,2023,İSTANBUL,111
201910157,2023,İZMİR,1
201910157,2023,KIRIKKALE,1
201910157,2023,KIRKLARELİ,1
201910157,2023,RİZE,1
201910157,2023,SİVAS,1
