yop_kodu,year,universite,tercih_sayisi,university_type
201910015,2024,ANADOLU ÜNİVERSİTESİ,1,devlet
201910015,2024,HALİÇ ÜNİVERSİTESİ,3,vakif
201910024,2022,BOĞAZİÇİ ÜNİVERSİTESİ,8,devlet
201910024,2022,BURSA TEKNİK ÜNİVERSİTESİ,1,devlet
201910024,2022,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
201910024,2022,EGE ÜNİVERSİTESİ,3,devlet
201910024,2022,İSTANBUL ÜNİVERSİTESİ,29,devlet
201910024,2022,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,3,devlet
201910024,2022,KOCAELİ ÜNİVERSİTESİ,1,devlet
201910024,2022,MARMARA ÜNİVERSİTESİ,9,devlet
201910024,2022,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
201910024,2022,TRAKYA ÜNİVERSİTESİ,1,devlet
201910024,2022,YILDIZ TEKNİK ÜNİVERSİTESİ,7,devlet
201910024,2022,BAHÇEŞEHİR ÜNİVERSİTESİ,1,vakif
201910024,2022,BEYKENT ÜNİVERSİTESİ,3,vakif
201910024,2022,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,1,vakif
201910024,2022,HALİÇ ÜNİVERSİTESİ,19,vakif
201910024,2022,İSTANBUL ATLAS ÜNİVERSİTESİ,4,vakif
201910024,2022,İSTANBUL AYDIN ÜNİVERSİTESİ,5,vakif
201910024,2022,İSTANBUL BİLGİ ÜNİVERSİTESİ,5,vakif
201910024,2022,İSTANBUL GELİŞİM ÜNİVERSİTESİ,1,vakif
201910024,2022,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,5,vakif
201910024,2022,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,1,vakif
201910024,2022,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,1,vakif
201910024,2022,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,1,vakif
201910024,2022,İSTİNYE ÜNİVERSİTESİ,5,vakif
201910024,2022,MEF ÜNİVERSİTESİ,3,vakif
201910024,2022,YEDİTEPE ÜNİVERSİTESİ,2,vakif
201910024,2023,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,1,devlet
201910024,2023,ANKARA ÜNİVERSİTESİ,2,devlet
201910024,2023,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,1,devlet
201910024,2023,BOĞAZİÇİ ÜNİVERSİTESİ,4,devlet
201910024,2023,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
201910024,2023,DOKUZ EYLÜL ÜNİVERSİTESİ,2,devlet
201910024,2023,EGE ÜNİVERSİTESİ,1,devlet
201910024,2023,GAZİ ÜNİVERSİTESİ,1,devlet
201910024,2023,HACETTEPE ÜNİVERSİTESİ,6,devlet
201910024,2023,İSTANBUL MEDENİYET ÜNİVERSİTESİ,2,devlet
201910024,2023,İSTANBUL ÜNİVERSİTESİ,14,devlet
201910024,2023,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,4,devlet
201910024,2023,KIRKLARELİ ÜNİVERSİTESİ,1,devlet
201910024,2023,KOCAELİ ÜNİVERSİTESİ,1,devlet
201910024,2023,MARMARA ÜNİVERSİTESİ,8,devlet
201910024,2023,MERSİN ÜNİVERSİTESİ,1,devlet
201910024,2023,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
201910024,2023,TRAKYA ÜNİVERSİTESİ,1,devlet
201910024,2023,YILDIZ TEKNİK ÜNİVERSİTESİ,4,devlet
201910024,2023,ANKARA BİLİM ÜNİVERSİTESİ,1,vakif
201910024,2023,BAHÇEŞEHİR ÜNİVERSİTESİ,1,vakif
201910024,2023,ÇAĞ ÜNİVERSİTESİ,1,vakif
201910024,2023,ÇANKAYA ÜNİVERSİTESİ,2,vakif
201910024,2023,DOĞUŞ ÜNİVERSİTESİ,1,vakif
201910024,2023,HALİÇ ÜNİVERSİTESİ,14,vakif
201910024,2023,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,2,vakif
201910024,2023,İSTANBUL AREL ÜNİVERSİTESİ,1,vakif
201910024,2023,İSTANBUL ATLAS ÜNİVERSİTESİ,4,vakif
201910024,2023,İSTANBUL AYDIN ÜNİVERSİTESİ,3,vakif
201910024,2023,İSTANBUL BEYKENT ÜNİVERSİTESİ,1,vakif
201910024,2023,İSTANBUL GELİŞİM ÜNİVERSİTESİ,3,vakif
201910024,2023,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,4,vakif
201910024,2023,İSTANBUL MEDİPOL ÜNİVERSİTESİ,1,vakif
201910024,2023,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,5,vakif
201910024,2023,İSTANBUL OKAN ÜNİVERSİTESİ,2,vakif
201910024,2023,İSTANBUL TOPKAPI ÜNİVERSİTESİ,2,vakif
201910024,2023,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,2,vakif
201910024,2023,İSTİNYE ÜNİVERSİTESİ,2,vakif
201910024,2023,MALTEPE ÜNİVERSİTESİ,1,vakif
201910024,2023,MEF ÜNİVERSİTESİ,1,vakif
201910024,2023,YEDİTEPE ÜNİVERSİTESİ,3,vakif
201910024,2024,AKDENİZ ÜNİVERSİTESİ,4,devlet
201910024,2024,AMASYA ÜNİVERSİTESİ,1,devlet
201910024,2024,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,2,devlet
201910024,2024,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,2,devlet
201910024,2024,ANKARA ÜNİVERSİTESİ,1,devlet
201910024,2024,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,3,devlet
201910024,2024,BALIKESİR ÜNİVERSİTESİ,1,devlet
201910024,2024,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,2,devlet
201910024,2024,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,1,devlet
201910024,2024,DOKUZ EYLÜL ÜNİVERSİTESİ,2,devlet
201910024,2024,EGE ÜNİVERSİTESİ,1,devlet
201910024,2024,İSTANBUL MEDENİYET ÜNİVERSİTESİ,4,devlet
201910024,2024,İSTANBUL ÜNİVERSİTESİ,22,devlet
201910024,2024,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,2,devlet
201910024,2024,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,1,devlet
201910024,2024,KOCAELİ ÜNİVERSİTESİ,1,devlet
201910024,2024,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,1,devlet
201910024,2024,MARMARA ÜNİVERSİTESİ,13,devlet
201910024,2024,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,3,devlet
201910024,2024,SAKARYA ÜNİVERSİTESİ,1,devlet
201910024,2024,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,1,devlet
201910024,2024,TRAKYA ÜNİVERSİTESİ,1,devlet
201910024,2024,YILDIZ TEKNİK ÜNİVERSİTESİ,3,devlet
201910024,2024,ATILIM ÜNİVERSİTESİ,1,vakif
201910024,2024,BAHÇEŞEHİR ÜNİVERSİTESİ,1,vakif
201910024,2024,BAŞKENT ÜNİVERSİTESİ,1,vakif
201910024,2024,BİRUNİ ÜNİVERSİTESİ,1,vakif
201910024,2024,ÇANKAYA ÜNİVERSİTESİ,1,vakif
201910024,2024,DOĞUŞ ÜNİVERSİTESİ,2,vakif
201910024,2024,FENERBAHÇE ÜNİVERSİTESİ,1,vakif
201910024,2024,HALİÇ ÜNİVERSİTESİ,9,vakif
201910024,2024,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,1,vakif
201910024,2024,İSTANBUL AREL ÜNİVERSİTESİ,3,vakif
201910024,2024,İSTANBUL ATLAS ÜNİVERSİTESİ,4,vakif
201910024,2024,İSTANBUL AYDIN ÜNİVERSİTESİ,12,vakif
201910024,2024,İSTANBUL BEYKENT ÜNİVERSİTESİ,6,vakif
201910024,2024,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,3,vakif
201910024,2024,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,2,vakif
201910024,2024,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,1,vakif
201910024,2024,İSTİNYE ÜNİVERSİTESİ,1,vakif
201910078,2022,AKDENİZ ÜNİVERSİTESİ,4,devlet
