yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2022,bir_kontenjana_talip_olan_aday_sayisi_2023,bir_kontenjana_talip_olan_aday_sayisi_2024,ilk_uc_sirada_tercih_eden_sayisi_2022,ilk_uc_sirada_tercih_eden_sayisi_2023,ilk_uc_sirada_tercih_eden_sayisi_2024,ilk_uc_sirada_tercih_eden_orani_2022,ilk_uc_sirada_tercih_eden_orani_2023,ilk_uc_sirada_tercih_eden_orani_2024,ilk_uc_tercih_olarak_yerlesen_sayisi_2022,ilk_uc_tercih_olarak_yerlesen_sayisi_2023,ilk_uc_tercih_olarak_yerlesen_sayisi_2024,ilk_uc_tercih_olarak_yerlesen_orani_2022,ilk_uc_tercih_olarak_yerlesen_orani_2023,ilk_uc_tercih_olarak_yerlesen_orani_2024
201910015,,,"2,8",,,5,,,"45,5",,,1.0,,,"100,0"
201910024,"35,3","18,3","13,1",54.0,38.0,25,"15,3","17,3","15,9",2.0,4.0,2.0,"20,0","40,0","20,0"
201910078,"22,1","14,1","11,3",100.0,60.0,32,"18,8","25,1","31,4",17.0,15.0,8.0,"70,8","88,2","88,9"
201910087,"45,6","29,7","23,3",122.0,85.0,68,"19,1","17,9","19,5",7.0,5.0,4.0,"50,0","35,7","28,6"
201910103,"48,4","25,9","22,8",45.0,29.0,17,"18,6","16,0","12,4",1.0,1.0,1.0,"20,0","16,7","20,0"
201910121,,,"15,1",,,27,,,"22,3",,,6.0,,,"75,0"
201910139,"44,4","25,7","31,8",42.0,36.0,54,"11,8","14,0","14,2",0.0,4.0,1.0,,"44,4","9,1"
201910148,,,"12,4",,,20,,,"20,2",,,6.0,,,"75,0"
201910157,"30,2","14,7","21,7",43.0,27.0,38,"15,8","16,7","13,5",1.0,2.0,1.0,"11,1","20,0","9,1"
201910218,"39,7","46,8","22,3",33.0,25.0,8,"13,9","13,4","9,0",0.0,0.0,1.0,,,"25,0"
201910306,"37,3","29,7","45,1",60.0,57.0,65,"11,5","12,8","9,6",3.0,4.0,2.0,"21,4","30,8","13,3"
201910324,"27,8","21,3","17,2",74.0,48.0,29,"22,2","17,3","14,1",6.0,4.0,0.0,"50,0","40,0","0,0"
201910351,"53,5","30,1","40,5",37.0,38.0,54,"8,6","10,5","10,3",3.0,8.0,2.0,"37,5","72,7","18,2"
201910387,"60,3","24,1","42,3",47.0,21.0,33,"13,0","10,9","9,8",0.0,2.0,0.0,,"28,6","0,0"
201910439,"17,2","11,2","21,6",19.0,26.0,38,"12,3","21,1","14,7",4.0,6.0,3.0,"44,4","54,5","27,3"
201910509,"5,5","4,9","2,1",75.0,93.0,62,"23,2","29,2","48,4",29.0,50.0,41.0,"49,2","76,9","85,4"
201910527,,,"2,9",,,25,,,"28,7",,,13.0,,,"92,9"
201910606,"2,4","3,4","3,7",16.0,12.0,21,"20,0","16,2","33,3",10.0,7.0,14.0,"71,4","50,0","82,4"
201910633,,,"8,0",,,5,,,"15,6",,,3.0,,,"100,0"
