yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
208610015,İBN HALDUN ÜNİVERSİTESİ,Hukuk Fakültesi,Hukuk,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,15.0,19.0,19.0,"448,57198","449,31149","425,25559","524,11383","513,11936","484,53194",241.0,604.0,1.178,9.052,6.549,13.632,15.0,19.0,19.0,True,True,True,3
208610024,İBN HALDUN ÜNİVERSİTESİ,Eğitim Bilimleri Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,13.0,13.0,15.0,"397,59536","411,75446","369,86320","437,60962","443,30759","473,51684",13.288,7.906,1.769,61.773,29.219,79.788,13.0,13.0,15.0,True,True,True,3
208610033,İBN HALDUN ÜNİVERSİTESİ,İslami İlimler Fakültesi,İslami İlimler,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,20.0,21.0,21.0,"436,62474","443,84792","457,94622","486,89365","488,57504","517,06300",483.0,332.0,87.0,4.713,2.774,2.31,20.0,21.0,21.0,True,True,True,3
208610078,İBN HALDUN ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10.0,9.0,9.0,"392,41446","399,05368","407,07569","463,55359","440,37551","462,51943",5.369,8.677,2.573,71.584,46.596,27.248,10.0,9.0,9.0,True,True,True,3
208610087,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12.0,13.0,15.0,"440,20850","451,88596","410,09871","475,91428","506,80573","470,24119",3.364,821.0,1.978,12.052,5.999,24.502,12.0,13.0,15.0,True,True,True,3
208610096,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,8.0,9.0,9.0,"403,32029","402,60553","410,73544","495,36497","426,59942","464,59545",1.471,15.191,2.414,51.863,41.341,23.889,8.0,9.0,9.0,True,True,True,3
208610103,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Tarih,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,10.0,13.0,11.0,"465,03939","442,33311","477,45420","493,55603","473,61604","519,59238",341.0,650.0,71.0,1.331,2.977,856.0,10.0,13.0,11.0,True,True,True,3
208610112,İBN HALDUN ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Sosyoloji,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,8.0,9.0,9.0,"370,70615","385,08280","379,90588","398,74337","444,63448","452,52692",59.737,7.571,3.757,118.99,71.362,61.841,8.0,8.0,8.0,True,True,True,3
208610114,İBN HALDUN ÜNİVERSİTESİ,İletişim Fakültesi,Yeni Medya ve İletişim,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,14.0,15.0,13.0,"436,28029","437,48501","463,98844","468,85938","471,87088","511,72806",1.123,711.0,130.0,4.783,3.786,1.729,14.0,15.0,13.0,True,True,True,3
208610121,İBN HALDUN ÜNİVERSİTESİ,Yönetim Bilimleri Fakültesi,İktisat,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,,,9.0,,,"388,11899",,,"406,45597",,,27.823,,,49.437,,,9.0,False,False,True,1
