yop_kodu,year,universite,tercih_sayisi,university_type
208610015,2022,AKDENİZ ÜNİVERSİTESİ,1,devlet
208610015,2022,ANADOLU ÜNİVERSİTESİ,2,devlet
208610015,2022,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,4,devlet
208610015,2022,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,4,devlet
208610015,2022,ANKARA ÜNİVERSİTESİ,9,devlet
208610015,2022,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,6,devlet
208610015,2022,ATATÜRK ÜNİVERSİTESİ,1,devlet
208610015,2022,BALIKESİR ÜNİVERSİTESİ,1,devlet
208610015,2022,BOĞAZİÇİ ÜNİVERSİTESİ,5,devlet
208610015,2022,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,1,devlet
208610015,2022,BURSA ULUDAĞ ÜNİVERSİTESİ,2,devlet
208610015,2022,ÇUKUROVA ÜNİVERSİTESİ,1,devlet
208610015,2022,DOKUZ EYLÜL ÜNİVERSİTESİ,1,devlet
208610015,2022,ERCİYES ÜNİVERSİTESİ,1,devlet
208610015,2022,GALATASARAY ÜNİVERSİTESİ,3,devlet
208610015,2022,HACETTEPE ÜNİVERSİTESİ,8,devlet
208610015,2022,İSTANBUL MEDENİYET ÜNİVERSİTESİ,1,devlet
208610015,2022,İSTANBUL TEKNİK ÜNİVERSİTESİ,1,devlet
208610015,2022,İSTANBUL ÜNİVERSİTESİ,13,devlet
208610015,2022,KOCAELİ ÜNİVERSİTESİ,1,devlet
208610015,2022,MARMARA ÜNİVERSİTESİ,10,devlet
208610015,2022,NECMETTİN ERBAKAN ÜNİVERSİTESİ,1,devlet
208610015,2022,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,2,devlet
208610015,2022,PAMUKKALE ÜNİVERSİTESİ,1,devlet
208610015,2022,SELÇUK ÜNİVERSİTESİ,4,devlet
208610015,2022,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,1,devlet
208610015,2022,TÜRK-ALMAN ÜNİVERSİTESİ,4,devlet
208610015,2022,ANKARA BİLİM ÜNİVERSİTESİ,1,vakif
208610015,2022,ANKARA MEDİPOL ÜNİVERSİTESİ,2,vakif
208610015,2022,ATILIM ÜNİVERSİTESİ,1,vakif
208610015,2022,BAHÇEŞEHİR ÜNİVERSİTESİ,2,vakif
208610015,2022,BAŞKENT ÜNİVERSİTESİ,2,vakif
208610015,2022,ÇANKAYA ÜNİVERSİTESİ,1,vakif
208610015,2022,İBN HALDUN ÜNİVERSİTESİ,17,vakif
208610015,2022,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,1,vakif
208610015,2022,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,2,vakif
208610015,2022,İSTANBUL BİLGİ ÜNİVERSİTESİ,2,vakif
208610015,2022,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,1,vakif
208610015,2022,KTO KARATAY ÜNİVERSİTESİ,2,vakif
208610015,2022,MEF ÜNİVERSİTESİ,1,vakif
208610015,2022,ÖZYEĞİN ÜNİVERSİTESİ,1,vakif
208610015,2022,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,5,vakif
208610015,2022,UFUK ÜNİVERSİTESİ,1,vakif
208610015,2022,YEDİTEPE ÜNİVERSİTESİ,1,vakif
208610015,2023,AFYON KOCATEPE ÜNİVERSİTESİ,2,devlet
208610015,2023,AKDENİZ ÜNİVERSİTESİ,2,devlet
208610015,2023,ANADOLU ÜNİVERSİTESİ,3,devlet
208610015,2023,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,7,devlet
208610015,2023,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,4,devlet
208610015,2023,ANKARA ÜNİVERSİTESİ,11,devlet
208610015,2023,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,5,devlet
208610015,2023,ATATÜRK ÜNİVERSİTESİ,1,devlet
208610015,2023,BOĞAZİÇİ ÜNİVERSİTESİ,18,devlet
208610015,2023,BURSA ULUDAĞ ÜNİVERSİTESİ,3,devlet
208610015,2023,DİCLE ÜNİVERSİTESİ,1,devlet
208610015,2023,DOKUZ EYLÜL ÜNİVERSİTESİ,3,devlet
208610015,2023,ERCİYES ÜNİVERSİTESİ,3,devlet
208610015,2023,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,2,devlet
208610015,2023,GALATASARAY ÜNİVERSİTESİ,8,devlet
