yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
208610015,132.0,211.0,196.0,228.0,221.0,236.0,9.0,12.0,11.0
208610024,138.0,99.0,135.0,174.0,189.0,201.0,11.0,8.0,10.0
208610033,160.0,153.0,152.0,320.0,327.0,328.0,8.0,8.0,8.0
208610078,101.0,88.0,66.0,139.0,104.0,126.0,10.0,11.0,8.0
208610087,103.0,105.0,140.0,185.0,183.0,196.0,9.0,9.0,10.0
208610096,102.0,52.0,65.0,90.0,140.0,127.0,13.0,7.0,8.0
208610103,68.0,106.0,75.0,172.0,182.0,165.0,7.0,9.0,8.0
208610112,44.0,70.0,50.0,148.0,122.0,142.0,6.0,9.0,6.0
208610114,109.0,92.0,92.0,227.0,244.0,196.0,8.0,7.0,8.0
208610121,,,88.0,,,104.0,,,11.0
