yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2022,kontenjan_2023,kontenjan_2024,taban_2022,taban_2023,taban_2024,tavan_2022,tavan_2023,tavan_2024,tavan_bs_2022,tavan_bs_2023,tavan_bs_2024,tbs_2022,tbs_2023,tbs_2024,yerlesen_2022,yerlesen_2023,yerlesen_2024,has_2022,has_2023,has_2024,years_with_data
203210025,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,İngilizce Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,dil,8.0,9.0,10.0,"432,60255","429,51964","435,94364","456,78865","441,05235","477,38728",8.146,13.311,4.05,13.614,17.020,12.158,8.0,8.0,9.0,True,True,True,3
203210113,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Gıda Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,5.0,4.0,6.0,"371,26389","389,72436","363,25164","399,70529","411,80326","393,88879",106.39,96.631,89.158,142.303,123.976,127.525,5.0,3.0,5.0,True,True,True,3
203210149,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Bilgisayar Mühendisliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,8.0,10.0,11.0,"474,06837","473,02995","433,78766","483,24292","489,34591","459,04470",29.264,25.679,32.252,36.415,38.094,51.152,8.0,9.0,10.0,True,True,True,3
203210185,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,söz,8.0,9.0,9.0,"409,68100","409,04134","422,17013","440,39319","443,67498","455,80556",4.0,2.798,2.576,15.412,14.612,12.844,8.0,9.0,8.0,True,True,True,3
203210194,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,söz,48.0,,38.0,"353,08750",,"337,96148","407,17942",,"392,31328",17.093,,41.96,102.049,,185.075,48.0,,38.0,True,False,True,2
203210228,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,8.0,9.0,6.0,"380,17158","378,60043","371,36829","404,20593","390,10882","430,52364",50.404,61.813,10.84,96.968,85.026,76.835,8.0,8.0,5.0,True,True,True,3
203210237,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,ea,48.0,48.0,27.0,"319,22279","318,11208","313,14014","366,12446","352,83635","355,60793",130.507,152.133,111.481,299.347,299.304,270.136,43.0,23.0,27.0,True,True,True,3
203210264,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Mimarlık,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,say,5.0,4.0,6.0,"399,83258","409,11019","383,35408","426,45368","424,19767","389,59806",78.268,83.200,93.932,106.271,99.732,101.170,5.0,4.0,6.0,True,True,True,3
203210273,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Mühendislik ve Doğa Bilimleri Fakültesi,Mimarlık,(%50 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%50 İndirimli,say,25.0,17.0,15.0,"321,30541","336,53012","307,14484","357,79482","366,82540","316,47120",162.663,158.024,217.385,235.387,218.029,242.963,7.0,5.0,2.0,True,True,True,3
203210307,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,8.0,10.0,10.0,"405,15167","398,34752","384,82834","429,86652","409,45049","407,58343",17.913,32.075,26.777,48.835,47.685,54.212,8.0,10.0,9.0,True,True,True,3
203210325,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Psikoloji,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,48.0,45.0,40.0,"311,86252","306,87476","306,50745","385,09807","361,36679","351,88565",86.312,127.066,121.134,337.803,366.015,308.527,48.0,45.0,40.0,True,True,True,3
203210343,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,İnsan ve Toplum Bilimleri Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,5.0,7.0,7.0,"372,85588","376,24023","361,60904","406,07904","391,19850","397,66895",47.308,59.855,37.003,113.801,90.266,97.157,5.0,6.0,6.0,True,True,True,3
