university,yop_kodu,year,il,tercih_sayisi
istanbul_sabahattin_zaim_universitesi,203210025,2022,ANKARA,4
istanbul_sabahattin_zaim_universitesi,203210025,2022,ANTALYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,BALIKESİR,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,BOLU,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,BURSA,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,ÇANAKKALE,3
istanbul_sabahattin_zaim_universitesi,203210025,2022,EDİRNE,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,ESKİŞEHİR,2
istanbul_sabahattin_zaim_universitesi,203210025,2022,İSTANBUL,87
istanbul_sabahattin_zaim_universitesi,203210025,2022,İZMİR,3
istanbul_sabahattin_zaim_universitesi,203210025,2022,KOCAELİ,2
istanbul_sabahattin_zaim_universitesi,203210025,2022,MUĞLA,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,SAKARYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,SAMSUN,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,ANKARA,3
istanbul_sabahattin_zaim_universitesi,203210025,2023,ANTALYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,BALIKESİR,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,BURSA,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,ÇANAKKALE,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,EDİRNE,2
istanbul_sabahattin_zaim_universitesi,203210025,2023,İSTANBUL,93
istanbul_sabahattin_zaim_universitesi,203210025,2023,İZMİR,2
istanbul_sabahattin_zaim_universitesi,203210025,2023,KOCAELİ,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,MUĞLA,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,SAMSUN,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,VAN,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,AMASYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,ANTALYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,AYDIN,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,BALIKESİR,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,BARTIN,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,BOLU,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,BURDUR,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,ÇANAKKALE,3
istanbul_sabahattin_zaim_universitesi,203210025,2024,DÜZCE,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,EDİRNE,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,İSTANBUL,75
istanbul_sabahattin_zaim_universitesi,203210025,2024,KAYSERİ,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,KOCAELİ,3
istanbul_sabahattin_zaim_universitesi,203210025,2024,KONYA,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,NEVŞEHİR,2
istanbul_sabahattin_zaim_universitesi,203210025,2024,SAKARYA,4
istanbul_sabahattin_zaim_universitesi,203210113,2022,ANKARA,2
istanbul_sabahattin_zaim_universitesi,203210113,2022,İSTANBUL,51
istanbul_sabahattin_zaim_universitesi,203210113,2023,İSTANBUL,38
istanbul_sabahattin_zaim_universitesi,203210113,2024,ANKARA,8
istanbul_sabahattin_zaim_universitesi,203210113,2024,BOLU,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,BURSA,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,DÜZCE,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,EDİRNE,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,ESKİŞEHİR,2
istanbul_sabahattin_zaim_universitesi,203210113,2024,İSTANBUL,111
istanbul_sabahattin_zaim_universitesi,203210113,2024,KIRKLARELİ,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,KOCAELİ,13
istanbul_sabahattin_zaim_universitesi,203210113,2024,SAKARYA,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,TRABZON,3
istanbul_sabahattin_zaim_universitesi,203210149,2022,ANKARA,24
istanbul_sabahattin_zaim_universitesi,203210149,2022,ANTALYA,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,BURSA,3
istanbul_sabahattin_zaim_universitesi,203210149,2022,ESKİŞEHİR,3
istanbul_sabahattin_zaim_universitesi,203210149,2022,İSTANBUL,81
istanbul_sabahattin_zaim_universitesi,203210149,2022,İZMİR,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,KARABÜK,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,KASTAMONU,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,KOCAELİ,12
istanbul_sabahattin_zaim_universitesi,203210149,2022,SAKARYA,3
istanbul_sabahattin_zaim_universitesi,203210149,2023,ANKARA,13
istanbul_sabahattin_zaim_universitesi,203210149,2023,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210149,2023,ERZİNCAN,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,ESKİŞEHİR,6
istanbul_sabahattin_zaim_universitesi,203210149,2023,GİRESUN,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,İSTANBUL,116
istanbul_sabahattin_zaim_universitesi,203210149,2023,KAYSERİ,2
istanbul_sabahattin_zaim_universitesi,203210149,2023,KOCAELİ,3
istanbul_sabahattin_zaim_universitesi,203210149,2023,MALATYA,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,MANİSA,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,MUĞLA,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,TOKAT,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,YOZGAT,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,AFYONKARAHİSAR,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,ANKARA,3
istanbul_sabahattin_zaim_universitesi,203210149,2024,BOLU,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,ÇANAKKALE,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,DÜZCE,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,EDİRNE,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,ERZİNCAN,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,ERZURUM,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,ESKİŞEHİR,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,ISPARTA,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,İSTANBUL,124
istanbul_sabahattin_zaim_universitesi,203210149,2024,İZMİR,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,KARABÜK,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,KARS,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,KAYSERİ,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,KOCAELİ,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,KONYA,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,RİZE,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,SAKARYA,3
istanbul_sabahattin_zaim_universitesi,203210149,2024,SAMSUN,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,SİVAS,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,TOKAT,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,TRABZON,4
istanbul_sabahattin_zaim_universitesi,203210149,2024,ZONGULDAK,1
istanbul_sabahattin_zaim_universitesi,203210185,2022,ANKARA,5
istanbul_sabahattin_zaim_universitesi,203210185,2022,BALIKESİR,1
istanbul_sabahattin_zaim_universitesi,203210185,2022,BOLU,1
istanbul_sabahattin_zaim_universitesi,203210185,2022,BURSA,3
istanbul_sabahattin_zaim_universitesi,203210185,2022,ÇANAKKALE,4
istanbul_sabahattin_zaim_universitesi,203210185,2022,EDİRNE,1
istanbul_sabahattin_zaim_universitesi,203210185,2022,ESKİŞEHİR,6
istanbul_sabahattin_zaim_universitesi,203210185,2022,İSTANBUL,51
istanbul_sabahattin_zaim_universitesi,203210185,2022,KOCAELİ,2
istanbul_sabahattin_zaim_universitesi,203210185,2022,SAMSUN,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,ADANA,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,ANKARA,2
istanbul_sabahattin_zaim_universitesi,203210185,2023,BURSA,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,ÇANAKKALE,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,DİYARBAKIR,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,ESKİŞEHİR,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,İSTANBUL,44
istanbul_sabahattin_zaim_universitesi,203210185,2023,İZMİR,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,MERSİN,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,TRABZON,1
istanbul_sabahattin_zaim_universitesi,203210185,2023,ZONGULDAK,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,ANKARA,2
istanbul_sabahattin_zaim_universitesi,203210185,2024,BARTIN,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,ÇANAKKALE,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,DİYARBAKIR,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,DÜZCE,2
istanbul_sabahattin_zaim_universitesi,203210185,2024,İSTANBUL,59
istanbul_sabahattin_zaim_universitesi,203210185,2024,KASTAMONU,2
istanbul_sabahattin_zaim_universitesi,203210185,2024,KONYA,2
istanbul_sabahattin_zaim_universitesi,203210185,2024,ORDU,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,SAKARYA,2
istanbul_sabahattin_zaim_universitesi,203210185,2024,SİNOP,1
istanbul_sabahattin_zaim_universitesi,203210185,2024,ZONGULDAK,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,ADIYAMAN,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,AĞRI,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,AKSARAY,5
istanbul_sabahattin_zaim_universitesi,203210194,2022,AMASYA,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,ANKARA,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,ANTALYA,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ARTVİN,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,AYDIN,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,BALIKESİR,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,BARTIN,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,BAYBURT,5
istanbul_sabahattin_zaim_universitesi,203210194,2022,BOLU,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,BURDUR,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ÇANAKKALE,6
istanbul_sabahattin_zaim_universitesi,203210194,2022,DENİZLİ,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,DİYARBAKIR,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,DÜZCE,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,EDİRNE,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,ELAZIĞ,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ERZİNCAN,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,ERZURUM,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ESKİŞEHİR,8
istanbul_sabahattin_zaim_universitesi,203210194,2022,GAZİANTEP,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,GİRESUN,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,HAKKARİ,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ISPARTA,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,İSTANBUL,370
istanbul_sabahattin_zaim_universitesi,203210194,2022,İZMİR,5
istanbul_sabahattin_zaim_universitesi,203210194,2022,KAHRAMANMARAŞ,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,KARAMAN,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,KARS,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,KASTAMONU,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,KAYSERİ,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,KIRIKKALE,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,KIRŞEHİR,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,KİLİS,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,KKTC-GAZİMAĞUSA,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,KKTC-GİRNE,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,KKTC-LEFKE,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,KKTC-LEFKOŞA,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,KOCAELİ,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,KONYA,8
istanbul_sabahattin_zaim_universitesi,203210194,2022,KÜTAHYA,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,MALATYA,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,MUĞLA,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,MUŞ,1
istanbul_sabahattin_zaim_universitesi,203210194,2022,NEVŞEHİR,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ORDU,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,SAKARYA,5
istanbul_sabahattin_zaim_universitesi,203210194,2022,SAMSUN,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,SİNOP,5
istanbul_sabahattin_zaim_universitesi,203210194,2022,SİVAS,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,ŞANLIURFA,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,TOKAT,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,TRABZON,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,VAN,2
istanbul_sabahattin_zaim_universitesi,203210194,2022,YOZGAT,3
istanbul_sabahattin_zaim_universitesi,203210194,2022,ZONGULDAK,4
istanbul_sabahattin_zaim_universitesi,203210194,2022,AFYONKARAHİSAR,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,AFYONKARAHİSAR,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,ANKARA,5
istanbul_sabahattin_zaim_universitesi,203210194,2024,ANTALYA,6
istanbul_sabahattin_zaim_universitesi,203210194,2024,ARTVİN,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,AYDIN,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,BALIKESİR,10
istanbul_sabahattin_zaim_universitesi,203210194,2024,BARTIN,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,BAYBURT,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,BİLECİK,4
istanbul_sabahattin_zaim_universitesi,203210194,2024,BOLU,4
istanbul_sabahattin_zaim_universitesi,203210194,2024,BURSA,6
istanbul_sabahattin_zaim_universitesi,203210194,2024,ÇANAKKALE,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,ÇANKIRI,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,DENİZLİ,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,DÜZCE,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,EDİRNE,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,ERZİNCAN,5
istanbul_sabahattin_zaim_universitesi,203210194,2024,ERZURUM,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,ESKİŞEHİR,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,GAZİANTEP,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,GİRESUN,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,HATAY,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,İSTANBUL,248
istanbul_sabahattin_zaim_universitesi,203210194,2024,KARABÜK,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,KARAMAN,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,KARS,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,KASTAMONU,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,KAYSERİ,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,KIRKLARELİ,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,KIRŞEHİR,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,KOCAELİ,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,KONYA,4
istanbul_sabahattin_zaim_universitesi,203210194,2024,MERSİN,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,MUĞLA,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,MUŞ,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,NEVŞEHİR,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,ORDU,3
istanbul_sabahattin_zaim_universitesi,203210194,2024,RİZE,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,SAKARYA,7
istanbul_sabahattin_zaim_universitesi,203210194,2024,SİNOP,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,ŞANLIURFA,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,TEKİRDAĞ,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,TOKAT,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,TRABZON,4
istanbul_sabahattin_zaim_universitesi,203210194,2024,UŞAK,1
istanbul_sabahattin_zaim_universitesi,203210194,2024,VAN,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,YALOVA,2
istanbul_sabahattin_zaim_universitesi,203210194,2024,YOZGAT,1
istanbul_sabahattin_zaim_universitesi,203210228,2022,İSTANBUL,93
istanbul_sabahattin_zaim_universitesi,203210228,2022,TEKİRDAĞ,2
istanbul_sabahattin_zaim_universitesi,203210228,2023,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210228,2023,ÇANAKKALE,2
istanbul_sabahattin_zaim_universitesi,203210228,2023,EDİRNE,2
istanbul_sabahattin_zaim_universitesi,203210228,2023,ESKİŞEHİR,4
istanbul_sabahattin_zaim_universitesi,203210228,2023,İSTANBUL,57
istanbul_sabahattin_zaim_universitesi,203210228,2024,İSTANBUL,30
istanbul_sabahattin_zaim_universitesi,203210228,2024,KAYSERİ,3
istanbul_sabahattin_zaim_universitesi,203210237,2022,ADANA,1
istanbul_sabahattin_zaim_universitesi,203210237,2022,AĞRI,1
istanbul_sabahattin_zaim_universitesi,203210237,2022,AKSARAY,4
istanbul_sabahattin_zaim_universitesi,203210237,2022,AMASYA,3
istanbul_sabahattin_zaim_universitesi,203210237,2022,ANKARA,3
istanbul_sabahattin_zaim_universitesi,203210237,2022,ANTALYA,4
istanbul_sabahattin_zaim_universitesi,203210237,2022,ARTVİN,3
istanbul_sabahattin_zaim_universitesi,203210237,2022,AYDIN,1
istanbul_sabahattin_zaim_universitesi,203210237,2022,BALIKESİR,6
istanbul_sabahattin_zaim_universitesi,203210237,2022,BARTIN,1
istanbul_sabahattin_zaim_universitesi,203210237,2022,BAYBURT,2
istanbul_sabahattin_zaim_universitesi,203210237,2022,BİLECİK,1
istanbul_sabahattin_zaim_universitesi,203210237,2022,BOLU,5
istanbul_sabahattin_zaim_universitesi,203210237,2022,BURSA,2
istanbul_sabahattin_zaim_universitesi,203210237,2022,ÇANAKKALE,4
istanbul_sabahattin_zaim_universitesi,203210237,2022,DENİZLİ,2
istanbul_sabahattin_zaim_universitesi,203210237,2022,DÜZCE,6
istanbul_sabahattin_zaim_universitesi,203210237,2022,EDİRNE,7
istanbul_sabahattin_zaim_universitesi,203210237,2022,ERZİNCAN,1
