university,yop_kodu,year,program,tercih_sayisi
istanbul_sabahattin_zaim_universitesi,203210025,2022,Alman Dili ve Edebiyatı,2
istanbul_sabahattin_zaim_universitesi,203210025,2022,Amerikan Kültürü ve Edebiyatı,3
istanbul_sabahattin_zaim_universitesi,203210025,2022,Arap Dili ve Edebiyatı,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,Fransız Dili ve Edebiyatı,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,Fransızca Mütercim ve Tercümanlık,1
istanbul_sabahattin_zaim_universitesi,203210025,2022,İngiliz Dili ve Edebiyatı,16
istanbul_sabahattin_zaim_universitesi,203210025,2022,İngilizce Mütercim ve Tercümanlık (Fakülte),13
istanbul_sabahattin_zaim_universitesi,203210025,2022,İngilizce Mütercim ve Tercümanlık (Yüksekokul),1
istanbul_sabahattin_zaim_universitesi,203210025,2022,İngilizce Öğretmenliği,66
istanbul_sabahattin_zaim_universitesi,203210025,2022,İspanyol Dili ve Edebiyatı,3
istanbul_sabahattin_zaim_universitesi,203210025,2022,Ön Lisans,2
istanbul_sabahattin_zaim_universitesi,203210025,2023,Amerikan Kültürü ve Edebiyatı,1
istanbul_sabahattin_zaim_universitesi,203210025,2023,İngiliz Dili ve Edebiyatı,14
istanbul_sabahattin_zaim_universitesi,203210025,2023,İngilizce Mütercim ve Tercümanlık (Fakülte),30
istanbul_sabahattin_zaim_universitesi,203210025,2023,İngilizce Mütercim ve Tercümanlık (Yüksekokul),3
istanbul_sabahattin_zaim_universitesi,203210025,2023,İngilizce Öğretmenliği,58
istanbul_sabahattin_zaim_universitesi,203210025,2023,Odyoloji (Fakülte),3
istanbul_sabahattin_zaim_universitesi,203210025,2024,Amerikan Kültürü Ve Edebiyatı,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,Fransızca Mütercim Ve Tercümanlık,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,Gastronomi Ve Mutfak Sanatları (yüksekokul),1
istanbul_sabahattin_zaim_universitesi,203210025,2024,İngiliz Dili Ve Edebiyatı,4
istanbul_sabahattin_zaim_universitesi,203210025,2024,İngilizce Mütercim Ve Tercümanlık,13
istanbul_sabahattin_zaim_universitesi,203210025,2024,İngilizce Öğretmenliği,147
istanbul_sabahattin_zaim_universitesi,203210025,2024,Rusça Mütercim Ve Tercümanlık,1
istanbul_sabahattin_zaim_universitesi,203210025,2024,Çizgi Film Ve Animasyon,2
istanbul_sabahattin_zaim_universitesi,203210113,2022,Bilgisayar Mühendisliği (M.T.O.K.),1
istanbul_sabahattin_zaim_universitesi,203210113,2022,Biyomühendislik,5
istanbul_sabahattin_zaim_universitesi,203210113,2022,Çevre Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210113,2022,Elektrik-Elektronik Mühendisliği (M.T.O.K.),1
istanbul_sabahattin_zaim_universitesi,203210113,2022,Endüstri Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210113,2022,Gıda Mühendisliği,16
istanbul_sabahattin_zaim_universitesi,203210113,2022,İstatistik,2
istanbul_sabahattin_zaim_universitesi,203210113,2022,Jeofizik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2022,Kimya,5
istanbul_sabahattin_zaim_universitesi,203210113,2022,Kimya Mühendisliği,5
istanbul_sabahattin_zaim_universitesi,203210113,2022,Matematik,5
istanbul_sabahattin_zaim_universitesi,203210113,2022,Matematik ve Bilgisayar Bilimleri,1
istanbul_sabahattin_zaim_universitesi,203210113,2022,Metalurji ve Malzeme Mühendisliği,6
istanbul_sabahattin_zaim_universitesi,203210113,2023,Beslenme ve Diyetetik (Fakülte),4
istanbul_sabahattin_zaim_universitesi,203210113,2023,Biyomedikal Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210113,2023,Çevre Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2023,Dil ve Konuşma Terapisi (Fakülte),1
istanbul_sabahattin_zaim_universitesi,203210113,2023,Endüstri Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210113,2023,Geomatik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2023,Gıda Mühendisliği,6
istanbul_sabahattin_zaim_universitesi,203210113,2023,Harita Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2023,Hemşirelik (Fakülte),12
istanbul_sabahattin_zaim_universitesi,203210113,2023,İnşaat Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210113,2023,Kimya,3
istanbul_sabahattin_zaim_universitesi,203210113,2023,Kimya Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210113,2024,Beslenme Ve Diyetetik,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,Bilgisayar Bilimleri,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Bilgisayar Mühendisliği,9
istanbul_sabahattin_zaim_universitesi,203210113,2024,Biyomedikal Mühendisliği,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,Biyomühendislik,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,Dil Ve Konuşma Terapisi,4
istanbul_sabahattin_zaim_universitesi,203210113,2024,Ebelik,2
istanbul_sabahattin_zaim_universitesi,203210113,2024,Eczacılık,3
istanbul_sabahattin_zaim_universitesi,203210113,2024,Elektrik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Elektrik-elektronik Mühendisliği,19
istanbul_sabahattin_zaim_universitesi,203210113,2024,Elektronik Ve Haberleşme Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Endüstri Mühendisliği,32
istanbul_sabahattin_zaim_universitesi,203210113,2024,Endüstriyel Tasarım,4
istanbul_sabahattin_zaim_universitesi,203210113,2024,Ergoterapi,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Gıda Mühendisliği,36
istanbul_sabahattin_zaim_universitesi,203210113,2024,Harita Mühendisliği,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,Havacılık Elektrik Ve Elektroniği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Havacılık Ve Uzay Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,İklim Bilimi Ve Meteoroloji Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,İlköğretim Matematik Öğretmenliği,6
istanbul_sabahattin_zaim_universitesi,203210113,2024,İnşaat Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210113,2024,İstatistik,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Kentsel Tasarım Ve Peyzaj Mimarlığı,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Kimya,4
istanbul_sabahattin_zaim_universitesi,203210113,2024,Kimya Mühendisliği,22
istanbul_sabahattin_zaim_universitesi,203210113,2024,Kontrol Ve Otomasyon Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Makine Mühendisliği,6
istanbul_sabahattin_zaim_universitesi,203210113,2024,Malzeme Bilimi Ve Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210113,2024,Matematik,5
istanbul_sabahattin_zaim_universitesi,203210113,2024,Mekatronik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Mekatronik Mühendisliği (m.t.o.k),1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Metalurji Ve Malzeme Mühendisliği,6
istanbul_sabahattin_zaim_universitesi,203210113,2024,Mimarlık,6
istanbul_sabahattin_zaim_universitesi,203210113,2024,Moleküler Biyoloji Ve Genetik,2
istanbul_sabahattin_zaim_universitesi,203210113,2024,Peyzaj Mimarlığı,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Tekstil Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Uçak Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Veri Bilimi Ve Analitiği,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Veteriner,1
istanbul_sabahattin_zaim_universitesi,203210113,2024,Yazılım Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210113,2024,Çevre Mühendisliği,9
istanbul_sabahattin_zaim_universitesi,203210113,2024,Şehir Ve Bölge Planlama,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Bilgisayar Mühendisliği,88
istanbul_sabahattin_zaim_universitesi,203210149,2022,Elektrik Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Elektrik-Elektronik Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Elektronik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Elektronik ve Haberleşme Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Endüstri Mühendisliği,4
istanbul_sabahattin_zaim_universitesi,203210149,2022,Fizik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Havacılık ve Uzay Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Kontrol ve Otomasyon Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Makine Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Matematik Mühendisliği,4
istanbul_sabahattin_zaim_universitesi,203210149,2022,Mekatronik Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210149,2022,Metalurji ve Malzeme Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Mimarlık,2
istanbul_sabahattin_zaim_universitesi,203210149,2022,Tıp,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Uçak Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2022,Yazılım Mühendisliği,13
istanbul_sabahattin_zaim_universitesi,203210149,2023,Bilgisayar Mühendisliği,82
istanbul_sabahattin_zaim_universitesi,203210149,2023,Biyomedikal Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,Diş Hekimliği,15
istanbul_sabahattin_zaim_universitesi,203210149,2023,Eczacılık,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,Elektrik-Elektronik Mühendisliği,8
istanbul_sabahattin_zaim_universitesi,203210149,2023,Endüstri Mühendisliği,9
istanbul_sabahattin_zaim_universitesi,203210149,2023,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2023,Kimya Mühendisliği,4
istanbul_sabahattin_zaim_universitesi,203210149,2023,Makine Mühendisliği,8
istanbul_sabahattin_zaim_universitesi,203210149,2023,Matematik Mühendisliği,4
istanbul_sabahattin_zaim_universitesi,203210149,2023,Mekatronik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,Tıp,4
istanbul_sabahattin_zaim_universitesi,203210149,2023,Uçak Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2023,Yazılım Mühendisliği,9
istanbul_sabahattin_zaim_universitesi,203210149,2024,Bilgisayar Mühendisliği,113
istanbul_sabahattin_zaim_universitesi,203210149,2024,Bilişim Sistemleri Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Biyomedikal Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Deniz Ulaştırma İşletme Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Diş Hekimliği,13
istanbul_sabahattin_zaim_universitesi,203210149,2024,Eczacılık,25
istanbul_sabahattin_zaim_universitesi,203210149,2024,Elektrik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Elektrik-elektronik Mühendisliği,33
istanbul_sabahattin_zaim_universitesi,203210149,2024,Elektronik Ve Haberleşme Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Endüstri Mühendisliği,16
istanbul_sabahattin_zaim_universitesi,203210149,2024,Enerji Bilimi Ve Teknolojileri,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Gemi İnşaatı Ve Gemi Makineleri Mühendisliği,5
istanbul_sabahattin_zaim_universitesi,203210149,2024,Gemi Makineleri İşletme Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,Gemi Ve Deniz Teknolojisi Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Havacılık Ve Uzay Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,Hukuk,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,İnşaat Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,İstatistik,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Kimya Mühendisliği,4
istanbul_sabahattin_zaim_universitesi,203210149,2024,Kontrol Ve Otomasyon Mühendisliği,2
istanbul_sabahattin_zaim_universitesi,203210149,2024,Makine Mühendisliği,7
istanbul_sabahattin_zaim_universitesi,203210149,2024,Malzeme Bilimi Ve Teknolojileri,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Matematik,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Matematik Mühendisliği,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Mekatronik Mühendisliği,8
istanbul_sabahattin_zaim_universitesi,203210149,2024,Metalurji Ve Malzeme Mühendisliği,3
istanbul_sabahattin_zaim_universitesi,203210149,2024,Moleküler Biyoloji Ve Genetik,1
istanbul_sabahattin_zaim_universitesi,203210149,2024,Petrol Ve Doğalgaz Mühendisliği,2
