yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2022,bir_kontenjana_talip_olan_aday_sayisi_2023,bir_kontenjana_talip_olan_aday_sayisi_2024,ilk_uc_sirada_tercih_eden_sayisi_2022,ilk_uc_sirada_tercih_eden_sayisi_2023,ilk_uc_sirada_tercih_eden_sayisi_2024,ilk_uc_sirada_tercih_eden_orani_2022,ilk_uc_sirada_tercih_eden_orani_2023,ilk_uc_sirada_tercih_eden_orani_2024,ilk_uc_tercih_olarak_yerlesen_sayisi_2022,ilk_uc_tercih_olarak_yerlesen_sayisi_2023,ilk_uc_tercih_olarak_yerlesen_sayisi_2024,ilk_uc_tercih_olarak_yerlesen_orani_2022,ilk_uc_tercih_olarak_yerlesen_orani_2023,ilk_uc_tercih_olarak_yerlesen_orani_2024
203210025,"29,9","18,6","19,5",44.0,26.0,33.0,"18,4","15,6","16,9",2.0,1.0,0.0,"25,0","12,5","0,0"
203210113,"27,2","16,8","4,2",27.0,7.0,7.0,"19,9","10,4","15,2",2.0,2.0,2.0,"40,0","66,7","20,0"
203210149,"29,3","13,6","24,9",47.0,31.0,80.0,"20,1","22,8","29,2",2.0,2.0,0.0,"25,0","22,2","0,0"
203210185,"35,9","20,4","17,9",58.0,45.0,35.0,"20,2","24,5","24,5",8.0,7.0,4.0,"100,0","77,8","57,1"
203210194,"5,2",,"4,7",79.0,,124.0,"31,7",,"65,6",29.0,,39.0,"60,4",,"97,5"
203210228,"23,3","20,1","17,2",32.0,28.0,26.0,"17,2","15,5","25,2",4.0,3.0,3.0,"50,0","37,5","60,0"
203210237,"3,0","2,2","2,9",55.0,32.0,43.0,"38,5","30,8","49,4",36.0,16.0,23.0,"83,7","69,6","92,0"
203210264,"19,8","21,0","6,8",24.0,10.0,9.0,"24,2","11,9","12,0",4.0,0.0,1.0,"80,0",,"9,1"
203210273,"1,4","2,6","5,1",10.0,11.0,21.0,"29,4","25,0","41,2",5.0,4.0,9.0,"71,4","80,0","90,0"
203210307,"47,5","27,1","22,9",93.0,55.0,58.0,"24,5","20,3","25,3",5.0,3.0,4.0,"62,5","30,0","40,0"
203210325,"7,4","6,0","4,6",161.0,122.0,94.0,"45,5","45,2","51,4",44.0,44.0,35.0,"91,7","97,8","87,5"
203210343,"25,2","14,1","12,5",29.0,27.0,10.0,"23,0","27,3","10,0",3.0,2.0,0.0,"60,0","33,3","0,0"
203210352,"4,1","7,0","3,0",37.0,87.0,55.0,"30,1","33,7","44,0",21.0,35.0,34.0,"70,0","94,6","87,2"
203210388,"38,3","26,8","32,6",57.0,52.0,53.0,"16,5","16,1","12,5",5.0,5.0,4.0,"55,6","50,0","33,3"
203210397,"20,4","9,0","13,3",28.0,15.0,23.0,"27,5","23,8","28,8",2.0,1.0,3.0,"40,0","16,7","75,0"
203210413,"4,8","2,6","3,6",36.0,29.0,45.0,"30,3","33,3","50,0",18.0,17.0,22.0,"72,0","85,0","88,0"
203210449,"11,3","26,9","12,1",28.0,46.0,20.0,"31,1","19,0","20,6",7.0,3.0,3.0,"87,5","37,5","37,5"
203210458,"20,9","17,2","19,5",78.0,68.0,73.0,"33,9","33,0","34,0",9.0,9.0,8.0,"81,8","90,0","72,7"
203210476,"4,5","2,1","2,7",108.0,78.0,115.0,"51,7","57,4","71,4",36.0,48.0,51.0,"78,3","76,2","86,4"
203210485,"3,7","3,5","2,1",84.0,93.0,47.0,"48,8","56,4","53,4",36.0,45.0,29.0,"76,6","95,7","90,6"
203210519,,,"6,9",,,137.0,,,"36,1",,,53.0,,,"96,4"
203210573,"30,8","16,4","13,4",44.0,24.0,25.0,"17,9","16,2","20,7",1.0,3.0,2.0,"12,5","37,5","25,0"
203210591,"4,8","4,5","3,0",109.0,87.0,58.0,"47,4","48,6","51,8",44.0,37.0,30.0,"91,7","92,5","93,8"
203210679,"21,3","16,6","24,0",27.0,20.0,38.0,"21,1","15,0","19,8",2.0,2.0,1.0,"33,3","33,3","14,3"
203210731,"16,1","12,6","17,3",72.0,60.0,98.0,"14,9","17,7","21,0",6.0,4.0,4.0,"20,0","16,7","16,7"
203210749,,,"6,1",,,314.0,,,"41,4",,,73.0,,,"58,4"
