yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
203210025,109.0,109.0,85.0,83.0,59.0,107.0,14.0,16.0,11.0
203210113,53.0,38.0,72.0,67.0,34.0,48.0,11.0,13.0,14.0
203210149,131.0,149.0,167.0,61.0,43.0,49.0,16.0,19.0,19.0
203210185,75.0,55.0,111.0,117.0,113.0,57.0,9.0,8.0,16.0
203210194,537.0,,319.0,615.0,,593.0,11.0,,8.0
203210228,95.0,67.0,47.0,97.0,101.0,49.0,12.0,10.0,12.0
203210237,441.0,250.0,218.0,591.0,302.0,430.0,10.0,11.0,8.0
203210264,83.0,54.0,62.0,37.0,18.0,58.0,17.0,18.0,12.0
203210273,85.0,61.0,15.0,83.0,59.0,33.0,12.0,12.0,8.0
203210307,66.0,99.0,82.0,126.0,93.0,110.0,8.0,12.0,10.0
203210325,403.0,418.0,280.0,749.0,662.0,680.0,8.0,9.0,7.0
203210343,74.0,88.0,72.0,46.0,32.0,48.0,15.0,18.0,14.0
203210352,333.0,298.0,253.0,387.0,590.0,635.0,11.0,8.0,7.0
203210388,167.0,131.0,121.0,49.0,85.0,95.0,19.0,15.0,13.0
203210397,67.0,78.0,43.0,53.0,42.0,29.0,13.0,16.0,14.0
203210413,335.0,214.0,292.0,265.0,266.0,308.0,13.0,11.0,12.0
203210449,97.0,50.0,64.0,95.0,118.0,104.0,12.0,7.0,9.0
203210458,99.0,60.0,55.0,165.0,156.0,161.0,9.0,7.0,6.0
203210476,557.0,775.0,425.0,547.0,737.0,943.0,12.0,12.0,7.0
203210485,527.0,409.0,408.0,601.0,719.0,504.0,11.0,9.0,11.0
203210519,,,522.0,,,654.0,,,11.0
203210573,114.0,77.0,70.0,78.0,91.0,98.0,14.0,11.0,10.0
203210591,515.0,393.0,241.0,637.0,567.0,623.0,11.0,10.0,7.0
203210679,101.0,98.0,56.0,43.0,46.0,64.0,17.0,16.0,11.0
203210731,488.0,340.0,367.0,232.0,212.0,161.0,16.0,15.0,17.0
203210749,,,1435.0,,,1661.0,,,11.0
203210934,67.0,34.0,29.0,29.0,62.0,43.0,17.0,9.0,10.0
203210952,86.0,108.0,95.0,154.0,108.0,121.0,9.0,12.0,11.0
