yop_kodu,year,lise_id,yerlesen_sayisi,school_type
100210017,2022,2,1,8
100210017,2022,2534,1,2
100210017,2022,70,1,4
100210017,2022,261,1,4
100210017,2022,1104,1,4
100210017,2022,643,1,4
100210017,2022,873,1,2
100210017,2022,1359,1,4
100210017,2022,5054,3,4
100210017,2022,3742,1,4
100210017,2022,124,2,4
100210017,2022,1916,1,4
100210017,2022,766,1,4
100210017,2022,2891,1,4
100210017,2022,677,1,4
100210017,2022,2612,2,4
100210017,2022,1874,1,4
100210017,2022,1432,1,4
100210017,2022,5109,2,3
100210017,2022,13300,1,1
100210017,2022,4730,1,1
100210017,2022,850,1,4
100210017,2022,1543,1,4
100210017,2022,3416,1,4
100210017,2022,618,1,4
100210017,2022,1169,1,2
100210017,2023,2765,1,4
100210017,2023,1104,2,4
100210017,2023,626,1,4
100210017,2023,2752,1,4
100210017,2023,422,1,4
100210017,2023,1172,1,4
100210017,2023,265,1,4
100210017,2023,1837,1,4
100210017,2023,1814,1,4
100210017,2023,1154,1,4
100210017,2023,338,1,4
100210017,2023,3558,1,4
100210017,2023,1196,1,2
100210017,2023,13973,1,5
100210017,2023,5269,1,5
100210017,2023,2644,1,5
100210017,2023,5508,1,4
100210017,2023,1657,1,4
100210017,2023,9374,1,4
100210017,2023,387,1,4
100210017,2023,716,2,4
100210017,2023,137,1,4
100210017,2023,229,1,4
100210017,2024,2765,1,4
100210026,2022,2,3,8
100210026,2022,496,1,4
100210026,2022,2534,2,2
100210026,2022,1175,1,4
100210026,2022,3089,1,4
100210026,2022,1178,1,4
100210026,2022,8010,1,4
100210026,2022,261,1,4
100210026,2022,660,2,4
100210026,2022,1104,1,4
100210026,2022,946,1,2
100210026,2022,9332,1,4
100210026,2022,826,1,2
100210026,2022,1021,1,2
100210026,2022,237,1,2
100210026,2022,1172,2,4
100210026,2022,123,2,4
100210026,2022,879,1,4
100210026,2022,2603,1,0
100210026,2022,380,1,4
100210026,2022,880,1,4
100210026,2022,1319,1,4
100210026,2022,3908,1,4
100210026,2022,514,1,4
100210026,2022,543,1,4
100210026,2022,1154,1,4
100210026,2022,338,1,4
100210026,2022,516,1,4
100210026,2022,1873,1,4
100210026,2022,1915,1,4
100210026,2022,893,1,4
100210026,2022,35,1,0
100210026,2022,978,1,4
100210026,2022,7750,1,3
100210026,2022,5176,1,1
100210026,2022,9186,1,1
100210026,2022,1283,1,4
100210026,2022,3172,1,4
100210026,2022,1750,1,4
100210026,2022,928,1,2
100210026,2022,1438,2,4
100210026,2022,716,3,4
100210026,2022,656,1,4
100210026,2023,496,1,4
100210026,2023,2765,1,4
100210026,2023,1178,2,4
100210026,2023,660,1,4
100210026,2023,1104,2,4
100210026,2023,2752,1,4
100210026,2023,218,1,4
100210026,2023,872,1,4
100210026,2023,1475,1,4
