yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202910199,2022,2,3,8
202910199,2022,1807,1,4
202910199,2022,2118,1,4
202910199,2022,5300,1,4
202910199,2022,2025,1,4
202910199,2022,4500,1,4
202910199,2022,2558,1,4
202910199,2022,847,1,4
202910199,2022,9179,1,5
202910199,2022,4985,1,5
202910199,2022,7776,1,5
202910199,2022,4224,1,4
202910199,2022,2106,1,4
202910199,2023,2,4,8
202910199,2023,647,1,4
202910199,2023,4421,1,4
202910199,2023,4846,1,4
202910199,2023,10658,1,5
202910199,2023,3122,1,4
202910199,2023,4183,1,4
202910199,2024,1507,1,4
202910199,2024,3200,1,4
202910199,2024,8094,1,4
202910199,2024,1195,1,4
202910199,2024,5450,1,4
202910206,2022,1576,1,4
202910206,2022,8818,1,4
202910206,2023,4597,1,4
202910206,2023,3385,1,4
202910206,2024,1512,1,4
202910251,2022,2,5,8
202910251,2022,1052,1,2
202910251,2022,3514,1,4
202910251,2022,4917,1,4
202910251,2022,1722,1,5
202910251,2022,2098,1,4
202910251,2022,6281,1,0
202910251,2023,2,5,8
202910251,2023,1512,1,4
202910251,2023,3252,1,4
202910251,2023,4316,1,4
202910251,2023,2066,1,4
202910251,2023,9099,1,5
202910251,2023,5511,1,4
202910251,2024,10634,1,5
202910251,2024,4754,1,4
202910251,2024,2,1,8
202910251,2024,4783,1,4
202910251,2024,1528,1,4
202910251,2024,3485,1,4
202910251,2024,2066,1,4
202910251,2024,6239,1,5
202910251,2024,7230,1,3
202910251,2024,1876,1,5
202910463,2022,2,2,8
202910463,2022,4512,1,4
202910463,2022,2544,1,4
202910463,2022,4550,1,0
202910463,2022,5104,1,2
202910463,2022,13088,1,0
202910463,2022,2518,1,4
202910463,2022,6967,1,5
202910463,2022,4919,1,5
202910463,2022,4776,1,5
202910463,2022,6214,1,2
202910463,2022,5194,1,4
202910463,2022,455,1,4
202910463,2022,2105,1,4
202910463,2023,2,1,8
202910463,2023,1269,1,4
202910463,2023,6508,1,4
202910463,2023,2545,1,2
202910463,2023,389,1,4
202910463,2023,5250,1,4
202910463,2023,11800,1,1
202910463,2023,4554,1,5
202910463,2023,10708,1,1
202910463,2023,6189,1,5
202910463,2023,3217,1,4
202910463,2024,2518,1,4
202910463,2024,6584,1,5
202910463,2024,7299,1,4
202910481,2022,2,1,8
202910481,2022,6526,1,5
202910481,2023,3648,1,4
202910481,2023,2,1,8
202910481,2024,771,1,4
202910481,2024,5577,1,4
202910481,2024,6680,1,5
202910506,2022,6432,1,4
202910506,2022,2,1,8
202910506,2022,5407,1,4
202910506,2022,4728,1,4
202910506,2022,8881,1,4
202910506,2022,743,1,4
202910506,2022,7425,1,4
202910506,2022,7370,1,4
202910506,2022,6611,1,4
202910506,2022,6306,1,4
202910506,2022,4985,1,5
202910506,2022,5043,1,5
202910506,2022,12220,1,1
202910506,2022,5187,1,5
202910506,2022,2507,1,4
202910506,2023,3268,1,4
202910506,2023,2,4,8
202910506,2023,2490,1,4
202910506,2023,4269,1,4
202910506,2023,3200,1,4
202910506,2023,847,1,4
202910506,2023,10671,1,5
202910506,2024,2,2,8
202910506,2024,6038,1,4
202910524,2022,2442,1,4
202910524,2022,10639,1,5
202910524,2023,2,1,8
202910524,2023,5490,1,4
202910524,2024,4129,1,5
202910524,2024,7715,1,5
202910675,2022,2,1,8
202910675,2022,4761,1,4
202910675,2022,7443,1,4
202910675,2022,4744,1,4
202910675,2022,6052,1,4
202910675,2022,11591,1,5
202910675,2022,5043,1,5
202910675,2022,5189,1,3
202910675,2022,5191,1,4
202910675,2022,5243,2,2
202910675,2022,6923,1,4
202910675,2023,2,1,8
202910675,2023,1567,1,5
202910675,2023,864,1,2
202910675,2023,4746,1,2
202910675,2023,9820,1,2
202910675,2023,489,1,4
202910675,2023,649,1,4
202910675,2023,9269,1,1
202910675,2023,10381,1,5
202910675,2023,2583,1,2
202910675,2023,3664,1,2
202910675,2024,335,1,4
202910675,2024,5250,1,4
202910675,2024,2518,1,4
202910675,2024,11067,1,3
202910675,2024,2642,1,1
202910675,2024,11337,1,4
202910736,2022,6508,1,4
202910736,2022,838,1,4
202910736,2022,2658,1,2
202910736,2023,4512,1,4
202910736,2023,10480,1,3
202910736,2024,11306,1,0
202910736,2024,2557,1,2
202910736,2024,2616,1,4
202910763,2022,2534,1,2
202910763,2022,6476,1,4
202910763,2022,3405,2,4
202910763,2022,2552,1,0
202910763,2022,4316,1,4
202910763,2022,6270,1,5
202910763,2022,1234,1,5
202910763,2022,6682,1,3
202910763,2022,5293,1,2
202910763,2022,4384,1,4
202910763,2023,4761,1,4
202910763,2023,3629,1,4
202910763,2023,5398,1,4
202910763,2023,5252,1,4
202910763,2023,6409,1,5
202910763,2023,987,1,5
202910763,2023,11216,1,5
202910763,2023,11194,1,3
202910763,2023,1617,1,4
202910763,2024,1059,1,4
202910763,2024,2545,1,2
202910763,2024,3382,1,4
202910763,2024,5165,1,2
202910763,2024,5092,1,2
202910763,2024,934,1,2
202910763,2024,4717,1,0
202910763,2024,5244,1,2
202910799,2022,2,3,8
202910799,2022,857,1,4
202910799,2022,1104,1,4
202910799,2022,5002,1,4
202910799,2022,4385,1,4
202910799,2022,2954,1,4
202910799,2022,5106,2,0
202910799,2022,10405,1,5
202910799,2022,1588,1,5
202910799,2022,10237,1,5
202910799,2022,4774,1,5
202910799,2022,6517,1,5
202910799,2022,11490,1,5
202910799,2022,9686,1,5
202910799,2022,1143,1,2
202910799,2022,2658,1,2
202910799,2022,4750,1,4
202910799,2023,2,2,8
202910799,2023,1935,1,4
202910799,2023,5481,1,4
202910799,2023,80,1,4
202910799,2023,4895,1,4
202910799,2023,10853,1,5
202910799,2023,7230,1,3
202910799,2023,1631,1,5
202910799,2023,3509,1,5
202910799,2023,4241,1,5
202910799,2023,10719,1,5
202910799,2023,5780,1,5
202910799,2024,9175,1,5
202910799,2024,2096,1,5
202910799,2024,3170,1,4
202910799,2024,5191,1,4
202910799,2024,1604,1,4
202910799,2024,2487,1,4
202910799,2024,2,4,8
202910799,2024,389,1,4
202910799,2024,881,1,2
202910799,2024,2557,1,2
202910799,2024,7431,1,5
