yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110010014,2022,2587,1,2
110010014,2022,505,1,2
110010014,2022,1024,1,2
110010014,2022,2,3,8
110010014,2022,857,2,4
110010014,2022,2533,1,2
110010014,2022,2534,1,2
110010014,2022,3611,1,2
110010014,2022,2459,3,0
110010014,2022,2593,3,2
110010014,2022,2595,6,4
110010014,2022,1017,1,4
110010014,2022,3890,1,4
110010014,2022,837,1,2
110010014,2022,509,1,4
110010014,2022,3420,1,2
110010014,2022,4644,1,2
110010014,2022,1406,2,4
110010014,2022,1124,2,2
110010014,2022,874,1,2
110010014,2022,411,1,2
110010014,2022,11393,1,2
110010014,2022,957,2,4
110010014,2022,10354,1,3
110010014,2022,959,1,2
110010014,2022,4218,1,4
110010014,2022,2802,1,2
110010014,2022,881,1,2
110010014,2022,2606,1,2
110010014,2022,838,1,4
110010014,2022,965,1,4
110010014,2022,966,1,4
110010014,2022,885,1,2
110010014,2022,2556,1,2
110010014,2022,892,1,2
110010014,2022,894,2,2
110010014,2022,5254,1,3
110010014,2022,700,2,2
110010014,2022,1037,3,2
110010014,2022,899,2,2
110010014,2022,900,1,4
110010014,2022,901,1,2
110010014,2022,983,1,3
110010014,2022,986,1,3
110010014,2022,6211,1,3
110010014,2022,1981,1,5
110010014,2022,581,1,5
110010014,2022,10385,1,3
110010014,2022,5171,1,5
110010014,2022,10343,1,5
110010014,2022,4,1,5
110010014,2022,1626,1,5
110010014,2022,11558,1,3
110010014,2022,13137,1,3
110010014,2022,8146,1,5
110010014,2022,13737,1,3
110010014,2022,2623,1,3
110010014,2022,7321,1,5
110010014,2022,7125,1,3
110010014,2022,10389,1,3
110010014,2022,11742,1,3
110010014,2022,2678,1,3
110010014,2022,908,1,3
110010014,2022,10365,2,3
110010014,2022,2629,1,3
110010014,2022,10562,1,3
110010014,2022,2636,1,3
110010014,2022,1691,1,5
110010014,2022,10377,1,3
110010014,2022,587,1,5
110010014,2022,2641,1,3
110010014,2022,2326,1,5
110010014,2022,10496,1,3
110010014,2022,10428,1,1
110010014,2022,2648,1,5
110010014,2022,1962,1,5
110010014,2022,2580,1,3
110010014,2022,10404,1,5
110010014,2022,4672,1,2
110010014,2022,1051,1,2
110010014,2022,2582,1,2
110010014,2022,1002,2,4
110010014,2022,406,1,2
110010014,2022,920,1,4
110010014,2022,923,1,2
110010014,2022,3248,2,4
110010014,2022,925,1,4
110010014,2022,931,1,4
110010014,2022,2655,1,2
110010014,2022,1605,2,1
110010014,2022,10376,1,1
110010014,2022,932,1,4
110010014,2022,5293,1,2
110010014,2022,935,3,2
110010014,2022,5243,1,2
110010014,2022,7428,1,2
110010014,2022,2659,1,2
110010014,2023,3311,1,0
110010014,2023,2,11,8
110010014,2023,2459,2,0
110010014,2023,2537,1,2
110010014,2023,2593,1,2
110010014,2023,1059,1,4
110010014,2023,2595,6,4
110010014,2023,2982,1,0
110010014,2023,5200,1,2
110010014,2023,2596,1,4
110010014,2023,2748,1,4
110010014,2023,6023,1,2
110010014,2023,1864,1,4
110010014,2023,3420,1,2
110010014,2023,2666,1,4
110010014,2023,2906,1,2
110010014,2023,874,1,2
110010014,2023,11393,1,2
110010014,2023,957,4,4
110010014,2023,1836,1,0
110010014,2023,2464,1,4
110010014,2023,3502,1,4
110010014,2023,5057,1,2
110010014,2023,964,2,2
110010014,2023,1127,1,4
110010014,2023,3406,1,2
110010014,2023,2606,1,2
110010014,2023,882,1,4
110010014,2023,5203,1,2
110010014,2023,5167,4,2
110010014,2023,2556,3,2
110010014,2023,2880,1,2
110010014,2023,4361,1,4
110010014,2023,3909,1,4
110010014,2023,971,1,2
110010014,2023,894,1,2
110010014,2023,6163,1,2
110010014,2023,2559,1,2
110010014,2023,407,1,4
110010014,2023,973,1,2
110010014,2023,1034,1,4
110010014,2023,35,1,0
110010014,2023,392,1,4
