yop_kodu,year,lise_id,yerlesen_sayisi,school_type
206410059,2022,2,1,8
206410059,2022,3711,1,4
206410059,2022,6166,1,5
206410059,2023,2,1,8
206410059,2023,5875,1,4
206410059,2023,1523,1,4
206410059,2023,10762,1,4
206410059,2023,652,1,4
206410059,2024,2,1,8
206410059,2024,3647,1,5
206410059,2024,10762,1,4
206410059,2024,1134,1,4
206410059,2024,2483,1,5
206410059,2024,7286,1,5
206410059,2024,932,1,4
206410068,2022,2,1,8
206410068,2022,3893,1,4
206410068,2022,3631,1,4
206410068,2022,1537,1,4
206410068,2022,10059,1,5
206410068,2022,6557,1,5
206410068,2022,6092,2,1
206410068,2022,9965,1,3
206410068,2022,7772,2,5
206410068,2022,10657,1,5
206410068,2022,5502,1,5
206410068,2022,7940,1,5
206410068,2022,13242,1,5
206410068,2022,10492,1,5
206410068,2022,10757,1,5
206410068,2022,4262,1,5
206410068,2022,11358,1,1
206410068,2023,2,5,8
206410068,2023,2482,1,4
206410068,2023,4476,1,4
206410068,2023,1222,1,4
206410068,2023,2954,2,4
206410068,2023,975,1,4
206410068,2023,4482,1,0
206410068,2023,4896,1,5
206410068,2023,10059,1,5
206410068,2023,7167,1,5
206410068,2023,6092,1,1
206410068,2023,10536,2,5
206410068,2023,5755,1,5
206410068,2023,10396,1,3
206410068,2023,2627,1,5
206410068,2023,7536,1,5
206410068,2023,7179,1,5
206410068,2023,11341,2,5
206410068,2023,1767,1,5
206410068,2023,11358,1,1
206410068,2024,6092,1,1
206410068,2024,9965,1,3
206410068,2024,11292,3,5
206410068,2024,7772,2,5
206410068,2024,10536,1,5
206410068,2024,7457,1,5
206410068,2024,5564,1,5
206410068,2024,11439,1,5
206410068,2024,2483,1,5
206410068,2024,10351,1,5
206410068,2024,2,3,8
206410068,2024,6419,1,5
206410068,2024,1850,1,5
206410068,2024,11897,1,5
206410068,2024,11374,1,5
206410068,2024,11328,1,5
206410068,2024,11914,1,5
206410068,2024,7693,1,4
206410068,2024,11358,2,1
