yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200210025,2022,2,2,8
200210025,2022,7756,1,4
200210025,2022,10263,1,5
200210025,2022,6851,1,5
200210025,2022,10264,1,5
200210025,2022,6497,1,5
200210025,2023,1904,1,4
200210025,2023,1385,1,4
200210025,2023,3224,1,4
200210025,2023,4317,1,4
200210025,2023,8733,1,5
200210025,2023,2629,1,3
200210025,2023,3411,1,5
200210025,2024,2,1,8
200210025,2024,4218,1,4
200210025,2024,1433,1,4
200210025,2024,3410,1,5
200210025,2024,10265,1,3
200210025,2024,3931,1,4
200210034,2022,1331,1,4
200210034,2022,2,5,8
200210034,2022,4490,1,2
200210034,2022,503,1,4
200210034,2022,2735,1,4
200210034,2022,2431,1,4
200210034,2022,1216,1,4
200210034,2022,4499,1,4
200210034,2022,1525,1,4
200210034,2022,1227,1,4
200210034,2022,1531,1,4
200210034,2022,6871,1,4
200210034,2022,1574,1,4
200210034,2022,10266,1,4
200210034,2022,8733,1,5
200210034,2022,9606,1,5
200210034,2022,3658,1,4
200210034,2022,3410,1,5
200210034,2022,9209,1,5
200210034,2022,1626,1,5
200210034,2022,4331,1,5
200210034,2022,6962,1,5
200210034,2022,3707,1,5
200210034,2022,4280,1,5
200210034,2022,2568,1,5
200210034,2022,10267,1,5
200210034,2022,6188,1,5
200210034,2022,9015,1,5
200210034,2022,10268,1,3
200210034,2022,5730,1,5
200210034,2022,10269,1,5
200210034,2022,10270,1,5
200210034,2022,6020,1,5
200210034,2022,5067,1,3
200210034,2022,4281,1,4
200210034,2022,9202,1,4
200210034,2022,4853,1,4
200210034,2022,2528,1,4
200210034,2023,2,9,8
200210034,2023,1400,1,4
200210034,2023,1216,1,4
200210034,2023,3336,1,4
200210034,2023,863,1,4
200210034,2023,949,1,4
200210034,2023,4043,1,4
200210034,2023,3111,1,4
200210034,2023,2088,1,4
200210034,2023,1973,2,4
200210034,2023,968,1,4
200210034,2023,673,1,4
200210034,2023,8733,1,5
200210034,2023,145,1,4
200210034,2023,1630,1,4
200210034,2023,10271,1,5
200210034,2023,10272,1,5
200210034,2023,1822,1,5
200210034,2023,9480,1,5
200210034,2023,10273,1,1
200210034,2023,10274,1,5
200210034,2023,9484,1,5
200210034,2023,10275,1,1
200210034,2023,1955,1,5
200210034,2023,10276,1,5
200210034,2023,3698,1,4
200210034,2023,4281,1,4
200210034,2023,3101,1,4
200210034,2023,1605,2,1
200210034,2023,1989,1,4
200210034,2023,8653,1,4
200210034,2023,1502,1,0
200210034,2024,2625,1,5
200210034,2024,2484,1,5
200210034,2024,10277,1,5
200210034,2024,5270,1,5
200210034,2024,2645,1,3
200210034,2024,6575,1,5
200210034,2024,525,1,4
200210034,2024,2,1,8
200210034,2024,536,1,0
200210034,2024,1380,1,0
200210034,2024,2665,1,4
200210034,2024,1532,1,0
200210034,2024,35,1,0
200210034,2024,10278,1,5
200210034,2024,3235,1,5
200210052,2022,9,1,2
200210052,2022,931,1,4
200210052,2022,10279,1,4
200210052,2023,2,1,8
200210052,2023,3256,1,0
200210052,2023,1834,1,0
200210052,2023,7447,1,4
200210052,2024,2339,1,4
200210052,2024,5084,1,5
200210052,2024,3666,1,5
200210052,2024,10166,1,5
200210104,2022,2,3,8
200210104,2022,2981,1,0
200210104,2022,1403,1,4
200210104,2022,1356,1,4
200210104,2022,8538,1,0
200210104,2022,10266,1,4
200210104,2022,10280,1,1
200210104,2022,5786,1,5
200210104,2022,1111,1,1
200210104,2022,4625,1,1
200210104,2022,10281,1,3
200210104,2022,7440,1,5
200210104,2022,10282,1,3
200210104,2022,10058,1,5
200210104,2022,9964,1,5
200210104,2022,10272,1,5
200210104,2022,10233,1,5
200210104,2022,10283,1,5
200210104,2022,3231,1,5
200210104,2022,4,1,5
200210104,2022,6413,1,5
200210104,2022,5111,1,5
200210104,2022,10284,1,5
200210104,2022,5258,1,5
200210104,2022,10285,1,5
200210104,2022,4330,1,5
200210104,2022,1626,1,5
200210104,2022,10286,1,5
200210104,2022,7321,1,5
200210104,2022,10287,1,5
200210104,2022,10288,1,5
200210104,2022,8379,1,1
200210104,2022,10289,1,5
200210104,2022,10290,1,5
200210104,2022,6343,1,5
200210104,2022,3667,1,5
200210104,2022,10291,1,5
200210104,2022,4102,1,5
200210104,2022,585,1,5
200210104,2022,4029,1,5
200210104,2022,3623,1,5
200210104,2022,10292,1,5
200210104,2022,7995,1,5
200210104,2022,10293,1,5
200210104,2022,4302,1,5
200210104,2022,10023,1,5
200210104,2022,7011,1,5
200210104,2022,9221,1,5
200210104,2022,10294,1,5
200210104,2022,10295,2,1
200210104,2022,10296,1,5
200210104,2022,10297,1,1
200210104,2022,8653,1,4
200210104,2023,10298,1,5
200210104,2023,2899,1,4
200210104,2023,3207,1,4
200210104,2023,4227,1,5
200210104,2023,1981,1,5
200210104,2023,10233,1,5
200210104,2023,5354,1,5
200210104,2023,1626,1,5
200210104,2023,10299,1,5
200210104,2023,4210,1,5
200210104,2023,10300,1,3
200210104,2023,10290,1,5
200210104,2023,9484,2,5
200210104,2023,10008,1,5
200210104,2023,4741,1,5
200210104,2023,1722,1,5
200210104,2023,1920,1,5
200210104,2023,10270,1,5
200210104,2023,10301,1,5
200210104,2023,10023,1,5
200210104,2023,5847,1,5
200210104,2023,10302,1,5
200210104,2023,7011,1,5
200210104,2023,9221,1,5
200210104,2023,4030,1,5
200210104,2023,1605,1,1
200210104,2023,2527,1,4
200210104,2023,3187,1,4
200210104,2024,10303,1,5
200210104,2024,8232,1,4
200210104,2024,2,2,8
200210104,2024,119,1,4
200210104,2024,1070,1,4
200210104,2024,1486,1,5
200210104,2024,4168,1,5
200210104,2024,9680,1,5
200210104,2024,10304,1,5
200210104,2024,10305,1,5
200210113,2022,4395,1,4
200210113,2022,3482,1,4
200210113,2022,1476,1,5
200210113,2022,2822,1,4
200210113,2022,10306,1,3
200210113,2022,4873,1,5
200210113,2022,5354,1,5
200210113,2022,10307,1,5
200210113,2022,7238,1,3
200210113,2022,9220,1,1
200210113,2022,2998,1,5
200210113,2022,3181,1,4
200210113,2023,2,3,8
200210113,2023,5278,1,4
200210113,2023,7454,1,0
200210113,2023,3502,1,4
200210113,2023,7240,1,2
200210113,2023,10308,1,3
200210113,2023,6969,1,5
200210113,2023,10309,1,5
200210113,2023,1079,1,0
200210113,2023,3642,1,2
200210113,2024,10310,1,5
200210113,2024,2696,1,5
200210113,2024,10311,1,5
200210113,2024,7625,1,5
200210113,2024,2,1,8
200210113,2024,1700,1,0
200210113,2024,1787,1,4
200210113,2024,3728,1,5
200210113,2024,6279,1,5
200210113,2024,10312,1,3
200210113,2024,3928,1,5
200210113,2024,2448,1,5
200210131,2022,1463,1,4
200210131,2022,2,1,8
200210131,2022,2204,1,4
200210131,2022,10313,1,1
200210131,2023,1940,1,4
200210131,2023,35,1,0
200210131,2023,10314,1,5
200210131,2024,2,1,8
200210131,2024,5874,1,0
200210131,2024,2731,1,5
200210131,2024,3622,1,5
200210149,2022,2,2,8
200210149,2022,4217,2,4
200210149,2022,5653,1,4
200210149,2022,35,1,0
200210149,2022,3658,1,4
200210149,2022,4181,1,5
200210149,2022,5418,1,5
200210149,2022,3052,1,1
200210149,2022,9964,1,5
200210149,2022,9165,1,5
