yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200510094,2022,2,1,8
200510094,2022,5829,1,5
200510094,2022,6097,1,5
200510094,2022,1854,1,4
200510094,2022,2325,1,4
200510094,2022,2352,2,1
200510094,2022,1528,1,4
200510094,2022,6810,1,5
200510094,2022,3408,1,4
200510094,2022,10907,2,5
200510094,2022,6671,1,5
200510094,2022,7772,1,5
200510094,2022,10752,1,5
200510094,2022,10854,1,5
200510094,2022,6212,1,5
200510094,2022,5761,1,1
200510094,2022,5010,1,5
200510094,2022,5437,2,1
200510094,2022,5135,1,5
200510094,2022,6398,1,5
200510094,2022,10534,1,3
200510094,2022,8749,1,5
200510094,2022,5769,1,5
200510094,2022,11498,1,5
200510094,2022,10299,1,5
200510094,2022,7328,1,5
200510094,2022,3237,1,5
200510094,2022,8588,1,5
200510094,2022,6603,1,1
200510094,2022,9105,1,5
200510094,2022,11216,1,5
200510094,2022,1796,1,5
200510094,2022,3241,1,5
200510094,2022,5858,1,5
200510094,2022,12593,1,5
200510094,2022,10743,3,5
200510094,2022,10291,1,5
200510094,2022,1850,1,5
200510094,2022,2807,1,5
200510094,2022,5029,1,5
200510094,2022,10348,1,5
200510094,2022,7272,1,5
200510094,2022,9689,1,5
200510094,2022,3431,1,1
200510094,2022,4670,1,1
200510094,2022,5145,1,1
200510094,2022,11192,1,1
200510094,2022,10701,1,5
200510094,2022,6747,2,5
200510094,2022,7242,1,5
200510094,2022,5702,1,5
200510094,2022,10862,1,5
200510094,2022,10713,1,5
200510094,2022,1617,1,4
200510094,2022,3934,1,0
200510094,2023,2,4,8
200510094,2023,11220,1,5
200510094,2023,14072,1,4
200510094,2023,5481,1,4
200510094,2023,3359,1,4
200510094,2023,4497,1,5
200510094,2023,2352,1,1
200510094,2023,10621,2,1
200510094,2023,9724,3,1
200510094,2023,3201,1,4
200510094,2023,10483,1,5
200510094,2023,10907,1,5
200510094,2023,3540,1,4
200510094,2023,1720,1,4
200510094,2023,5134,1,5
200510094,2023,7772,1,5
200510094,2023,5761,1,1
200510094,2023,5010,1,5
200510094,2023,5437,1,1
200510094,2023,1667,1,5
200510094,2023,10679,1,5
200510094,2023,10962,1,5
200510094,2023,11159,1,5
200510094,2023,11290,1,5
200510094,2023,10339,1,5
200510094,2023,2444,1,1
200510094,2023,11272,1,1
200510094,2023,10432,1,5
200510094,2023,2504,1,5
200510094,2023,10827,1,5
200510094,2023,9105,1,5
200510094,2023,6352,1,5
200510094,2023,3677,1,5
200510094,2023,5086,1,5
200510094,2023,10825,1,5
200510094,2023,10743,4,5
200510094,2023,10708,1,1
200510094,2023,13632,1,1
200510094,2023,10870,1,5
200510094,2023,10348,1,5
200510094,2023,3369,2,5
200510094,2023,6191,1,1
200510094,2023,10101,1,3
200510094,2023,10701,1,5
200510094,2023,11170,1,5
200510094,2023,10828,1,5
200510094,2023,11495,1,5
200510094,2023,7713,1,5
200510094,2023,6048,1,5
200510094,2023,2274,1,4
200510094,2023,1502,1,0
200510094,2024,10059,1,5
200510094,2024,7772,1,5
200510094,2024,10888,1,5
200510094,2024,5205,1,5
200510094,2024,4934,1,1
200510094,2024,9424,1,5
200510094,2024,9616,1,1
200510094,2024,11227,2,5
200510094,2024,11270,1,5
200510094,2024,11290,1,5
200510094,2024,2,2,8
200510094,2024,6412,1,1
200510094,2024,6351,1,5
200510094,2024,10737,1,5
200510094,2024,10156,1,5
200510094,2024,11156,1,5
200510094,2024,11459,1,3
200510094,2024,5086,1,5
200510094,2024,6112,1,5
200510094,2024,10743,1,5
200510094,2024,1850,1,5
200510094,2024,5829,1,5
200510094,2024,4938,1,1
200510094,2024,4741,1,5
200510094,2024,11173,1,1
200510094,2024,3369,1,5
200510094,2024,10701,1,5
200510094,2024,5548,1,5
200510094,2024,11298,1,5
200510094,2024,6170,1,5
200510094,2024,4382,1,0
200510094,2024,11358,1,1
200510094,2024,2490,1,4
200510094,2024,10964,1,1
200510094,2024,10906,1,5
200510094,2024,2656,1,1
200510094,2024,5195,1,5
200510094,2024,8852,1,1
200510094,2024,5245,1,4
200510094,2024,2352,1,1
200510094,2024,6810,1,5
200510094,2024,6220,1,4
200510094,2024,35,1,0
200510101,2022,6572,1,1
200510101,2022,7772,1,5
200510101,2022,5010,1,5
200510101,2022,9672,1,5
200510101,2022,4827,1,1
200510101,2022,10743,1,5
200510101,2022,3887,1,5
200510101,2022,10701,1,5
200510101,2022,11634,1,5
200510101,2022,10713,1,5
200510101,2023,2,1,8
200510101,2023,2352,1,1
200510101,2023,6572,1,1
200510101,2023,7441,1,5
200510101,2023,1746,1,5
200510101,2023,3369,1,5
200510101,2023,4757,1,1
200510101,2023,7272,1,5
200510101,2023,10963,1,5
200510101,2023,5756,1,5
200510101,2023,1502,1,0
200510101,2024,6603,1,1
200510119,2022,2,1,8
200510119,2022,3695,1,3
200510119,2022,14073,1,1
200510119,2022,4382,1,0
200510119,2022,7191,1,4
200510119,2023,2,1,8
200510119,2023,4451,1,4
200510119,2023,3617,1,4
200510119,2023,649,1,4
200510119,2023,6052,1,4
200510119,2024,2,1,8
200510119,2024,3693,1,4
200510119,2024,389,1,4
200510119,2024,335,1,4
200510119,2024,3778,1,4
200510128,2022,5101,1,4
200510128,2022,466,1,4
200510128,2022,5524,1,5
200510128,2022,1931,1,5
200510128,2022,6418,1,5
200510128,2022,6106,1,5
200510128,2022,11188,1,3
200510128,2022,10408,1,5
200510128,2022,554,1,5
200510128,2022,1796,1,5
200510128,2022,5211,1,5
200510128,2022,10289,2,5
200510128,2022,4938,1,1
200510128,2022,2807,1,5
200510128,2022,4758,1,1
200510128,2022,11192,1,1
200510128,2022,4850,1,4
200510128,2022,1617,1,4
200510128,2022,2715,1,4
200510128,2023,4374,1,4
200510128,2023,4760,1,4
200510128,2023,2860,1,4
200510128,2023,10059,1,5
200510128,2023,6557,1,5
200510128,2023,10712,1,5
200510128,2023,4709,1,5
200510128,2023,10827,1,5
200510128,2023,4380,1,5
200510128,2023,10743,1,5
200510128,2023,3369,2,5
200510128,2023,9689,1,5
200510128,2023,5847,1,5
200510128,2023,4850,1,4
200510128,2023,2507,1,4
200510128,2023,5588,1,4
200510128,2023,10964,1,1
200510128,2024,988,1,5
200510128,2024,10350,1,5
200510128,2024,11198,1,5
200510128,2024,4365,1,5
200510128,2024,2047,1,1
200510182,2022,3772,1,4
200510182,2022,9610,1,1
200510182,2022,5564,1,5
200510182,2022,11439,1,5
200510182,2022,5710,1,1
200510182,2022,10827,1,5
200510182,2022,4920,1,5
200510182,2022,3880,1,5
200510182,2022,4827,1,1
200510182,2022,11176,1,1
200510182,2022,11661,1,5
200510182,2022,2523,1,1
200510182,2022,10713,1,5
200510182,2022,10964,1,1
200510182,2022,8852,1,1
200510182,2023,2,1,8
200510182,2023,5490,1,4
200510182,2023,9209,1,5
200510182,2023,10854,1,5
200510182,2023,5437,1,1
200510182,2023,7684,1,5
200510182,2023,10395,1,1
200510182,2023,4861,1,5
200510182,2023,11592,1,5
200510182,2023,7763,1,5
200510182,2023,10686,1,5
200510182,2024,6220,1,4
200510191,2022,4938,1,1
200510191,2022,9686,1,5
200510191,2022,4758,1,1
200510191,2022,11807,1,5
200510191,2022,1143,1,2
