yop_kodu,year,lise_id,yerlesen_sayisi,school_type
110610017,2022,174,1,4
110610017,2022,1291,1,4
110610017,2022,3268,1,4
110610017,2022,2,6,8
110610017,2022,4448,1,4
110610017,2022,1072,1,4
110610017,2022,3550,1,4
110610017,2022,4249,1,4
110610017,2022,2434,1,4
110610017,2022,4512,1,4
110610017,2022,865,1,4
110610017,2022,5376,4,4
110610017,2022,5160,1,4
110610017,2022,866,1,4
110610017,2022,7609,1,4
110610017,2022,663,1,4
110610017,2022,5052,2,4
110610017,2022,4124,1,4
110610017,2022,1811,1,4
110610017,2022,5399,1,2
110610017,2022,173,1,4
110610017,2022,1834,1,0
110610017,2022,1562,1,4
110610017,2022,2418,1,4
110610017,2022,1611,1,4
110610017,2022,879,1,4
110610017,2022,3386,1,4
110610017,2022,4516,1,4
110610017,2022,4868,1,4
110610017,2022,2244,2,4
110610017,2022,2954,1,4
110610017,2022,5664,1,4
110610017,2022,764,1,4
110610017,2022,6003,1,4
110610017,2022,10931,1,4
110610017,2022,2986,1,4
110610017,2022,5058,1,4
110610017,2022,3226,1,4
110610017,2022,2860,1,4
110610017,2022,4317,1,4
110610017,2022,6917,1,4
110610017,2022,1717,1,4
110610017,2022,6530,1,2
110610017,2022,310,1,4
110610017,2022,2988,1,4
110610017,2022,5266,1,4
110610017,2022,4256,1,4
110610017,2022,5344,1,4
110610017,2022,3665,1,4
110610017,2022,1036,1,2
110610017,2022,6209,2,4
110610017,2022,1745,2,4
110610017,2022,1585,1,4
110610017,2022,127,1,4
110610017,2022,5345,1,5
110610017,2022,1281,1,5
110610017,2022,1342,1,5
110610017,2022,11402,1,5
110610017,2022,5233,1,3
110610017,2022,5969,1,5
110610017,2022,5272,1,5
110610017,2022,11789,1,5
110610017,2022,11531,1,3
110610017,2022,6927,1,4
110610017,2022,52,1,4
110610017,2022,4580,1,4
110610017,2022,1005,1,4
110610017,2022,6632,1,2
110610017,2022,3473,1,2
110610017,2022,3931,1,4
110610017,2022,4443,1,4
110610017,2022,2099,1,4
110610017,2022,3606,1,4
110610017,2022,528,1,4
110610017,2022,2974,1,4
110610017,2022,2105,1,4
110610017,2022,571,1,4
110610017,2022,2456,1,4
110610017,2022,4444,1,4
110610017,2022,4463,1,4
110610017,2022,154,1,4
110610017,2023,2,13,8
110610017,2023,2746,3,4
110610017,2023,4399,2,4
110610017,2023,508,1,4
110610017,2023,3476,1,4
110610017,2023,4570,2,4
110610017,2023,4249,1,4
110610017,2023,76,1,4
110610017,2023,705,1,2
110610017,2023,2751,1,4
110610017,2023,2283,1,4
110610017,2023,2600,1,2
110610017,2023,2511,1,2
110610017,2023,5075,1,4
110610017,2023,3630,1,4
110610017,2023,3769,1,4
110610017,2023,78,1,4
110610017,2023,4465,1,4
110610017,2023,1020,1,0
110610017,2023,5399,2,2
110610017,2023,11099,1,4
110610017,2023,5794,1,4
110610017,2023,1521,1,4
110610017,2023,4682,1,4
110610017,2023,411,1,2
110610017,2023,875,1,2
110610017,2023,5201,1,2
110610017,2023,1942,1,4
110610017,2023,4867,1,4
110610017,2023,5037,1,4
110610017,2023,845,1,2
110610017,2023,4386,1,0
110610017,2023,5664,1,4
110610017,2023,1971,1,4
110610017,2023,4024,1,4
110610017,2023,2605,1,4
110610017,2023,290,1,4
110610017,2023,846,1,2
110610017,2023,4455,1,4
110610017,2023,5078,1,2
110610017,2023,4317,1,4
110610017,2023,310,1,4
110610017,2023,3,1,4
110610017,2023,183,1,4
110610017,2023,407,1,4
110610017,2023,5403,1,4
110610017,2023,35,1,0
110610017,2023,145,1,4
110610017,2023,392,1,4
110610017,2023,3876,1,4
110610017,2023,3540,1,4
110610017,2023,1431,1,0
110610017,2023,4408,1,4
110610017,2023,2958,2,4
110610017,2023,2672,1,4
110610017,2023,2615,1,4
110610017,2023,1994,1,4
110610017,2023,40,1,4
110610017,2023,11031,1,3
110610017,2023,5369,1,5
110610017,2023,6586,1,5
110610017,2023,4776,1,5
110610017,2023,6343,1,5
110610017,2023,7785,1,5
110610017,2023,11301,1,3
110610017,2023,1492,1,4
110610017,2023,3396,1,4
110610017,2023,447,1,4
110610017,2023,4354,1,4
110610017,2023,4265,1,4
110610017,2023,1117,1,4
110610017,2023,1547,2,4
110610017,2023,5374,1,4
110610017,2023,399,1,4
110610017,2023,3399,1,4
110610017,2023,3937,1,4
110610017,2024,1177,1,4
110610017,2024,5375,1,0
110610017,2024,3270,1,0
110610017,2024,5158,1,4
110610017,2024,5074,1,4
110610017,2024,2540,1,4
110610017,2024,4397,2,0
110610017,2024,510,1,4
110610017,2024,1684,1,4
110610017,2024,826,1,2
110610017,2024,2,5,8
110610017,2024,1734,1,4
110610017,2024,539,1,0
