yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101610028,2022,2053,1,4
101610028,2022,2,5,8
101610028,2022,2746,1,4
101610028,2022,2591,1,4
101610028,2022,5375,1,0
101610028,2022,2867,1,4
101610028,2022,1330,1,4
101610028,2022,1701,1,4
101610028,2022,3199,1,4
101610028,2022,12045,1,4
101610028,2022,2688,1,4
101610028,2022,5464,1,4
101610028,2022,2990,1,4
101610028,2022,5133,1,5
101610028,2022,5787,1,5
101610028,2022,3916,1,5
101610028,2022,11462,2,3
101610028,2022,5687,1,5
101610028,2022,5017,1,4
101610028,2022,1144,1,4
101610028,2022,5093,1,4
101610028,2022,14390,1,4
101610028,2022,5095,1,4
101610028,2022,5429,2,4
101610028,2022,1151,1,4
101610028,2023,3268,1,4
101610028,2023,2,6,8
101610028,2023,2814,1,2
101610028,2023,1471,1,4
101610028,2023,12596,1,4
101610028,2023,3199,1,4
101610028,2023,4286,1,4
101610028,2023,2705,1,4
101610028,2023,11427,1,4
101610028,2023,4077,1,4
101610028,2023,2547,1,4
101610028,2023,632,1,4
101610028,2023,668,1,4
101610028,2023,4531,1,4
101610028,2023,14386,1,4
101610028,2023,1716,1,4
101610028,2023,5106,1,0
101610028,2023,2922,1,4
101610028,2023,3242,1,5
101610028,2023,12548,1,5
101610028,2023,5224,1,5
101610028,2023,1693,1,4
101610028,2023,4339,2,4
101610028,2023,6084,1,4
101610028,2023,8821,1,0
101610028,2023,811,1,4
101610028,2024,6491,1,4
101610028,2024,9245,1,4
101610028,2024,2242,1,4
101610028,2024,2770,1,4
101610028,2024,3925,1,4
101610028,2024,1837,1,4
101610028,2024,2463,1,4
101610028,2024,10084,1,4
101610028,2024,1890,1,4
101610028,2024,3738,1,4
101610028,2024,4951,1,4
101610028,2024,1581,1,4
101610028,2024,3704,1,4
101610028,2024,2957,1,4
101610028,2024,5042,1,4
101610028,2024,1303,1,4
101610028,2024,10594,1,5
101610028,2024,3810,1,4
101610028,2024,6694,1,4
101610028,2024,4780,1,2
101610028,2024,2391,1,4
101610028,2024,5312,1,4
101610028,2024,2,5,8
101610028,2024,2590,1,4
101610028,2024,4448,1,4
101610028,2024,4511,1,4
101610028,2024,5050,1,4
101610028,2024,2201,1,4
101610037,2022,2432,1,4
101610037,2022,2,5,8
101610037,2022,1505,1,4
101610037,2022,5375,1,0
101610037,2022,2704,1,0
101610037,2022,536,1,0
101610037,2022,2370,1,4
101610037,2022,2475,1,4
101610037,2022,4125,1,4
101610037,2022,12238,1,4
101610037,2022,2051,1,4
101610037,2022,4959,1,4
101610037,2022,6178,1,4
101610037,2022,6040,1,4
101610037,2022,1944,1,4
101610037,2022,7623,1,4
101610037,2022,2711,1,4
101610037,2022,1742,1,4
101610037,2022,9507,1,5
101610037,2022,3366,1,5
101610037,2022,4804,1,5
101610037,2022,2111,1,5
101610037,2022,10817,1,5
101610037,2022,3411,1,5
101610037,2022,6108,1,5
101610037,2022,10810,1,5
101610037,2022,14448,1,5
101610037,2022,2156,1,5
101610037,2022,4308,1,4
101610037,2022,1595,1,4
101610037,2022,6702,1,4
101610037,2022,5663,1,4
101610037,2022,7693,1,4
101610037,2022,2715,1,4
101610037,2022,3176,1,4
101610037,2022,7194,1,4
101610037,2022,4751,1,4
101610037,2023,8884,1,4
101610037,2023,2885,1,4
101610037,2023,2,8,8
101610037,2023,4954,1,4
101610037,2023,2172,1,4
101610037,2023,5313,1,4
101610037,2023,1520,1,4
101610037,2023,3199,1,4
101610037,2023,4465,1,4
101610037,2023,1788,1,4
101610037,2023,2439,1,4
101610037,2023,4912,1,4
101610037,2023,3272,1,4
101610037,2023,2501,1,4
101610037,2023,1227,1,4
101610037,2023,1296,1,4
101610037,2023,466,1,4
101610037,2023,3676,1,4
101610037,2023,1716,3,4
101610037,2023,1133,1,4
101610037,2023,2990,1,4
101610037,2023,5042,1,4
101610037,2023,9507,2,5
101610037,2023,4630,1,5
101610037,2023,1957,1,5
101610037,2023,1048,1,5
101610037,2023,5188,1,5
101610037,2023,2281,1,4
101610037,2023,5093,1,4
101610037,2023,6470,1,4
101610037,2023,9202,1,4
101610037,2023,2973,1,4
101610037,2024,3199,1,4
101610037,2024,1787,1,4
101610037,2024,1702,1,4
101610037,2024,4315,1,4
101610037,2024,4765,2,4
101610037,2024,3925,1,4
101610037,2024,4160,1,4
101610037,2024,380,1,4
101610037,2024,3364,3,4
101610037,2024,3657,1,4
101610037,2024,2,3,8
101610037,2024,7623,1,4
101610037,2024,1299,1,4
101610037,2024,12230,1,4
101610037,2024,2990,1,4
101610037,2024,4706,1,4
101610037,2024,8359,1,4
101610037,2024,5206,1,3
101610037,2024,11135,1,5
101610037,2024,2779,1,5
101610037,2024,10409,1,5
101610037,2024,8667,1,4
101610037,2024,10318,1,5
101610037,2024,2448,1,5
101610037,2024,7874,1,4
101610037,2024,12665,1,4
101610037,2024,10038,1,4
101610037,2024,3415,1,4
101610037,2024,6202,1,4
101610037,2024,249,1,4
101610037,2024,6208,1,4
101610037,2024,4112,1,4
101610037,2024,794,1,4
101610037,2024,943,1,4
101610037,2024,3871,1,4
101610037,2024,6479,1,4
101610037,2024,1635,1,4
101610046,2022,3085,1,4
101610046,2022,328,1,4
101610046,2022,3091,1,4
101610046,2022,1467,1,4
101610046,2022,1620,1,4
101610046,2022,2490,1,4
101610046,2022,2751,1,4
101610046,2022,5695,1,4
101610046,2022,12596,1,4
101610046,2022,9245,1,4
101610046,2022,1635,1,4
101610046,2022,3199,1,4
101610046,2022,4683,1,4
101610046,2022,4288,1,4
101610046,2022,2185,1,4
101610046,2022,4799,1,4
101610046,2022,13423,1,4
101610046,2022,4317,1,4
101610046,2022,1716,2,4
101610046,2022,1677,1,4
101610046,2022,2341,1,4
101610046,2022,5042,1,4
101610046,2022,2111,1,5
101610046,2022,8600,1,1
101610046,2022,10912,1,1
101610046,2022,5663,1,4
101610046,2022,3643,2,4
101610046,2022,1434,1,4
101610046,2022,7433,1,4
101610046,2022,2070,1,4
101610046,2022,12415,1,4
101610046,2022,5987,1,4
101610046,2022,6694,1,4
101610046,2022,3932,2,4
101610046,2022,7194,1,4
101610046,2022,8837,1,4
101610046,2022,4599,1,4
101610046,2022,2916,1,4
101610046,2023,1290,1,4
101610046,2023,2,8,8
101610046,2023,2020,1,4
101610046,2023,10007,1,4
101610046,2023,4728,1,4
101610046,2023,2704,1,0
101610046,2023,1520,1,4
101610046,2023,6278,1,4
101610046,2023,763,1,4
101610046,2023,4176,1,4
101610046,2023,2261,1,4
101610046,2023,12233,1,4
101610046,2023,2707,1,4
101610046,2023,2227,1,4
101610046,2023,5519,1,4
101610046,2023,7923,1,4
101610046,2023,1972,1,0
101610046,2023,1716,1,4
101610046,2023,3444,1,4
101610046,2023,2309,1,4
101610046,2023,547,1,4
101610046,2023,7861,1,5
101610046,2023,2573,1,5
101610046,2023,6020,1,5
101610046,2023,10531,1,4
101610046,2023,9441,1,4
101610046,2023,4998,1,4
101610046,2023,297,1,4
101610046,2023,164,1,4
101610046,2023,11011,1,4
101610046,2023,1549,1,4
101610046,2023,3124,1,4
101610046,2023,2103,1,4
101610046,2023,783,1,4
101610046,2024,5646,1,4
101610046,2024,1474,1,4
101610046,2024,5483,1,4
101610046,2024,1522,1,0
101610046,2024,3140,1,4
101610046,2024,4722,1,4
101610046,2024,1738,1,4
101610046,2024,2302,1,4
101610046,2024,668,1,4
101610046,2024,1154,1,4
101610046,2024,834,1,4
101610046,2024,12624,1,4
101610046,2024,7674,1,4
101610046,2024,12212,1,4
101610046,2024,649,1,4
101610046,2024,13692,1,4
101610046,2024,2711,1,4
101610046,2024,5489,1,4
101610046,2024,2479,1,4
101610046,2024,3240,1,5
101610046,2024,12030,1,5
101610046,2024,2,6,8
101610046,2024,7304,1,4
101610046,2024,2214,1,4
101610046,2024,4281,1,4
101610046,2024,1599,1,4
101610046,2024,13398,1,4
101610046,2024,8653,1,4
101610046,2024,5375,1,0
101610046,2024,739,1,4
101610046,2024,1378,2,4
101610046,2024,2704,2,0
101610046,2024,2498,1,4
101610046,2024,1520,1,4
101610055,2022,2,2,8
101610055,2022,8673,1,4
101610055,2022,2704,1,0
101610055,2022,3478,1,4
101610055,2022,5948,1,4
101610055,2022,5646,1,4
101610055,2022,4252,1,4
101610055,2022,2322,1,4
101610055,2022,2261,1,4
101610055,2022,2087,1,4
101610055,2022,4432,1,4
101610055,2022,9151,1,4
101610055,2022,1531,1,4
101610055,2022,2828,1,4
101610055,2022,1716,1,4
101610055,2022,5106,1,0
101610055,2022,2776,1,5
101610055,2022,2191,1,5
101610055,2022,225,1,5
101610055,2022,14407,1,5
101610055,2022,999,1,4
101610055,2022,4878,1,4
101610055,2022,2070,1,4
101610055,2022,8809,1,4
101610055,2022,1453,1,4
101610055,2022,4339,1,4
101610055,2022,6694,1,4
101610055,2022,3932,1,4
101610055,2022,1964,1,4
101610055,2022,8836,1,4
101610055,2023,2,6,8
101610055,2023,5334,1,4
101610055,2023,2704,1,0
101610055,2023,10611,1,4
101610055,2023,5099,1,4
101610055,2023,7821,1,4
101610055,2023,3199,1,4
101610055,2023,5294,1,4
101610055,2023,6561,1,4
101610055,2023,5595,1,4
101610055,2023,3795,2,4
101610055,2023,2707,1,4
101610055,2023,1713,1,4
101610055,2023,5519,1,4
101610055,2023,4316,1,4
101610055,2023,3676,1,4
101610055,2023,3909,1,4
101610055,2023,1575,1,4
101610055,2023,1716,2,4
101610055,2023,1132,1,0
101610055,2023,8956,1,4
101610055,2023,5042,1,4
101610055,2023,1688,1,5
101610055,2023,6830,1,5
101610055,2023,8750,1,1
101610055,2023,225,1,5
101610055,2023,10449,1,5
101610055,2023,8155,1,5
101610055,2023,2573,1,5
101610055,2023,5356,1,4
101610055,2023,2036,1,4
101610055,2023,780,1,4
101610055,2023,11901,1,4
101610055,2023,7041,1,4
101610055,2024,2603,1,0
101610055,2024,1360,1,4
101610055,2024,4964,1,4
101610055,2024,12737,1,4
101610055,2024,6545,1,4
101610055,2024,8930,1,4
101610055,2024,5366,1,4
101610055,2024,8956,1,4
101610055,2024,5500,1,4
101610055,2024,7215,1,5
101610055,2024,3268,1,4
101610055,2024,3291,1,5
101610055,2024,7220,1,5
101610055,2024,3489,1,5
101610055,2024,7779,1,5
101610055,2024,10531,1,4
101610055,2024,3917,1,4
101610055,2024,1600,1,4
101610055,2024,12665,1,4
101610055,2024,5346,1,4
101610055,2024,4183,1,4
101610055,2024,2,8,8
101610055,2024,9373,1,4
101610055,2024,2929,1,4
101610055,2024,2255,1,4
101610055,2024,7782,1,4
101610055,2024,3932,1,4
101610055,2024,8218,1,4
101610055,2024,1458,1,4
101610055,2024,6228,1,4
101610055,2024,1357,1,0
101610055,2024,3199,2,4
101610055,2024,775,1,4
101610055,2024,6773,1,4
101610064,2022,2,8,8
101610064,2022,2458,1,0
101610064,2022,943,1,4
101610064,2022,1467,1,4
101610064,2022,6193,1,4
101610064,2022,1620,1,4
101610064,2022,2704,2,0
101610064,2022,10611,1,4
101610064,2022,2475,1,4
101610064,2022,1472,1,4
101610064,2022,5716,1,4
101610064,2022,3199,1,4
101610064,2022,3600,1,4
101610064,2022,2242,1,4
101610064,2022,9076,1,4
101610064,2022,7796,1,4
101610064,2022,3925,1,4
101610064,2022,10457,1,4
101610064,2022,2707,1,4
101610064,2022,2227,2,4
101610064,2022,7169,1,4
101610064,2022,6562,1,4
101610064,2022,5519,2,4
101610064,2022,3226,1,4
101610064,2022,3443,1,2
101610064,2022,8103,1,4
101610064,2022,1974,1,4
101610064,2022,1716,1,4
101610064,2022,4886,1,4
101610064,2022,11908,1,5
101610064,2022,10395,1,1
101610064,2022,10594,1,5
101610064,2022,4738,1,5
101610064,2022,5529,1,5
101610064,2022,1680,1,5
101610064,2022,10676,1,5
101610064,2022,9491,1,5
101610064,2022,1596,1,4
101610064,2022,3762,1,4
101610064,2022,8180,1,4
101610064,2022,3789,1,4
101610064,2022,1599,1,4
101610064,2022,13420,1,4
101610064,2022,4998,1,4
101610064,2022,59,1,4
101610064,2022,3690,1,4
101610064,2022,4779,1,4
101610064,2022,9584,1,4
101610064,2022,9778,1,4
101610064,2022,1151,1,4
101610064,2022,2164,1,4
101610064,2022,8446,1,4
101610064,2023,2,14,8
101610064,2023,9325,1,4
101610064,2023,1176,1,4
101610064,2023,3316,1,4
101610064,2023,2704,1,0
101610064,2023,3649,1,4
101610064,2023,5002,1,4
101610064,2023,9793,1,4
101610064,2023,4679,2,4
101610064,2023,9247,1,4
101610064,2023,2529,1,4
101610064,2023,4499,1,4
101610064,2023,1834,1,0
101610064,2023,7652,1,4
101610064,2023,4590,1,4
101610064,2023,3421,1,4
101610064,2023,7796,1,4
101610064,2023,8059,1,4
101610064,2023,7172,1,4
101610064,2023,14449,1,4
101610064,2023,3594,1,2
101610064,2023,5519,1,4
101610064,2023,6088,1,4
101610064,2023,3676,1,4
101610064,2023,1479,1,4
101610064,2023,5339,1,4
101610064,2023,1716,3,4
101610064,2023,8956,1,4
101610064,2023,392,1,4
101610064,2023,8127,1,4
101610064,2023,5027,1,4
101610064,2023,8738,1,4
101610064,2023,1448,1,4
101610064,2023,10353,1,5
101610064,2023,7296,1,5
101610064,2023,11244,1,5
101610064,2023,13420,1,4
101610064,2023,4037,1,4
101610064,2023,1852,1,4
101610064,2023,1879,1,4
101610064,2023,7106,1,4
101610064,2023,9385,1,4
101610064,2023,3671,1,4
101610064,2023,3764,1,4
101610064,2023,3932,1,4
101610064,2023,3709,1,4
101610064,2023,2274,1,4
101610064,2024,2498,1,4
101610064,2024,9455,1,4
101610064,2024,9642,1,4
101610064,2024,2438,1,4
101610064,2024,4959,1,4
101610064,2024,379,1,4
101610064,2024,7599,1,4
101610064,2024,4242,1,4
101610064,2024,7796,1,4
101610064,2024,5884,1,4
101610064,2024,13781,1,0
101610064,2024,3364,1,4
101610064,2024,9336,1,4
101610064,2024,3989,1,4
101610064,2024,5519,1,4
101610064,2024,11898,1,4
101610064,2024,14450,1,0
101610064,2024,3462,1,4
101610064,2024,1482,1,4
101610064,2024,1574,1,4
101610064,2024,2711,1,4
101610064,2024,2,3,8
101610064,2024,6397,1,4
101610064,2024,1257,1,4
101610064,2024,9265,1,4
101610064,2024,2249,1,4
101610064,2024,3840,1,4
101610064,2024,2484,1,5
101610064,2024,1768,1,4
101610064,2024,5663,1,4
101610064,2024,4339,1,4
101610064,2024,1751,1,4
101610064,2024,9023,1,4
101610064,2024,2971,1,4
101610064,2024,6694,1,4
101610064,2024,2099,1,4
101610064,2024,592,1,4
101610064,2024,1287,1,4
101610064,2024,6421,1,4
101610064,2024,7302,1,4
101610064,2024,1151,1,4
101610064,2024,8011,1,4
101610064,2024,2433,1,4
101610064,2024,1467,1,4
101610064,2024,2704,1,0
101610064,2024,2414,1,4
101610073,2022,2,8,8
101610073,2022,2119,1,4
101610073,2022,2460,1,4
101610073,2022,363,1,4
101610073,2022,2704,1,0
101610073,2022,4357,1,0
101610073,2022,3381,1,4
101610073,2022,1966,1,4
101610073,2022,2475,1,4
101610073,2022,4644,1,2
101610073,2022,1635,1,4
101610073,2022,5003,1,4
101610073,2022,3199,1,4
101610073,2022,4242,1,4
101610073,2022,2602,1,4
101610073,2022,3956,1,4
101610073,2022,4077,1,4
101610073,2022,4273,1,4
101610073,2022,1130,1,4
