yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200610012,2022,2,3,8
200610012,2022,2537,1,2
200610012,2022,4142,1,2
200610012,2022,2598,1,3
200610012,2022,2546,1,4
200610012,2022,6297,1,3
200610012,2022,2606,1,2
200610012,2022,4115,1,2
200610012,2022,3226,1,4
200610012,2022,5169,1,4
200610012,2022,10557,1,3
200610012,2022,2613,1,2
200610012,2022,1874,1,4
200610012,2022,10280,1,1
200610012,2022,10282,1,3
200610012,2022,10058,1,5
200610012,2022,7431,1,5
200610012,2022,10063,1,1
200610012,2022,10308,1,3
200610012,2022,9099,1,5
200610012,2022,6746,1,5
200610012,2022,6343,1,5
200610012,2022,8160,1,1
200610012,2022,10380,1,3
200610012,2022,10269,1,5
200610012,2022,4211,2,5
200610012,2022,10371,1,5
200610012,2022,587,1,5
200610012,2022,1692,1,5
200610012,2022,5091,1,3
200610012,2022,10270,2,5
200610012,2022,10428,1,1
200610012,2022,2523,1,1
200610012,2022,11236,1,3
200610012,2022,919,1,2
200610012,2022,1605,1,1
200610012,2023,2,2,8
200610012,2023,2459,1,0
200610012,2023,6097,1,5
200610012,2023,949,1,4
200610012,2023,6297,1,3
200610012,2023,2613,1,2
200610012,2023,9964,1,5
200610012,2023,9471,1,5
200610012,2023,10360,1,3
200610012,2023,10536,1,5
200610012,2023,5354,1,5
200610012,2023,10350,1,5
200610012,2023,2191,1,5
200610012,2023,412,1,3
200610012,2023,12832,1,3
200610012,2023,10389,1,3
200610012,2023,10289,1,5
200610012,2023,10449,1,5
200610012,2023,10365,1,3
200610012,2023,9357,1,5
200610012,2023,10269,1,5
200610012,2023,2639,1,3
200610012,2023,4651,1,5
200610012,2023,10270,1,5
200610012,2023,2577,1,3
200610012,2023,7207,1,1
200610012,2023,10296,1,5
200610012,2023,923,1,2
200610012,2023,2654,1,4
200610012,2023,1605,2,1
200610012,2023,11358,1,1
200610012,2023,5229,1,5
200610012,2023,934,1,2
200610012,2023,7055,1,1
200610012,2023,937,1,4
200610012,2023,7428,1,2
200610012,2023,7239,1,2
200610012,2023,7423,1,2
200610012,2024,9625,1,5
200610012,2024,2807,1,5
200610012,2024,10269,1,5
200610012,2024,2760,1,5
200610012,2024,3640,1,5
200610012,2024,10489,1,3
200610012,2024,7718,1,3
200610012,2024,5218,1,3
200610012,2024,11250,1,5
200610012,2024,2155,1,5
200610012,2024,1017,1,4
200610012,2024,11431,1,3
200610012,2024,10296,1,5
200610012,2024,9371,1,3
200610012,2024,3397,1,2
200610012,2024,1605,1,1
200610012,2024,10938,1,1
200610012,2024,2598,1,3
200610012,2024,957,1,4
200610012,2024,10280,1,1
200610012,2024,2427,1,3
200610012,2024,10362,1,1
200610012,2024,412,1,3
200610012,2024,6644,1,3
200610057,2022,6438,1,5
200610057,2022,10463,1,5
200610057,2023,2616,1,4
200610057,2023,11356,1,5
200610066,2022,2,2,8
200610066,2022,1122,1,4
200610066,2022,7424,1,2
200610066,2022,1514,2,4
200610066,2022,5053,1,2
200610066,2022,1525,1,4
200610066,2022,6643,1,3
200610066,2022,1981,1,5
200610066,2022,581,1,5
200610066,2022,11754,1,5
200610066,2022,6110,1,5
200610066,2022,9978,1,5
200610066,2022,5345,1,5
200610066,2022,6824,1,3
200610066,2022,9112,1,5
200610066,2022,10575,1,3
200610066,2022,5547,1,5
200610066,2022,6659,1,3
200610066,2022,652,1,4
200610066,2022,4809,1,4
200610066,2022,929,1,4
200610066,2023,1122,1,4
200610066,2023,1831,1,4
200610066,2023,4254,1,4
200610066,2023,4468,1,4
200610066,2023,7240,1,2
200610066,2023,5256,1,3
200610066,2023,6325,1,5
200610066,2023,3637,1,5
200610066,2023,10552,1,5
200610066,2023,3235,1,5
200610066,2023,10412,1,3
200610066,2023,13284,1,5
200610066,2023,2445,1,5
200610066,2023,3392,1,5
200610066,2023,4692,1,5
200610066,2023,1048,1,5
200610066,2023,10404,1,5
200610066,2023,997,1,4
200610066,2023,3660,1,4
200610066,2023,3494,1,4
200610066,2023,11815,1,4
200610066,2024,550,1,5
200610075,2022,1185,1,4
200610075,2022,15149,1,4
200610075,2022,1578,1,4
200610075,2022,10272,1,5
200610075,2022,6424,1,5
200610075,2022,2685,1,5
200610075,2023,10586,1,5
200610075,2023,9429,1,5
200610075,2023,14338,1,1
200610075,2023,4102,1,5
200610075,2023,1140,1,5
200610075,2023,10296,1,5
200610075,2024,765,1,4
200610075,2024,1409,1,4
200610084,2022,4389,1,4
200610084,2022,856,1,4
200610084,2022,2,7,8
200610084,2022,859,1,4
200610084,2022,3336,1,4
200610084,2022,2283,1,4
200610084,2022,663,1,4
200610084,2022,2057,1,4
200610084,2022,379,1,4
200610084,2022,2439,2,4
200610084,2022,1835,1,4
200610084,2022,3005,1,4
200610084,2022,5412,1,4
200610084,2022,3531,1,4
200610084,2022,887,1,4
200610084,2022,2708,1,4
200610084,2022,10266,1,4
200610084,2022,6032,1,2
200610084,2022,7240,1,2
200610084,2022,4215,1,5
200610084,2022,12987,1,1
200610084,2022,10285,1,5
200610084,2022,281,1,1
200610084,2022,10299,1,5
200610084,2022,1589,1,5
200610084,2022,7185,1,5
200610084,2022,3761,1,5
200610084,2022,15150,1,1
200610084,2022,6620,1,5
200610084,2022,6963,1,4
200610084,2022,2515,1,4
200610084,2022,10393,1,1
200610084,2022,3690,1,4
200610084,2022,2527,1,4
200610084,2023,1904,1,4
200610084,2023,2,9,8
200610084,2023,1935,1,4
200610084,2023,3498,1,4
200610084,2023,1509,1,4
200610084,2023,3816,1,0
200610084,2023,9641,1,4
200610084,2023,2878,1,0
200610084,2023,958,1,5
200610084,2023,883,1,4
200610084,2023,2616,1,4
200610084,2023,6100,1,5
200610084,2023,3637,1,5
200610084,2023,10552,1,5
200610084,2023,5176,1,1
200610084,2023,1823,1,5
200610084,2023,1996,1,5
200610084,2023,10264,1,5
200610084,2023,1690,1,5
200610084,2023,1894,1,5
200610084,2023,7763,1,5
200610084,2023,12213,1,5
200610084,2023,10322,1,5
200610084,2023,5547,1,5
200610084,2023,556,1,5
200610084,2023,9123,1,5
200610084,2023,10415,1,5
200610084,2023,1599,1,4
200610084,2023,4794,1,4
200610084,2023,7046,1,4
200610084,2023,2515,1,4
200610084,2023,397,1,4
200610084,2023,4022,1,4
200610084,2024,1914,1,4
200610084,2024,4551,1,4
200610084,2024,3562,1,4
200610084,2024,10266,2,4
200610084,2024,3637,1,5
200610084,2024,7441,1,5
200610084,2024,5354,1,5
200610084,2024,1982,1,5
200610084,2024,9348,2,5
200610084,2024,4390,1,5
200610084,2024,856,1,4
200610084,2024,9480,1,5
200610084,2024,6342,1,5
200610084,2024,10474,1,5
200610084,2024,1984,1,5
200610084,2024,13434,1,5
200610084,2024,556,1,5
200610084,2024,1799,1,4
200610084,2024,566,1,4
200610084,2024,7106,1,4
200610084,2024,2,2,8
200610084,2024,1830,1,4
200610084,2024,5099,1,4
200610084,2024,2372,1,4
200610084,2024,1221,1,4
200610084,2024,1425,1,4
200610084,2024,1531,1,4
200610118,2022,2,1,8
200610118,2022,1074,1,4
200610118,2022,13573,1,4
200610118,2022,3517,1,4
200610118,2022,10555,1,5
200610118,2022,11818,1,1
200610118,2022,11025,1,3
200610118,2022,1749,1,5
200610118,2022,2654,1,4
200610118,2022,3060,1,4
200610118,2023,2,1,8
200610118,2023,5362,1,4
200610118,2023,10685,1,5
200610118,2023,5757,1,5
200610127,2022,8877,1,4
200610127,2022,2,4,8
200610127,2022,859,1,4
200610127,2022,8269,1,4
200610127,2022,3594,1,2
200610127,2022,2088,1,4
200610127,2022,308,1,4
200610127,2022,1972,1,0
200610127,2022,6088,1,4
200610127,2022,4980,1,4
200610127,2022,10280,1,1
200610127,2022,10284,1,5
200610127,2022,10286,1,5
200610127,2022,3304,1,5
200610127,2022,10765,1,5
200610127,2022,2883,1,5
200610127,2022,5119,1,5
200610127,2022,9429,1,5
200610127,2022,3345,1,5
200610127,2022,11134,1,5
200610127,2022,6153,1,5
200610127,2022,8401,1,1
200610127,2022,2327,1,5
200610127,2022,3099,1,4
200610127,2022,3472,1,2
200610127,2022,2839,1,4
200610127,2022,566,1,4
200610127,2022,2741,1,4
200610127,2022,1374,1,4
200610127,2023,2,10,8
200610127,2023,3598,1,4
200610127,2023,8865,1,4
200610127,2023,1514,1,4
200610127,2023,2903,1,2
200610127,2023,3600,1,4
200610127,2023,695,1,4
200610127,2023,1521,1,4
200610127,2023,8524,1,4
200610127,2023,444,1,4
200610127,2023,10384,1,5
200610127,2023,90,1,5
200610127,2023,2068,1,5
200610127,2023,4210,1,5
200610127,2023,9352,1,5
200610127,2023,3098,1,5
200610127,2023,6279,1,5
200610127,2023,2759,1,5
200610127,2023,414,1,5
200610127,2023,6020,1,5
200610127,2023,566,1,4
200610127,2023,2914,1,4
200610127,2023,2527,1,4
200610127,2024,3339,1,4
200610127,2024,985,1,5
200610127,2024,8143,1,5
200610127,2024,7440,1,5
200610127,2024,6467,1,5
200610127,2024,5564,1,5
200610127,2024,9510,1,5
200610127,2024,4890,1,5
200610127,2024,7427,1,5
200610127,2024,5670,1,5
200610127,2024,1415,1,4
200610127,2024,1048,1,5
200610127,2024,7433,1,4
200610127,2024,7782,1,4
200610127,2024,1545,1,4
200610127,2024,3187,1,4
200610127,2024,2,4,8
200610127,2024,4217,1,4
200610127,2024,6194,1,1
200610127,2024,5993,1,4
200610127,2024,12708,1,0
200610127,2024,2052,1,4
200610127,2024,3795,1,4
200610136,2022,1785,1,4
200610136,2022,7616,1,5
200610136,2023,3284,1,4
200610136,2023,2654,1,4
200610145,2022,2,5,8
200610145,2022,2020,1,4
200610145,2022,1514,1,4
200610145,2022,3768,1,4
200610145,2022,1702,1,4
200610145,2022,887,1,4
200610145,2022,6218,1,4
200610145,2022,3389,1,4
200610145,2022,11556,1,5
200610145,2022,1688,1,5
200610145,2022,1678,1,5
200610145,2022,4,1,5
200610145,2022,10338,1,5
200610145,2022,9165,1,5
200610145,2022,10359,1,5
200610145,2022,10368,1,5
200610145,2022,7682,1,5
200610145,2022,4210,1,5
200610145,2022,6380,1,5
200610145,2022,7395,1,5
200610145,2022,5,1,5
200610145,2022,4151,1,5
200610145,2022,10291,1,5
200610145,2022,4890,1,5
200610145,2022,2448,1,5
200610145,2022,4229,1,5
200610145,2022,3392,1,5
200610145,2022,13341,1,5
200610145,2022,3761,1,5
200610145,2022,4941,1,5
200610145,2022,10293,1,5
200610145,2022,10521,1,5
200610145,2022,2834,1,4
200610145,2022,2811,1,4
200610145,2022,932,1,4
200610145,2022,3847,1,4
200610145,2022,1168,1,4
200610145,2023,2,10,8
200610145,2023,2590,1,4
200610145,2023,2431,1,4
200610145,2023,1619,1,4
200610145,2023,4158,1,4
200610145,2023,8278,1,4
200610145,2023,3987,1,4
200610145,2023,4315,1,4
200610145,2023,2286,1,4
200610145,2023,7923,1,4
200610145,2023,35,1,0
200610145,2023,3207,1,4
200610145,2023,747,1,4
200610145,2023,2672,1,4
200610145,2023,5263,1,5
200610145,2023,2191,1,5
200610145,2023,6380,1,5
200610145,2023,1589,1,5
200610145,2023,6045,1,5
200610145,2023,10571,1,5
200610145,2023,6864,1,5
200610145,2023,4151,1,5
200610145,2023,10323,1,5
200610145,2023,11379,1,5
200610145,2023,1955,1,5
200610145,2023,2636,1,3
200610145,2023,6483,1,5
200610145,2023,7277,1,4
200610145,2023,4507,1,4
200610145,2023,1005,1,4
200610145,2023,1599,1,4
200610145,2024,6045,1,5
200610145,2024,10318,1,5
200610145,2024,2733,1,5
200610145,2024,6896,1,5
200610145,2024,2291,1,5
200610145,2024,2654,1,4
200610145,2024,11484,1,4
200610145,2024,1168,1,4
200610145,2024,2,3,8
200610145,2024,944,1,4
200610145,2024,5315,1,2
200610145,2024,1740,1,4
200610145,2024,3637,1,5
200610145,2024,6269,1,5
200610145,2024,7395,1,5
200610145,2024,2445,1,5
200610172,2022,695,1,4
200610172,2022,10159,1,5
200610172,2023,4573,1,0
200610172,2023,656,1,4
200610181,2022,2,5,8
200610181,2022,8464,1,4
200610181,2022,3598,1,4
200610181,2022,2747,1,4
200610181,2022,1467,1,4
200610181,2022,7255,2,4
200610181,2022,1357,1,0
200610181,2022,3420,1,2
200610181,2022,1384,1,4
200610181,2022,2608,1,4
200610181,2022,4983,1,4
200610181,2022,10352,1,5
200610181,2022,8584,1,5
200610181,2022,10278,1,5
200610181,2022,3666,1,5
200610181,2022,10286,1,5
200610181,2022,9096,1,5
200610181,2022,4168,1,5
200610181,2022,10470,1,5
200610181,2022,1869,1,5
200610181,2022,3620,1,5
200610181,2022,10571,1,5
200610181,2022,4073,1,5
200610181,2022,10323,1,5
200610181,2022,4890,1,5
200610181,2022,3787,1,1
200610181,2022,5066,1,5
200610181,2022,8401,1,1
200610181,2022,6020,1,5
200610181,2022,14383,1,5
200610181,2022,7011,1,5
200610181,2022,524,1,5
200610181,2022,1962,1,5
200610181,2022,2135,1,4
200610181,2022,1599,1,4
200610181,2022,2515,1,4
200610181,2022,7983,1,4
200610181,2022,3136,1,4
200610181,2022,3847,1,4
200610181,2022,5854,1,4
200610181,2023,1503,1,4
200610181,2023,8877,1,4
200610181,2023,2,2,8
200610181,2023,6194,1,1
200610181,2023,695,1,4
200610181,2023,3751,1,4
200610181,2023,2984,1,4
200610181,2023,3461,1,4
200610181,2023,6366,1,0
200610181,2023,3288,1,0
200610181,2023,9415,1,4
200610181,2023,1820,1,4
200610181,2023,7717,1,5
200610181,2023,1539,1,5
200610181,2023,5084,2,5
200610181,2023,10586,1,5
200610181,2023,3235,1,5
200610181,2023,10550,1,5
200610181,2023,2571,1,5
200610181,2023,996,1,3
200610181,2023,9628,1,5
200610181,2023,6682,1,3
200610181,2023,6438,1,5
200610181,2023,3761,1,5
200610181,2023,10334,1,5
200610181,2023,9197,1,5
200610181,2023,2685,1,5
200610181,2023,7782,1,4
200610181,2023,5535,1,4
200610181,2023,4725,1,4
200610181,2023,2528,1,4
200610181,2024,10024,1,4
200610181,2024,10058,1,5
200610181,2024,1591,1,5
200610181,2024,10296,1,5
200610181,2024,5978,1,4
200610199,2022,12221,1,5
200610199,2022,10318,1,5
200610199,2023,10063,1,1
200610199,2023,10321,1,5
200610206,2022,2,6,8
200610206,2022,3195,1,4
200610206,2022,1068,1,4
200610206,2022,9817,1,5
200610206,2022,536,1,0
200610206,2022,5877,1,4
200610206,2022,1529,1,4
200610206,2022,3461,1,4
200610206,2022,1613,1,4
200610206,2022,1944,1,4
200610206,2022,8733,1,5
200610206,2022,976,1,4
200610206,2022,10332,1,5
200610206,2022,5581,1,5
200610206,2022,2267,1,5
200610206,2022,6418,1,5
200610206,2022,10235,1,5
200610206,2022,4,1,5
200610206,2022,11416,1,5
200610206,2022,5439,1,5
200610206,2022,4151,1,5
200610206,2022,1850,1,5
200610206,2022,10269,1,5
200610206,2022,1605,1,1
200610206,2022,10964,1,1
200610206,2022,11475,1,5
200610206,2022,5197,1,4
200610206,2023,2,8,8
200610206,2023,1807,1,4
200610206,2023,4701,1,4
200610206,2023,9817,1,5
200610206,2023,9821,1,0
200610206,2023,13008,1,1
200610206,2023,1094,1,4
200610206,2023,2499,1,4
200610206,2023,241,1,4
200610206,2023,8733,1,5
200610206,2023,4215,1,5
200610206,2023,9964,1,5
200610206,2023,10233,1,5
200610206,2023,4102,1,5
200610206,2023,3787,1,1
200610206,2023,2760,1,5
200610206,2023,10270,1,5
200610206,2023,9123,1,5
200610206,2023,9221,1,5
200610206,2023,3214,1,5
200610206,2023,9202,1,4
200610206,2023,227,1,4
200610206,2023,2972,1,4
200610206,2023,1605,1,1
200610206,2023,4664,1,4
200610206,2024,10742,1,5
200610206,2024,982,1,4
200610206,2024,3658,1,4
200610206,2024,9964,1,5
200610206,2024,5084,1,5
200610206,2024,4028,1,5
200610206,2024,10373,1,5
200610206,2024,10368,1,5
200610206,2024,9348,1,5
200610206,2024,3522,1,5
200610206,2024,4395,1,4
200610206,2024,1589,1,5
200610206,2024,1048,1,5
200610206,2024,3151,1,4
200610206,2024,684,1,4
200610206,2024,7782,1,4
200610206,2024,1605,1,1
200610206,2024,5745,1,4
200610206,2024,5479,1,4
200610206,2024,2528,1,4
200610206,2024,2,2,8
200610206,2024,6232,1,4
200610206,2024,6194,1,1
200610206,2024,1556,1,4
200610206,2024,6055,1,0
200610206,2024,2439,1,4
200610206,2024,1838,1,4
200610233,2022,1984,1,5
200610233,2023,3722,1,4
200610233,2024,2,1,8
200610242,2022,2,2,8
200610242,2022,3195,1,4
200610242,2022,775,1,4
200610242,2022,8524,1,4
200610242,2022,1944,1,4
200610242,2022,1484,1,4
200610242,2022,7717,1,5
200610242,2022,4181,1,5
200610242,2022,10325,1,5
200610242,2022,9273,1,5
200610242,2022,10338,1,5
200610242,2022,2379,1,5
200610242,2022,3235,1,5
200610242,2022,10286,1,5
200610242,2022,9348,1,5
200610242,2022,10321,1,5
200610242,2022,2445,1,5
200610242,2022,12506,1,3
200610242,2022,3411,1,5
200610242,2022,1691,1,5
200610242,2022,5271,1,5
200610242,2022,9123,1,5
200610242,2022,9221,1,5
200610242,2022,6231,1,5
200610242,2022,3214,1,5
200610242,2022,13000,1,4
200610242,2022,11992,1,0
200610242,2022,5810,1,4
200610242,2023,2,6,8
200610242,2023,3598,1,4
200610242,2023,4217,1,4
200610242,2023,3336,1,4
200610242,2023,2242,1,4
200610242,2023,3989,1,4
200610242,2023,1972,1,0
200610242,2023,12536,1,5
200610242,2023,7321,1,5
200610242,2023,10528,1,5
200610242,2023,11009,1,1
200610242,2023,10159,1,5
200610242,2023,5177,1,5
200610242,2023,3411,1,5
200610242,2023,1920,1,5
200610242,2023,9221,1,5
200610242,2023,2654,1,4
200610242,2023,3124,1,4
200610242,2024,2,2,8
200610242,2024,8011,1,4
200610242,2024,12232,1,4
200610242,2024,8963,1,4
200610242,2024,6860,1,4
200610242,2024,3291,1,5
200610278,2022,2,5,8
200610278,2022,3195,1,4
200610278,2022,2459,1,0
200610278,2022,1700,1,0
200610278,2022,10298,2,5
200610278,2022,1068,1,4
200610278,2022,739,1,4
200610278,2022,944,1,4
200610278,2022,1476,1,5
200610278,2022,4896,1,5
200610278,2022,1111,1,1
200610278,2022,10360,1,3
200610278,2022,7772,1,5
200610278,2022,5258,1,5
200610278,2022,10285,1,5
200610278,2022,10534,1,3
200610278,2022,5259,1,3
200610278,2022,11469,1,3
200610278,2022,2621,1,5
200610278,2022,13346,1,3
200610278,2022,2623,1,3
200610278,2022,10340,1,5
200610278,2022,10965,1,5
200610278,2022,1869,1,5
200610278,2022,3392,1,5
200610278,2022,585,1,5
200610278,2022,1048,1,5
200610278,2022,587,1,5
200610278,2022,5547,2,5
200610278,2022,10270,3,5
200610278,2022,7995,1,5
200610278,2022,10301,1,5
200610278,2022,2069,1,5
200610278,2022,5847,1,5
200610278,2022,4672,1,2
200610278,2022,10296,2,5
200610278,2022,1115,1,4
200610278,2022,7128,1,4
200610278,2022,1263,1,4
200610278,2022,930,1,4
200610278,2022,566,1,4
200610278,2022,10392,1,5
200610278,2022,1989,1,4
200610278,2022,5197,1,4
200610278,2023,2,4,8
200610278,2023,5721,1,0
200610278,2023,9817,1,5
200610278,2023,6194,1,1
200610278,2023,176,1,0
200610278,2023,4525,1,4
200610278,2023,2500,1,4
200610278,2023,7240,1,2
200610278,2023,10280,2,1
200610278,2023,989,1,3
200610278,2023,10233,1,5
200610278,2023,10586,1,5
200610278,2023,10332,1,5
200610278,2023,3235,1,5
200610278,2023,11557,1,3
200610278,2023,10471,1,5
200610278,2023,2191,1,5
200610278,2023,7321,1,5
200610278,2023,9172,1,5
200610278,2023,5778,1,5
200610278,2023,6380,1,5
200610278,2023,6497,1,5
200610278,2023,3787,1,1
200610278,2023,587,2,5
200610278,2023,13577,1,1
200610278,2023,4440,1,5
200610278,2023,10270,1,5
200610278,2023,1870,1,3
200610278,2023,5507,1,5
200610278,2023,11780,1,3
200610278,2023,524,1,5
200610278,2023,7713,1,5
200610278,2023,1962,1,5
200610278,2023,2811,1,4
200610278,2023,3001,1,4
200610278,2023,1605,2,1
200610278,2023,5229,1,5
200610278,2024,2,1,8
200610278,2024,3637,1,5
200610278,2024,3728,1,5
200610278,2024,3885,1,5
200610278,2024,1749,1,5
200610296,2022,2,1,8
200610296,2023,13225,1,5
200610296,2023,6497,1,5
200610296,2024,10895,1,5
200610303,2022,2,2,8
200610303,2022,9817,1,5
200610303,2022,2372,1,4
200610303,2022,3115,1,0
200610303,2022,2512,1,4
200610303,2022,4181,1,5
200610303,2022,10442,1,5
200610303,2022,550,1,5
200610303,2022,13338,1,5
200610303,2022,1626,1,5
200610303,2022,5439,1,5
200610303,2022,5136,1,5
200610303,2022,2629,1,3
200610303,2022,3991,1,5
200610303,2022,10685,1,5
200610303,2022,3787,1,1
200610303,2022,6416,1,5
200610303,2022,7803,1,5
200610303,2022,10334,1,5
200610303,2022,7011,2,5
200610303,2022,2685,1,5
200610303,2022,3643,1,4
200610303,2023,2,1,8
200610303,2023,9817,1,5
200610303,2023,1380,1,0
200610303,2023,10082,1,4
200610303,2023,10266,1,4
200610303,2023,5786,1,5
200610303,2023,10058,1,5
200610303,2023,10233,1,5
200610303,2023,4,1,5
200610303,2023,10326,1,5
200610303,2023,10321,1,5
200610303,2023,1996,1,5
200610303,2023,10827,1,5
