yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101810098,2024,3834,1,4
101810098,2024,3966,1,4
101810098,2024,4243,1,4
101810098,2024,1793,1,4
101810098,2024,7932,1,4
101810098,2024,13174,1,4
101810098,2024,4481,1,4
101810098,2024,7159,1,4
101810098,2024,9008,1,5
101810098,2024,3865,1,5
101810098,2024,1212,1,4
101810098,2024,2214,1,4
101810098,2024,6707,1,4
101810098,2024,936,1,4
101810098,2024,1374,1,4
101810098,2024,599,1,4
101810098,2024,4156,1,4
101810098,2024,483,2,8
101810098,2024,2,4,8
101810098,2024,6836,1,4
101810098,2024,2276,1,4
101810098,2024,4560,1,0
101810098,2024,7306,1,4
101810105,2024,378,1,4
101810105,2024,1885,1,4
101810105,2024,367,1,4
101810105,2024,5612,1,4
101810105,2024,670,1,4
101810105,2024,1192,1,4
101810105,2024,6005,1,4
101810105,2024,266,1,4
101810105,2024,1626,1,5
101810105,2024,4168,1,5
101810105,2024,4487,1,4
101810105,2024,10438,1,5
101810105,2024,5331,1,4
101810105,2024,5974,1,4
101810105,2024,9703,1,4
101810105,2024,1151,1,4
101810105,2024,1375,1,4
101810105,2024,2,3,8
101810105,2024,4950,1,4
101810105,2024,4560,2,0
101810105,2024,3834,1,4
101810105,2024,418,1,4
101810105,2024,4864,1,4
101810105,2024,5276,1,4
101810132,2022,8243,1,4
101810132,2022,2,6,8
101810132,2022,6433,1,4
101810132,2022,7141,1,4
101810132,2022,7318,1,4
101810132,2022,169,1,4
101810132,2022,8012,1,0
101810132,2022,6977,1,4
101810132,2022,1163,2,4
101810132,2022,6695,1,4
101810132,2022,823,1,4
101810132,2022,3018,1,4
101810132,2022,2055,1,4
101810132,2022,7149,5,4
101810132,2022,6539,15,4
101810132,2022,4560,5,0
101810132,2022,3834,1,4
101810132,2022,3551,1,4
101810132,2022,2079,1,4
101810132,2022,948,1,4
101810132,2022,3952,1,4
101810132,2022,1709,1,4
101810132,2022,2919,2,4
101810132,2022,3538,1,4
101810132,2022,6901,1,4
101810132,2022,12335,2,4
101810132,2022,9903,1,0
101810132,2022,1383,1,4
101810132,2022,1336,1,4
101810132,2022,630,2,4
101810132,2022,5905,1,4
101810132,2022,1649,1,4
101810132,2022,3272,1,4
101810132,2022,2842,1,4
101810132,2022,8515,1,4
101810132,2022,4944,1,4
101810132,2022,5954,1,4
101810132,2022,3501,1,4
101810132,2022,1339,1,4
101810132,2022,2206,1,4
101810132,2022,6718,1,4
101810132,2022,2043,1,4
101810132,2022,6705,1,4
101810132,2022,3112,1,4
101810132,2022,5414,1,4
101810132,2022,1228,1,4
101810132,2022,5914,2,4
101810132,2022,726,1,4
101810132,2022,6435,1,4
101810132,2022,1974,1,4
101810132,2022,6273,1,4
101810132,2022,2127,1,4
101810132,2022,430,1,4
101810132,2022,1445,1,4
101810132,2022,6979,1,4
101810132,2022,7548,1,4
101810132,2022,1663,1,4
101810132,2022,1793,1,4
101810132,2022,7019,1,4
101810132,2022,8343,1,4
101810132,2022,35,15,0
101810132,2022,547,1,4
101810132,2022,2467,1,4
101810132,2022,6786,2,4
101810132,2022,2067,1,4
101810132,2022,2909,1,4
101810132,2022,11999,1,4
101810132,2022,6683,1,4
101810132,2022,6630,1,4
101810132,2022,6991,1,4
101810132,2022,8617,1,4
101810132,2022,4593,1,4
101810132,2022,3395,1,4
101810132,2022,6702,1,4
101810132,2022,5331,3,4
101810132,2022,1824,1,4
101810132,2022,2282,1,4
101810132,2022,1262,1,4
101810132,2022,3101,1,4
101810132,2022,5933,1,4
101810132,2022,11837,2,4
101810132,2022,1802,1,4
101810132,2022,4356,1,4
101810132,2022,3568,1,4
101810132,2022,374,1,4
101810132,2022,4107,1,4
101810132,2022,6866,1,4
101810132,2022,6635,1,4
101810132,2022,451,1,4
101810132,2022,7040,1,4
101810132,2022,3586,1,4
101810132,2022,2100,1,4
101810132,2022,3662,1,4
101810132,2022,13920,1,4
101810132,2022,4184,1,4
101810132,2022,571,1,4
101810132,2022,6558,1,4
101810132,2022,13921,1,4
101810132,2022,782,1,4
101810132,2022,457,1,4
101810132,2022,1642,2,4
101810132,2022,6686,1,4
101810132,2022,1349,1,4
101810132,2022,2391,1,4
101810132,2022,1289,1,4
101810132,2022,1643,1,4
101810132,2023,2,8,8
101810132,2023,4041,2,4
101810132,2023,9520,1,4
101810132,2023,4838,1,4
101810132,2023,2887,1,4
101810132,2023,6977,1,4
101810132,2023,1163,1,4
101810132,2023,7365,1,4
101810132,2023,1909,1,4
101810132,2023,2055,9,4
101810132,2023,7149,6,4
101810132,2023,6539,8,4
101810132,2023,4560,3,0
101810132,2023,3834,2,4
101810132,2023,461,1,4
101810132,2023,13487,1,4
101810132,2023,11318,1,4
101810132,2023,4017,1,4
101810132,2023,482,1,4
101810132,2023,6717,1,4
101810132,2023,644,1,4
101810132,2023,7212,1,4
101810132,2023,405,1,0
101810132,2023,6098,1,4
101810132,2023,12292,1,4
101810132,2023,6772,1,4
101810132,2023,630,2,4
101810132,2023,1359,1,4
101810132,2023,1649,1,4
101810132,2023,2418,1,4
101810132,2023,5907,1,4
101810132,2023,13556,1,4
101810132,2023,8074,1,4
101810132,2023,1339,1,4
101810132,2023,1187,1,4
101810132,2023,1278,1,4
101810132,2023,776,1,4
101810132,2023,6697,1,4
101810132,2023,6698,1,4
101810132,2023,6706,2,4
101810132,2023,3503,1,4
101810132,2023,752,1,4
101810132,2023,465,1,4
101810132,2023,5955,1,4
101810132,2023,338,1,4
101810132,2023,6320,1,4
101810132,2023,2442,1,4
101810132,2023,2109,1,4
101810132,2023,2499,1,4
101810132,2023,1482,1,4
101810132,2023,4503,1,4
101810132,2023,7548,1,4
101810132,2023,2028,1,4
101810132,2023,1841,2,4
101810132,2023,35,31,0
101810132,2023,8347,1,4
101810132,2023,13174,1,4
101810132,2023,651,1,4
101810132,2023,7588,1,4
101810132,2023,3229,1,4
101810132,2023,2132,1,4
101810132,2023,2151,2,4
101810132,2023,549,1,4
