yop_kodu,year,lise_id,yerlesen_sayisi,school_type
200910027,2022,1402,1,4
200910027,2022,5246,2,2
200910027,2022,3382,1,4
200910027,2022,6040,1,4
200910027,2022,8530,1,4
200910027,2022,11604,2,3
200910027,2022,1685,1,4
200910027,2022,11630,1,3
200910027,2022,12126,1,3
200910027,2022,6160,1,1
200910027,2022,6114,1,1
200910027,2022,5069,1,2
200910027,2022,10620,1,4
200910027,2022,2583,1,2
200910027,2022,5780,1,5
200910027,2022,5244,1,2
200910027,2023,2,1,8
200910027,2023,6476,1,4
200910027,2023,6508,2,4
200910027,2023,1402,1,4
200910027,2023,4746,1,2
200910027,2023,5245,1,4
200910027,2023,5246,1,2
200910027,2023,2552,1,0
200910027,2023,11604,1,3
200910027,2023,10493,1,3
200910027,2023,11252,1,5
200910027,2023,2632,1,3
200910027,2023,5240,2,0
200910027,2023,5227,1,4
200910027,2023,2583,1,2
200910027,2023,7299,1,4
200910027,2024,6642,1,4
200910027,2024,10664,1,3
200910027,2024,10155,1,3
200910027,2024,11630,1,3
200910027,2024,11194,1,3
200910027,2024,2583,2,2
200910027,2024,1013,1,2
200910027,2024,5244,2,2
200910027,2024,5398,1,4
200910027,2024,1402,1,4
200910027,2024,5246,1,2
200910027,2024,6027,1,4
200910027,2024,335,1,4
200910027,2024,2606,1,2
200910027,2024,839,1,2
200910027,2024,3634,2,4
200910036,2022,2,3,8
200910036,2022,2533,1,2
200910036,2022,11220,1,5
200910036,2022,2534,1,2
200910036,2022,6476,3,4
200910036,2022,12130,3,3
200910036,2022,3629,2,4
200910036,2022,2370,1,4
200910036,2022,1402,6,4
200910036,2022,946,1,2
200910036,2022,5245,2,4
200910036,2022,5246,2,2
200910036,2022,3382,3,4
200910036,2022,7181,1,4
200910036,2022,9724,1,1
200910036,2022,964,1,2
200910036,2022,5252,1,4
200910036,2022,5165,1,2
200910036,2022,2552,1,0
200910036,2022,8094,1,4
200910036,2022,8530,1,4
200910036,2022,11604,1,3
200910036,2022,11606,1,3
200910036,2022,4609,2,0
200910036,2022,2668,1,4
200910036,2022,3617,1,4
200910036,2022,3634,1,4
200910036,2022,4668,1,2
200910036,2022,4786,1,4
200910036,2022,983,1,3
200910036,2022,6430,3,1
200910036,2022,10337,1,5
200910036,2022,12887,1,3
200910036,2022,11259,1,1
200910036,2022,11196,1,1
200910036,2022,4099,1,5
200910036,2022,11527,2,3
200910036,2022,9171,1,5
200910036,2022,11187,1,3
200910036,2022,7398,1,5
200910036,2022,3677,1,5
200910036,2022,11613,1,3
200910036,2022,6168,1,5
200910036,2022,10736,1,3
200910036,2022,11194,4,3
200910036,2022,6573,1,5
200910036,2022,10781,1,5
200910036,2022,10776,2,3
200910036,2022,11191,2,1
200910036,2022,587,1,5
200910036,2022,6160,1,1
200910036,2022,5219,1,3
200910036,2022,3431,1,1
200910036,2022,1142,1,3
200910036,2022,6747,1,5
200910036,2022,6114,4,1
200910036,2022,1960,2,1
200910036,2022,11205,1,5
200910036,2022,5240,3,0
200910036,2022,2581,3,2
200910036,2022,5227,1,4
200910036,2022,2583,1,2
200910036,2022,2047,1,1
200910036,2022,10392,1,5
200910036,2022,1060,2,4
200910036,2022,5244,3,2
200910036,2023,2,3,8
200910036,2023,6476,3,4
200910036,2023,5120,1,4
200910036,2023,4374,1,4
200910036,2023,6508,4,4
200910036,2023,3629,3,4
200910036,2023,5398,1,4
200910036,2023,1402,2,4
200910036,2023,4675,2,4
200910036,2023,5245,3,4
200910036,2023,5246,3,2
200910036,2023,335,1,4
200910036,2023,11559,1,3
200910036,2023,11193,1,3
200910036,2023,3201,1,4
200910036,2023,5251,1,0
200910036,2023,5252,1,4
200910036,2023,4360,1,4
200910036,2023,2552,1,0
200910036,2023,11606,1,3
200910036,2023,6650,1,4
200910036,2023,5167,2,2
200910036,2023,3617,1,4
200910036,2023,6298,3,4
200910036,2023,4786,1,4
200910036,2023,6430,2,1
200910036,2023,11519,1,3
200910036,2023,4732,1,5
200910036,2023,4228,1,5
200910036,2023,11179,1,3
200910036,2023,6112,1,5
200910036,2023,2679,1,3
200910036,2023,11613,1,3
200910036,2023,6168,1,5
200910036,2023,11194,1,3
200910036,2023,5662,1,1
200910036,2023,12126,2,3
200910036,2023,11343,1,5
200910036,2023,4757,1,1
200910036,2023,5219,2,3
200910036,2023,11631,1,3
200910036,2023,6114,3,1
200910036,2023,5240,1,0
200910036,2023,2581,2,2
200910036,2023,1143,1,2
200910036,2023,5092,2,2
200910036,2023,5069,1,2
200910036,2023,5227,1,4
200910036,2023,5193,1,2
200910036,2023,2583,1,2
200910036,2023,3196,1,4
200910036,2023,5780,1,5
200910036,2023,4717,3,0
200910036,2023,4384,1,4
200910036,2024,6030,2,4
200910036,2024,5246,1,2
200910036,2024,3200,1,4
200910036,2024,5247,5,2
200910036,2024,3382,3,4
200910036,2024,878,1,4
200910036,2024,11193,1,3
200910036,2024,4783,1,4
200910036,2024,3405,1,4
200910036,2024,5249,1,2
200910036,2024,2,2,8
200910036,2024,7187,1,4
200910036,2024,5250,2,4
200910036,2024,4884,1,0
200910036,2024,11560,2,3
200910036,2024,11168,2,5
200910036,2024,4609,2,0
200910036,2024,5102,1,4
200910036,2024,1685,1,4
200910036,2024,1993,1,4
200910036,2024,2609,2,2
200910036,2024,6476,1,4
200910036,2024,5081,1,3
200910036,2024,2518,1,4
200910036,2024,6052,2,4
200910036,2024,5451,1,5
200910036,2024,11707,1,3
200910036,2024,1159,1,5
200910036,2024,10717,1,5
200910036,2024,11519,4,3
200910036,2024,11550,1,1
200910036,2024,12896,1,3
200910036,2024,9143,1,4
200910036,2024,4006,1,5
200910036,2024,11196,2,1
200910036,2024,3008,1,5
200910036,2024,10155,2,3
200910036,2024,11308,2,3
200910036,2024,2504,1,5
200910036,2024,6587,1,1
200910036,2024,10844,1,5
200910036,2024,11613,1,3
200910036,2024,11194,2,3
200910036,2024,7443,2,4
200910036,2024,11164,1,5
200910036,2024,11257,2,5
200910036,2024,10769,1,3
200910036,2024,1631,1,5
200910036,2024,3369,1,5
200910036,2024,4757,1,1
200910036,2024,10820,1,3
200910036,2024,2641,1,3
200910036,2024,6114,1,1
200910036,2024,1960,2,1
200910036,2024,1398,1,0
200910036,2024,5240,1,0
200910036,2024,5092,2,2
200910036,2024,11262,1,4
200910036,2024,6632,1,2
200910036,2024,5193,1,2
200910036,2024,2583,4,2
200910036,2024,11177,1,3
200910036,2024,11539,1,5
200910036,2024,8440,1,2
200910036,2024,4717,3,0
200910036,2024,5398,3,4
200910036,2024,5244,6,2
200910036,2024,3664,2,2
200910036,2024,5097,1,2
200910036,2024,1402,2,4
200910036,2024,3693,1,4
200910054,2022,2,3,8
200910054,2022,6508,1,4
200910054,2022,4675,1,4
