yop_kodu,year,lise_id,yerlesen_sayisi,school_type
101910016,2022,2700,3,4
101910016,2022,4372,1,4
101910016,2022,8243,1,4
101910016,2022,2,3,8
101910016,2022,4373,1,4
101910016,2022,5153,1,4
101910016,2022,600,1,4
101910016,2022,3356,1,4
101910016,2022,5335,1,4
101910016,2022,1555,1,4
101910016,2022,7488,1,4
101910016,2022,2082,1,4
101910016,2022,7413,1,4
101910016,2022,6445,1,4
101910016,2022,5775,1,4
101910016,2022,3988,1,0
101910016,2022,575,1,0
101910016,2022,13101,1,4
101910016,2022,2187,1,4
101910016,2022,2502,1,4
101910016,2022,4667,1,4
101910016,2022,6184,1,4
101910016,2022,8996,1,5
101910016,2022,5306,1,5
101910016,2022,11204,1,5
101910016,2022,6568,1,5
101910016,2022,9015,1,5
101910016,2022,5089,1,5
101910016,2022,5497,1,5
101910016,2022,3327,1,4
101910016,2022,7304,1,4
101910016,2022,4091,1,4
101910016,2022,59,1,4
101910016,2022,6202,1,4
101910016,2022,5691,1,4
101910016,2022,8830,1,4
101910016,2022,6353,1,4
101910016,2023,2,9,8
101910016,2023,5153,2,4
101910016,2023,7567,1,4
101910016,2023,6362,1,4
101910016,2023,6716,1,4
101910016,2023,2435,1,0
101910016,2023,3986,1,4
101910016,2023,5908,1,4
101910016,2023,5647,1,4
101910016,2023,4978,1,4
101910016,2023,5363,1,4
101910016,2023,8316,1,4
101910016,2023,2187,1,4
101910016,2023,4884,1,0
101910016,2023,11835,1,4
101910016,2023,3912,2,4
101910016,2023,4565,1,4
101910016,2023,1483,1,4
101910016,2023,35,1,0
101910016,2023,4591,1,4
101910016,2023,3324,1,3
101910016,2023,14588,1,5
101910016,2023,7206,1,5
101910016,2023,1492,1,4
101910016,2023,3171,1,4
101910016,2023,2736,1,4
101910016,2023,4183,1,4
101910016,2023,6094,1,4
101910016,2023,12237,1,4
101910016,2023,3709,1,4
101910016,2023,6486,1,4
101910016,2023,4430,1,4
101910016,2024,5334,1,4
101910016,2024,363,1,4
101910016,2024,1552,1,4
101910016,2024,4602,1,4
101910016,2024,4760,1,4
101910016,2024,4957,1,4
101910016,2024,5498,1,4
101910016,2024,3159,1,4
101910016,2024,6203,1,4
101910016,2024,1171,1,4
101910016,2024,2,6,8
101910016,2024,6234,1,4
101910016,2024,4721,1,4
101910016,2024,3382,1,4
101910016,2024,4176,1,4
101910016,2024,1295,1,4
101910016,2024,3594,1,2
101910016,2024,764,1,4
101910016,2024,3908,1,4
101910016,2024,492,1,4
101910016,2024,4799,2,4
101910016,2024,1907,1,4
101910016,2024,3226,1,4
101910016,2024,4800,1,4
101910016,2024,1094,1,4
101910016,2024,5339,1,4
101910016,2024,3444,1,4
101910016,2024,4422,1,4
101910016,2024,5449,1,4
101910016,2024,2611,1,4
101910016,2024,2265,1,4
101910016,2024,4756,1,4
101910016,2024,1573,1,4
101910016,2024,3682,1,5
101910016,2024,11498,1,5
101910016,2024,4897,1,5
101910016,2024,5213,1,5
101910016,2024,7290,1,5
101910016,2024,1595,1,4
101910016,2024,5510,1,4
101910016,2024,2736,1,4
101910016,2024,4337,1,4
101910016,2024,7683,1,4
101910016,2024,6233,1,4
101910016,2024,6760,2,4
101910016,2024,1287,1,4
101910016,2024,13473,1,4
101910016,2024,5511,1,4
101910016,2024,3057,1,4
101910016,2024,2106,1,4
101910016,2024,9871,1,4
101910016,2024,739,1,4
101910016,2024,943,2,4
101910016,2024,4701,1,4
101910025,2022,2700,1,4
101910025,2022,2,1,8
101910025,2022,3379,1,4
101910025,2022,3315,1,4
101910025,2022,4760,1,4
101910025,2022,9893,1,4
101910025,2022,5791,1,4
101910025,2022,5901,1,4
101910025,2022,8026,1,4
101910025,2022,4680,1,4
101910025,2022,1561,1,4
101910025,2022,3861,1,4
101910025,2022,2243,1,4
101910025,2022,5610,1,4
101910025,2022,3112,1,4
101910025,2022,11018,1,4
101910025,2022,791,1,4
101910025,2022,4612,1,4
101910025,2022,6688,1,4
101910025,2022,6185,1,4
101910025,2022,2611,1,4
101910025,2022,4591,1,4
101910025,2022,9155,2,4
101910025,2022,8138,1,4
101910025,2022,4803,1,5
101910025,2022,3902,1,5
101910025,2022,5543,1,5
101910025,2022,6224,1,5
101910025,2022,10753,1,5
101910025,2022,13318,1,5
101910025,2022,6567,1,5
101910025,2022,4936,1,5
101910025,2022,4661,1,5
101910025,2022,3171,1,4
101910025,2022,7693,1,4
101910025,2022,7979,1,4
101910025,2022,4138,1,4
101910025,2022,4724,1,4
101910025,2022,3802,1,4
101910025,2022,4430,1,4
101910025,2023,2,9,8
101910025,2023,7813,1,4
101910025,2023,4374,1,4
101910025,2023,4763,1,4
101910025,2023,739,1,4
101910025,2023,3476,1,4
101910025,2023,4547,1,4
101910025,2023,4760,1,4
101910025,2023,7094,1,4
101910025,2023,5791,1,4
101910025,2023,5431,1,4
101910025,2023,5775,1,4
101910025,2023,1562,1,4
101910025,2023,575,1,0
101910025,2023,26,1,4
101910025,2023,5101,1,4
101910025,2023,5814,1,4
101910025,2023,6578,1,4
101910025,2023,897,1,4
101910025,2023,4706,1,4
101910025,2023,5527,1,5
101910025,2023,10882,1,5
101910025,2023,8996,1,5
101910025,2023,4650,1,5
101910025,2023,11689,1,5
