yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102010022,2024,2710,1,4
102010022,2024,1197,1,4
102010022,2024,199,1,4
102010022,2024,5627,1,4
102010022,2024,3326,1,5
102010022,2024,10913,1,4
102010022,2024,7467,1,4
102010022,2024,760,1,4
102010022,2024,11091,1,4
102010022,2024,7390,1,4
102010022,2024,5384,1,4
102010022,2024,1682,1,4
102010022,2024,1374,1,4
102010022,2024,2,2,8
102010022,2024,624,1,0
102010022,2024,70,2,4
102010022,2024,9330,1,4
102010022,2024,537,1,4
102010022,2024,22,1,4
102010022,2024,11141,1,4
102010067,2022,2142,1,4
102010067,2022,602,1,4
102010067,2022,2,9,8
102010067,2022,7892,1,4
102010067,2022,3984,2,4
102010067,2022,658,1,4
102010067,2022,192,1,4
102010067,2022,416,1,4
102010067,2022,8265,1,4
102010067,2022,9330,1,4
102010067,2022,3438,1,4
102010067,2022,77,1,4
102010067,2022,662,1,4
102010067,2022,219,1,4
102010067,2022,1090,1,4
102010067,2022,573,1,4
102010067,2022,485,1,0
102010067,2022,422,1,4
102010067,2022,7560,1,4
102010067,2022,540,1,4
102010067,2022,486,1,4
102010067,2022,4586,1,4
102010067,2022,7414,1,4
102010067,2022,7092,1,4
102010067,2022,7514,1,4
102010067,2022,1477,1,4
102010067,2022,368,1,4
102010067,2022,8327,1,4
102010067,2022,1890,1,4
102010067,2022,7540,2,4
102010067,2022,28,1,4
102010067,2022,181,1,4
102010067,2022,7481,1,4
102010067,2022,7711,1,4
102010067,2022,2710,1,4
102010067,2022,35,1,0
102010067,2022,746,1,4
102010067,2022,4192,1,4
102010067,2022,9769,1,4
102010067,2022,3100,3,4
102010067,2022,6958,1,4
102010067,2022,7177,1,4
102010067,2022,8805,1,4
102010067,2022,7390,1,4
102010067,2022,6735,1,4
102010067,2022,7020,1,4
102010067,2022,455,1,4
102010067,2022,355,1,4
102010067,2022,250,1,4
102010067,2022,410,1,4
102010067,2023,816,1,4
102010067,2023,602,1,4
102010067,2023,2,7,8
102010067,2023,1505,1,4
102010067,2023,70,1,4
102010067,2023,534,1,4
102010067,2023,5386,2,4
102010067,2023,3438,3,4
102010067,2023,8276,1,4
102010067,2023,172,1,4
102010067,2023,6772,1,4
102010067,2023,486,2,4
102010067,2023,1173,1,4
102010067,2023,4068,1,4
102010067,2023,4033,1,4
102010067,2023,632,1,4
102010067,2023,306,1,4
102010067,2023,9927,1,4
102010067,2023,1228,1,4
102010067,2023,1890,1,4
102010067,2023,7481,1,4
102010067,2023,1195,1,4
102010067,2023,2757,1,4
102010067,2023,1231,1,4
102010067,2023,437,1,4
102010067,2023,829,1,4
102010067,2023,35,3,0
102010067,2023,11030,1,4
102010067,2023,1433,1,4
102010067,2023,12437,2,1
102010067,2023,7506,1,1
102010067,2023,3100,1,4
102010067,2023,6958,1,4
102010067,2023,321,1,4
102010067,2023,7177,1,4
102010067,2023,346,1,4
102010067,2023,7406,1,4
102010067,2023,683,1,4
102010067,2023,4213,1,4
102010067,2023,7390,2,4
102010067,2023,2386,1,4
102010067,2023,109,1,4
102010067,2023,805,1,4
102010067,2023,528,1,4
102010067,2023,1374,1,4
102010067,2023,190,1,4
102010067,2023,783,2,4
102010067,2023,2042,2,4
102010067,2024,485,1,0
102010067,2024,7152,1,4
102010067,2024,1360,1,4
102010067,2024,1228,1,4
102010067,2024,8317,1,4
102010067,2024,368,1,4
102010067,2024,180,1,4
102010067,2024,11029,1,4
102010067,2024,7572,1,4
102010067,2024,1231,1,4
102010067,2024,602,1,4
102010067,2024,35,3,0
102010067,2024,12946,1,4
102010067,2024,7584,1,5
102010067,2024,2291,2,5
102010067,2024,6958,1,4
102010067,2024,4213,1,4
102010067,2024,769,1,4
102010067,2024,227,1,4
102010067,2024,12583,1,4
102010067,2024,2,3,8
102010067,2024,12226,1,4
102010067,2024,5386,1,4
102010067,2024,9330,1,4
102010067,2024,3438,1,4
102010067,2024,4729,1,4
102010067,2024,5035,1,4
102010094,2022,2142,1,4
102010094,2022,602,1,4
102010094,2022,7335,2,4
102010094,2022,2,2,8
102010094,2022,70,1,4
102010094,2022,3984,2,4
102010094,2022,9330,3,4
102010094,2022,3438,3,4
102010094,2022,1183,1,4
102010094,2022,9459,1,4
102010094,2022,304,1,4
102010094,2022,1152,1,4
102010094,2022,3188,1,4
102010094,2022,14507,2,4
102010094,2022,883,1,4
102010094,2022,9600,1,4
102010094,2022,4916,1,4
102010094,2022,5918,1,4
102010094,2022,1482,1,4
102010094,2022,6878,1,4
102010094,2022,7481,1,4
102010094,2022,2710,1,4
102010094,2022,4821,1,4
102010094,2022,255,1,4
102010094,2022,1929,1,4
102010094,2022,443,1,4
102010094,2022,186,1,4
102010094,2022,3726,1,5
102010094,2022,5966,1,5
102010094,2022,5927,1,4
102010094,2022,49,1,4
102010094,2022,2897,1,4
102010094,2022,12251,1,4
102010094,2022,1594,2,4
102010094,2022,3100,3,4
102010094,2022,1493,1,4
102010094,2022,8624,1,4
102010094,2022,4281,1,4
102010094,2022,14127,1,4
102010094,2022,323,1,4
102010094,2022,3101,1,4
102010094,2022,3721,1,4
102010094,2022,2838,1,4
102010094,2022,1657,1,4
102010094,2022,7390,1,4
102010094,2022,3973,1,4
102010094,2022,1207,1,4
102010094,2022,5940,1,4
102010094,2022,355,1,4
102010094,2022,62,1,4
102010094,2022,2042,1,4
102010094,2023,693,1,4
102010094,2023,2,4,8
102010094,2023,12226,1,4
102010094,2023,459,1,4
102010094,2023,9721,1,4
102010094,2023,2460,1,4
102010094,2023,3984,1,4
102010094,2023,192,1,4
102010094,2023,1909,1,4
102010094,2023,415,1,4
102010094,2023,113,1,4
102010094,2023,626,1,4
102010094,2023,3438,4,4
102010094,2023,17,1,4
102010094,2023,331,1,4
102010094,2023,81,1,4
102010094,2023,178,1,4
102010094,2023,7319,1,0
102010094,2023,6082,1,4
102010094,2023,11130,1,4
102010094,2023,1890,1,4
102010094,2023,181,1,4
102010094,2023,7544,2,4
102010094,2023,7073,1,4
102010094,2023,1482,1,4
102010094,2023,7481,1,4
102010094,2023,2710,1,4
102010094,2023,1231,1,4
102010094,2023,3876,1,4
102010094,2023,199,1,4
102010094,2023,3807,1,4
102010094,2023,1929,2,4
102010094,2023,105,1,4
102010094,2023,6930,1,4
102010094,2023,521,1,4
102010094,2023,5808,1,5
102010094,2023,5028,1,5
102010094,2023,1237,1,5
102010094,2023,7971,1,4
102010094,2023,2836,1,4
102010094,2023,638,1,4
102010094,2023,7333,1,4
102010094,2023,1542,1,4
102010094,2023,2137,1,4
102010094,2023,3962,1,4
102010094,2023,760,1,4
102010094,2023,4213,1,4
102010094,2023,1264,1,4
102010094,2023,3180,1,4
102010094,2023,2194,2,4
102010094,2023,618,1,4
102010094,2023,7130,1,4
102010094,2023,571,1,4
102010094,2023,6558,1,4
102010094,2023,356,1,4
102010094,2024,573,1,4
102010094,2024,776,1,4
102010094,2024,3908,1,4
102010094,2024,1229,1,4
102010094,2024,4576,1,4
102010094,2024,8112,1,4
102010094,2024,1577,1,4
102010094,2024,3117,1,4
102010094,2024,5869,1,4
102010094,2024,4566,1,4
102010094,2024,602,1,4
102010094,2024,10704,1,5
102010094,2024,3100,2,4
102010094,2024,8409,1,4
102010094,2024,97,1,4
102010094,2024,1802,1,4
102010094,2024,151,1,4
102010094,2024,4213,1,4
102010094,2024,9845,1,4
102010094,2024,3691,1,4
102010094,2024,6558,1,4
102010094,2024,641,1,4
102010094,2024,6323,1,4
102010094,2024,483,1,8
102010094,2024,2,3,8
102010094,2024,7141,1,4
102010094,2024,3984,1,4
102010094,2024,139,1,4
102010094,2024,3438,1,4
102010119,2022,5715,1,4
102010119,2022,693,1,4
102010119,2022,2,2,8
102010119,2022,3984,1,4
102010119,2022,1647,1,4
102010119,2022,261,1,4
102010119,2022,643,1,4
102010119,2022,3438,1,4
102010119,2022,869,1,4
102010119,2022,173,1,4
102010119,2022,79,1,4
102010119,2022,827,1,4
102010119,2022,1890,1,4
102010119,2022,181,1,4
102010119,2022,2710,1,4
102010119,2022,517,1,4
102010119,2022,106,1,5
102010119,2022,7135,1,5
102010119,2022,6439,1,5
102010119,2022,152,1,4
102010119,2023,693,1,4
102010119,2023,2,1,8
102010119,2023,3984,1,4
102010119,2023,3138,1,4
102010119,2023,5386,1,4
102010119,2023,76,1,4
102010119,2023,3438,1,4
102010119,2023,537,1,4
102010119,2023,1126,1,4
102010119,2023,3441,1,4
102010119,2023,3141,1,4
102010119,2023,6611,1,4
102010119,2023,1814,1,4
102010119,2023,7540,1,4
102010119,2023,3609,1,2
102010119,2023,7572,1,4
102010119,2023,2757,1,4
102010119,2023,3824,2,4
102010119,2023,6285,1,5
102010119,2023,850,1,4
102010119,2023,150,1,4
102010119,2024,12074,1,4
102010119,2024,1890,1,4
102010119,2024,1131,1,4
102010119,2024,86,1,4
102010119,2024,2710,1,4
102010119,2024,1537,1,4
102010119,2024,442,1,4
102010119,2024,10832,1,5
102010119,2024,998,1,4
102010119,2024,1642,1,4
102010119,2024,5715,1,4
102010119,2024,1016,1,4
102010119,2024,2,3,8
102010119,2024,119,1,4
102010119,2024,863,1,4
102010119,2024,5386,1,4
102010119,2024,3438,1,4
102010119,2024,4397,1,0
102010119,2024,237,1,2
102010128,2022,2917,1,4
102010128,2022,2,5,8
102010128,2022,12226,1,4
102010128,2022,7811,1,4
102010128,2022,3157,1,4
102010128,2022,3984,1,4
102010128,2022,11093,1,4
102010128,2022,1330,1,4
102010128,2022,5386,2,4
102010128,2022,626,1,4
102010128,2022,3438,4,4
102010128,2022,2079,1,4
102010128,2022,8696,1,4
102010128,2022,485,1,0
102010128,2022,8301,1,4
102010128,2022,277,1,4
102010128,2022,9925,1,4
102010128,2022,2059,1,4
102010128,2022,1229,1,4
102010128,2022,368,1,4
