yop_kodu,year,lise_id,yerlesen_sayisi,school_type
109710012,2022,6253,1,4
109710012,2022,2979,1,4
109710012,2022,2,5,8
109710012,2022,1507,1,4
109710012,2022,16,1,0
109710012,2022,865,1,4
109710012,2022,509,1,4
109710012,2022,2540,1,4
109710012,2022,3613,1,4
109710012,2022,4957,1,4
109710012,2022,3159,2,4
109710012,2022,4494,1,4
109710012,2022,3630,2,4
109710012,2022,4124,1,4
109710012,2022,1710,1,4
109710012,2022,2754,1,4
109710012,2022,4418,1,4
109710012,2022,4608,1,4
109710012,2022,647,1,4
109710012,2022,5664,1,4
109710012,2022,5282,1,4
109710012,2022,5101,1,4
109710012,2022,1532,1,0
109710012,2022,3319,1,4
109710012,2022,12578,1,3
109710012,2022,1481,1,4
109710012,2022,4647,1,4
109710012,2022,35,1,0
109710012,2022,1431,1,0
109710012,2022,3389,1,4
109710012,2022,4588,1,4
109710012,2022,548,1,4
109710012,2022,1745,1,4
109710012,2022,5296,1,4
109710012,2022,5739,1,4
109710012,2022,12579,1,1
109710012,2022,5438,1,5
109710012,2022,5543,1,5
109710012,2022,4393,1,5
109710012,2022,5237,1,3
109710012,2022,5474,1,5
109710012,2022,9129,1,1
109710012,2022,1005,1,4
109710012,2022,1206,1,4
109710012,2022,3218,1,4
109710012,2022,3399,1,4
109710012,2023,1291,1,4
109710012,2023,2979,1,4
109710012,2023,2,19,8
109710012,2023,5049,1,2
109710012,2023,10075,1,4
109710012,2023,5003,1,4
109710012,2023,575,1,0
109710012,2023,1713,1,4
109710012,2023,3797,1,4
109710012,2023,4528,1,4
109710012,2023,5664,1,4
109710012,2023,2606,1,2
109710012,2023,4767,1,4
109710012,2023,4846,1,4
109710012,2023,35,1,0
109710012,2023,3704,1,4
109710012,2023,4822,1,4
109710012,2023,1585,1,4
109710012,2023,4591,1,4
109710012,2023,902,1,4
109710012,2023,4329,1,5
109710012,2023,10716,1,5
109710012,2023,11574,1,3
109710012,2023,635,1,1
109710012,2023,5474,1,5
109710012,2023,3660,1,4
109710012,2023,4282,1,4
109710012,2023,1989,1,4
109710012,2023,1548,1,4
109710012,2023,3218,1,4
109710012,2023,6281,1,0
109710012,2023,4444,1,4
109710012,2023,4463,2,4
109710012,2024,4863,1,0
109710012,2024,865,1,4
109710012,2024,3308,1,4
109710012,2024,2540,2,4
109710012,2024,4397,1,0
109710012,2024,3159,1,4
109710012,2024,3630,1,4
109710012,2024,4313,1,4
109710012,2024,6462,1,4
109710012,2024,1635,1,4
109710012,2024,2979,2,4
109710012,2024,4402,1,4
109710012,2024,1710,2,4
109710012,2024,3318,1,4
109710012,2024,1444,1,4
109710012,2024,3710,1,4
109710012,2024,4666,1,4
109710012,2024,3066,1,0
109710012,2024,4846,1,4
109710012,2024,4423,1,4
109710012,2024,407,1,4
109710012,2024,3268,1,4
109710012,2024,4588,1,4
109710012,2024,10232,1,4
109710012,2024,4669,1,5
109710012,2024,4898,1,5
109710012,2024,5212,1,5
109710012,2024,4829,1,1
109710012,2024,107,1,4
109710012,2024,1599,1,4
109710012,2024,1801,1,4
109710012,2024,3918,1,4
109710012,2024,2,9,8
109710012,2024,397,1,4
109710012,2024,2272,1,4
109710012,2024,6923,1,4
109710012,2024,4490,1,2
109710012,2024,4511,1,4
109710012,2024,376,1,4
109710012,2024,4546,1,4
109710012,2024,3379,1,4
109710021,2022,3268,1,4
109710021,2022,3104,1,4
109710021,2022,5376,1,4
109710021,2022,2435,1,0
109710021,2022,1855,1,4
109710021,2022,725,1,4
109710021,2022,4072,1,4
109710021,2022,548,1,4
109710021,2022,988,1,5
109710021,2022,1042,1,5
109710021,2022,6153,1,5
109710021,2022,3283,1,5
109710021,2023,2,7,8
109710021,2023,3401,1,2
109710021,2023,1070,1,4
109710021,2023,2792,1,4
109710021,2023,511,1,4
109710021,2023,6278,1,4
109710021,2023,880,1,4
109710021,2023,1889,1,4
109710021,2023,2108,1,4
109710021,2023,2988,1,4
109710021,2023,902,1,4
109710021,2023,10854,1,5
109710021,2023,12120,1,5
109710021,2023,316,1,5
109710021,2023,4393,1,5
109710021,2023,5684,1,5
109710021,2023,5237,1,3
109710021,2023,2505,1,4
109710021,2023,2098,1,4
109710021,2023,3295,1,4
109710021,2023,3013,1,4
109710021,2023,5310,1,4
109710021,2023,595,1,4
109710021,2023,7459,1,4
109710021,2023,1991,1,4
109710021,2024,4418,2,4
109710021,2024,4315,1,4
109710021,2024,5485,1,4
109710021,2024,100,1,4
109710021,2024,4964,1,4
109710021,2024,4275,1,4
109710021,2024,5560,1,4
109710021,2024,3227,1,4
109710021,2024,3228,1,4
109710021,2024,6006,1,4
109710021,2024,2,1,8
109710021,2024,902,1,4
109710021,2024,8996,1,5
109710021,2024,5214,1,3
109710021,2024,6527,1,5
109710021,2024,4901,1,4
109710021,2024,3170,1,4
109710021,2024,5017,1,4
109710021,2024,4106,1,4
109710021,2024,4394,1,4
109710021,2024,3153,1,4
109710021,2024,5153,1,4
109710021,2024,4031,1,4
109710021,2024,3847,1,4
109710021,2024,2172,1,4
109710021,2024,5021,1,4
109710021,2024,6228,1,4
109710021,2024,509,1,4
109710021,2024,3769,1,4
109710021,2024,5794,1,4
109710048,2022,2979,2,4
109710048,2022,856,1,4
109710048,2022,2,2,8
109710048,2022,3256,1,0
109710048,2022,2980,1,4
109710048,2022,1907,2,4
109710048,2022,8462,1,4
109710048,2022,3436,1,4
109710048,2022,3476,1,4
109710048,2022,2539,1,2
109710048,2022,4728,1,4
109710048,2022,7622,1,4
109710048,2022,1518,1,4
109710048,2022,5376,2,4
109710048,2022,2540,1,4
109710048,2022,1638,1,4
109710048,2022,8030,1,4
109710048,2022,3630,1,4
109710048,2022,1106,1,4
109710048,2022,3039,1,0
109710048,2022,4420,1,4
109710048,2022,9460,1,2
109710048,2022,4608,1,4
109710048,2022,2858,1,4
109710048,2022,4455,1,4
109710048,2022,4800,1,4
109710048,2022,310,1,4
109710048,2022,5106,1,0
109710048,2022,2468,1,4
109710048,2022,2822,1,4
109710048,2022,1743,1,4
109710048,2022,1745,2,4
109710048,2022,1585,1,4
109710048,2022,4324,1,4
109710048,2022,4203,1,3
109710048,2022,12580,1,3
109710048,2022,4901,1,4
109710048,2022,4282,1,4
109710048,2022,639,1,4
109710048,2022,5712,1,4
109710048,2022,4309,1,2
109710048,2022,6866,1,4
109710048,2022,3920,1,4
109710048,2022,1287,1,4
109710048,2022,5781,1,4
109710048,2022,4598,1,0
109710048,2022,2163,1,4
109710048,2023,6662,1,4
109710048,2023,2,8,8
109710048,2023,5943,1,4
109710048,2023,5073,1,4
109710048,2023,533,1,4
109710048,2023,1329,1,4
109710048,2023,1512,1,4
109710048,2023,4249,1,4
109710048,2023,5160,3,4
109710048,2023,5075,1,4
109710048,2023,4269,1,4
109710048,2023,1559,1,4
109710048,2023,5348,1,4
109710048,2023,6234,1,4
109710048,2023,2753,1,4
109710048,2023,853,1,0
109710048,2023,3615,1,4
109710048,2023,4528,1,4
109710048,2023,1971,1,4
109710048,2023,4317,1,4
109710048,2023,4275,1,4
109710048,2023,4388,1,4
109710048,2023,4362,1,4
109710048,2023,976,1,4
109710048,2023,548,1,4
109710048,2023,1745,2,4
109710048,2023,1200,1,4
109710048,2023,4409,1,5
109710048,2023,6734,1,5
109710048,2023,2112,1,3
109710048,2023,9621,1,5
109710048,2023,2382,1,4
109710048,2023,4263,1,4
109710048,2023,4461,1,4
109710048,2023,590,1,4
109710048,2023,3013,1,4
109710048,2023,4031,1,4
109710048,2023,3453,1,2
109710048,2023,4444,1,4
109710048,2023,4544,1,4
109710048,2023,4992,1,4
109710048,2023,327,1,4
109710048,2024,1758,1,4
109710048,2024,1743,1,4
109710048,2024,902,2,4
109710048,2024,2621,1,5
109710048,2024,6286,1,5
109710048,2024,777,1,5
109710048,2024,5226,1,3
109710048,2024,7211,1,5
109710048,2024,4555,1,5
109710048,2024,3399,1,4
109710048,2024,2,1,8
109710048,2024,5407,1,4
109710048,2024,2600,1,2
109710048,2024,1518,2,4
109710048,2024,865,1,4
109710048,2024,4397,2,0
109710048,2024,3613,1,4
109710048,2024,4418,1,4
109710057,2022,5836,1,4
109710057,2022,4372,1,4
109710057,2022,2,6,8
109710057,2022,5049,2,2
109710057,2022,4974,1,4
109710057,2022,5376,2,4
109710057,2022,3309,1,4
109710057,2022,5675,1,4
109710057,2022,813,1,4
109710057,2022,463,1,4
109710057,2022,9724,1,1
109710057,2022,2261,1,4
109710057,2022,3710,1,4
109710057,2022,1639,1,4
109710057,2022,12186,1,4
109710057,2022,1227,1,4
109710057,2022,3797,1,4
109710057,2022,2691,1,4
109710057,2022,1077,1,4
