yop_kodu,year,lise_id,yerlesen_sayisi,school_type
201110023,2022,2,4,8
201110023,2022,1216,1,4
201110023,2022,2801,1,4
201110023,2022,1575,1,4
201110023,2022,2824,1,4
201110023,2023,8877,1,4
201110023,2023,2,3,8
201110023,2023,262,1,4
201110023,2023,3225,1,4
201110023,2023,4349,1,4
201110023,2023,3389,1,4
201110023,2023,11618,1,5
201110023,2024,2,2,8
201110023,2024,536,1,0
201110023,2024,5359,1,4
201110023,2024,2989,1,4
201110023,2024,2716,1,4
201110023,2024,833,1,4
201110023,2024,397,1,4
201110086,2022,2,1,8
201110086,2022,536,1,0
201110086,2022,837,1,2
201110086,2022,5248,1,2
201110086,2022,2770,1,4
201110086,2022,4755,1,2
201110086,2022,957,1,4
201110086,2022,838,1,4
201110086,2022,5165,1,2
201110086,2022,6677,1,0
201110086,2022,3115,1,0
201110086,2022,2727,1,4
201110086,2022,179,1,4
201110086,2022,979,1,4
201110086,2022,6655,1,5
201110086,2022,10269,1,5
201110086,2022,4134,1,5
201110086,2022,10322,1,5
201110086,2022,3211,1,5
201110086,2022,5925,1,5
201110086,2022,7995,1,5
201110086,2022,9219,1,5
201110086,2022,10452,1,5
201110086,2022,3789,1,4
201110086,2022,8634,1,4
201110086,2022,6648,1,4
201110086,2022,566,1,4
201110086,2023,2,1,8
201110086,2023,3403,1,4
201110086,2023,1017,1,4
201110086,2023,4583,1,4
201110086,2023,2435,1,0
201110086,2023,1864,1,4
201110086,2023,1702,1,4
201110086,2023,3502,1,4
201110086,2023,4870,1,0
201110086,2023,7447,1,4
201110086,2023,4801,1,2
201110086,2023,1034,1,4
201110086,2023,3824,1,4
201110086,2023,2467,1,4
201110086,2023,3728,1,5
201110086,2023,10272,1,5
201110086,2023,3707,1,5
201110086,2023,2444,1,1
201110086,2023,4734,1,5
201110086,2023,10704,1,5
201110086,2023,7011,1,5
201110086,2023,2834,1,4
201110086,2023,2582,1,2
201110086,2023,9138,1,4
201110086,2023,938,1,4
201110086,2024,3637,1,5
201110086,2024,7431,1,5
201110086,2024,12204,1,5
201110086,2024,6380,1,5
201110086,2024,7395,1,5
201110086,2024,9680,1,5
201110086,2024,10419,1,5
201110086,2024,4102,1,5
201110086,2024,587,1,5
201110086,2024,4393,1,5
201110086,2024,2,5,8
201110086,2024,3347,1,5
201110086,2024,6292,1,5
201110086,2024,7011,1,5
201110086,2024,4639,1,4
201110086,2024,932,1,4
201110086,2024,6748,1,4
201110086,2024,1700,1,0
201110086,2024,1068,1,4
201110086,2024,11306,1,0
201110086,2024,6677,1,0
201110086,2024,6577,1,0
201110086,2024,4179,1,4
201110102,2022,2,1,8
201110102,2022,1633,1,4
201110102,2022,520,1,4
201110102,2022,10233,1,5
201110102,2022,2645,1,3
201110102,2022,9219,1,5
201110102,2022,7011,1,5
201110102,2022,2685,1,5
201110102,2022,2099,1,4
201110102,2022,5591,1,0
201110102,2022,1502,1,0
201110102,2023,2,5,8
201110102,2023,4399,1,4
201110102,2023,1320,1,0
201110102,2023,2377,1,4
201110102,2023,6148,1,5
201110102,2023,1920,1,5
201110102,2023,5152,1,5
201110102,2023,3931,1,4
201110102,2023,1696,1,4
201110102,2024,2,3,8
201110102,2024,4451,1,4
201110102,2024,5278,1,4
201110102,2024,882,1,4
201110102,2024,10721,1,5
201110102,2024,731,1,2
