yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102810023,2022,2,4,8
102810023,2022,9234,1,4
102810023,2022,866,1,4
102810023,2022,2050,1,4
102810023,2022,5716,1,4
102810023,2022,3987,1,4
102810023,2022,7830,1,4
102810023,2022,7152,1,4
102810023,2022,4765,1,4
102810023,2022,1639,1,4
102810023,2022,7453,1,4
102810023,2022,5324,1,4
102810023,2022,6185,1,4
102810023,2022,8134,1,0
102810023,2022,14394,1,1
102810023,2022,3610,1,5
102810023,2022,11577,1,5
102810023,2022,1598,1,4
102810023,2022,3792,1,4
102810023,2022,2255,1,4
102810023,2022,9317,1,4
102810023,2022,325,1,4
102810023,2022,190,1,4
102810023,2023,2,8,8
102810023,2023,6227,1,4
102810023,2023,3438,1,4
102810023,2023,4957,1,4
102810023,2023,8033,1,4
102810023,2023,7434,1,0
102810023,2023,5716,2,4
102810023,2023,4419,1,4
102810023,2023,2937,1,4
102810023,2023,6264,1,4
102810023,2023,4002,1,4
102810023,2023,407,1,4
102810023,2023,5449,1,4
102810023,2023,162,1,4
102810023,2023,13431,1,0
102810023,2023,5786,1,5
102810023,2023,5418,1,5
102810023,2023,9471,1,5
102810023,2023,5259,1,3
102810023,2023,5505,1,5
102810023,2023,11406,1,5
102810023,2023,5473,1,5
102810023,2023,5847,1,5
102810023,2023,736,1,4
102810023,2024,1553,1,2
102810023,2024,1088,1,4
102810023,2024,7434,1,0
102810023,2024,9524,1,4
102810023,2024,2372,1,4
102810023,2024,3751,1,4
102810023,2024,2261,1,4
102810023,2024,7170,1,4
102810023,2024,5956,1,4
102810023,2024,2937,1,4
102810023,2024,2885,1,4
102810023,2024,968,1,4
102810023,2024,2499,1,4
102810023,2024,615,1,4
102810023,2024,3206,1,4
102810023,2024,4917,1,4
102810023,2024,8134,2,0
102810023,2024,6325,1,5
102810023,2024,13349,1,3
102810023,2024,11356,1,5
102810023,2024,11314,1,3
102810023,2024,2,5,8
102810023,2024,5063,1,5
102810023,2024,3808,1,5
102810023,2024,8159,1,5
102810023,2024,11577,1,5
102810023,2024,701,1,5
102810023,2024,2291,1,5
102810023,2024,3855,1,5
102810023,2024,3917,2,4
102810023,2024,4411,1,4
102810023,2024,4367,1,4
102810023,2024,6433,1,4
102810023,2024,1598,1,4
102810023,2024,11819,1,4
102810023,2024,9049,1,4
102810023,2024,2716,1,4
102810023,2024,2387,1,4
102810023,2024,2972,1,4
102810023,2024,4636,1,4
102810023,2024,4852,1,4
102810023,2024,12345,1,4
102810023,2024,5876,1,4
102810023,2024,1776,1,4
102810023,2024,8023,1,4
102810023,2024,9331,1,4
102810032,2022,2431,1,4
