yop_kodu,year,lise_id,yerlesen_sayisi,school_type
102910013,2022,505,1,2
102910013,2022,641,1,4
102910013,2022,2,9,8
102910013,2022,857,1,4
102910013,2022,2589,1,4
102910013,2022,1400,1,4
102910013,2022,1354,1,0
102910013,2022,6282,1,3
102910013,2022,140,1,2
102910013,2022,6023,1,2
102910013,2022,6649,4,4
102910013,2022,1021,1,2
102910013,2022,873,1,2
102910013,2022,1022,1,2
102910013,2022,1834,1,0
102910013,2022,11393,1,2
102910013,2022,878,1,4
102910013,2022,1566,1,4
102910013,2022,3441,1,4
102910013,2022,2206,1,4
102910013,2022,963,1,4
102910013,2022,964,2,2
102910013,2022,2604,1,4
102910013,2022,838,1,4
102910013,2022,3442,2,4
102910013,2022,846,1,2
102910013,2022,1129,1,4
102910013,2022,2550,2,2
102910013,2022,965,3,4
102910013,2022,966,2,4
102910013,2022,1478,1,4
102910013,2022,577,1,2
102910013,2022,885,1,2
102910013,2022,839,1,2
102910013,2022,892,1,2
102910013,2022,3485,1,4
102910013,2022,893,1,4
102910013,2022,2309,1,4
102910013,2022,700,1,2
102910013,2022,1874,1,4
102910013,2022,520,1,4
102910013,2022,1614,1,4
102910013,2022,2616,1,4
102910013,2022,3635,1,5
102910013,2022,3872,1,1
102910013,2022,984,1,1
102910013,2022,2775,1,3
102910013,2022,2959,1,3
102910013,2022,6468,1,5
102910013,2022,9099,1,5
102910013,2022,11935,1,3
102910013,2022,10300,1,3
102910013,2022,10819,1,5
102910013,2022,6824,1,3
102910013,2022,12475,1,5
102910013,2022,909,1,3
102910013,2022,585,1,5
102910013,2022,2636,1,3
102910013,2022,10786,1,3
102910013,2022,4352,1,5
102910013,2022,2644,1,5
102910013,2022,6293,1,3
102910013,2022,560,4,4
102910013,2022,5068,1,2
102910013,2022,1002,1,4
102910013,2022,919,2,2
102910013,2022,406,2,2
102910013,2022,920,2,4
102910013,2022,1054,3,4
102910013,2022,3397,2,2
102910013,2022,3452,1,4
102910013,2022,1147,1,2
102910013,2022,10482,1,5
102910013,2022,2790,1,2
102910013,2022,1012,1,2
102910013,2022,1063,1,2
102910013,2022,1756,1,4
102910013,2023,1024,1,2
102910013,2023,2,15,8
102910013,2023,857,3,4
102910013,2023,2533,3,2
102910013,2023,940,3,4
102910013,2023,2765,1,4
102910013,2023,2534,1,2
102910013,2023,6639,1,4
102910013,2023,2747,1,4
102910013,2023,535,1,4
102910013,2023,2748,3,4
102910013,2023,1419,1,4
102910013,2023,2283,1,4
102910013,2023,946,1,2
102910013,2023,2600,1,2
102910013,2023,6649,1,4
102910013,2023,950,1,4
102910013,2023,1884,1,4
102910013,2023,2526,1,4
102910013,2023,871,1,2
102910013,2023,1021,1,2
102910013,2023,173,1,4
102910013,2023,953,1,4
102910013,2023,5054,1,4
102910013,2023,956,4,4
102910013,2023,879,1,4
102910013,2023,3285,1,4
102910013,2023,838,2,4
102910013,2023,846,1,2
102910013,2023,883,3,4
102910013,2023,965,5,4
102910013,2023,966,1,4
102910013,2023,892,2,2
102910013,2023,893,1,4
102910013,2023,2758,2,4
102910013,2023,977,2,4
102910013,2023,518,1,4
102910013,2023,6209,1,4
102910013,2023,2958,1,4
102910013,2023,2212,1,4
102910013,2023,2561,1,2
102910013,2023,1135,1,4
102910013,2023,2616,1,4
102910013,2023,6215,1,5
102910013,2023,12376,2,1
102910013,2023,11063,1,3
102910013,2023,13185,1,3
102910013,2023,2775,1,3
102910013,2023,7381,1,5
102910013,2023,11622,1,3
102910013,2023,5749,1,3
102910013,2023,1304,1,5
102910013,2023,12832,1,3
102910013,2023,10369,1,3
102910013,2023,11088,1,3
102910013,2023,10519,1,5
102910013,2023,10819,1,5
102910013,2023,10570,1,5
102910013,2023,2679,1,3
102910013,2023,4393,1,5
