yop_kodu,year,lise_id,yerlesen_sayisi,school_type
103310016,2022,2,1,8
103310016,2022,9866,1,4
103310016,2022,217,1,4
103310016,2022,3477,1,4
103310016,2022,3593,1,4
103310016,2022,1788,1,4
103310016,2022,4315,1,4
103310016,2022,6519,1,4
103310016,2022,6699,1,4
103310016,2022,4456,1,4
103310016,2022,4072,1,4
103310016,2022,6116,1,4
103310016,2022,4637,1,4
103310016,2022,3704,1,4
103310016,2022,1719,1,4
103310016,2022,3007,1,5
103310016,2022,11536,1,5
103310016,2022,6586,1,5
103310016,2022,9102,1,5
103310016,2022,2484,1,5
103310016,2022,13593,1,4
103310016,2022,2785,1,4
103310016,2022,8426,1,4
103310016,2022,7222,1,4
103310016,2022,6608,1,4
103310016,2022,3329,1,2
103310016,2023,5836,2,4
103310016,2023,2,6,8
103310016,2023,3419,1,2
103310016,2023,3871,1,4
103310016,2023,2768,1,4
103310016,2023,2475,2,4
103310016,2023,663,1,4
103310016,2023,5294,1,4
103310016,2023,4344,1,4
103310016,2023,4315,1,4
103310016,2023,4797,1,4
103310016,2023,14221,1,4
103310016,2023,2420,1,4
103310016,2023,1714,1,4
103310016,2023,8317,1,4
103310016,2023,3657,1,4
103310016,2023,8543,1,4
103310016,2023,7224,1,5
103310016,2023,6586,1,5
103310016,2023,9441,1,4
103310016,2023,2943,1,4
103310016,2023,2848,1,4
103310016,2023,9059,1,5
103310016,2023,12681,1,4
103310016,2023,3937,1,4
103310016,2024,4418,1,4
103310016,2024,3772,1,4
103310016,2024,12836,1,4
103310016,2024,3382,1,4
103310016,2024,2165,1,4
103310016,2024,4176,2,4
103310016,2024,1531,1,4
103310016,2024,8325,1,4
103310016,2024,976,1,4
103310016,2024,6535,1,5
103310016,2024,2432,1,4
103310016,2024,9829,1,5
103310016,2024,5441,1,5
103310016,2024,11590,1,5
103310016,2024,4776,1,5
103310016,2024,3865,1,5
103310016,2024,4308,1,4
103310016,2024,3525,1,4
103310016,2024,4540,1,4
103310016,2024,4139,1,4
103310016,2024,7168,1,4
103310016,2024,2,4,8
103310016,2024,2431,1,4
103310016,2024,3498,1,4
103310016,2024,2475,1,4
103310016,2024,5278,1,4
103310016,2024,1474,1,4
103310016,2024,4344,1,4
103310025,2022,2,3,8
103310025,2022,4417,1,4
103310025,2022,1333,1,4
103310025,2022,3270,1,0
103310025,2022,3477,1,4
103310025,2022,2751,1,4
103310025,2022,2435,1,0
103310025,2022,4285,2,4
103310025,2022,3265,1,2
103310025,2022,7489,1,4
103310025,2022,5294,1,4
103310025,2022,465,1,4
103310025,2022,4316,1,4
103310025,2022,3657,1,4
103310025,2022,10835,1,4
103310025,2022,407,1,4
103310025,2022,241,1,4
103310025,2022,1581,1,4
103310025,2022,976,1,4
103310025,2022,2991,1,4
103310025,2022,6522,1,1
103310025,2022,912,1,5
103310025,2022,4672,1,2
103310025,2022,1898,1,4
103310025,2022,6440,1,4
103310025,2022,1284,1,2
103310025,2022,9372,1,4
103310025,2022,3329,1,2
103310025,2023,2,4,8
103310025,2023,624,1,0
103310025,2023,4248,1,4
103310025,2023,4581,1,4
103310025,2023,8674,1,4
103310025,2023,5876,1,4
103310025,2023,5811,1,0
