yop_kodu,year,lise_id,yerlesen_sayisi,school_type
103510014,2022,2587,1,2
103510014,2022,2,13,8
103510014,2022,940,1,4
103510014,2022,941,2,2
103510014,2022,858,1,4
103510014,2022,863,1,4
103510014,2022,1018,1,2
103510014,2022,2752,1,4
103510014,2022,946,1,2
103510014,2022,947,2,2
103510014,2022,2541,1,2
103510014,2022,6649,1,4
103510014,2022,869,1,4
103510014,2022,3404,1,4
103510014,2022,2349,1,4
103510014,2022,953,1,4
103510014,2022,2705,1,4
103510014,2022,2546,1,4
103510014,2022,123,1,4
103510014,2022,1525,1,4
103510014,2022,954,2,4
103510014,2022,955,1,2
103510014,2022,380,1,4
103510014,2022,2771,1,2
103510014,2022,6624,1,2
103510014,2022,838,1,4
103510014,2022,884,2,2
103510014,2022,2727,1,4
103510014,2022,1972,1,0
103510014,2022,1029,1,2
103510014,2022,889,2,0
103510014,2022,698,1,2
103510014,2022,2108,1,4
103510014,2022,1095,2,4
103510014,2022,3425,1,4
103510014,2022,5080,1,4
103510014,2022,2670,1,2
103510014,2022,310,1,4
103510014,2022,183,1,4
103510014,2022,1108,1,2
103510014,2022,126,2,4
103510014,2022,895,1,4
103510014,2022,974,1,2
103510014,2022,547,2,4
103510014,2022,1109,3,2
103510014,2022,896,1,2
103510014,2022,978,1,4
103510014,2022,979,1,4
103510014,2022,2290,1,4
103510014,2022,2614,2,2
103510014,2022,981,4,4
103510014,2022,900,7,4
103510014,2022,982,1,4
103510014,2022,2617,1,2
103510014,2022,5471,1,1
103510014,2022,10306,1,3
103510014,2022,904,1,3
103510014,2022,11469,1,3
103510014,2022,2521,1,5
103510014,2022,2568,1,5
103510014,2022,2628,1,5
103510014,2022,6617,1,5
103510014,2022,4229,1,5
103510014,2022,909,1,3
103510014,2022,1051,2,2
103510014,2022,3735,2,4
103510014,2022,915,2,4
103510014,2022,918,4,4
103510014,2022,5358,1,4
103510014,2022,920,1,4
103510014,2022,562,1,2
103510014,2022,923,1,2
