yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112410201,2022,1727,1,4
112410201,2022,5301,1,4
112410201,2022,2,7,8
112410201,2022,3871,1,4
112410201,2022,2283,1,4
112410201,2022,4955,1,4
112410201,2022,1556,1,4
112410201,2022,405,1,0
112410201,2022,1940,2,4
112410201,2022,12291,1,4
112410201,2022,5149,1,4
112410201,2022,1521,1,4
112410201,2022,3421,1,4
112410201,2022,141,1,4
112410201,2022,4288,1,4
112410201,2022,6600,1,4
112410201,2022,5664,2,4
112410201,2022,1813,1,4
112410201,2022,2502,1,4
112410201,2022,3254,1,4
112410201,2022,2803,1,4
112410201,2022,4362,1,4
112410201,2022,579,2,4
112410201,2022,4347,1,4
112410201,2022,3912,1,4
112410201,2022,4179,2,4
112410201,2022,3207,1,4
112410201,2022,6590,1,4
112410201,2022,2992,1,4
112410201,2022,1200,1,4
112410201,2022,4296,1,4
112410201,2022,4626,1,5
112410201,2022,9477,1,5
112410201,2022,11434,1,5
112410201,2022,2111,1,5
112410201,2022,4773,1,5
112410201,2022,2806,1,5
112410201,2022,6352,1,5
112410201,2022,5136,1,5
112410201,2022,5729,1,5
112410201,2022,4776,1,5
112410201,2022,12548,1,5
112410201,2022,7038,1,1
112410201,2022,11482,1,5
112410201,2022,10345,1,3
112410201,2022,6384,1,4
112410201,2022,4281,1,4
112410201,2022,4596,1,4
112410201,2022,5017,1,4
112410201,2022,7024,1,4
112410201,2022,2661,1,2
112410201,2022,6078,1,4
112410201,2023,3268,1,4
112410201,2023,2,5,8
112410201,2023,3010,1,4
112410201,2023,5430,1,4
112410201,2023,5199,1,2
112410201,2023,1398,1,0
112410201,2023,3357,1,4
112410201,2023,4217,1,4
112410201,2023,120,1,4
112410201,2023,4571,1,4
112410201,2023,3359,1,4
112410201,2023,1940,1,4
112410201,2023,695,1,4
112410201,2023,1835,2,4
112410201,2023,3710,1,4
112410201,2023,1812,1,4
112410201,2023,11600,1,2
112410201,2023,5106,1,0
112410201,2023,4706,1,4
112410201,2023,4578,1,5
112410201,2023,9211,1,5
112410201,2023,10307,1,5
112410201,2023,6112,1,5
112410201,2023,3916,1,5
112410201,2023,5270,1,5
112410201,2023,7965,1,5
112410201,2023,3904,1,5
112410201,2023,1492,1,4
112410201,2023,3396,1,4
112410201,2023,4712,1,4
112410201,2023,4809,1,4
112410201,2023,4183,1,4
112410201,2023,1751,1,4
112410201,2023,932,1,4
112410201,2023,7239,1,2
112410201,2023,1249,1,4
112410201,2024,11294,1,4
112410201,2024,379,1,4
112410201,2024,1812,1,4
112410201,2024,647,1,4
112410201,2024,1227,1,4
112410201,2024,3225,1,4
112410201,2024,10579,1,4
112410201,2024,2691,1,4
112410201,2024,3462,1,4
112410201,2024,4551,1,4
112410201,2024,641,1,4
112410201,2024,2988,1,4
112410201,2024,183,1,4
112410201,2024,4377,1,4
112410201,2024,6134,1,0
112410201,2024,11433,1,5
112410201,2024,5206,1,3
112410201,2024,8147,1,5
112410201,2024,3707,1,5
112410201,2024,13237,1,5
112410201,2024,2625,1,5
112410201,2024,3648,1,4
112410201,2024,4938,1,1
112410201,2024,4758,2,1
112410201,2024,4850,1,4
112410201,2024,3698,1,4
112410201,2024,3735,1,4
112410201,2024,1595,1,4
112410201,2024,3397,1,2
112410201,2024,2,5,8
112410201,2024,1700,1,0
112410201,2024,5396,1,2
112410201,2024,1830,1,4
112410201,2024,4524,2,2
112410201,2024,3692,1,4
112410219,2022,2,3,8
112410219,2022,3712,1,0
112410219,2022,7081,1,4
112410219,2022,7424,1,2
112410219,2022,3380,1,4
112410219,2022,4269,1,4
112410219,2022,2322,1,4
112410219,2022,775,1,4
112410219,2022,880,1,4
112410219,2022,1323,1,4
112410219,2022,6239,1,5
112410219,2022,4872,1,5
112410219,2022,9102,1,5
112410219,2022,10903,1,5
112410219,2022,11340,1,5
112410219,2022,10264,1,5
112410219,2022,10929,1,5
112410219,2022,11857,1,1
112410219,2022,5145,2,1
112410219,2022,10101,1,3
112410219,2022,1307,1,5
112410219,2022,9196,1,5
112410219,2022,6048,1,5
112410219,2022,3525,1,4
112410219,2022,2508,1,4
112410219,2022,1247,1,4
112410219,2022,1871,1,4
112410219,2022,4031,1,4
112410219,2023,2,9,8
112410219,2023,2176,1,4
112410219,2023,4571,1,4
112410219,2023,3692,1,4
112410219,2023,2853,1,4
112410219,2023,5278,1,4
112410219,2023,4314,1,4
112410219,2023,875,1,2
112410219,2023,1702,1,4
112410219,2023,3250,1,4
112410219,2023,2517,1,4
112410219,2023,9209,1,5
112410219,2023,4028,1,5
112410219,2023,1876,1,5
112410219,2023,9004,1,5
112410219,2023,10573,1,5
112410219,2023,998,1,4
112410219,2023,1055,1,4
112410219,2023,5193,1,2
112410219,2023,2387,1,4
112410219,2023,529,1,4
112410219,2023,11706,1,2
112410219,2023,4022,1,4
112410219,2024,5276,1,4
112410219,2024,5100,1,2
112410219,2024,5278,1,4
112410219,2024,2770,1,4
112410219,2024,880,1,4
112410219,2024,2477,1,4
112410219,2024,4706,1,4
112410219,2024,10272,1,5
112410219,2024,7731,1,5
112410219,2024,4182,1,5
112410219,2024,5301,1,4
112410219,2024,910,1,5
112410219,2024,5125,1,3
112410219,2024,10846,1,5
112410219,2024,4306,1,5
112410219,2024,4265,1,4
112410219,2024,1695,1,1
112410219,2024,5197,1,4
112410219,2024,2,6,8
112410219,2024,6097,1,5
112410219,2024,2433,1,4
112410219,2024,2172,2,4
112410219,2024,5336,1,4
112410219,2024,4864,1,4
112410219,2024,6228,1,4
112410228,2022,3268,1,4
112410228,2022,2220,1,4
112410228,2022,2,7,8
112410228,2022,11220,1,5
112410228,2022,4448,1,4
112410228,2022,1590,1,0
112410228,2022,3378,1,4
112410228,2022,1509,1,4
112410228,2022,2596,1,4
112410228,2022,5481,1,4
112410228,2022,10074,1,4
112410228,2022,4675,1,4
112410228,2022,2875,2,4
112410228,2022,1635,2,4
112410228,2022,1559,1,4
112410228,2022,4173,1,4
112410228,2022,743,2,4
112410228,2022,4286,1,4
112410228,2022,1561,1,4
112410228,2022,2879,1,4
112410228,2022,1337,1,4
112410228,2022,6283,1,4
112410228,2022,7844,1,4
112410228,2022,3462,1,4
112410228,2022,8727,1,4
112410228,2022,10513,1,4
112410228,2022,4422,1,4
112410228,2022,5081,1,3
112410228,2022,2231,1,4
112410228,2022,547,1,4
112410228,2022,1581,1,4
112410228,2022,1763,1,4
112410228,2022,7751,1,4
112410228,2022,1743,1,4
112410228,2022,4408,1,4
112410228,2022,2992,1,4
112410228,2022,12455,1,3
112410228,2022,10829,1,5
112410228,2022,9003,1,5
112410228,2022,4776,1,5
112410228,2022,4661,1,5
112410228,2022,10429,1,5
112410228,2022,5444,1,5
112410228,2022,7735,1,1
112410228,2022,3698,2,4
112410228,2022,52,1,4
112410228,2022,3434,1,4
112410228,2022,5475,1,4
112410228,2022,11706,1,2
112410228,2022,3708,2,4
112410228,2022,2105,1,4
112410228,2023,1024,1,2
112410228,2023,2,4,8
112410228,2023,2589,1,4
112410228,2023,5049,1,2
112410228,2023,5199,1,2
112410228,2023,6748,1,4
112410228,2023,1882,1,4
112410228,2023,743,1,4
112410228,2023,4344,2,4
112410228,2023,880,2,4
112410228,2023,3502,1,4
112410228,2023,6396,1,4
112410228,2023,4117,1,4
112410228,2023,1915,1,4
112410228,2023,2560,1,4
112410228,2023,3228,1,4
112410228,2023,11439,1,5
112410228,2023,6351,1,5
112410228,2023,1138,1,5
112410228,2023,1932,1,5
112410228,2023,5442,1,5
112410228,2023,7776,1,5
112410228,2023,6483,1,5
112410228,2023,915,1,4
112410228,2023,2973,1,4
112410228,2023,4083,1,2
112410228,2024,5877,1,4
112410228,2024,1406,1,4
112410228,2024,1624,1,4
112410228,2024,2546,1,4
112410228,2024,5055,1,2
112410228,2024,3594,1,2
112410228,2024,5251,1,0
112410228,2024,3899,1,4
112410228,2024,1028,1,4
112410228,2024,5058,1,4
112410228,2024,2979,1,4
112410228,2024,4316,1,4
112410228,2024,2126,1,4
112410228,2024,2821,1,4
112410228,2024,672,1,4
112410228,2024,2608,1,4
112410228,2024,10131,1,4
112410228,2024,1745,1,4
112410228,2024,4,1,5
112410228,2024,6257,1,5
112410228,2024,10594,1,5
112410228,2024,2,2,8
112410228,2024,2493,1,3
112410228,2024,10698,1,3
112410228,2024,10972,1,3
112410228,2024,1143,1,2
112410228,2024,11466,1,2
112410228,2024,3399,1,4
112410228,2024,7299,1,4
112410228,2024,2459,1,0
112410228,2024,1398,1,0
112410228,2024,4450,1,4
112410228,2024,3693,1,4
112410228,2024,2435,1,0
112410228,2024,2817,1,4
112410237,2022,3267,1,4
112410237,2022,855,1,4
112410237,2022,2,6,8
112410237,2022,806,1,4
112410237,2022,739,1,4
112410237,2022,2490,1,4
112410237,2022,1518,1,4
112410237,2022,2853,1,4
112410237,2022,5052,1,4
112410237,2022,1940,2,4
112410237,2022,4092,1,2
112410237,2022,1735,1,4
112410237,2022,4882,1,0
112410237,2022,4385,1,4
112410237,2022,2546,1,4
112410237,2022,1222,1,4
112410237,2022,2261,1,4
112410237,2022,5908,1,4
112410237,2022,4291,1,4
112410237,2022,1992,1,4
112410237,2022,3656,1,4
112410237,2022,883,1,4
112410237,2022,4360,1,4
112410237,2022,2502,1,4
112410237,2022,4316,1,4
112410237,2022,7756,1,4
112410237,2022,4532,1,4
112410237,2022,3676,1,4
112410237,2022,3738,1,4
112410237,2022,3408,1,4
112410237,2022,5079,1,0
112410237,2022,5081,1,3
112410237,2022,2308,1,4
112410237,2022,975,1,4
112410237,2022,4706,1,4
112410237,2022,1980,1,4
112410237,2022,6511,1,5
112410237,2022,4333,1,5
112410237,2022,5732,1,5
112410237,2022,910,1,5
112410237,2022,7803,1,5
112410237,2022,10963,1,5
112410237,2022,911,1,3
112410237,2022,6620,1,5
112410237,2022,4264,1,4
112410237,2022,3525,1,4
112410237,2022,2013,1,4
112410237,2022,5017,1,4
112410237,2022,248,1,4
112410237,2022,2653,1,2
112410237,2022,151,1,4
112410237,2022,4266,1,4
112410237,2022,1287,1,4
112410237,2022,1013,1,2
112410237,2022,6471,1,4
112410237,2022,4444,1,4
112410237,2023,2,7,8
112410237,2023,3419,1,2
112410237,2023,1854,1,4
112410237,2023,1940,1,4
112410237,2023,1835,1,4
112410237,2023,4797,1,4
112410237,2023,1812,1,4
112410237,2023,881,1,2
112410237,2023,3276,1,0
112410237,2023,672,1,4
112410237,2023,4294,1,0
112410237,2023,2988,1,4
112410237,2023,4706,2,4
112410237,2023,988,1,5
112410237,2023,10306,1,3
112410237,2023,2520,1,5
112410237,2023,2342,1,5
112410237,2023,89,1,5
112410237,2023,4259,1,3
112410237,2023,5267,1,5
112410237,2023,4774,1,5
112410237,2023,910,1,5
112410237,2023,10741,1,5
112410237,2023,3761,1,5
112410237,2023,5531,1,5
112410237,2023,5225,1,3
112410237,2023,10713,1,5
112410237,2023,6957,1,4
112410237,2023,565,1,4
112410237,2023,2716,1,4
112410237,2023,5228,1,2
112410237,2023,6992,1,4
112410237,2023,11475,1,5
112410237,2023,4780,1,2
112410237,2024,4269,1,4
112410237,2024,4252,3,4
112410237,2024,6081,1,4
112410237,2024,3200,1,4
112410237,2024,1624,1,4
112410237,2024,3382,1,4
112410237,2024,4315,1,4
112410237,2024,4766,1,4
112410237,2024,4797,1,4
112410237,2024,2548,1,4
112410237,2024,6687,1,4
