yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209010015,2022,2433,1,4
209010015,2022,4520,1,4
209010015,2022,2862,1,4
209010015,2022,128,1,4
209010015,2022,982,1,4
209010015,2023,2,1,8
209010015,2023,1622,1,4
209010015,2023,969,1,4
209010015,2023,10838,1,5
209010015,2023,1008,1,4
209010015,2024,2,1,8
209010015,2024,68,1,4
209010015,2024,4200,1,0
209010015,2024,7854,1,4
209010015,2024,5180,1,5
209010016,2022,2,1,8
209010016,2022,695,1,4
209010016,2022,6197,1,4
209010016,2022,3252,1,4
209010016,2022,5265,1,4
209010016,2022,5665,1,4
209010016,2022,975,1,4
209010016,2022,2479,1,4
209010016,2022,5707,1,5
209010016,2022,10839,1,5
209010016,2022,9610,1,1
209010016,2022,5205,1,5
209010016,2022,1931,1,5
209010016,2022,5419,1,5
209010016,2022,8767,1,5
209010016,2022,10331,1,5
209010016,2022,4849,1,5
209010016,2022,10840,1,1
209010016,2022,10376,1,1
209010016,2022,6534,1,4
209010016,2023,2,1,8
209010016,2023,1590,1,0
209010016,2023,2325,2,4
209010016,2023,7265,1,4
209010016,2023,1385,1,4
209010016,2023,6387,1,4
209010016,2023,6145,1,4
209010016,2023,10841,1,5
209010016,2023,2445,1,5
209010016,2023,1746,1,5
209010016,2023,10842,1,5
209010016,2023,2134,1,5
209010016,2023,6266,1,5
209010016,2023,10843,1,1
209010016,2023,3734,1,5
209010016,2023,5826,1,5
209010016,2023,7631,1,5
209010016,2023,2837,3,4
209010016,2024,6166,1,5
209010016,2024,5504,1,5
209010016,2024,10844,1,5
209010016,2024,2134,1,5
209010016,2024,10845,1,5
209010016,2024,7776,1,5
209010016,2024,3887,1,5
209010016,2024,1680,1,5
209010016,2024,10846,1,5
209010016,2024,10847,1,5
209010016,2024,2,4,8
209010016,2024,1627,2,5
209010016,2024,4304,1,5
209010016,2024,3845,1,5
209010016,2024,636,1,4
209010016,2024,4833,1,4
209010016,2024,7875,1,4
209010016,2024,7279,1,4
209010016,2024,5619,1,4
209010016,2024,3355,1,4
209010016,2024,5401,1,4
209010016,2024,8552,1,4
209010016,2024,5448,1,4
209010016,2024,5381,1,4
209010016,2024,10848,1,5
209010016,2024,5527,1,5
209010016,2024,10849,1,5
209010027,2022,4884,1,0
209010027,2022,4322,1,4
209010027,2022,2692,1,4
209010027,2022,1931,1,5
209010027,2022,7197,1,5
209010027,2022,3197,1,5
209010027,2022,7459,1,4
209010027,2022,5034,1,4
209010027,2023,6233,1,4
209010027,2023,1559,1,4
209010027,2023,2325,1,4
209010027,2023,1914,1,4
209010027,2023,4361,1,4
209010027,2023,5042,1,4
209010027,2023,10432,1,5
209010027,2023,4861,1,5
209010027,2023,1307,1,5
209010027,2024,600,1,4
209010027,2024,5482,1,4
209010027,2024,2795,1,4
209010027,2024,967,1,4
209010027,2024,904,1,3
209010027,2024,1286,1,2
209010028,2022,4133,1,4
209010028,2022,4372,1,4
209010028,2022,2,1,8
209010028,2022,2535,1,5
209010028,2022,4763,2,4
209010028,2022,3270,1,0
209010028,2022,2475,1,4
209010028,2022,1520,1,4
209010028,2022,4252,1,4
209010028,2022,6726,1,4
209010028,2022,2502,1,4
209010028,2022,6815,1,4
209010028,2022,2479,1,4
209010028,2022,4691,1,5
209010028,2022,9610,1,1
209010028,2022,4328,1,5
209010028,2022,1931,1,5
209010028,2022,3682,1,5
209010028,2022,5543,1,5
209010028,2022,9550,1,5
209010028,2022,10602,1,5
209010028,2022,9175,1,5
209010028,2022,9994,1,5
209010028,2022,9354,1,5
209010028,2022,10604,1,1
209010028,2022,10850,1,5
209010028,2022,10818,1,5
209010028,2022,5505,1,5
209010028,2022,4216,1,5
209010028,2022,3786,1,5
209010028,2022,7180,1,5
209010028,2022,7776,1,5
209010028,2022,5752,1,5
209010028,2022,5529,1,5
209010028,2022,10779,1,5
209010028,2022,10851,1,5
209010028,2022,10719,1,5
209010028,2022,10852,1,5
209010028,2022,2997,1,5
209010028,2022,4850,1,4
209010028,2022,3762,1,4
209010028,2022,10296,1,5
209010028,2022,8632,1,4
209010028,2022,5551,1,4
209010028,2022,3355,1,4
209010028,2022,2073,1,4
209010028,2023,2,7,8
209010028,2023,2460,1,4
209010028,2023,1882,1,4
209010028,2023,1555,1,4
209010028,2023,3988,1,0
209010028,2023,2350,1,4
209010028,2023,3772,1,4
209010028,2023,2148,1,4
209010028,2023,6810,1,5
209010028,2023,8325,1,4
209010028,2023,6145,1,4
209010028,2023,2882,1,5
209010028,2023,5614,1,5
209010028,2023,10853,1,5
209010028,2023,5542,1,5
209010028,2023,10367,1,5
209010028,2023,10854,1,5
209010028,2023,4426,1,5
209010028,2023,4006,1,5
209010028,2023,4897,1,5
209010028,2023,5438,1,5
209010028,2023,10855,2,3
209010028,2023,10732,1,5
209010028,2023,10856,1,5
209010028,2023,995,1,5
209010028,2023,10857,1,5
209010028,2023,10825,2,5
209010028,2023,10708,1,1
209010028,2023,4260,1,5
209010028,2023,5730,1,5
209010028,2023,7776,1,5
209010028,2023,5657,1,5
209010028,2023,10240,1,5
209010028,2023,6261,1,5
209010028,2023,5549,1,1
209010028,2023,10858,1,1
209010028,2023,9127,1,5
209010028,2023,5454,1,5
209010028,2023,151,1,4
209010028,2023,9582,1,1
209010028,2023,2812,1,4
209010028,2023,167,1,4
209010028,2023,2975,1,4
209010028,2024,5610,1,4
209010028,2024,4964,1,4
209010028,2024,1814,1,4
209010028,2024,5102,1,4
209010028,2024,3657,1,4
209010028,2024,4361,1,4
209010028,2024,1717,1,4
209010028,2024,4044,1,4
209010028,2024,5381,1,4
209010028,2024,2132,1,4
209010028,2024,4372,1,4
209010028,2024,10859,1,5
209010028,2024,10860,1,5
209010028,2024,10524,1,5
209010028,2024,4938,1,1
209010028,2024,2291,1,5
209010028,2024,10741,1,5
209010028,2024,8607,1,5
209010028,2024,10861,1,5
209010028,2024,3845,1,5
209010028,2024,10403,1,3
209010028,2024,2,2,8
209010028,2024,10862,1,5
209010028,2024,2870,1,4
209010028,2024,3920,1,4
209010028,2024,3709,1,4
209010028,2024,3297,1,4
209010028,2024,8014,1,4
209010028,2024,3693,1,4
209010028,2024,3359,1,4
209010028,2024,2260,1,4
209010028,2024,2720,1,4
209010028,2024,4621,1,0
209010030,2022,3199,1,4
209010030,2022,8080,1,4
209010030,2022,2715,1,4
209010030,2022,10617,1,4
209010030,2022,3664,1,2
209010030,2023,2,2,8
209010030,2023,3425,1,4
209010030,2023,2943,1,4
209010030,2023,3329,1,2
209010030,2024,647,1,4
209010030,2024,5785,1,0
209010030,2024,6954,1,4
209010030,2024,3981,1,5
209010030,2024,10863,1,3
209010031,2022,7013,1,4
209010031,2022,5513,1,4
209010031,2022,1883,1,4
209010031,2022,2753,1,4
209010031,2022,2286,1,4
209010031,2022,4683,1,4
209010031,2022,8523,1,4
209010031,2022,8080,1,4
209010031,2022,1194,1,4
209010031,2022,1818,1,4
209010031,2022,6954,1,4
209010031,2022,3,1,4
209010031,2022,9161,1,5
209010031,2022,10864,1,5
209010031,2022,10865,1,5
209010031,2022,4775,1,5
209010031,2022,8770,1,5
209010031,2022,10866,1,5
209010031,2022,3786,1,5
209010031,2022,1691,1,5
209010031,2022,7221,1,3
209010031,2022,5152,1,5
209010031,2022,7408,1,1
209010031,2022,10867,1,5
209010031,2022,6425,1,5
209010031,2023,2,5,8
209010031,2023,4581,1,4
209010031,2023,214,1,4
209010031,2023,3378,1,4
209010031,2023,9749,1,4
209010031,2023,3769,1,4
209010031,2023,5610,1,4
209010031,2023,3252,1,4
209010031,2023,1717,1,4
209010031,2023,649,1,4
209010031,2023,2308,1,4
209010031,2023,1110,1,4
209010031,2023,10868,1,5
209010031,2023,7596,1,5
209010031,2023,2510,1,5
209010031,2023,10869,1,5
209010031,2023,4936,1,5
209010031,2023,6896,1,5
209010031,2023,10870,1,5
209010031,2023,3903,1,5
209010031,2023,635,1,1
209010031,2023,2345,1,5
209010031,2023,9513,1,5
209010031,2023,5569,1,5
209010031,2023,107,1,4
209010031,2023,2452,1,4
209010031,2024,2692,1,4
209010031,2024,6229,1,5
209010031,2024,3366,1,5
209010031,2024,10406,1,5
209010031,2024,10871,1,5
209010031,2024,5139,1,5
209010031,2024,1680,1,5
209010031,2024,3903,1,5
209010031,2024,10851,1,5
209010031,2024,1627,1,5
209010031,2024,4372,1,4
209010031,2024,5702,1,5
209010031,2024,5510,1,4
209010031,2024,4833,1,4
209010031,2024,3858,1,4
209010031,2024,3355,1,4
209010031,2024,455,1,4
209010031,2024,2,1,8
209010031,2024,1908,1,4
209010031,2024,3378,1,4
209010031,2024,5001,1,4
209010031,2024,863,1,4
209010031,2024,3380,1,4
209010031,2024,5401,2,4
209010033,2022,3378,2,4
209010033,2022,1966,1,4
209010033,2022,1763,1,4
209010033,2022,2132,1,4
209010033,2022,7471,1,5
209010033,2022,1986,1,4
209010033,2022,1056,1,4
209010033,2022,2454,1,4
209010033,2022,1696,1,4
209010033,2022,3679,1,4
209010033,2023,3378,1,4
209010033,2023,276,1,4
209010033,2023,5610,1,4
209010033,2023,2442,1,4
209010033,2023,4361,1,4
209010033,2023,269,1,0
209010033,2023,5577,1,4
209010033,2023,5381,1,4
209010033,2023,1614,1,4
209010033,2023,1306,1,3
209010033,2023,2505,1,4
209010033,2023,3850,1,4
209010033,2024,9984,1,5
209010033,2024,849,1,3
209010033,2024,10872,1,5
209010033,2024,850,1,4
209010033,2024,7683,1,4
209010033,2024,3606,1,4
209010033,2024,4698,1,4
209010033,2024,3316,1,4
209010033,2024,405,1,0
209010033,2024,389,1,4
209010033,2024,357,1,4
209010033,2024,6018,1,4
209010033,2024,2308,1,4
209010033,2024,2132,1,4
209010034,2022,2076,1,4
209010034,2022,10110,1,4
209010034,2022,2,1,8
209010034,2022,624,1,0
209010034,2022,4761,1,4
209010034,2022,2118,1,4
209010034,2022,3334,1,4
209010034,2022,4763,1,4
209010034,2022,3438,1,4
209010034,2022,2414,1,4
209010034,2022,4795,1,4
209010034,2022,2906,1,2
209010034,2022,7909,1,4
209010034,2022,6561,1,4
209010034,2022,6417,1,4
209010034,2022,81,1,4
209010034,2022,2262,1,4
209010034,2022,2148,1,4
209010034,2022,307,1,4
209010034,2022,9256,1,4
209010034,2022,6583,1,4
209010034,2022,8325,1,4
209010034,2022,4456,1,4
209010034,2022,1133,1,4
209010034,2022,1763,1,4
209010034,2022,2862,1,4
209010034,2022,6134,1,0
209010034,2022,1720,1,4
209010034,2022,2694,1,5
209010034,2022,10873,1,1
209010034,2022,9273,1,5
209010034,2022,9965,1,3
209010034,2022,10721,1,5
209010034,2022,90,1,5
209010034,2022,42,1,5
209010034,2022,4790,1,5
209010034,2022,10643,1,5
209010034,2022,5151,1,3
209010034,2022,3786,1,5
209010034,2022,10167,1,5
209010034,2022,3413,1,5
209010034,2022,5635,1,5
209010034,2022,524,1,5
209010034,2022,3170,1,4
209010034,2022,52,1,4
209010034,2022,5703,1,4
209010034,2022,1628,1,4
209010034,2022,5455,1,4
209010034,2022,606,1,4
209010034,2022,1344,1,4
209010034,2022,10874,1,4
209010034,2022,779,1,4
209010034,2022,638,1,4
209010034,2022,850,1,4
209010034,2022,5551,1,4
209010034,2022,5772,1,4
209010034,2022,737,1,4
209010034,2022,4022,1,4
209010034,2022,2274,1,4
209010034,2023,458,1,4
209010034,2023,2329,1,4
209010034,2023,2,13,8
209010034,2023,112,1,4
209010034,2023,3984,1,4
209010034,2023,2488,1,4
209010034,2023,77,1,4
209010034,2023,7609,1,4
209010034,2023,5003,1,4
209010034,2023,7906,1,4
209010034,2023,2350,1,4
209010034,2023,1075,1,4
209010034,2023,1224,1,4
209010034,2023,4961,1,4
209010034,2023,3484,1,4
209010034,2023,4376,1,4
209010034,2023,2148,1,4
209010034,2023,2986,1,4
209010034,2023,4317,1,4
209010034,2023,9153,1,4
209010034,2023,4362,1,4
209010034,2023,4456,1,4
209010034,2023,6917,1,4
209010034,2023,146,1,4
209010034,2023,604,1,4
209010034,2023,2132,1,4
209010034,2023,6009,1,4
209010034,2023,1720,1,4
209010034,2023,6536,1,5
209010034,2023,2780,1,5
209010034,2023,778,1,5
209010034,2023,2696,1,5
209010034,2023,2901,1,5
209010034,2023,1616,1,5
209010034,2023,4304,1,5
209010034,2023,3845,1,5
209010034,2023,49,1,4
209010034,2023,2098,1,4
209010034,2023,589,1,2
209010034,2023,59,1,4
209010034,2023,6122,1,4
209010034,2023,3057,1,4
209010034,2023,1696,1,4
209010034,2023,5033,1,4
209010034,2023,2585,1,4
209010034,2023,571,1,4
209010034,2023,5854,1,4
209010034,2024,4571,1,4
209010034,2024,3308,1,4
209010034,2024,5498,1,4
209010034,2024,1966,1,4
209010034,2024,140,1,2
209010034,2024,301,1,4
209010034,2024,2743,1,4
209010034,2024,2260,1,4
209010034,2024,4286,1,4
209010034,2024,262,1,4
209010034,2024,1705,2,4
209010034,2024,1528,2,4
209010034,2024,4255,1,4
209010034,2024,5610,1,4
209010034,2024,4376,1,4
209010034,2024,3252,1,4
209010034,2024,1424,2,4
209010034,2024,5612,1,4
209010034,2024,846,1,2
209010034,2024,5785,1,0
209010034,2024,3738,1,4
209010034,2024,483,1,8
209010034,2024,5339,1,4
209010034,2024,2478,1,4
209010034,2024,2988,1,4
209010034,2024,4348,1,4
209010034,2024,1763,1,4
209010034,2024,5381,1,4
209010034,2024,1198,1,4
209010034,2024,4537,1,0
209010034,2024,2479,1,4
209010034,2024,6557,2,5
209010034,2024,2,5,8
209010034,2024,5328,1,1
209010034,2024,10288,1,5
209010034,2024,8762,1,5
209010034,2024,5063,1,5
209010034,2024,4985,1,5
209010034,2024,701,1,5
209010034,2024,2646,1,5
209010034,2024,6093,1,5
209010034,2024,1934,1,4
209010034,2024,7874,1,4
209010034,2024,694,1,4
209010034,2024,5510,2,4
209010034,2024,10875,1,4
209010034,2024,4833,1,4
209010034,2024,1600,1,4
209010034,2024,850,1,4
209010034,2024,1262,1,4
209010034,2024,1877,1,4
209010034,2024,3790,1,4
209010034,2024,1453,1,4
209010034,2024,5406,1,4
209010034,2024,2872,1,4
209010034,2024,529,1,4
209010034,2024,5155,1,4
209010034,2024,6373,1,0
209010034,2024,2390,1,4
209010034,2024,1775,1,4
209010034,2024,3378,1,4
209010034,2024,2172,1,4
209010034,2024,230,1,4
209010043,2022,4385,1,4
209010043,2022,2546,1,4
209010043,2022,514,1,4
209010043,2022,1717,1,4
209010043,2022,2291,1,5
209010043,2022,5781,1,4
209010043,2023,2,1,8
209010043,2023,4449,1,4
209010043,2023,2148,1,4
209010043,2023,4103,1,5
209010043,2023,95,1,4
209010043,2024,2,1,8
209010043,2024,544,1,2
209010043,2024,1952,1,5
209010043,2024,1492,1,4
209010044,2022,7662,1,4
209010044,2022,5623,1,4
209010044,2022,2060,1,4
209010044,2022,1481,1,4
209010044,2022,2399,1,4
209010044,2022,6815,1,4
209010044,2022,3807,1,4
209010044,2022,10876,1,5
209010044,2022,10877,1,5
209010044,2022,9969,1,5
209010044,2022,10878,1,5
209010044,2022,5062,1,5
209010044,2022,4790,1,5
209010044,2022,10879,1,1
209010044,2022,5764,1,5
209010044,2022,1627,1,5
209010044,2022,2098,1,4
209010044,2022,2837,1,4
209010044,2022,654,1,4
209010044,2022,4070,1,4
209010044,2022,4475,1,4
209010044,2022,4618,1,4
209010044,2022,2274,1,4
209010044,2022,4993,1,4
209010044,2023,2,3,8
209010044,2023,4312,1,4
209010044,2023,1735,1,4
209010044,2023,9530,1,4
209010044,2023,10880,1,4
209010044,2023,4765,1,4
209010044,2023,3441,1,4
209010044,2023,5597,1,4
209010044,2023,3252,1,4
209010044,2023,5381,1,4
209010044,2023,4995,1,4
209010044,2023,2672,1,4
209010044,2023,5451,1,5
209010044,2023,8584,1,5
209010044,2023,2567,1,3
209010044,2023,6150,1,5
209010044,2023,9004,1,5
209010044,2023,10610,1,5
209010044,2023,3855,1,5
209010044,2023,3845,1,5
209010044,2023,46,1,1
209010044,2023,5356,1,4
209010044,2023,5197,1,4
209010044,2024,9619,1,5
209010044,2024,4391,1,5
209010044,2024,7427,1,5
209010044,2024,6764,1,5
209010044,2024,5529,1,5
209010044,2024,4443,1,4
209010044,2024,3355,1,4
209010044,2024,2161,1,4
209010044,2024,1548,1,4
209010044,2024,8853,1,4
209010044,2024,2,4,8
209010044,2024,4287,1,4
209010044,2024,5413,1,4
209010044,2024,4536,1,4
209010044,2024,10881,1,5
209010044,2024,10148,1,5
209010044,2024,10882,1,5
209010044,2024,8749,1,5
209010053,2022,2,1,8
209010053,2022,4143,1,4
209010053,2022,1295,1,4
209010053,2022,2549,1,2
209010053,2022,8117,1,4
209010053,2023,3252,1,4
209010053,2023,1129,1,4
209010053,2023,6082,1,4
209010053,2023,3300,1,4
209010053,2023,6959,1,4
209010053,2024,10883,1,0
209010053,2024,6134,1,0
209010053,2024,1539,1,5
209010053,2024,554,1,5
209010053,2024,4304,1,5
209010053,2024,3845,1,5
209010054,2022,8848,1,4
209010054,2022,6387,1,4
209010054,2022,3129,1,4
209010054,2022,5448,1,4
209010054,2022,7592,1,1
209010054,2022,10884,1,5
209010054,2022,10234,1,5
209010054,2022,8590,1,1
209010054,2022,10885,1,5
209010054,2022,9004,1,5
209010054,2022,10825,1,5
209010054,2022,2113,1,5
209010054,2022,5566,1,5
209010054,2022,7631,1,5
209010054,2022,6425,1,5
209010054,2022,10886,1,5
209010054,2022,8630,1,4
209010054,2022,2237,1,4
209010054,2022,3355,1,4
209010054,2022,4109,1,4
209010054,2023,2,2,8
209010054,2023,7644,1,0
209010054,2023,2325,1,4
209010054,2023,3005,1,4
209010054,2023,4612,1,4
209010054,2023,5707,1,5
209010054,2023,10887,1,5
209010054,2023,10732,1,5
209010054,2023,1746,2,5
209010054,2023,4392,1,5
209010054,2023,10708,1,1
209010054,2023,7776,1,5
209010054,2023,4261,1,5
209010054,2023,7419,1,5
209010054,2023,9567,1,5
209010054,2023,7477,1,5
209010054,2023,7668,2,5
209010054,2023,7887,1,4
209010054,2024,2691,1,4
209010054,2024,2479,1,4
209010054,2024,10213,1,5
209010054,2024,3782,1,5
209010054,2024,10888,1,5
209010054,2024,10889,1,5
209010054,2024,10854,1,5
209010054,2024,2092,1,5
209010054,2024,8749,1,5
209010054,2024,10849,1,5
209010054,2024,2,1,8
209010054,2024,10865,1,5
209010054,2024,10890,1,5
209010054,2024,7601,1,5
209010054,2024,5826,1,5
209010054,2024,5585,1,5
209010054,2024,7668,1,5
209010054,2024,5569,1,5
209010054,2024,10780,1,5
209010054,2024,4304,1,5
209010054,2024,2237,1,4
209010054,2024,2433,1,4
209010054,2024,6049,1,5
209010054,2024,2256,1,4
209010054,2024,1507,1,4
209010054,2024,2084,2,4
209010054,2024,1714,1,4
209010054,2024,5611,1,4
209010054,2024,4964,1,4
209010054,2024,5785,1,0
209010058,2022,2,1,8
209010058,2022,3104,1,4
209010058,2022,265,1,4
209010058,2022,5610,1,4
209010058,2022,52,1,4
209010058,2022,3687,1,4
209010058,2022,1498,1,4
209010058,2022,7478,1,4
209010058,2023,2,3,8
209010058,2023,5386,1,4
209010058,2023,2244,1,4
209010058,2023,3738,1,4
209010058,2023,737,1,4
209010058,2023,6959,1,4
209010058,2024,2308,1,4
209010058,2024,7776,1,5
209010058,2024,5357,1,4
209010058,2024,2,1,8
209010058,2024,4065,1,4
209010058,2024,3890,1,4
209010058,2024,234,1,4
209010058,2024,1867,1,4
209010058,2024,4884,1,0
209010058,2024,4361,1,4
209010058,2024,4668,1,2
209010059,2022,1705,1,4
209010059,2022,2,4,8
209010059,2022,3312,1,4
209010059,2022,4448,1,4
209010059,2022,2023,1,4
209010059,2022,139,1,4
209010059,2022,4782,1,4
209010059,2022,365,1,4
209010059,2022,21,1,4
209010059,2022,4722,1,4
209010059,2022,2476,1,4
209010059,2022,1188,1,4
209010059,2022,466,1,4
209010059,2022,1873,1,4
209010059,2022,8112,1,4
209010059,2022,615,1,4
209010059,2022,6237,1,4
209010059,2022,2217,1,4
209010059,2022,147,1,5
209010059,2022,2092,1,5
209010059,2022,2191,1,5
209010059,2022,6586,1,5
209010059,2022,10891,1,5
209010059,2022,5062,1,5
209010059,2022,8592,1,5
209010059,2022,5630,1,5
209010059,2022,2446,1,5
209010059,2022,8780,1,5
209010059,2022,10892,1,5
209010059,2022,1767,1,5
209010059,2022,2505,1,4
209010059,2022,5372,1,4
209010059,2022,1247,1,4
209010059,2022,5511,1,4
209010059,2022,2975,1,4
209010059,2022,249,1,4
209010059,2022,3679,1,4
209010059,2022,152,1,4
209010059,2022,356,1,4
209010059,2023,4585,1,4
209010059,2023,2,9,8
209010059,2023,2765,1,4
209010059,2023,3378,1,4
209010059,2023,4763,1,4
209010059,2023,6804,1,4
209010059,2023,3316,1,4
209010059,2023,1475,1,4
209010059,2023,6123,1,4
209010059,2023,8297,1,4
209010059,2023,7066,1,4
209010059,2023,3615,1,4
209010059,2023,2085,1,4
209010059,2023,3142,1,4
209010059,2023,4688,1,4
209010059,2023,1717,1,4
209010059,2023,3227,1,4
209010059,2023,6892,1,4
209010059,2023,2308,2,4
209010059,2023,4566,1,4
209010059,2023,10893,1,5
209010059,2023,9972,1,5
209010059,2023,4007,1,5
209010059,2023,8596,1,5
209010059,2023,10894,1,5
209010059,2023,4241,1,5
209010059,2023,52,1,4
209010059,2023,3874,1,4
209010059,2023,7874,1,4
209010059,2023,7069,1,4
209010059,2023,3801,1,4
209010059,2023,5727,1,4
209010059,2023,1349,1,4
209010059,2024,4602,1,4
209010059,2024,1883,2,4
209010059,2024,2349,1,4
209010059,2024,3988,1,0
209010059,2024,262,1,4
209010059,2024,4765,1,4
209010059,2024,2324,1,4
209010059,2024,1528,1,4
209010059,2024,8082,1,4
209010059,2024,3576,1,4
209010059,2024,2,11,8
209010059,2024,494,1,4
209010059,2024,3068,1,4
209010059,2024,6145,1,4
209010059,2024,678,1,4
209010059,2024,4180,1,4
209010059,2024,7448,1,4
209010059,2024,2479,1,4
209010059,2024,3914,1,2
209010059,2024,10344,1,5
209010059,2024,4898,1,5
209010059,2024,3154,1,4
209010059,2024,10154,1,5
209010059,2024,1822,1,5
209010059,2024,10895,1,5
209010059,2024,10616,1,5
209010059,2024,3349,1,5
