yop_kodu,year,lise_id,yerlesen_sayisi,school_type
111210011,2022,1504,1,4
111210011,2022,2,6,8
111210011,2022,624,1,0
111210011,2022,621,1,4
111210011,2022,7495,1,4
111210011,2022,11784,1,4
111210011,2022,1560,1,4
111210011,2022,1734,1,4
111210011,2022,2819,1,4
111210011,2022,879,1,4
111210011,2022,880,2,4
111210011,2022,609,1,4
111210011,2022,1295,1,4
111210011,2022,2802,1,2
111210011,2022,9080,1,4
111210011,2022,2207,2,4
111210011,2022,515,1,2
111210011,2022,673,1,4
111210011,2022,3290,2,4
111210011,2022,6447,1,4
111210011,2022,7574,1,5
111210011,2022,1823,1,5
111210011,2022,2513,1,5
111210011,2022,10935,1,5
111210011,2022,3741,1,4
111210011,2022,3883,1,4
111210011,2022,1375,1,4
111210011,2023,2840,1,4
111210011,2023,2,10,8
111210011,2023,621,1,4
111210011,2023,119,1,4
111210011,2023,1460,1,4
111210011,2023,4187,1,4
111210011,2023,943,1,4
111210011,2023,2748,1,4
111210011,2023,215,1,4
111210011,2023,2283,2,4
111210011,2023,7495,1,4
111210011,2023,2664,1,4
111210011,2023,879,2,4
111210011,2023,2419,1,4
111210011,2023,1889,1,4
111210011,2023,2108,1,4
111210011,2023,1432,1,4
111210011,2023,2519,1,5
111210011,2023,11057,1,1
111210011,2023,6149,1,5
111210011,2023,1869,1,5
111210011,2023,7178,1,3
111210011,2023,7576,2,5
111210011,2023,9105,1,5
111210011,2023,10396,1,3
111210011,2023,583,1,5
111210011,2023,11067,1,3
111210011,2023,7804,2,5
111210011,2023,7203,1,5
111210011,2023,3626,1,3
111210011,2023,524,1,5
111210011,2023,1593,1,2
111210011,2023,560,1,4
111210011,2023,997,1,4
111210011,2023,97,1,4
111210011,2023,639,1,4
111210011,2023,3883,1,4
111210011,2023,1498,1,4
111210011,2023,3297,1,4
111210011,2023,5593,1,4
111210011,2023,599,1,4
111210011,2023,1756,1,4
111210011,2024,3925,1,4
111210011,2024,880,1,4
111210011,2024,3111,1,4
111210011,2024,2279,1,4
111210011,2024,542,1,4
111210011,2024,5101,1,4
111210011,2024,2207,1,4
111210011,2024,1889,1,4
111210011,2024,12802,1,4
111210011,2024,2231,2,4
111210011,2024,67,1,4
111210011,2024,1538,1,4
111210011,2024,980,1,2
111210011,2024,991,1,3
111210011,2024,5176,1,1
111210011,2024,11204,1,5
111210011,2024,10396,1,3
111210011,2024,2112,1,3
111210011,2024,3596,1,5
111210011,2024,2269,1,5
111210011,2024,10585,1,3
111210011,2024,2,4,8
111210011,2024,3449,1,5
111210011,2024,2762,1,4
111210011,2024,682,1,4
111210011,2024,564,1,2
111210011,2024,4809,1,4
111210011,2024,3883,4,4
111210011,2024,832,1,4
111210011,2024,408,1,4
111210011,2024,844,1,4
111210011,2024,1909,1,4
111210011,2024,2748,2,4
111210011,2024,1217,1,4
111210011,2024,1886,1,4
111210011,2024,7495,1,4
111210011,2024,1734,1,4
111210012,2022,2049,1,4
111210012,2022,2,7,8
111210012,2022,688,1,4
111210012,2022,506,1,4
111210012,2022,2748,1,4
111210012,2022,120,1,4
111210012,2022,1217,1,4
111210012,2022,626,1,4
111210012,2022,2752,1,4
111210012,2022,2283,2,4
111210012,2022,5399,1,2
111210012,2022,2418,1,4
111210012,2022,879,2,4
111210012,2022,2603,1,0
111210012,2022,380,1,4
111210012,2022,880,1,4
111210012,2022,1790,1,4
111210012,2022,1295,1,4
111210012,2022,2771,1,2
111210012,2022,668,1,4
111210012,2022,3652,1,4
111210012,2022,2304,1,4
111210012,2022,889,1,0
111210012,2022,1194,1,4
111210012,2022,515,1,2
111210012,2022,2108,1,4
111210012,2022,673,1,4
111210012,2022,892,1,2
111210012,2022,1255,1,4
111210012,2022,3290,1,4
111210012,2022,2891,1,4
111210012,2022,604,1,4
111210012,2022,2616,1,4
111210012,2022,12506,1,3
111210012,2022,5630,1,5
111210012,2022,3732,1,5
111210012,2022,2676,1,3
111210012,2022,5731,1,5
111210012,2022,12689,1,5
111210012,2022,12803,1,3
111210012,2022,2326,2,5
111210012,2022,10792,1,5
111210012,2022,11245,1,3
111210012,2022,4793,1,4
111210012,2022,3122,1,4
111210012,2022,4198,1,4
111210012,2022,1602,1,4
111210012,2022,1117,1,4
111210012,2022,2849,1,4
111210012,2022,937,1,4
111210012,2022,1149,2,4
111210012,2022,4992,1,4
111210012,2023,3628,1,4
111210012,2023,1504,1,4
111210012,2023,2,11,8
111210012,2023,2534,1,2
111210012,2023,621,1,4
111210012,2023,119,1,4
111210012,2023,1270,1,4
111210012,2023,1458,1,4
111210012,2023,1178,1,4
111210012,2023,268,1,4
111210012,2023,863,1,4
111210012,2023,537,1,4
111210012,2023,3359,1,4
111210012,2023,3479,1,4
111210012,2023,953,1,4
111210012,2023,1023,1,2
111210012,2023,879,2,4
111210012,2023,2603,1,0
111210012,2023,1565,1,4
111210012,2023,2476,1,4
111210012,2023,513,2,4
111210012,2023,7620,1,2
