yop_kodu,year,lise_id,yerlesen_sayisi,school_type
104510011,2022,2,3,8
104510011,2022,1269,1,4
104510011,2022,1807,1,4
104510011,2022,2768,1,4
104510011,2022,9901,1,4
104510011,2022,808,1,4
104510011,2022,2244,1,4
104510011,2022,1227,1,4
104510011,2022,3716,1,4
104510011,2022,6641,1,2
104510011,2022,3541,1,4
104510011,2022,10819,1,5
104510011,2022,2763,1,4
104510011,2022,998,1,4
104510011,2022,53,1,4
104510011,2022,6635,1,4
104510011,2022,1903,1,4
104510011,2022,3059,1,4
104510011,2022,4993,1,4
104510011,2023,1269,1,4
104510011,2023,4218,1,4
104510011,2023,2380,1,1
104510011,2023,6658,1,3
104510011,2023,5331,1,4
104510029,2022,66,1,4
104510029,2022,2,6,8
104510029,2022,1103,1,4
104510029,2022,2591,1,4
104510029,2022,1269,1,4
104510029,2022,1458,1,4
104510029,2022,1908,1,4
104510029,2022,5514,1,4
104510029,2022,1085,1,4
104510029,2022,3713,1,4
104510029,2022,3438,2,4
104510029,2022,1073,2,4
104510029,2022,6087,1,4
104510029,2022,6463,1,4
104510029,2022,3803,1,4
104510029,2022,3161,1,4
104510029,2022,2753,1,4
104510029,2022,2705,1,4
104510029,2022,2689,2,0
104510029,2022,7479,1,4
104510029,2022,2418,1,4
104510029,2022,141,1,4
104510029,2022,7454,1,0
104510029,2022,4218,2,4
104510029,2022,11997,1,4
104510029,2022,2086,1,2
104510029,2022,1277,1,4
104510029,2022,305,1,4
104510029,2022,1227,2,4
104510029,2022,3980,1,4
104510029,2022,3633,1,4
104510029,2022,2726,1,0
104510029,2022,12873,1,4
104510029,2022,4116,1,4
104510029,2022,707,1,4
104510029,2022,1191,1,4
104510029,2022,180,1,4
104510029,2022,2880,1,2
104510029,2022,269,1,0
104510029,2022,34,1,4
104510029,2022,6209,1,4
104510029,2022,3486,1,4
104510029,2022,1110,1,4
104510029,2022,9960,1,5
104510029,2022,1261,1,5
104510029,2022,4182,1,5
104510029,2022,4263,1,4
104510029,2022,559,1,4
104510029,2022,6872,1,4
104510029,2022,3491,1,4
104510029,2022,1365,1,4
104510029,2022,7482,1,4
104510029,2022,150,1,4
104510029,2022,56,1,4
104510029,2022,5933,1,4
104510029,2022,3122,1,4
104510029,2022,1100,1,4
104510029,2022,3028,1,4
104510029,2022,2973,1,4
104510029,2022,8822,1,4
104510029,2022,1119,1,4
104510029,2022,3002,1,0
104510029,2023,9,1,2
104510029,2023,788,1,4
104510029,2023,1415,1,4
104510029,2023,693,1,4
104510029,2023,2,5,8
104510029,2023,12226,1,4
104510029,2023,3644,1,4
104510029,2023,1269,2,4
104510029,2023,7318,1,4
104510029,2023,1458,1,4
104510029,2023,2200,1,4
104510029,2023,2873,1,4
104510029,2023,1510,2,4
104510029,2023,176,1,0
104510029,2023,2511,1,2
104510029,2023,627,1,4
104510029,2023,1020,1,0
104510029,2023,1936,2,2
104510029,2023,6890,1,4
104510029,2023,2529,1,4
104510029,2023,5609,1,4
104510029,2023,2689,1,0
104510029,2023,1943,1,4
104510029,2023,2085,2,4
104510029,2023,7454,1,0
104510029,2023,4218,1,4
104510029,2023,6542,1,0
104510029,2023,11997,1,4
104510029,2023,13659,1,4
104510029,2023,14613,1,4
104510029,2023,1227,1,4
104510029,2023,2207,1,4
104510029,2023,7466,1,4
104510029,2023,2063,1,4
104510029,2023,1974,1,4
104510029,2023,8333,1,4
104510029,2023,2880,1,2
104510029,2023,1892,2,4
104510029,2023,7727,1,4
104510029,2023,6756,1,4
104510029,2023,1302,1,0
104510029,2023,2729,1,0
104510029,2023,106,1,5
104510029,2023,3879,1,5
104510029,2023,7329,1,5
104510029,2023,4050,1,4
104510029,2023,681,2,4
104510029,2023,7416,1,4
104510029,2023,6964,1,4
104510029,2023,2453,1,4
104510029,2023,3859,1,4
104510029,2023,2865,1,4
104510029,2023,768,2,4
104510029,2023,3568,1,4
104510029,2023,13860,1,4
104510029,2023,1606,1,4
104510029,2023,1061,1,4
104510029,2023,1314,1,4
104510029,2023,3015,1,4
104510029,2023,457,1,4
104510029,2023,2273,1,4
104510029,2024,78,1,4
104510029,2024,1074,1,4
104510029,2024,539,1,0
104510029,2024,265,1,4
104510029,2024,3956,1,4
104510029,2024,4218,2,4
104510029,2024,1837,1,4
104510029,2024,667,1,4
104510029,2024,3716,1,4
104510029,2024,790,1,4
104510029,2024,2,1,8
104510029,2024,3559,1,4
104510029,2024,2127,1,4
104510029,2024,7727,1,4
104510029,2024,5717,2,0
104510029,2024,198,1,4
104510029,2024,1301,1,0
104510029,2024,6134,1,0
104510029,2024,1302,1,0
104510029,2024,6734,1,5
104510029,2024,3604,1,4
104510029,2024,1269,2,4
104510029,2024,2835,1,4
104510029,2024,13435,1,4
104510029,2024,779,1,4
104510029,2024,3122,1,4
104510029,2024,8197,1,4
104510029,2024,6648,1,4
104510029,2024,11034,1,4
104510029,2024,7636,1,4
104510029,2024,3452,1,4
104510029,2024,398,1,4
104510029,2024,1779,1,0
104510029,2024,7640,1,4
104510029,2024,640,1,4
104510029,2024,657,1,4
104510029,2024,1270,1,4
104510029,2024,5992,1,4
104510029,2024,1104,1,4
104510029,2024,1073,1,4
104510029,2024,6999,1,4
104510038,2022,4837,1,4
104510038,2022,6662,1,4
104510038,2022,2,8,8
104510038,2022,4041,1,4
104510038,2022,1807,1,4
104510038,2022,3514,1,4
104510038,2022,762,1,4
104510038,2022,2200,1,4
104510038,2022,1271,1,4
104510038,2022,2176,1,4
104510038,2022,1938,1,4
104510038,2022,2415,1,4
104510038,2022,2202,1,4
104510038,2022,4606,1,4
104510038,2022,2544,1,4
104510038,2022,853,1,0
104510038,2022,14614,1,4
104510038,2022,6542,1,0
104510038,2022,1385,1,4
104510038,2022,1360,1,4
104510038,2022,5678,1,4
104510038,2022,6986,1,4
104510038,2022,1427,1,4
104510038,2022,2669,1,4
104510038,2022,1974,1,4
104510038,2022,2880,1,2
104510038,2022,5339,1,4
104510038,2022,890,1,4
104510038,2022,7928,1,4
104510038,2022,1388,1,4
104510038,2022,1195,1,4
104510038,2022,674,1,0
104510038,2022,1109,1,2
104510038,2022,3339,1,4
104510038,2022,3257,1,4
104510038,2022,2131,1,4
104510038,2022,3739,1,4
104510038,2022,2290,1,4
104510038,2022,2958,1,4
104510038,2022,1302,1,0
104510038,2022,4566,1,4
104510038,2022,6379,1,5
104510038,2022,10367,1,5
104510038,2022,7114,1,5
104510038,2022,3467,1,3
104510038,2022,5221,1,3
104510038,2022,2925,1,4
104510038,2022,6702,1,4
104510038,2022,107,1,4
104510038,2022,3846,1,4
104510038,2022,1053,1,0
104510038,2022,1900,1,4
104510038,2022,3494,1,4
104510038,2022,4107,1,4
104510038,2022,6499,1,4
104510038,2022,6635,1,4
104510038,2022,713,1,4
104510038,2022,4022,1,4
104510038,2022,5773,1,4
104510038,2022,3453,1,2
104510038,2022,640,1,4
104510038,2022,3016,1,4
104510038,2022,4618,1,4
104510038,2022,2742,1,4
104510038,2022,2718,1,4
104510038,2023,3532,1,4
104510038,2023,5836,1,4
104510038,2023,1905,1,4
104510038,2023,2,7,8
104510038,2023,2902,1,4
104510038,2023,1506,1,4
104510038,2023,3401,1,2
104510038,2023,503,1,4
104510038,2023,1807,1,4
104510038,2023,3514,2,4
104510038,2023,1908,1,4
104510038,2023,2981,1,0
104510038,2023,2176,2,4
104510038,2023,1853,1,4
104510038,2023,1073,1,4
104510038,2023,7609,1,4
104510038,2023,773,1,4
104510038,2023,2705,1,4
104510038,2023,2204,1,4
104510038,2023,5596,1,4
104510038,2023,6542,2,0
