yop_kodu,year,lise_id,yerlesen_sayisi,school_type
300210015,2023,2,1,8
300210015,2023,1121,1,4
300210015,2023,6233,1,4
300210015,2023,671,1,4
300210015,2023,6437,1,4
300210024,2022,2,1,8
300210024,2022,624,1,0
300210024,2022,1674,1,4
300210024,2022,3042,1,4
300210024,2022,5415,1,4
300210024,2022,4276,1,4
300210024,2022,550,1,5
300210024,2022,2637,1,5
300210024,2022,1490,1,5
300210024,2022,3931,1,4
300210024,2023,2,4,8
300210024,2023,642,1,4
300210024,2023,4525,1,4
300210024,2023,791,1,4
300210024,2023,4276,1,4
300210024,2023,7325,1,4
300210024,2023,5578,1,4
300210024,2023,2190,1,4
300210024,2023,5171,1,5
300210024,2023,10953,1,5
300210024,2023,11353,1,5
300210024,2023,3873,1,5
300210024,2024,2,1,8
300210051,2022,2,3,8
300210051,2022,857,1,4
300210051,2022,4312,1,4
300210051,2022,7348,1,5
300210051,2022,6325,1,5
300210051,2022,7802,1,5
300210051,2022,7346,1,5
300210051,2022,6468,1,5
300210051,2022,835,1,5
300210051,2022,3596,1,5
300210051,2022,13152,1,5
300210051,2022,5382,1,5
300210051,2022,9513,1,5
300210051,2022,7242,1,5
300210051,2022,9196,1,5
300210051,2022,13862,1,5
300210051,2023,2,2,8
300210051,2023,2980,1,4
300210051,2023,3336,1,4
300210051,2023,5332,1,4
300210051,2023,1475,1,4
300210051,2023,10801,1,0
300210051,2023,4658,1,2
300210051,2023,3,1,4
300210051,2023,43,1,1
300210051,2023,12204,1,5
300210051,2023,4804,1,5
300210051,2023,5630,1,5
300210051,2023,3732,1,5
300210051,2023,6746,1,5
300210051,2023,10318,1,5
300210051,2023,702,1,5
300210051,2023,6532,1,5
300210051,2023,10969,1,3
300210051,2023,3054,1,5
300210051,2023,153,1,4
300210051,2024,3901,1,4
300210069,2022,1727,1,4
300210069,2022,2,4,8
300210069,2022,12641,1,4
300210069,2022,3224,1,4
300210069,2022,798,1,4
300210069,2022,254,1,4
300210069,2022,1108,1,2
300210069,2022,8563,1,4
300210069,2022,988,1,5
300210069,2022,10558,1,5
300210069,2022,7183,1,5
300210069,2022,11156,1,5
300210069,2022,1599,1,4
300210069,2022,8208,1,4
300210069,2023,2,4,8
300210069,2023,70,1,4
300210069,2023,5876,1,4
300210069,2023,1216,1,4
300210069,2023,3609,1,2
300210069,2023,471,1,4
300210069,2023,6009,1,4
300210069,2023,5746,1,5
300210069,2023,10882,1,5
300210069,2023,5011,1,5
300210069,2023,3732,1,5
300210069,2023,10269,1,5
300210069,2023,587,1,5
300210069,2023,5546,1,5
300210069,2023,322,1,4
300210069,2023,11347,1,5
300210069,2023,10376,1,1
300210069,2023,1066,1,4
300210069,2024,6607,1,5
300210069,2024,11533,1,3
300210069,2024,623,1,4
300210069,2024,2,2,8
300210069,2024,5470,1,5
300210069,2024,9979,1,5
300210069,2024,6503,1,5
300210069,2024,7381,1,5
300210069,2024,10628,1,5
300210069,2024,2627,1,5
300210096,2022,2,4,8
300210096,2022,8244,1,4
300210096,2022,4248,1,4
300210096,2022,1590,1,0
300210096,2022,1810,1,4
300210096,2022,1866,1,4
300210096,2022,1884,1,4
300210096,2022,2820,1,4
300210096,2022,143,1,4
300210096,2022,2377,1,4
300210096,2022,897,1,4
300210096,2022,7802,1,5
300210096,2022,6557,1,5
300210096,2022,6342,1,5
300210096,2022,6025,1,5
300210096,2022,2644,1,5
300210096,2022,1100,1,4
300210096,2022,3608,1,4
300210096,2023,856,1,4
300210096,2023,2,6,8
300210096,2023,508,1,4
300210096,2023,1734,1,4
300210096,2023,1475,2,4
300210096,2023,262,1,4
300210096,2023,1992,1,4
300210096,2023,1302,1,0
300210096,2023,129,1,4
300210096,2023,5171,1,5
300210096,2023,11359,1,5
300210096,2023,10490,1,5
300210096,2023,2069,1,5
300210096,2023,5658,1,5
300210096,2023,1628,1,4
300210096,2024,2,1,8
300210096,2024,139,1,4
300210096,2024,6584,1,5
300210103,2022,624,1,0
300210103,2022,4248,1,4
300210103,2022,2431,1,4
300210103,2022,5538,2,4
300210103,2022,791,1,4
300210103,2022,1483,1,4
300210103,2022,4626,1,5
300210103,2022,5171,1,5
300210103,2022,4331,1,5
300210103,2022,6607,1,5
300210103,2022,7462,1,5
300210103,2022,6231,1,5
300210103,2022,258,1,4
300210103,2022,5016,1,4
300210103,2022,3846,1,4
300210103,2022,2848,1,4
300210103,2023,1806,1,0
300210103,2023,2,3,8
300210103,2023,4584,1,4
300210103,2023,262,1,4
300210103,2023,4287,1,4
300210103,2023,514,1,4
300210103,2023,4768,1,4
300210103,2023,4000,1,4
300210103,2023,6236,1,0
300210103,2023,269,1,0
300210103,2023,4045,1,4
300210103,2023,14733,1,1
300210103,2023,1921,1,5
300210103,2023,4580,1,4
300210103,2023,1801,1,4
300210103,2024,3426,1,0
300210103,2024,5341,1,4
300210103,2024,9977,1,5
300210103,2024,2637,1,5
300210103,2024,1049,1,3
300210103,2024,2644,2,5
300210103,2024,1698,1,4
300210103,2024,4411,1,4
300210103,2024,11143,1,4
300210103,2024,5809,1,4
300210103,2024,1806,1,0
300210103,2024,3374,1,4
300210103,2024,400,1,4
300210103,2024,2,1,8
300210103,2024,2950,1,4
300210103,2024,2434,1,4
300210103,2024,12518,1,4
300210103,2024,2720,1,4
300210103,2024,6236,1,0
300210103,2024,4294,1,0
300210563,2022,1290,1,4
300210563,2022,1930,1,4
300210563,2022,641,1,4
300210563,2022,2,1,8
300210563,2022,2980,1,4
300210563,2022,139,1,4
300210563,2022,537,1,4
300210563,2022,6698,1,4
300210563,2022,285,1,4
300210563,2022,3726,1,5
300210563,2022,8579,1,1
300210563,2022,1587,1,5
300210563,2022,4830,1,5
300210563,2022,1616,1,5
300210563,2022,6620,1,5
300210563,2022,9442,1,4
300210563,2022,9311,1,4
300210563,2022,1657,1,4
300210563,2023,10990,1,4
300210563,2023,2,3,8
300210563,2023,533,1,4
300210563,2023,378,1,4
300210563,2023,6296,1,4
300210563,2023,1194,1,4
300210563,2023,128,1,4
300210563,2023,1980,1,4
300210563,2023,244,1,5
300210563,2023,89,1,5
300210563,2023,395,1,5
300210563,2023,11103,1,5
300210563,2023,11071,1,3
300210563,2023,11204,1,5
300210563,2023,1615,1,5
300210563,2023,6231,1,5
300210563,2023,150,1,4
300210563,2023,109,1,4
300210563,2023,640,1,4
300210563,2023,229,1,4
300210563,2024,2995,1,5
300210563,2024,9172,1,5
300210563,2024,7068,1,5
300210563,2024,6592,1,3
300210563,2024,3640,1,5
300210563,2024,4427,1,5
300210563,2024,7770,1,3
300210563,2024,1307,1,5
300210563,2024,5802,1,5
300210563,2024,11386,1,5
300210563,2024,2,3,8
300210563,2024,387,1,4
300210563,2024,625,1,4
300210563,2024,4158,1,4
300210563,2024,2754,1,4
300210563,2024,2375,1,0
300210563,2024,4822,1,4
300210563,2024,244,1,5
300210563,2024,89,1,5
300210572,2022,1806,1,0
300210572,2022,2049,1,4
300210572,2022,2431,1,4
300210572,2022,5410,1,4
300210572,2022,6396,1,4
300210572,2022,840,1,4
300210572,2022,1409,1,4
300210572,2022,2479,1,4
300210572,2022,5587,1,4
300210572,2022,2585,1,4
300210572,2023,2,4,8
300210572,2023,2200,1,4
300210572,2023,3748,1,4
300210572,2023,4551,1,4
300210572,2023,2399,1,4
300210572,2023,7325,1,4
300210572,2023,452,1,4
300210572,2024,3111,1,4
300210572,2024,11351,1,0
300210572,2024,4597,1,4
300210572,2024,856,1,4
300210572,2024,2,1,8
300210572,2024,1707,1,4
300210572,2024,11447,1,4
300210572,2024,2434,1,4
300210572,2024,628,1,4
300210572,2024,6278,1,4
300210599,2022,3614,1,4
300210599,2022,4855,1,4
300210599,2022,11793,1,4
300210599,2022,3042,1,4
300210599,2022,3224,1,4
300210599,2022,5103,1,4
300210599,2022,2336,1,4
300210599,2022,5706,1,0
300210599,2022,6546,1,4
300210599,2022,11383,1,5
300210599,2022,7522,1,5
300210599,2022,6287,1,5
300210599,2022,5272,1,5
300210599,2022,258,1,4
300210599,2022,1922,1,2
300210599,2023,2,4,8
300210599,2023,3436,1,4
300210599,2023,2608,1,4
300210599,2023,3901,1,4
300210599,2023,2191,1,5
300210599,2023,7237,1,5
300210599,2023,7063,1,5
300210599,2023,4280,1,5
300210599,2023,10264,1,5
300210599,2023,1234,1,5
300210599,2023,910,1,5
300210599,2023,3349,1,5
300210599,2023,842,1,5
300210599,2023,524,1,5
300210599,2023,4306,1,5
300210599,2024,10984,1,5
300210599,2024,2356,1,5
300210599,2024,715,1,3
300210599,2024,4794,1,4
300210599,2024,2699,1,4
300210599,2024,3136,1,4
300210599,2024,1707,1,4
300210599,2024,4376,1,4
300210599,2024,791,1,4
300210599,2024,4323,1,4
300210599,2024,10468,1,5
300210599,2024,11457,1,5
300210599,2024,5525,1,5
300210599,2024,10235,1,5
300210615,2022,2,2,8
300210615,2022,7460,1,4
300210615,2022,4929,1,4
300210615,2022,2204,1,4
300210615,2022,3710,1,4
300210615,2022,2725,1,0
300210615,2022,1094,1,4
300210615,2022,3910,1,4
300210615,2022,3,1,4
300210615,2022,5341,1,4
300210615,2022,1929,1,4
300210615,2022,1980,1,4
300210615,2022,13093,1,1
300210615,2022,2573,1,5
300210615,2022,473,1,4
300210615,2022,608,1,4
300210615,2023,2,4,8
300210615,2023,4718,1,4
300210615,2023,2854,1,4
300210615,2023,3531,1,4
300210615,2023,2820,1,4
300210615,2023,8080,1,4
300210615,2023,3442,1,4
300210615,2023,1483,1,4
300210615,2023,3207,1,4
300210615,2023,2190,1,4
300210615,2023,9963,1,5
300210615,2023,10556,1,5
300210615,2023,1595,1,4
300210615,2023,4282,1,4
300210615,2024,12594,1,4
300210615,2024,1598,1,4
300210615,2024,640,1,4
300210615,2024,2,2,8
300210615,2024,118,1,0
300210615,2024,3378,1,4
300210615,2024,5875,1,4
300210615,2024,4855,1,4
300210615,2024,8733,1,5
300210615,2024,520,1,4
300210615,2024,7381,1,5
300210624,2022,2,1,8
300210624,2022,624,1,0
300210624,2022,772,1,4
300210624,2022,648,1,4
300210624,2022,5737,1,2
300210624,2022,5706,1,0
300210624,2022,651,1,4
300210624,2022,6009,1,4
300210624,2022,1876,1,5
300210624,2022,4507,1,4
300210624,2022,2912,1,4
300210624,2022,3543,1,4
300210624,2022,11375,1,4
300210624,2022,2652,1,4
300210624,2022,640,1,4
300210624,2022,325,1,4
300210624,2023,2,1,8
300210624,2023,3551,1,4
300210624,2023,8272,1,4
300210624,2023,265,1,4
300210624,2023,1319,1,4
300210624,2023,10051,1,4
300210624,2023,969,1,4
300210624,2023,431,1,4
300210624,2023,255,1,4
300210624,2023,393,1,4
300210624,2023,6025,1,5
300210624,2023,12977,1,4
300210624,2023,350,1,4
300210624,2023,4013,1,4
300210624,2023,4429,1,4
300210624,2023,657,1,4
300210624,2024,1928,1,4
300210624,2024,10725,1,5
300210624,2024,13105,1,5
300210624,2024,1773,1,4
300210624,2024,2,1,8
300210624,2024,4701,1,4
300210624,2024,1104,1,4
300210624,2024,2116,1,4
300210624,2024,9242,1,4
300210624,2024,358,1,4
300210624,2024,3407,1,4
300210624,2024,183,1,4
