yop_kodu,year,lise_id,yerlesen_sayisi,school_type
201910015,2024,6372,1,4
201910024,2022,2,1,8
201910024,2022,5481,1,4
201910024,2022,2551,1,4
201910024,2022,4322,1,4
201910024,2022,471,1,4
201910024,2022,4823,1,4
201910024,2022,4365,1,5
201910024,2022,12137,1,5
201910024,2022,2312,1,4
201910024,2022,5243,1,2
201910024,2023,1904,1,4
201910024,2023,2,3,8
201910024,2023,9886,1,4
201910024,2023,4728,1,4
201910024,2023,2284,1,4
201910024,2023,4359,1,4
201910024,2023,3297,1,4
201910024,2023,2977,1,4
201910024,2024,2523,1,1
201910024,2024,3268,1,4
201910024,2024,2,1,8
201910024,2024,2181,1,4
201910024,2024,14653,1,4
201910024,2024,649,1,4
201910024,2024,7182,1,4
201910024,2024,9469,1,5
201910024,2024,4329,2,5
201910078,2022,2,1,8
201910078,2022,3712,1,0
201910078,2022,12894,1,4
201910078,2022,4376,1,4
201910078,2022,6061,1,5
201910078,2022,1720,1,4
201910078,2022,10881,1,5
201910078,2022,7940,1,5
201910078,2022,11280,1,5
201910078,2022,11272,1,1
201910078,2022,3927,1,5
201910078,2022,9804,1,1
201910078,2022,11237,1,5
201910078,2022,10585,1,3
201910078,2022,6260,1,5
201910078,2022,11126,1,5
201910078,2022,9027,1,5
201910078,2022,10642,1,5
201910078,2022,10772,1,5
201910078,2022,5549,1,1
201910078,2022,107,1,4
201910078,2022,3690,1,4
201910078,2022,7888,1,4
201910078,2022,8446,1,4
201910078,2023,1905,1,4
201910078,2023,2,2,8
201910078,2023,1103,1,4
201910078,2023,7788,1,4
201910078,2023,1360,1,4
201910078,2023,649,1,4
201910078,2023,9424,1,5
201910078,2023,6399,1,5
201910078,2023,6847,1,5
201910078,2023,3343,1,5
201910078,2023,11241,1,5
201910078,2023,6189,1,5
201910078,2023,10867,1,5
201910078,2023,2098,1,4
201910078,2023,5712,1,4
201910078,2023,6735,1,4
201910078,2024,2,2,8
201910078,2024,1677,1,4
201910078,2024,471,1,4
201910078,2024,5450,1,4
201910078,2024,9994,1,5
201910078,2024,4351,1,5
201910078,2024,2098,1,4
201910078,2024,4136,1,4
201910087,2022,2,1,8
201910087,2022,1505,1,4
201910087,2022,3316,1,4
201910087,2022,2202,1,4
201910087,2022,1966,1,4
201910087,2022,3382,1,4
201910087,2022,3405,1,4
201910087,2022,5101,1,4
201910087,2022,2377,1,4
201910087,2022,2030,1,4
201910087,2022,4899,1,5
201910087,2022,998,1,4
