yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105210029,2022,1290,1,4
105210029,2022,740,1,4
105210029,2022,2142,2,4
105210029,2022,7278,1,4
105210029,2022,2,3,8
105210029,2022,7759,2,4
105210029,2022,658,1,4
105210029,2022,4187,1,4
105210029,2022,402,1,4
105210029,2022,9816,1,4
105210029,2022,6752,1,4
105210029,2022,5898,1,4
105210029,2022,231,1,4
105210029,2022,3766,1,4
105210029,2022,330,1,4
105210029,2022,5313,2,4
105210029,2022,7094,1,4
105210029,2022,4017,1,4
105210029,2022,121,1,4
105210029,2022,378,1,4
105210029,2022,7212,1,4
105210029,2022,7077,1,4
105210029,2022,218,1,4
105210029,2022,1183,1,4
105210029,2022,171,2,4
105210029,2022,12335,3,4
105210029,2022,4976,1,4
105210029,2022,1383,1,4
105210029,2022,1250,1,4
105210029,2022,420,1,4
105210029,2022,4960,3,4
105210029,2022,422,2,4
105210029,2022,11027,1,4
105210029,2022,1649,1,4
105210029,2022,264,1,4
105210029,2022,1173,1,4
105210029,2022,7092,1,4
105210029,2022,797,1,4
105210029,2022,222,1,4
105210029,2022,3980,1,4
105210029,2022,426,1,4
105210029,2022,790,2,4
105210029,2022,754,6,4
105210029,2022,8527,2,4
105210029,2022,493,1,4
105210029,2022,360,1,4
105210029,2022,670,1,4
105210029,2022,1428,1,4
105210029,2022,4530,1,4
105210029,2022,7540,1,4
105210029,2022,429,1,4
105210029,2022,432,1,4
105210029,2022,339,1,4
105210029,2022,7548,2,4
105210029,2022,2757,1,4
105210029,2022,7250,2,4
105210029,2022,183,1,4
105210029,2022,8732,1,4
105210029,2022,35,10,0
105210029,2022,4821,1,4
105210029,2022,470,3,4
105210029,2022,242,1,4
105210029,2022,651,1,4
105210029,2022,3229,1,4
105210029,2022,5450,1,4
105210029,2022,3505,1,4
105210029,2022,11062,1,4
105210029,2022,5326,2,4
105210029,2022,6896,1,5
105210029,2022,1307,1,5
105210029,2022,8617,1,4
105210029,2022,5603,1,4
105210029,2022,7277,1,4
105210029,2022,1344,1,4
105210029,2022,1450,4,4
105210029,2022,3101,1,4
105210029,2022,4198,1,4
105210029,2022,449,1,4
105210029,2022,8423,1,4
105210029,2022,2970,1,4
105210029,2022,7357,1,4
105210029,2022,324,1,4
105210029,2022,6770,1,4
105210029,2022,3417,1,4
105210029,2022,7040,2,4
105210029,2022,399,1,4
105210029,2022,781,1,4
105210029,2022,456,1,4
105210029,2022,229,2,4
105210029,2022,782,1,4
105210029,2022,251,1,4
105210029,2022,738,1,4
105210029,2023,1290,1,4
105210029,2023,5047,2,4
105210029,2023,2,11,8
105210029,2023,3032,1,4
105210029,2023,1333,1,4
105210029,2023,658,1,4
105210029,2023,415,1,4
105210029,2023,6912,1,4
105210029,2023,1442,2,4
105210029,2023,3817,1,4
105210029,2023,330,1,4
105210029,2023,5313,3,4
105210029,2023,77,1,4
105210029,2023,7212,4,4
105210029,2023,218,1,4
105210029,2023,645,1,4
105210029,2023,333,1,4
105210029,2023,462,1,4
105210029,2023,5949,1,4
105210029,2023,172,1,4
105210029,2023,1383,1,4
105210029,2023,6234,1,4
105210029,2023,389,1,4
105210029,2023,1649,1,4
105210029,2023,4068,1,4
105210029,2023,6198,1,4
105210029,2023,24,1,4
105210029,2023,196,1,4
105210029,2023,3094,1,4
105210029,2023,2771,1,2
105210029,2023,706,1,4
105210029,2023,790,2,4
105210029,2023,754,10,4
105210029,2023,7145,1,4
105210029,2023,8527,3,4
105210029,2023,4870,1,0
105210029,2023,3602,1,4
105210029,2023,4530,1,4
105210029,2023,5366,1,4
105210029,2023,6435,1,4
105210029,2023,5918,1,4
105210029,2023,439,1,4
105210029,2023,35,27,0
105210029,2023,547,1,4
105210029,2023,470,1,4
105210029,2023,255,1,4
105210029,2023,5026,1,4
105210029,2023,7588,1,4
105210029,2023,128,1,4
105210029,2023,7937,1,4
105210029,2023,521,1,4
105210029,2023,8617,1,4
105210029,2023,5309,1,4
105210029,2023,97,1,4
105210029,2023,3101,1,4
105210029,2023,6874,2,4
105210029,2023,12119,1,4
105210029,2023,2865,1,4
105210029,2023,8423,1,4
105210029,2023,9373,1,4
105210029,2023,324,1,4
105210029,2023,5987,1,4
105210029,2023,618,1,4
105210029,2023,352,1,0
105210029,2023,8844,1,4
105210029,2023,6995,2,4
105210029,2023,6068,1,4
105210029,2023,354,1,4
105210029,2023,388,1,4
105210029,2023,228,1,4
105210029,2023,781,1,4
105210029,2023,456,1,4
105210029,2023,640,1,4
105210029,2023,12630,1,4
105210029,2023,12937,1,4
105210029,2023,153,1,4
105210029,2024,4041,1,4
105210029,2024,2317,1,4
105210029,2024,823,1,4
105210029,2024,658,5,4
105210029,2024,4187,1,4
105210029,2024,3745,1,4
105210029,2024,8868,1,4
105210029,2024,5313,1,4
105210029,2024,6716,1,4
105210029,2024,7473,1,4
105210029,2024,9,1,2
105210029,2024,301,1,4
105210029,2024,7681,1,4
105210029,2024,2919,2,4
105210029,2024,2180,1,4
105210029,2024,484,1,4
105210029,2024,1649,3,4
105210029,2024,6561,1,4
105210029,2024,7152,1,4
105210029,2024,3852,1,4
105210029,2024,304,1,4
105210029,2024,5047,3,4
105210029,2024,9782,1,4
105210029,2024,8076,1,4
105210029,2024,3094,1,4
105210029,2024,1251,1,4
105210029,2024,6494,1,4
105210029,2024,790,1,4
105210029,2024,8527,3,4
105210029,2024,1428,1,4
105210029,2024,1815,1,4
105210029,2024,4530,1,4
105210029,2024,256,1,4
105210029,2024,7003,1,4
105210029,2024,6767,1,4
105210029,2024,28,1,4
105210029,2024,7548,1,4
105210029,2024,2028,1,4
105210029,2024,7325,1,4
105210029,2024,7250,1,4
105210029,2024,35,1,0
105210029,2024,37,1,4
105210029,2024,2067,3,4
105210029,2024,483,31,8
105210029,2024,14131,1,4
105210029,2024,1432,1,4
105210029,2024,521,1,4
105210029,2024,11062,1,4
105210029,2024,6896,1,5
105210029,2024,9193,1,1
105210029,2024,14132,1,4
105210029,2024,3353,1,4
105210029,2024,4036,1,4
105210029,2024,1450,2,4
105210029,2024,2,13,8
105210029,2024,802,1,4
105210029,2024,6907,1,4
105210029,2024,3122,1,4
105210029,2024,449,1,4
105210029,2024,768,1,4
105210029,2024,13923,1,4
105210029,2024,2970,1,4
105210029,2024,1752,1,4
105210029,2024,324,1,4
105210029,2024,657,1,4
105210029,2024,1332,1,4
105210029,2024,6686,1,4
105210029,2024,11,1,4
105210029,2024,328,1,4
105210108,2022,66,2,4
105210108,2022,2142,2,4
105210108,2022,5047,2,4
105210108,2022,2,8,8
105210108,2022,118,1,0
105210108,2022,6836,1,4
105210108,2022,3376,1,4
105210108,2022,7141,1,4
105210108,2022,3061,2,4
105210108,2022,7759,1,4
105210108,2022,658,1,4
105210108,2022,13555,1,4
105210108,2022,3021,1,4
105210108,2022,3817,5,4
105210108,2022,5313,2,4
105210108,2022,796,1,4
105210108,2022,662,1,4
105210108,2022,629,1,4
105210108,2022,9396,1,4
105210108,2022,1649,1,4
105210108,2022,9926,1,4
105210108,2022,1815,1,4
105210108,2022,11040,1,4
105210108,2022,9083,1,4
105210108,2022,8732,2,4
105210108,2022,8347,1,4
105210108,2022,6447,1,4
105210108,2022,443,1,4
105210108,2022,8752,1,1
105210108,2022,8150,1,1
