yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105310019,2022,693,2,4
105310019,2022,793,1,4
105310019,2022,2,4,8
105310019,2022,2765,1,4
105310019,2022,1121,2,4
105310019,2022,2815,1,4
105310019,2022,863,2,4
105310019,2022,16,1,0
105310019,2022,1018,1,2
105310019,2022,2283,1,4
105310019,2022,1810,1,4
105310019,2022,2541,1,2
105310019,2022,6023,1,2
105310019,2022,3404,2,4
105310019,2022,870,1,2
105310019,2022,1124,1,2
105310019,2022,1884,1,4
105310019,2022,2349,1,4
105310019,2022,953,1,4
105310019,2022,875,1,2
105310019,2022,878,1,4
105310019,2022,4796,1,4
105310019,2022,5054,1,4
105310019,2022,1126,1,4
105310019,2022,1836,1,0
105310019,2022,879,2,4
105310019,2022,880,1,4
105310019,2022,1152,1,4
105310019,2022,846,2,2
105310019,2022,1914,1,4
105310019,2022,966,1,4
105310019,2022,577,2,2
105310019,2022,544,1,2
105310019,2022,698,1,2
105310019,2022,1482,1,4
105310019,2022,1299,1,4
105310019,2022,893,1,4
105310019,2022,2670,1,2
105310019,2022,2609,1,2
105310019,2022,310,1,4
105310019,2022,1156,1,4
105310019,2022,4668,1,2
105310019,2022,2610,1,4
105310019,2022,35,1,0
105310019,2022,547,1,4
105310019,2022,3824,2,4
105310019,2022,700,1,2
105310019,2022,897,2,4
105310019,2022,2671,2,2
105310019,2022,1198,1,4
105310019,2022,978,1,4
105310019,2022,848,1,4
105310019,2022,2958,1,4
105310019,2022,1135,1,4
105310019,2022,1110,1,4
105310019,2022,5527,1,5
105310019,2022,4538,1,3
105310019,2022,5297,1,5
105310019,2022,10432,1,5
105310019,2022,10541,1,3
105310019,2022,13352,1,1
105310019,2022,2504,1,5
105310019,2022,14062,1,3
105310019,2022,1282,1,5
105310019,2022,3468,1,3
105310019,2022,6103,1,3
105310019,2022,2291,1,5
105310019,2022,2154,1,5
105310019,2022,4941,1,5
105310019,2022,4169,1,5
105310019,2022,1493,1,4
105310019,2022,1005,1,4
105310019,2022,3473,1,2
105310019,2022,1438,1,4
105310019,2022,399,1,4
105310019,2022,936,1,4
105310019,2022,3453,1,2
105310019,2022,2584,1,2
105310019,2022,2788,2,4
105310019,2023,1024,1,2
105310019,2023,856,1,4
105310019,2023,2,12,8
105310019,2023,857,1,4
105310019,2023,940,2,4
105310019,2023,2746,1,4
105310019,2023,70,1,4
105310019,2023,942,2,2
105310019,2023,1175,3,4
105310019,2023,2460,1,4
105310019,2023,5674,1,4
105310019,2023,943,1,4
105310019,2023,863,1,4
105310019,2023,3693,1,4
105310019,2023,626,1,4
105310019,2023,2283,1,4
105310019,2023,946,1,2
105310019,2023,663,1,4
105310019,2023,3106,1,4
105310019,2023,1884,1,4
105310019,2023,871,2,2
105310019,2023,952,2,2
105310019,2023,411,1,2
