yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202090260,2022,2,3,8
202090260,2022,4124,1,4
202090260,2022,2352,1,1
202090260,2022,10483,1,5
202090260,2022,4970,1,5
202090260,2022,3008,1,5
202090260,2022,1796,1,5
202090260,2022,6570,1,1
202090260,2022,5546,1,5
202090260,2022,10539,1,3
202090260,2022,10867,1,5
202090260,2022,8612,1,5
202090260,2022,1605,1,1
202090260,2023,2,1,8
202090260,2023,5481,1,4
202090260,2023,3276,1,0
202090260,2023,35,1,0
202090260,2023,4329,1,5
202090260,2023,6392,1,5
202090260,2023,10857,1,5
202090260,2023,3886,1,5
202090260,2023,11153,1,5
202090260,2023,3413,1,5
202090260,2023,1631,1,5
202090260,2023,3431,1,1
202090260,2023,5145,1,1
202090260,2023,10852,1,5
202090260,2023,2282,1,4
202090260,2024,2,1,8
202090260,2024,4827,1,1
202090261,2022,2,2,8
202090261,2022,1424,1,4
202090261,2022,890,1,4
202090261,2022,6366,1,0
202090261,2022,976,1,4
202090261,2022,4296,1,4
202090261,2022,10148,1,5
202090261,2022,9092,1,1
202090261,2022,7398,1,5
202090261,2022,5155,1,4
202090261,2023,2,2,8
202090261,2023,2260,1,4
202090261,2023,262,1,4
202090261,2023,2558,1,4
202090261,2023,5497,1,5
202090261,2023,10852,1,5
202090261,2023,2736,1,4
202090261,2023,653,1,0
202090261,2023,731,1,2
202090261,2023,4717,1,0
202090261,2024,2862,1,4
202090261,2024,1667,1,5
202090261,2024,1178,1,4
202090261,2024,120,1,4
202090261,2024,3692,1,4
202090261,2024,1555,1,4
202090261,2024,4419,1,4
202090261,2024,2477,1,4
202090261,2024,4964,1,4
202090261,2024,4425,1,4
202090262,2022,2,3,8
202090262,2022,4248,1,4
202090262,2022,5299,1,4
202090262,2022,6433,1,4
202090262,2022,4815,1,0
202090262,2022,1908,1,4
202090262,2022,1780,1,4
202090262,2022,5792,1,4
202090262,2022,3674,1,4
202090262,2022,5004,1,0
202090262,2022,1867,1,4
202090262,2022,5280,1,4
202090262,2022,1529,1,4
202090262,2022,962,1,4
202090262,2022,11154,1,1
202090262,2022,6929,1,0
202090262,2022,4361,1,4
202090262,2022,516,1,4
202090262,2022,7623,1,4
202090262,2022,4190,1,0
202090262,2022,4319,1,4
202090262,2022,4028,1,5
202090262,2022,9169,1,5
202090262,2022,10841,1,5
202090262,2022,11155,1,5
202090262,2022,6166,1,5
202090262,2022,11156,1,5
202090262,2022,11157,1,1
202090262,2022,5711,1,5
202090262,2022,10309,1,5
202090262,2022,2713,1,5
