yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202210028,2022,1068,1,4
202210028,2022,4176,1,4
202210028,2022,2607,1,4
202210028,2023,2768,1,4
202210028,2023,5161,1,4
202210028,2023,4751,1,4
202210028,2024,2,1,8
202210028,2024,4111,1,4
202210028,2024,10726,1,5
202210028,2024,6281,1,0
202210046,2022,2,2,8
202210046,2022,1122,1,4
202210046,2022,9333,1,4
202210046,2022,3405,1,4
202210046,2023,7557,1,4
202210046,2023,8344,1,4
202210046,2023,2693,1,4
202210046,2023,1053,1,0
202210046,2023,1989,1,4
202210046,2023,3662,1,4
202210046,2023,5244,1,2
202210046,2024,2,1,8
202210046,2024,4728,1,4
202210046,2024,3266,1,4
202210046,2024,4961,1,4
202210046,2024,4723,1,4
202210046,2024,7191,1,4
202210046,2024,1264,1,4
202210064,2022,3221,1,2
202210064,2022,3405,1,4
202210064,2022,7191,1,4
202210064,2022,5783,1,4
202210064,2022,2812,1,4
202210064,2023,2,1,8
202210064,2023,857,1,4
202210064,2023,5160,1,4
202210064,2023,4622,1,4
202210064,2023,902,1,4
202210064,2023,917,1,4
202210064,2024,7425,1,4
202210064,2024,7557,1,4
202210064,2024,1976,1,4
202210064,2024,4723,1,4
202210064,2024,3762,1,4
202210064,2024,3801,1,4
202210073,2022,2,4,8
202210073,2022,11251,1,4
202210073,2022,8275,1,4
202210073,2022,5246,1,2
202210073,2022,4146,1,4
202210073,2022,35,1,0
202210073,2022,6762,1,4
202210073,2022,10999,1,3
202210073,2022,6553,1,4
202210073,2022,4599,1,4
202210073,2023,2,5,8
202210073,2023,4763,1,4
202210073,2023,12171,1,4
202210073,2023,7662,1,4
202210073,2023,1867,1,4
202210073,2023,5401,1,4
202210073,2023,1760,1,4
202210073,2023,3657,1,4
202210073,2023,4072,1,4
202210073,2023,11794,1,5
202210073,2023,5473,1,5
202210073,2023,3196,1,4
202210073,2023,1661,1,4
202210073,2024,2,2,8
202210073,2024,3359,1,4
202210073,2024,5473,1,5
202210073,2024,9035,1,1
202210073,2024,6898,1,4
202210073,2024,2106,1,4
202210082,2022,2,6,8
202210082,2022,9143,1,4
202210082,2022,2433,1,4
202210082,2022,2202,1,4
202210082,2022,9149,1,4
202210082,2022,4500,1,4
202210082,2022,2107,1,4
202210082,2022,4287,1,4
202210082,2022,1714,1,4
202210082,2022,4964,1,4
202210082,2022,6650,1,4
202210082,2022,3276,1,0
202210082,2022,2264,1,4
202210082,2022,35,1,0
202210082,2022,7856,1,4
202210082,2022,10337,1,5
202210082,2022,7038,1,1
202210082,2022,5455,1,4
202210082,2022,7459,1,4
202210082,2022,5478,1,4
202210082,2023,2,5,8
202210082,2023,3378,1,4
202210082,2023,1513,1,4
202210082,2023,6605,1,4
202210082,2023,1704,1,4
202210082,2023,100,1,4
202210082,2023,160,1,4
202210082,2023,6145,1,4
202210082,2023,35,1,0
202210082,2023,471,1,4
202210082,2023,9614,1,5
202210082,2023,3682,1,5
202210082,2023,8756,1,1
202210082,2023,9008,1,5
202210082,2023,10655,1,5
202210082,2023,9694,1,5
202210082,2023,2312,1,4
202210082,2023,455,1,4
202210082,2023,3997,1,4
202210082,2023,5033,2,4
202210082,2023,2105,1,4
202210082,2023,1775,1,4
202210082,2023,4993,1,4
202210082,2024,12337,1,4
202210082,2024,11648,1,4
202210082,2024,1763,1,4
202210082,2024,11593,1,5
202210082,2024,10524,1,5
202210082,2024,1998,1,4
202210082,2024,3801,1,4
202210082,2024,3268,1,4
202210082,2024,2,2,8
202210082,2024,2433,1,4
202210082,2024,6588,1,4
202210082,2024,1406,1,4
202210082,2024,2934,1,4
202210082,2024,3772,1,4
202210082,2024,6650,1,4
202210091,2022,2,3,8
202210091,2022,10041,1,4
202210091,2022,1555,1,4
202210091,2022,9525,1,4
202210091,2022,3769,1,4
202210091,2022,2325,1,4
202210091,2022,3110,1,4
202210091,2022,9536,1,4
202210091,2022,8529,1,4
202210091,2022,1760,1,4
202210091,2022,4072,1,4
202210091,2022,35,1,0
202210091,2022,2030,1,4
202210091,2022,6257,1,5
202210091,2022,8155,1,5
202210091,2022,4216,1,5
202210091,2022,6763,1,5
202210091,2022,5453,1,5
202210091,2022,12356,1,5
202210091,2022,10739,1,5
202210091,2022,3762,1,4
202210091,2022,10793,1,4
202210091,2022,1825,1,4
202210091,2022,2282,1,4
202210091,2022,7192,1,4
202210091,2022,3801,1,4
202210091,2022,4266,1,4
202210091,2022,2812,1,4
202210091,2023,2,2,8
202210091,2023,4373,1,4
202210091,2023,11251,1,4
202210091,2023,6131,1,4
202210091,2023,1634,1,4
202210091,2023,2496,1,4
202210091,2023,6174,1,4
202210091,2023,3316,1,4
202210091,2023,5572,1,4
202210091,2023,6021,1,4
202210091,2023,8275,1,4
202210091,2023,1735,1,4
202210091,2023,2260,1,4
202210091,2023,2350,1,4
202210091,2023,4964,1,4
202210091,2023,8529,1,4
202210091,2023,7627,1,4
202210091,2023,6892,1,4
202210091,2023,6815,1,4
202210091,2023,471,1,4
202210091,2023,4823,1,4
202210091,2023,10608,1,5
202210091,2023,7776,1,5
202210091,2023,6621,1,5
202210091,2023,3790,2,4
202210091,2023,12046,1,4
202210091,2023,6959,1,4
202210091,2023,3153,1,4
202210091,2023,455,3,4
202210091,2023,5033,1,4
202210091,2024,11981,1,1
202210091,2024,5662,1,1
202210091,2024,4241,1,5
202210091,2024,248,1,4
202210091,2024,1775,1,4
202210091,2024,2,1,8
202210091,2024,8662,1,4
202210091,2024,363,1,4
202210091,2024,3438,1,4
202210091,2024,7488,1,4
202210091,2024,3988,1,0
202210091,2024,5381,1,4
202210091,2024,2132,1,4
202210152,2022,2365,1,4
202210152,2022,6650,1,4
202210152,2022,2668,1,4
202210152,2022,4278,1,4
202210152,2022,1038,1,4
202210152,2023,2,2,8
202210152,2023,861,1,4
202210152,2023,1834,1,0
202210152,2023,10880,1,4
202210152,2023,2531,1,4
202210152,2023,2525,1,4
202210152,2023,3355,1,4
202210152,2023,2812,1,4
202210152,2024,483,1,8
202210152,2024,861,1,4
202210152,2024,5482,1,4
202210152,2024,3266,1,4
202210152,2024,100,1,4
202210152,2024,2132,2,4
202210152,2024,2506,1,4
202210152,2024,1283,1,4
202210161,2022,2,6,8
202210161,2022,4763,1,4
202210161,2022,2023,1,4
202210161,2022,9886,1,4
202210161,2022,5075,1,4
202210161,2022,405,1,0
202210161,2022,1857,1,4
202210161,2022,7210,1,4
202210161,2022,6823,2,4
202210161,2022,2478,1,4
202210161,2022,10680,1,5
202210161,2022,4922,1,5
202210161,2022,10897,1,5
202210161,2022,7716,1,5
202210161,2022,6621,1,5
202210161,2022,6425,1,5
202210161,2022,6485,1,4
202210161,2022,455,1,4
202210161,2022,3591,1,4
202210161,2023,2,13,8
202210161,2023,3104,2,4
202210161,2023,1863,1,4
202210161,2023,4743,1,4
202210161,2023,1883,1,4
202210161,2023,3769,1,4
202210161,2023,2260,1,4
202210161,2023,3988,1,0
202210161,2023,2350,1,4
202210161,2023,2531,2,4
202210161,2023,3274,1,4
202210161,2023,7572,1,4
202210161,2023,6823,1,4
202210161,2023,35,1,0
202210161,2023,3540,1,4
202210161,2023,6815,1,4
202210161,2023,9969,1,5
202210161,2023,7596,1,5
202210161,2023,5504,1,5
202210161,2023,5702,1,5
202210161,2023,5828,1,5
202210161,2023,3801,2,4
202210161,2023,2812,1,4
202210161,2023,5511,1,4
202210161,2023,5478,1,4
202210161,2023,5033,1,4
202210161,2023,8655,1,4
202210161,2024,4764,1,4
202210161,2024,2260,1,4
202210161,2024,3361,1,4
202210161,2024,2879,1,4
202210161,2024,1867,2,4
202210161,2024,1713,1,4
202210161,2024,4376,1,4
202210161,2024,2531,2,4
202210161,2024,2308,1,4
202210161,2024,10232,1,4
202210161,2024,10947,1,4
202210161,2024,9208,1,5
202210161,2024,9983,1,5
202210161,2024,8754,1,5
202210161,2024,6848,1,5
202210161,2024,7290,1,5
202210161,2024,9686,1,5
202210161,2024,1631,1,5
202210161,2024,7668,1,5
202210161,2024,5702,1,5
202210161,2024,1986,1,4
202210161,2024,483,2,8
