yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202410026,2022,4597,1,4
202410026,2022,1705,1,4
202410026,2022,2,8,8
202410026,2022,6460,1,4
202410026,2022,4373,1,4
202410026,2022,5300,1,4
202410026,2022,3378,1,4
202410026,2022,4763,1,4
202410026,2022,1634,1,4
202410026,2022,2172,1,4
202410026,2022,363,1,4
202410026,2022,4728,1,4
202410026,2022,3315,1,4
202410026,2022,5481,1,4
202410026,2022,1776,2,4
202410026,2022,11532,1,4
202410026,2022,2490,1,4
202410026,2022,3380,1,4
202410026,2022,3359,1,4
202410026,2022,1558,1,0
202410026,2022,4252,1,4
202410026,2022,4314,1,4
202410026,2022,1884,1,4
202410026,2022,1563,1,4
202410026,2022,4912,1,4
202410026,2022,3772,1,4
202410026,2022,6027,1,4
202410026,2022,3382,1,4
202410026,2022,262,1,4
202410026,2022,1757,1,4
202410026,2022,8515,1,4
202410026,2022,4961,1,4
202410026,2022,1713,1,4
202410026,2022,4376,1,4
202410026,2022,647,2,4
202410026,2022,11678,1,0
202410026,2022,5626,1,4
202410026,2022,5522,1,4
202410026,2022,3365,1,4
202410026,2022,4408,1,4
202410026,2022,4521,1,4
202410026,2022,2479,1,4
202410026,2022,4919,1,5
202410026,2022,4329,3,5
202410026,2022,11910,1,5
202410026,2022,4709,1,5
202410026,2022,10691,1,5
202410026,2022,5421,1,5
202410026,2022,5440,1,5
202410026,2022,5661,1,5
202410026,2022,9004,1,5
202410026,2022,7398,1,5
202410026,2022,10017,1,5
202410026,2022,10633,1,5
202410026,2022,10686,1,5
202410026,2022,5357,1,4
202410026,2022,204,1,4
202410026,2022,297,1,4
202410026,2022,2271,1,4
202410026,2022,1607,1,4
202410026,2023,3648,1,4
202410026,2023,2,16,8
202410026,2023,1779,1,0
202410026,2023,4763,1,4
202410026,2023,2368,1,4
202410026,2023,943,4,4
202410026,2023,6174,1,4
202410026,2023,2792,1,4
202410026,2023,3316,2,4
202410026,2023,4358,1,4
202410026,2023,2490,1,4
