yop_kodu,year,lise_id,yerlesen_sayisi,school_type
207510055,2022,1563,1,4
207510055,2022,2602,1,4
207510055,2022,5812,1,4
207510055,2022,8080,1,4
207510055,2022,2907,1,4
207510055,2022,9829,1,5
207510055,2022,2977,1,4
207510055,2023,2597,1,4
207510055,2023,1378,1,4
207510055,2023,5101,1,4
207510055,2023,668,1,4
207510055,2023,10747,1,3
207510055,2023,5508,1,4
207510055,2023,4878,1,4
207510055,2023,3709,1,4
207510055,2024,2,1,8
207510055,2024,1334,1,4
207510055,2024,6228,1,4
207510055,2024,3561,1,4
207510055,2024,4846,1,4
207510055,2024,2271,1,4
207510064,2022,2,5,8
207510064,2022,1808,1,4
207510064,2022,2934,1,4
207510064,2022,389,1,4
207510064,2022,1563,1,4
207510064,2022,3382,1,4
207510064,2022,2204,1,4
207510064,2022,1126,1,4
207510064,2022,4722,1,4
207510064,2022,3724,1,4
207510064,2022,9257,1,4
207510064,2022,547,1,4
207510064,2022,1431,1,0
207510064,2022,5450,1,4
207510064,2022,5451,1,5
207510064,2022,5062,1,5
207510064,2022,5028,1,5
207510064,2022,7398,1,5
207510064,2022,4985,1,5
207510064,2022,11766,1,5
207510064,2022,1045,1,3
207510064,2022,14246,1,1
207510064,2022,2153,1,1
207510064,2022,2326,1,5
207510064,2022,14182,1,5
207510064,2022,6469,1,5
207510064,2022,4169,1,5
207510064,2022,3283,1,5
207510064,2022,6957,1,4
207510064,2022,107,1,4
207510064,2022,1877,1,4
207510064,2022,2454,1,4
207510064,2022,1774,1,4
207510064,2022,1661,1,4
207510064,2023,6253,1,4
207510064,2023,3268,1,4
207510064,2023,2,3,8
207510064,2023,4373,1,4
207510064,2023,3378,1,4
207510064,2023,1086,1,4
207510064,2023,1853,1,4
207510064,2023,2597,1,4
207510064,2023,8475,1,4
207510064,2023,1810,1,4
207510064,2023,2743,1,4
207510064,2023,6196,1,4
207510064,2023,389,2,4
207510064,2023,1563,2,4
207510064,2023,6027,1,4
207510064,2023,1857,1,4
207510064,2023,6561,2,4
207510064,2023,8301,1,4
207510064,2023,5101,1,4
207510064,2023,4551,1,4
207510064,2023,649,1,4
207510064,2023,3540,2,4
207510064,2023,5490,1,4
207510064,2023,2823,1,5
207510064,2023,7382,1,3
207510064,2023,11241,1,5
207510064,2023,6573,1,5
207510064,2023,10792,1,5
207510064,2023,6310,1,5
207510064,2023,4411,1,4
207510064,2023,149,1,4
207510064,2023,9745,1,4
207510064,2023,2943,1,4
207510064,2023,6993,1,4
207510064,2023,5033,1,4
207510064,2023,2977,1,4
207510064,2024,8893,1,4
207510064,2024,389,1,4
207510064,2024,4994,1,4
207510064,2024,6070,1,4
207510064,2024,6071,1,4
207510064,2024,2605,1,4
207510064,2024,5007,1,4
207510064,2024,2442,1,4
207510064,2024,4917,1,4
207510064,2024,6238,1,4
207510064,2024,10103,1,4
207510064,2024,4669,1,5
207510064,2024,10236,1,5
207510064,2024,10003,1,5
207510064,2024,12181,1,1
207510064,2024,3640,1,5
207510064,2024,1921,1,5
207510064,2024,14137,1,5
207510064,2024,4523,1,4
207510064,2024,3931,1,4
207510064,2024,12081,1,4
207510064,2024,2,4,8
207510064,2024,5428,1,4
207510064,2024,4415,1,0
207510064,2024,2172,1,4
207510064,2024,2597,1,4
207510064,2024,2792,1,4
207510064,2024,298,1,4
207510064,2024,4864,1,4
207510064,2024,378,2,4
207510082,2022,2,3,8
207510082,2022,3616,1,4
207510082,2022,4274,1,4
207510082,2022,3496,1,4
207510082,2022,2977,1,4
207510082,2023,2,4,8
207510082,2023,11656,1,4
207510082,2023,4764,1,4
207510082,2023,4523,1,4
207510082,2023,1628,1,4
207510082,2024,3268,1,4
207510082,2024,2,1,8
207510082,2024,794,1,4
207510082,2024,1863,1,4
207510082,2024,4744,1,4
207510082,2024,998,1,4
207510082,2024,638,1,4
207510082,2024,1013,1,2
207510091,2022,4952,1,4
207510091,2022,2,2,8
207510091,2022,2746,1,4
207510091,2022,771,1,4
207510091,2022,5714,1,4
207510091,2022,6219,1,4
207510091,2022,5481,1,4
207510091,2022,405,1,0
207510091,2022,3265,1,2
207510091,2022,2934,1,4
207510091,2022,10612,1,4
207510091,2022,1563,1,4
207510091,2022,5623,1,4
207510091,2022,7847,1,4
207510091,2022,4688,1,4
207510091,2022,7851,1,0
207510091,2022,5625,1,4
207510091,2022,4626,1,5
207510091,2022,6500,1,5
207510091,2022,5880,1,5
207510091,2022,9277,1,5
207510091,2022,4709,1,5
207510091,2022,12157,1,5
207510091,2022,4970,1,5
207510091,2022,9993,1,1
207510091,2022,2883,1,5
207510091,2022,5063,1,5
207510091,2022,4775,1,5
207510091,2022,11406,1,5
207510091,2022,10709,1,5
207510091,2022,10741,1,5
207510091,2022,12880,1,5
207510091,2022,5702,1,5
207510091,2022,11283,1,3
207510091,2022,149,1,4
207510091,2022,851,1,4
207510091,2022,5759,1,4
207510091,2023,2,2,8
207510091,2023,168,1,4
207510091,2023,6433,1,4
207510091,2023,376,1,4
207510091,2023,1507,1,4
207510091,2023,4763,1,4
207510091,2023,943,1,4
207510091,2023,6079,2,4
207510091,2023,3817,1,4
207510091,2023,2497,1,4
207510091,2023,5002,1,4
207510091,2023,8276,1,4
207510091,2023,1089,1,4
207510091,2023,1444,1,4
207510091,2023,3162,1,4
207510091,2023,5812,1,4
207510091,2023,8523,1,4
207510091,2023,4646,1,4
207510091,2023,6677,1,0
207510091,2023,649,1,4
207510091,2023,35,1,0
207510091,2023,1918,1,4
207510091,2023,2030,1,4
207510091,2023,7945,1,1
207510091,2023,4920,1,5
207510091,2023,2447,1,5
207510091,2023,14247,1,1
207510091,2023,1631,1,5
207510091,2023,7716,1,5
207510091,2023,7799,1,3
207510091,2023,10851,1,5
207510091,2023,9036,1,1
207510091,2023,4593,1,4
207510091,2023,3100,1,4
207510091,2023,2098,1,4
207510091,2023,1055,1,4
207510091,2023,9054,1,4
207510091,2023,2516,1,4
207510091,2023,2454,1,4
207510091,2023,1775,1,4
207510091,2024,4864,1,4
207510091,2024,6228,1,4
207510091,2024,389,1,4
207510091,2024,2204,1,4
207510091,2024,3483,1,4
207510091,2024,4722,1,4
207510091,2024,13708,1,4
207510091,2024,142,1,4
207510091,2024,13817,1,4
207510091,2024,4917,1,4
207510091,2024,2,4,8
207510091,2024,3365,1,4
207510091,2024,3519,1,4
207510091,2024,382,1,4
207510091,2024,6930,1,4
207510091,2024,9968,1,5
207510091,2024,13325,1,5
207510091,2024,6864,1,5
207510091,2024,10709,1,5
207510091,2024,3734,1,5
207510091,2024,7331,1,1
207510091,2024,1121,1,4
207510091,2024,49,1,4
207510091,2024,6537,1,4
207510091,2024,7279,1,4
207510091,2024,1877,1,4
207510091,2024,1055,1,4
207510091,2024,589,1,2
207510091,2024,1802,1,4
207510091,2024,1206,1,4
207510091,2024,8440,1,2
207510091,2024,11,1,4
207510091,2024,794,1,4
207510091,2024,4187,1,4
207510091,2024,6973,1,4
207510091,2024,298,1,4
207510091,2024,2490,1,4
207510116,2022,6272,1,4
207510116,2022,2,1,8
207510116,2022,418,1,4
207510116,2022,2490,1,4
207510116,2022,586,1,5
207510116,2023,2,1,8
207510116,2023,1224,1,4
207510116,2023,1793,1,4
207510116,2023,3946,1,4
207510116,2023,1597,1,4
207510116,2024,2,2,8
207510116,2024,4868,1,4
207510116,2024,5955,1,4
207510116,2024,5450,1,4
207510116,2024,323,1,4
207510125,2022,834,1,4
207510125,2022,2,1,8
207510125,2022,389,1,4
207510125,2022,6561,1,4
207510125,2022,3385,1,4
207510125,2022,1340,1,4
207510125,2022,4799,1,4
207510125,2022,35,1,0
207510125,2022,9827,1,5
207510125,2022,13035,1,5
207510125,2022,9007,1,5
207510125,2022,6425,1,5
207510125,2022,5689,1,4
207510125,2022,386,1,4
207510125,2022,3607,1,4
207510125,2023,834,1,4
207510125,2023,2,4,8
207510125,2023,1673,1,4
207510125,2023,139,1,4
207510125,2023,8047,1,4
207510125,2023,1563,1,4
207510125,2023,14248,1,0
207510125,2023,1790,1,4
207510125,2023,1569,1,4
207510125,2023,4535,1,4
207510125,2023,8348,1,4
207510125,2023,9972,1,5
207510125,2023,7522,1,5
207510125,2023,1869,1,5
207510125,2023,12262,1,5
207510125,2023,9765,1,1
207510125,2023,107,1,4
207510125,2023,1998,1,4
207510125,2024,819,1,4
207510125,2024,9153,1,4
207510125,2024,4628,1,5
207510267,2022,2,1,8
207510267,2022,2202,1,4
207510267,2022,10228,1,4
207510267,2022,5616,1,5
207510267,2022,3916,1,5
207510267,2023,1704,1,4
207510267,2023,4421,1,4
207510267,2023,3045,1,4
207510267,2023,649,1,4
207510267,2023,5062,1,5
207510267,2024,943,1,4
207510267,2024,2610,1,4
207510267,2024,5109,1,3
207510267,2024,3433,1,5
207510267,2024,401,1,4
207510382,2022,2,1,8
207510382,2022,4846,1,4
207510382,2022,4874,1,5
207510382,2022,3431,1,1
207510382,2022,1206,1,4
207510382,2023,298,1,4
207510382,2023,2370,1,4
207510382,2023,1720,1,4
207510382,2023,4850,1,4
207510382,2024,10103,1,4
207510382,2024,1517,1,4
207510382,2024,4994,1,4
207510382,2024,7745,1,4
207510434,2022,3334,1,4
207510434,2022,3436,1,4
207510434,2022,4499,1,4
207510434,2022,389,1,4
207510434,2022,1857,1,4
207510434,2023,2,1,8
207510434,2023,5600,1,4
207510434,2023,586,1,5
207510434,2023,8402,1,1
207510434,2023,2452,1,4
207510434,2024,2,1,8
207510434,2024,5736,1,4
207510434,2024,427,1,4
207510434,2024,6574,1,5
207510443,2022,2,5,8
207510443,2022,3769,1,4
207510443,2022,3065,1,4
207510443,2022,7947,1,1
207510443,2022,9004,1,5
207510443,2022,5505,1,5
207510443,2022,6310,1,5
207510443,2022,8634,1,4
207510443,2022,736,1,4
207510443,2022,7483,1,4
207510443,2023,2,2,8
207510443,2023,1378,1,4
207510443,2023,5499,1,4
207510443,2023,7645,1,4
207510443,2023,1563,2,4
207510443,2023,5812,1,4
207510443,2023,1639,1,4
207510443,2023,3112,1,4
207510443,2023,7653,1,4
207510443,2023,3065,1,4
207510443,2023,5625,1,4
207510443,2023,1576,1,4
207510443,2023,35,1,0
207510443,2023,4739,1,5
207510443,2023,8151,1,1
207510443,2023,6573,1,5
207510443,2023,4523,1,4
207510443,2023,6576,1,4
207510443,2023,2453,1,4
207510443,2023,8811,1,4
207510443,2023,8434,1,4
207510443,2023,3679,1,4
207510443,2023,4751,1,4
207510443,2024,2,1,8
207510443,2024,389,2,4
207510443,2024,6071,1,4
207510443,2024,4097,1,4
207510452,2022,3648,1,4
207510452,2022,389,1,4
207510452,2022,11266,1,5
207510452,2022,9846,1,4
207510452,2022,1013,1,2
207510452,2023,834,1,4
207510452,2023,2,1,8
207510452,2023,389,1,4
207510452,2023,1614,1,4
207510452,2024,3648,1,4
207510452,2024,1613,1,4
207510452,2024,9694,1,5
207510452,2024,4523,1,4
207510452,2024,682,1,4
207510452,2024,6942,1,4
207510461,2022,8702,1,4
207510461,2022,13321,1,1
207510461,2022,5588,1,4
207510461,2023,2,6,8
207510461,2023,6561,1,4
207510461,2023,3286,1,4
207510461,2023,6481,1,4
207510461,2023,2124,1,4
207510461,2023,492,1,4
207510461,2023,36,1,4
207510461,2023,10157,1,5
207510461,2023,6517,1,5
207510461,2023,2943,1,4
207510461,2023,7988,1,4
207510461,2024,2,1,8
207510461,2024,3335,1,4
207510673,2022,2,1,8
207510673,2022,889,1,0
207510673,2022,549,1,4
207510673,2022,3566,1,4
207510673,2022,3591,1,4
207510673,2023,5812,1,4
207510673,2023,8708,1,4
207510673,2023,3114,1,4
207510673,2023,4478,1,4
207510673,2023,9266,1,4
207510673,2024,2,1,8
207510673,2024,298,1,4
207510673,2024,2860,1,4
207510673,2024,5062,1,5
207510673,2024,3972,1,4
207510673,2024,2943,1,4
207510691,2022,2,2,8
207510691,2022,4358,1,4
207510691,2022,6204,1,4
207510691,2022,6500,1,5
207510691,2022,6425,1,5
207510691,2023,2,6,8
207510691,2023,5461,2,4
207510691,2023,8865,1,4
207510691,2023,2080,1,4
207510691,2023,4913,1,4
207510691,2023,7848,1,4
207510691,2023,240,1,4
207510691,2023,8556,1,4
207510691,2023,4167,1,4
207510691,2023,35,1,0
207510691,2023,1448,1,4
207510691,2023,12204,1,5
207510691,2023,7321,1,5
207510691,2023,6847,1,5
207510691,2023,3833,1,4
207510691,2024,2,1,8
207510691,2024,70,1,4
207510707,2022,496,1,4
207510707,2022,5461,1,4
207510707,2022,860,1,4
207510707,2022,4911,1,4
207510707,2022,5654,1,4
207510707,2022,3276,1,0
207510707,2022,5328,1,1
207510707,2022,11546,1,3
207510707,2022,13035,1,5
207510707,2022,7196,1,5
207510707,2022,12137,1,5
207510707,2022,8787,1,5
207510707,2022,2505,1,4
207510707,2022,2282,1,4
207510707,2022,3056,1,4
207510707,2022,3452,1,4
207510707,2022,190,1,4
207510707,2023,6272,1,4
207510707,2023,2,5,8
207510707,2023,8244,1,4
207510707,2023,1590,1,0
207510707,2023,5481,1,4
207510707,2023,5855,1,0
207510707,2023,2284,1,4
207510707,2023,6055,1,0
207510707,2023,1563,1,4
207510707,2023,2107,1,4
207510707,2023,6561,1,4
207510707,2023,4622,1,4
207510707,2023,3274,1,4
207510707,2023,4884,1,0
207510707,2023,7846,1,4
207510707,2023,3676,1,4
207510707,2023,7848,1,4
207510707,2023,1686,1,4
207510707,2023,200,1,4
207510707,2023,3486,1,4
207510707,2023,5450,1,4
207510707,2023,5755,1,5
207510707,2023,12199,1,1
207510707,2023,7398,1,5
207510707,2023,5699,1,5
207510707,2023,10276,1,5
207510707,2023,5585,1,5
207510707,2023,2327,1,5
207510707,2023,6498,1,5
207510707,2023,6683,1,4
207510707,2023,2193,1,4
207510707,2023,14249,1,4
207510707,2023,2716,1,4
207510707,2023,2430,1,4
207510707,2023,2105,1,4
207510707,2023,5759,1,4
207510707,2023,4725,1,4
207510707,2023,1209,1,4
207510707,2023,7024,1,4
207510707,2024,389,2,4
207510707,2024,2107,2,4
207510707,2024,5378,1,4
207510707,2024,2956,1,4
207510707,2024,35,1,0
207510707,2024,11648,1,4
207510707,2024,8747,1,1
207510707,2024,14250,1,1
207510707,2024,10636,1,5
207510707,2024,5971,1,4
207510707,2024,2,4,8
207510707,2024,9310,1,4
207510707,2024,4725,1,4
207510707,2024,2172,1,4
207510707,2024,4247,1,4
207510707,2024,3550,1,4
207510707,2024,1275,1,4
207510707,2024,8879,1,4
207510707,2024,419,1,4
207510707,2024,5002,1,4
207510716,2022,621,1,4
207510716,2022,5362,1,4
207510716,2022,3224,1,4
207510716,2022,3254,1,4
207510716,2022,4361,1,4
207510716,2022,35,2,0
207510716,2022,818,1,4
207510716,2022,1055,1,4
207510716,2022,5097,1,2
207510716,2023,2,3,8
207510716,2023,4449,1,4
207510716,2023,1854,1,4
207510716,2023,4767,1,4
207510716,2023,2669,1,4
207510716,2023,35,1,0
207510716,2023,6052,1,4
207510716,2023,5581,1,5
