yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209810010,2022,3252,1,4
209810010,2022,2778,1,5
209810010,2022,3175,1,4
209810010,2022,3997,1,4
209810010,2023,1354,1,0
209810010,2023,10752,1,5
209810010,2023,9547,1,5
209810010,2023,1143,1,2
209810010,2024,3648,1,4
209810011,2022,2,1,8
209810011,2022,119,1,4
209810011,2022,6508,1,4
209810011,2022,1857,1,4
209810011,2022,2716,1,4
209810011,2023,2,3,8
209810011,2023,8667,1,4
209810011,2023,2883,1,5
209810011,2023,4415,1,0
209810011,2024,2,1,8
209810011,2024,1507,1,4
209810011,2024,5877,1,4
209810011,2024,647,1,4
209810011,2024,2491,1,4
209810011,2024,1825,1,4
209810011,2024,10620,1,4
209810011,2024,738,1,4
209810012,2022,2938,1,4
209810012,2022,2,8,8
209810012,2022,376,1,4
209810012,2022,647,1,4
209810012,2022,3128,1,4
209810012,2022,6366,1,0
209810012,2022,5522,1,4
209810012,2022,3540,1,4
209810012,2022,4919,1,5
209810012,2022,11234,1,5
209810012,2022,9004,1,5
209810012,2022,4790,1,5
209810012,2022,2452,1,4
209810012,2022,3175,1,4
209810012,2023,2,7,8
209810012,2023,6460,1,4
209810012,2023,4373,1,4
209810012,2023,8680,1,4
209810012,2023,5001,1,4
209810012,2023,6228,1,4
209810012,2023,3777,1,4
209810012,2023,2124,1,4
209810012,2023,5101,1,4
209810012,2023,2882,1,5
209810012,2023,7580,1,5
209810012,2023,413,1,3
209810012,2023,5062,1,5
209810012,2023,8767,1,5
209810012,2023,4791,1,5
209810012,2023,6119,1,5
209810012,2023,10455,1,5
209810012,2023,7776,1,5
209810012,2023,4088,1,5
209810012,2023,4850,1,4
209810012,2023,5455,1,4
209810012,2023,4338,1,4
209810012,2023,4371,1,4
209810012,2023,2106,1,4
209810012,2024,7925,1,4
209810012,2024,160,1,4
209810012,2024,3876,1,4
209810012,2024,10151,1,5
209810012,2024,4887,1,5
209810012,2024,5441,1,5
209810012,2024,11515,1,5
209810012,2024,8632,1,4
209810012,2024,736,1,4
209810012,2024,9867,1,4
209810012,2024,2,1,8
209810012,2024,6207,1,4
209810012,2024,4751,1,4
209810012,2024,3334,1,4
209810012,2024,4374,1,4
209810012,2024,5481,1,4
209810012,2024,5645,1,4
209810012,2024,8881,1,4
209810012,2024,1528,1,4
209810012,2024,8709,1,4
209810013,2022,10990,1,4
209810013,2022,2588,1,2
209810013,2022,2,3,8
209810013,2022,2459,1,0
209810013,2022,600,1,4
209810013,2022,2748,1,4
209810013,2022,5275,1,4
209810013,2022,863,1,4
209810013,2022,866,2,4
209810013,2022,1635,1,4
209810013,2022,3631,1,4
209810013,2022,1021,1,2
209810013,2022,2544,1,4
209810013,2022,955,1,2
209810013,2022,5055,1,2
209810013,2022,6624,2,2
209810013,2022,11563,1,3
209810013,2022,3226,1,4
209810013,2022,2554,1,2
209810013,2022,578,1,4
209810013,2022,5204,1,2
209810013,2022,973,1,2
209810013,2022,2518,1,4
209810013,2022,7750,1,3
209810013,2022,2618,1,3
209810013,2022,5134,1,5
209810013,2022,10414,1,3
209810013,2022,2068,1,5
209810013,2022,10681,1,5
209810013,2022,6303,1,3
209810013,2022,413,1,3
209810013,2022,10217,1,5
209810013,2022,7385,1,5
209810013,2022,10917,1,5
209810013,2022,12593,1,5
209810013,2022,10381,1,5
209810013,2022,5662,1,1
209810013,2022,6439,1,5
209810013,2022,6741,1,3
209810013,2022,12838,1,5
209810013,2022,5141,1,5
209810013,2022,10867,1,5
209810013,2022,9494,1,5
209810013,2022,406,1,2
209810013,2022,562,1,2
209810013,2022,850,1,4
209810013,2022,5129,1,4
209810013,2022,5228,1,2
209810013,2022,930,1,4
209810013,2022,3196,1,4
209810013,2022,387,1,4
209810013,2022,1989,1,4
209810013,2023,2,4,8
209810013,2023,9143,1,4
209810013,2023,2595,1,4
209810013,2023,1087,1,4
209810013,2023,1402,1,4
209810013,2023,3630,1,4
209810013,2023,5201,1,2
209810013,2023,6600,1,4
209810013,2023,310,1,4
209810013,2023,10360,1,3
