yop_kodu,year,lise_id,yerlesen_sayisi,school_type
202710023,2022,2,1,8
202710023,2022,953,1,4
202710023,2022,2955,1,4
202710023,2022,2066,1,4
202710023,2022,2467,1,4
202710023,2022,1585,1,4
202710023,2022,1617,1,4
202710023,2022,3643,1,4
202710023,2022,6141,1,4
202710023,2022,2486,1,4
202710023,2023,2,2,8
202710023,2023,4688,1,4
202710023,2023,4390,1,5
202710023,2023,2474,1,4
202710023,2023,3591,1,4
202710023,2024,6267,1,5
202710023,2024,4,1,5
202710023,2024,6851,1,5
202710023,2024,6225,1,3
202710023,2024,5505,1,5
202710023,2024,4523,1,4
202710023,2024,246,1,0
202710023,2024,5976,1,4
202710023,2024,204,1,4
202710023,2024,2163,1,4
202710023,2024,2,2,8
202710023,2024,8865,1,4
202710023,2024,363,1,4
202710023,2024,6038,1,4
202710023,2024,1966,1,4
202710023,2024,2397,1,4
202710023,2024,4798,1,4
202710023,2024,4859,1,1
202710086,2022,4250,1,2
202710086,2022,2665,1,4
202710086,2022,743,1,4
202710086,2022,2260,1,4
202710086,2022,963,1,4
202710086,2022,6040,1,4
202710086,2022,2518,1,4
202710086,2022,2862,1,4
202710086,2022,10768,1,3
202710086,2023,1993,1,4
202710086,2023,2518,1,4
202710086,2023,6103,1,3
202710086,2023,2525,1,4
202710086,2023,5193,1,2
202710086,2023,7299,1,4
202710086,2023,2487,1,4
202710086,2024,998,1,4
202710086,2024,1986,1,4
202710086,2024,1055,1,4
202710086,2024,2271,1,4
202710086,2024,1062,1,2
202710086,2024,456,1,4
202710086,2024,2487,1,4
202710086,2024,3268,1,4
202710086,2024,8680,1,4
202710086,2024,6501,1,4
202710086,2024,335,1,4
202710086,2024,4784,1,4
202710086,2024,4479,1,4
202710086,2024,1409,1,4
202710086,2024,1955,1,5
202710102,2022,3628,1,4
202710102,2022,2,1,8
202710102,2022,6233,1,4
202710102,2022,4492,1,4
202710102,2022,946,1,2
202710102,2022,3385,1,4
202710102,2022,2727,1,4
202710102,2022,2890,1,4
202710102,2022,2672,1,4
202710102,2022,10664,1,3
202710102,2022,5043,1,5
202710102,2022,1002,1,4
202710102,2023,2,3,8
202710102,2023,3359,1,4
202710102,2023,10289,1,5
202710102,2023,3196,1,4
202710102,2024,998,1,4
202710102,2024,5227,1,4
202710102,2024,2943,1,4
202710102,2024,3883,1,4
202710102,2024,7299,2,4
202710102,2024,2,2,8
202710102,2024,688,1,4
202710102,2024,5482,1,4
202710102,2024,649,1,4
202710102,2024,4753,1,3
202710102,2024,11800,1,1
202710102,2024,7200,1,5
202710102,2024,1492,1,4
202710129,2022,2,1,8
202710129,2022,5398,1,4
202710129,2022,4314,1,4
202710129,2022,955,1,2
202710129,2022,6040,1,4
202710129,2022,968,1,4
202710129,2022,2671,1,2
202710129,2022,7236,1,3
202710129,2022,4773,1,5
202710129,2022,2583,1,2
202710129,2023,2746,1,4
202710129,2023,6030,1,4
202710129,2023,6038,1,4
202710129,2023,2743,1,4
202710129,2023,1559,1,4
202710129,2023,4961,1,4
202710129,2023,5969,1,5
202710129,2023,922,1,2
202710129,2023,8810,1,4
202710129,2023,4754,1,4
202710129,2023,10392,1,5
202710129,2023,640,1,4
202710129,2024,2,3,8
202710129,2024,6952,1,4
202710129,2024,953,1,4
202710129,2024,3039,1,0
202710129,2024,335,1,4
202710129,2024,2619,1,5
202710138,2022,2,5,8
202710138,2022,5300,1,4
202710138,2022,7013,1,4
202710138,2022,4728,1,4
202710138,2022,5481,1,4
202710138,2022,3380,1,4
202710138,2022,1517,1,4
202710138,2022,2202,2,4
202710138,2022,6098,1,4
202710138,2022,3404,1,4
202710138,2022,2543,1,2
202710138,2022,3382,2,4
202710138,2022,3385,1,4
202710138,2022,3201,1,4
202710138,2022,4783,1,4
202710138,2022,4288,1,4
202710138,2022,3405,1,4
202710138,2022,4376,1,4
202710138,2022,2531,1,4
202710138,2022,647,2,4
202710138,2022,4292,1,4
202710138,2022,4917,1,4
202710138,2022,520,1,4
202710138,2022,4823,1,4
202710138,2022,905,1,3
202710138,2022,5615,1,5
202710138,2022,3258,1,5
202710138,2022,9829,1,5
202710138,2022,1952,1,5
202710138,2022,5661,1,5
202710138,2022,4790,1,5
202710138,2022,6225,1,3
202710138,2022,4826,1,5
202710138,2022,5858,1,5
202710138,2022,6119,1,5
202710138,2022,3347,1,5
202710138,2022,6322,1,5
202710138,2022,4653,2,5
202710138,2022,2649,1,2
202710138,2022,3261,1,4
202710138,2022,5508,1,4
202710138,2022,4556,1,4
202710138,2022,107,1,4
202710138,2022,5888,1,4
202710138,2022,4754,1,4
202710138,2022,3867,1,4
202710138,2022,2812,1,4
202710138,2022,4750,1,4
202710138,2022,1607,1,4
202710138,2022,2390,1,4
202710138,2022,2106,1,4
202710138,2022,6534,1,4
202710138,2024,943,1,4
202710138,2024,1159,1,5
202710165,2022,2,1,8
202710165,2022,5001,1,4
202710165,2022,4042,1,4
202710165,2022,4744,1,4
202710165,2022,6303,1,3
202710165,2022,995,1,5
202710165,2022,5357,1,4
202710165,2022,3000,1,4
202710165,2022,7683,1,4
202710165,2022,1060,1,4
202710165,2022,5478,1,4
202710165,2022,7888,1,4
202710165,2023,2,5,8
202710165,2023,1906,1,2
202710165,2023,2490,1,4
202710165,2023,743,1,4
202710165,2023,4930,1,4
202710165,2023,1720,1,4
202710165,2023,5137,1,5
202710165,2023,1162,1,2
202710165,2023,456,1,4
202710165,2023,2390,1,4
202710165,2024,5610,1,4
202710165,2024,4798,1,4
202710165,2024,847,1,4
202710165,2024,10003,1,5
202710165,2024,6167,1,5
202710165,2024,10581,1,3
202710165,2024,5213,1,5
202710165,2024,4556,1,4
202710165,2024,3671,1,4
202710165,2024,2,2,8
202710165,2024,4761,1,4
202710165,2024,4373,2,4
202710165,2024,2535,1,5
202710165,2024,5481,1,4
202710165,2024,2934,1,4
202710165,2024,6027,1,4
202710165,2024,7425,1,4
202710174,2022,2,1,8
202710174,2022,3898,1,4
202710174,2024,4783,1,4
202710174,2024,7941,1,5
202710192,2022,6272,1,4
202710192,2022,3268,1,4
202710192,2022,2,3,8
202710192,2022,8680,1,4
202710192,2022,5516,1,4
202710192,2022,5677,1,4
202710192,2022,4688,1,4
202710192,2022,1818,1,4
202710192,2022,11222,1,1
202710192,2022,6267,1,5
202710192,2022,9969,1,5
202710192,2022,4935,1,5
202710192,2022,10950,2,5
202710192,2022,9829,1,5
202710192,2022,5682,1,5
202710192,2022,5440,1,5
202710192,2022,9109,1,1
202710192,2022,7776,1,5
202710192,2022,11848,1,5
202710192,2022,5633,1,5
202710192,2022,6322,1,5
202710192,2022,1698,1,4
202710192,2022,7878,1,4
202710192,2022,3997,1,4
202710192,2022,4371,1,4
202710192,2023,2,8,8
202710192,2023,389,1,4
202710192,2023,4621,1,0
202710192,2023,3955,1,4
202710192,2023,1714,1,4
202710192,2023,1531,1,4
202710192,2023,1613,1,4
202710192,2023,7851,1,0
202710192,2023,2308,1,4
202710192,2023,444,1,4
202710192,2023,5450,1,4
202710192,2023,11517,1,5
202710192,2023,5563,1,5
202710192,2023,7731,1,5
202710192,2023,6239,1,5
202710192,2023,10958,1,5
202710192,2023,4825,1,5
202710192,2023,5062,1,5
202710192,2023,4553,1,5
202710192,2023,9993,1,1
202710192,2023,8766,1,5
202710192,2023,10632,1,5
202710192,2023,10781,1,5
202710192,2023,6837,1,5
202710192,2023,9027,1,5
202710192,2023,3293,2,5
202710192,2023,318,1,5
202710192,2023,10701,1,5
202710192,2023,45,1,5
202710192,2023,5273,1,5
202710192,2023,3395,1,4
202710192,2023,5588,1,4
202710192,2023,3355,1,4
202710192,2024,483,1,8
202710192,2024,2,1,8
202710192,2024,4871,1,5
202710192,2024,4723,1,4
202710253,2022,2,3,8
202710253,2022,6219,1,4
202710253,2022,4728,2,4
202710253,2022,1512,1,4
202710253,2022,2202,1,4
202710253,2022,3772,1,4
202710253,2022,2476,1,4
202710253,2022,1790,1,4
202710253,2022,2727,1,4
202710253,2022,3254,1,4
202710253,2022,6379,2,5
202710253,2022,10901,1,5
202710253,2022,6680,1,5
202710253,2022,11526,1,3
202710253,2022,10940,1,5
202710253,2022,9004,1,5
202710253,2022,12593,1,5
202710253,2022,11241,1,5
202710253,2022,11275,1,5
202710253,2022,1877,1,4
202710253,2022,2271,1,4
202710253,2022,1607,1,4
202710253,2023,2,5,8
202710253,2023,943,1,4
202710253,2023,3385,1,4
202710253,2023,649,2,4
202710253,2023,4521,1,4
202710253,2023,5890,1,5
202710253,2023,5171,1,5
202710253,2023,4056,1,5
202710253,2023,5748,1,5
202710253,2023,6229,1,5
202710253,2023,4553,1,5
202710253,2023,525,1,4
202710253,2023,1010,1,4
202710253,2023,2516,1,4
202710253,2024,4750,1,4
202710271,2022,2,2,8
202710271,2022,4728,1,4
202710271,2022,1776,1,4
202710271,2022,2370,1,4
202710271,2022,4359,1,4
202710271,2022,4376,1,4
202710271,2022,2030,1,4
202710271,2022,2504,1,5
202710271,2022,11153,1,5
202710271,2022,3294,1,5
202710271,2022,11170,1,5
202710271,2022,5702,1,5
202710271,2022,2581,1,2
202710271,2022,2505,1,4
202710271,2022,10620,1,4
202710271,2022,4754,1,4
202710271,2023,5002,1,4
202710271,2023,4621,1,0
202710271,2023,2668,1,4
202710271,2023,2066,1,4
202710271,2023,10629,1,5
202710271,2024,2727,1,4
202710305,2022,2,2,8
202710305,2022,4744,1,4
202710305,2022,466,1,4
202710305,2022,4263,1,4
202710305,2023,2,2,8
202710305,2023,363,1,4
202710305,2023,2579,1,3
202710305,2024,4786,1,4
202710305,2024,3390,1,5
202710305,2024,2513,1,5
202710305,2024,4308,1,4
202710305,2024,4723,1,4
202710305,2024,998,1,4
202710305,2024,4698,1,4
202710305,2024,3378,1,4
202710305,2024,1863,1,4
202710305,2024,2792,1,4
202710305,2024,3200,1,4
202710305,2024,2500,1,4
202710305,2024,4744,1,4
202710305,2024,649,1,4
202710314,2022,4372,1,4
202710314,2022,2496,1,4
202710314,2022,2490,1,4
202710314,2022,1966,1,4
202710314,2022,1940,1,4
202710314,2022,389,2,4
202710314,2022,8698,1,4
202710314,2022,6180,1,4
202710314,2022,5413,1,4
202710314,2022,12324,1,4
202710314,2022,6545,1,4
202710314,2022,7847,1,4
202710314,2022,3071,1,4
