yop_kodu,year,lise_id,yerlesen_sayisi,school_type
208710138,2022,2,1,8
208710138,2022,794,1,4
208710138,2022,6845,1,4
208710138,2022,3634,1,4
208710138,2022,2518,1,4
208710138,2023,2,1,8
208710138,2023,5482,1,4
208710138,2023,1224,1,4
208710138,2023,2098,2,4
208710138,2023,4369,1,4
208710138,2024,483,1,8
208710138,2024,3380,1,4
208710138,2024,6040,1,4
208710138,2024,10641,1,3
208710138,2024,11974,1,5
208710147,2022,5300,1,4
208710147,2022,8475,1,4
208710147,2022,2277,1,4
208710147,2022,1561,1,4
208710147,2022,1027,1,2
208710147,2022,4820,1,4
208710147,2022,2442,1,4
208710147,2022,4519,1,4
208710147,2022,11517,1,5
208710147,2022,9546,1,5
208710147,2022,10597,1,5
208710147,2022,7196,1,5
208710147,2022,9804,1,1
208710147,2022,11671,1,5
208710147,2022,10573,1,5
208710147,2022,12187,1,5
208710147,2022,4899,1,5
208710147,2022,4741,1,5
208710147,2022,7735,1,1
208710147,2022,6646,1,3
208710147,2022,1453,1,4
208710147,2022,3889,1,4
208710147,2022,5940,1,4
208710147,2022,2486,1,4
208710147,2022,1661,1,4
208710147,2023,3268,1,4
208710147,2023,2,6,8
208710147,2023,5300,1,4
208710147,2023,5021,1,4
208710147,2023,2370,1,4
208710147,2023,8297,1,4
208710147,2023,2325,1,4
208710147,2023,3385,1,4
208710147,2023,4784,1,4
208710147,2023,8313,1,4
208710147,2023,1423,1,4
208710147,2023,5101,1,4
208710147,2023,1760,1,4
208710147,2023,5433,1,4
208710147,2023,6892,1,4
208710147,2023,6110,1,5
208710147,2023,2191,1,5
208710147,2023,3118,1,5
208710147,2023,5393,1,5
208710147,2023,6395,1,4
208710147,2023,2516,1,4
208710147,2023,3495,1,4
208710147,2023,10279,1,4
208710147,2023,4751,1,4
208710147,2024,2476,1,4
208710147,2024,2989,1,4
208710147,2024,4536,1,4
208710147,2024,5577,1,4
208710147,2024,7448,1,4
208710147,2024,10854,1,5
208710147,2024,5062,1,5
208710147,2024,7777,1,5
208710147,2024,10556,1,5
208710147,2024,4103,1,5
208710147,2024,2700,1,4
208710147,2024,5756,1,5
208710147,2024,4241,1,5
208710147,2024,9304,1,5
208710147,2024,4723,1,4
208710147,2024,4593,1,4
208710147,2024,1607,1,4
208710147,2024,794,1,4
208710147,2024,402,1,4
208710147,2024,6490,1,4
208710147,2024,1518,1,4
208710147,2024,13869,1,4
208710147,2024,3772,1,4
208710147,2024,7425,1,4
208710156,2022,1356,1,4
208710156,2022,7347,1,4
208710156,2022,11324,1,5
208710156,2022,4556,1,4
208710156,2022,2971,1,4
208710156,2022,1989,1,4
208710156,2023,2,1,8
208710156,2023,3316,1,4
208710156,2023,2350,1,4
208710156,2023,3049,1,4
208710156,2023,471,1,4
208710156,2023,5633,1,5
208710156,2023,3057,1,4
208710156,2023,531,1,4
208710156,2024,2,1,8
208710156,2024,2792,1,4
208710156,2024,230,1,4
208710156,2024,1760,1,4
208710156,2024,2518,1,4
208710156,2024,471,1,4
208710156,2024,4791,1,5
208710165,2022,2,3,8
208710165,2022,7208,1,0
208710165,2022,2022,1,4
208710165,2022,3834,1,4
208710165,2022,1966,1,4
208710165,2022,3042,1,4
208710165,2022,7425,1,4
208710165,2022,4784,1,4
208710165,2022,9536,1,4
208710165,2022,3603,1,4
208710165,2022,1482,1,4
208710165,2022,1716,1,4
208710165,2022,1818,1,4
208710165,2022,8555,1,4
208710165,2022,4019,1,4
208710165,2022,5577,1,4
208710165,2022,1947,1,4
208710165,2022,3878,1,1
208710165,2022,2233,1,5
208710165,2022,10865,1,5
208710165,2022,7184,1,5
208710165,2022,1846,1,5
208710165,2022,10432,1,5
208710165,2022,10816,1,5
208710165,2022,10490,1,5
208710165,2022,7180,1,5
208710165,2022,7875,1,4
208710165,2022,6533,2,4
208710165,2022,8820,1,4
208710165,2022,355,1,4
208710165,2022,6442,1,4
208710165,2023,191,1,4
208710165,2023,2,12,8
208710165,2023,6348,1,4
208710165,2023,2025,1,4
208710165,2023,7161,1,4
208710165,2023,4764,1,4
208710165,2023,2350,1,4
208710165,2023,2107,1,4
208710165,2023,647,1,4
208710165,2023,6306,1,4
208710165,2023,10088,1,4
208710165,2023,35,1,0
208710165,2023,1918,1,4
208710165,2023,471,1,4
208710165,2023,1947,1,4
208710165,2023,7596,1,5
208710165,2023,11709,1,5
208710165,2023,7952,1,5
208710165,2023,4791,1,5
208710165,2023,6896,1,5
208710165,2023,2326,1,5
208710165,2023,2193,1,4
208710165,2023,3132,1,4
208710165,2023,3858,1,4
208710165,2023,8804,1,4
208710165,2023,8819,1,4
208710165,2023,9846,1,4
208710165,2023,5851,1,4
208710165,2023,8240,1,4
208710165,2024,6726,1,4
208710165,2024,7556,3,4
208710165,2024,6306,1,4
208710165,2024,10088,1,4
208710165,2024,35,2,0
208710165,2024,10063,1,1
208710165,2024,10827,1,5
208710165,2024,10869,1,5
208710165,2024,7740,1,5
208710165,2024,7402,1,5
208710165,2024,3268,1,4
208710165,2024,7200,1,5
208710165,2024,9696,1,1
