yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203010054,2022,3268,1,4
203010054,2022,2,7,8
203010054,2022,4373,1,4
203010054,2022,4200,1,0
203010054,2022,1507,1,4
203010054,2022,1882,1,4
203010054,2022,2792,1,4
203010054,2022,1621,1,4
203010054,2022,2490,2,4
203010054,2022,2743,1,4
203010054,2022,1558,1,0
203010054,2022,4764,1,4
203010054,2022,743,1,4
203010054,2022,1563,2,4
203010054,2022,1524,1,4
203010054,2022,9460,1,2
203010054,2022,4932,1,4
203010054,2022,367,1,4
203010054,2022,5401,1,4
203010054,2022,2187,1,4
203010054,2022,1531,1,4
203010054,2022,5417,1,4
203010054,2022,649,1,4
203010054,2022,6892,1,4
203010054,2022,4536,1,4
203010054,2022,3876,1,4
203010054,2022,4822,2,4
203010054,2022,4521,1,4
203010054,2022,3323,1,4
203010054,2022,9612,1,5
203010054,2022,4871,1,5
203010054,2022,3759,1,5
203010054,2022,9969,1,5
203010054,2022,4329,2,5
203010054,2022,12114,1,1
203010054,2022,4872,1,5
203010054,2022,2994,1,5
203010054,2022,5492,1,5
203010054,2022,8155,1,5
203010054,2022,4380,1,5
203010054,2022,2634,1,5
203010054,2022,4829,1,1
203010054,2022,10755,2,1
203010054,2022,3293,1,5
203010054,2022,12115,1,5
203010054,2022,4303,1,5
203010054,2022,2506,2,4
203010054,2022,107,1,4
203010054,2022,5357,1,4
203010054,2022,2943,2,4
203010054,2022,1010,1,4
203010054,2022,4371,1,4
203010054,2022,2390,1,4
203010054,2022,2106,1,4
203010054,2023,1462,1,4
203010054,2023,2,18,8
203010054,2023,943,1,4
203010054,2023,1378,1,4
203010054,2023,4728,1,4
203010054,2023,2792,2,4
203010054,2023,7622,2,4
203010054,2023,2490,2,4
203010054,2023,5516,1,4
203010054,2023,2284,1,4
203010054,2023,12116,1,5
203010054,2023,6098,1,4
203010054,2023,3140,3,4
203010054,2023,647,1,4
203010054,2023,7556,1,4
203010054,2023,5955,2,4
203010054,2023,3319,1,4
203010054,2023,7847,1,4
203010054,2023,649,1,4
203010054,2023,2307,1,4
203010054,2023,4536,1,4
203010054,2023,4822,1,4
203010054,2023,4521,1,4
203010054,2023,10848,1,5
203010054,2023,4329,8,5
203010054,2023,10902,1,5
203010054,2023,2233,1,5
203010054,2023,10157,1,5
203010054,2023,7530,1,5
203010054,2023,10630,1,5
203010054,2023,6570,1,1
203010054,2023,4829,1,1
203010054,2023,4757,1,1
203010054,2023,11282,1,5
203010054,2023,7742,1,5
203010054,2023,5688,1,4
203010054,2023,2506,1,4
203010054,2023,107,2,4
203010054,2023,4878,1,4
203010054,2023,736,1,4
203010054,2023,1010,2,4
203010054,2023,6067,3,4
203010054,2024,466,1,4
203010054,2024,7848,1,4
203010054,2024,3254,2,4
203010054,2024,1576,1,4
203010054,2024,649,1,4
203010054,2024,4871,1,5
203010054,2024,6267,2,5
203010054,2024,10752,1,5
203010054,2024,4329,7,5
203010054,2024,9972,1,5
203010054,2024,483,1,8
203010054,2024,11593,1,5
203010054,2024,11672,1,5
203010054,2024,8759,1,1
203010054,2024,9994,1,5
203010054,2024,4920,1,5
203010054,2024,4985,1,5
203010054,2024,10816,1,5
203010054,2024,4260,1,5
203010054,2024,7449,1,5
203010054,2024,4829,1,1
203010054,2024,2,3,8
203010054,2024,3433,1,5
203010054,2024,107,1,4
203010054,2024,1010,1,4
203010054,2024,595,1,4
203010054,2024,4725,1,4
203010054,2024,4374,2,4
203010054,2024,1507,1,4
203010054,2024,2050,1,4
203010054,2024,4764,1,4
203010054,2024,3140,1,4
203010054,2024,4784,1,4
203010063,2022,4372,1,4
203010063,2022,2,1,8
203010063,2022,4728,1,4
203010063,2022,5161,1,4
203010063,2022,4764,1,4
203010063,2022,5841,1,4
203010063,2022,1857,1,4
203010063,2022,3385,1,4
203010063,2022,1431,1,0
203010063,2022,10631,1,5
203010063,2022,6653,1,5
203010063,2022,4384,1,4
203010063,2023,2,3,8
203010063,2023,2488,1,4
203010063,2023,645,1,4
203010063,2023,389,1,4
203010063,2023,4421,1,4
203010063,2023,4329,1,5
203010063,2023,3008,1,5
203010063,2023,10816,1,5
203010063,2023,2507,1,4
203010063,2023,5193,1,2
203010063,2024,2233,1,5
203010063,2024,12117,1,5
203010063,2024,1055,1,4
203010063,2024,5690,1,4
203010063,2024,2977,1,4
203010063,2024,3378,1,4
203010063,2024,3629,1,4
203010063,2024,8867,1,4
203010063,2024,2490,1,4
203010063,2024,7495,1,4
203010063,2024,4846,1,4
203010063,2024,1363,1,4
203010063,2024,4329,1,5
203010106,2022,2,1,8
203010106,2022,5398,1,4
203010106,2022,3924,1,4
203010106,2022,11617,1,3
203010106,2022,6573,1,5
203010106,2022,1055,1,4
203010106,2022,1010,1,4
203010106,2023,2,2,8
203010106,2023,4359,1,4
203010106,2023,5102,1,4
203010106,2023,1591,1,5
203010106,2023,4829,1,1
203010106,2023,5633,1,5
203010106,2023,4662,1,5
203010106,2024,6228,1,4
203010106,2024,3924,1,4
203010106,2024,9960,1,5
203010106,2024,4020,1,5
203010106,2024,7528,1,5
203010106,2024,2233,1,5
203010106,2024,5548,1,5
203010106,2024,4751,1,4
203010115,2022,4728,1,4
203010115,2022,3693,1,4
203010115,2022,7187,1,4
203010115,2022,2880,1,2
203010115,2022,4872,1,5
203010115,2022,10757,1,5
203010115,2023,4761,1,4
203010115,2023,3924,1,4
203010115,2023,649,1,4
203010115,2023,520,1,4
203010115,2023,1980,1,4
203010115,2023,12118,1,1
203010115,2023,1055,1,4
203010115,2023,8440,1,2
203010115,2024,1934,1,4
203010115,2024,2,1,8
203010115,2024,3550,1,4
203010115,2024,647,1,4
203010115,2024,1993,1,4
203010115,2024,1036,1,2
203010115,2024,2290,1,4
203010115,2024,4786,1,4
203010115,2024,5145,1,1
203010124,2022,2,4,8
203010124,2022,1507,2,4
203010124,2022,5897,1,4
203010124,2022,215,1,4
203010124,2022,8680,1,4
203010124,2022,6079,1,4
203010124,2022,2370,1,4
203010124,2022,868,1,4
203010124,2022,5004,1,0
203010124,2022,3385,1,4
203010124,2022,3042,1,4
203010124,2022,4784,1,4
203010124,2022,4376,1,4
203010124,2022,3224,1,4
203010124,2022,1790,1,4
203010124,2022,11168,1,5
203010124,2022,466,1,4
203010124,2022,4917,1,4
203010124,2022,4521,1,4
203010124,2022,10854,1,5
203010124,2022,3700,2,5
203010124,2022,6106,1,5
203010124,2022,11199,1,5
203010124,2022,4709,1,5
203010124,2022,10691,1,5
203010124,2022,11290,1,5
203010124,2022,5750,1,5
203010124,2022,9994,1,5
203010124,2022,10630,1,5
203010124,2022,10632,1,5
203010124,2022,6570,1,1
203010124,2022,6573,1,5
203010124,2022,10709,1,5
203010124,2022,4757,1,1
203010124,2022,12119,1,4
203010124,2023,2,7,8
203010124,2023,4374,1,4
203010124,2023,4728,2,4
203010124,2023,866,1,4
203010124,2023,5955,1,4
203010124,2023,3540,1,4
203010124,2023,4521,1,4
203010124,2023,5844,1,4
203010124,2023,2250,1,5
203010124,2023,2342,1,5
203010124,2023,9424,1,5
203010124,2023,11280,1,5
203010124,2023,10902,1,5
203010124,2023,10958,1,5
203010124,2023,10691,1,5
203010124,2023,12120,1,5
203010124,2023,9094,1,5
203010124,2023,6229,1,5
203010124,2023,1260,1,5
203010124,2023,6270,1,5
203010124,2023,5086,1,5
203010124,2023,7385,1,5
203010124,2023,10455,1,5
203010124,2023,11241,1,5
203010124,2023,11275,1,5
203010124,2023,1631,1,5
203010124,2023,3369,1,5
203010124,2023,10709,1,5
203010124,2023,5043,1,5
203010124,2023,10311,2,5
203010124,2023,7302,1,4
203010124,2024,11619,1,5
203010124,2024,8839,1,4
203010124,2024,7988,1,4
203010124,2024,2,3,8
203010124,2024,35,1,0
203010124,2024,3323,1,4
203010124,2024,7182,1,4
203010124,2024,5451,1,5
203010124,2024,5890,1,5
203010124,2024,9969,1,5
203010124,2024,9669,1,5
203010133,2022,2979,1,4
203010133,2022,2,1,8
203010133,2022,2490,1,4
203010133,2022,743,1,4
203010133,2022,4744,1,4
203010133,2022,5101,1,4
203010133,2022,847,1,4
203010133,2022,2612,1,4
203010133,2022,12121,1,1
203010133,2022,4194,1,5
203010133,2022,11216,1,5
203010133,2022,998,1,4
203010133,2022,4461,1,4
203010133,2022,6281,1,0
203010133,2022,4717,1,0
203010133,2022,4384,1,4
203010133,2023,2,2,8
203010133,2023,5073,1,4
203010133,2023,4449,1,4
203010133,2023,1357,1,0
203010133,2023,5101,1,4
203010133,2023,4609,1,0
203010133,2023,5082,1,2
203010133,2023,4521,1,4
203010133,2023,2506,1,4
203010133,2023,5887,1,4
203010133,2023,1010,1,4
203010133,2023,3920,1,4
203010133,2023,3329,1,2
203010133,2024,2208,1,4
203010133,2024,1916,1,4
203010133,2024,9972,1,5
203010133,2024,6628,1,5
203010133,2024,7459,1,4
203010133,2024,1871,1,4
203010133,2024,1167,1,4
203010133,2024,3311,1,0
203010133,2024,3378,1,4
203010133,2024,1086,1,4
203010133,2024,3316,1,4
203010133,2024,5002,1,4
203010133,2024,3738,1,4
203010133,2024,3254,1,4
203010133,2024,4534,1,0
203010142,2022,2,1,8
203010142,2022,8357,1,4
203010142,2022,10902,1,5
203010142,2022,11800,1,1
203010142,2022,8155,1,5
203010142,2023,2,1,8
203010142,2023,4728,1,4
203010142,2023,4764,1,4
203010142,2023,8297,1,4
203010142,2023,10085,1,4
203010142,2023,3518,1,4
203010142,2023,1411,1,4
203010142,2023,2390,1,4
203010142,2024,5526,1,5
203010151,2022,2,3,8
203010151,2022,7318,1,4
203010151,2022,169,1,4
203010151,2022,5001,1,4
203010151,2022,5447,1,4
203010151,2022,1225,1,4
203010151,2022,3097,1,4
203010151,2022,35,1,0
203010151,2022,10854,1,5
203010151,2022,6391,1,1
203010151,2022,5709,1,1
203010151,2022,8766,1,5
203010151,2022,11275,1,5
203010151,2022,12122,1,5
203010151,2022,10695,1,1
203010151,2022,4059,1,4
203010151,2022,7459,1,4
203010151,2022,7670,1,4
203010151,2023,2,2,8
203010151,2023,7893,1,4
203010151,2023,12123,1,4
203010151,2023,8678,1,4
203010151,2023,9722,1,4
203010151,2023,5481,1,4
203010151,2023,8869,1,4
203010151,2023,6984,1,4
203010151,2023,4912,1,4
203010151,2023,4961,1,4
203010151,2023,2028,1,4
203010151,2023,35,1,0
203010151,2023,11588,1,5
203010151,2023,471,1,4
203010151,2023,4872,2,5
203010151,2023,7703,1,5
203010151,2023,10643,1,5
203010151,2023,2846,1,5
203010151,2023,2506,1,4
203010151,2023,7389,1,4
203010151,2023,4223,1,4
203010151,2023,2716,1,4
203010151,2023,8852,1,1
203010151,2023,1661,1,4
203010169,2022,2476,1,4
203010169,2022,1131,1,4
203010169,2022,6275,1,4
203010169,2022,35,1,0
203010169,2022,10681,1,5
203010169,2023,2,1,8
203010169,2023,2476,1,4
203010169,2023,107,1,4
203010169,2023,10606,1,0
203010169,2023,5727,1,4
203010169,2024,2,3,8
203010169,2024,2792,1,4
203010169,2024,3316,1,4
203010169,2024,1340,1,4
203010169,2024,11227,1,5
203010169,2024,4653,1,5
203010178,2022,5811,1,0
203010178,2022,539,1,0
203010178,2022,3924,1,4
203010178,2022,11588,1,5
203010178,2022,5890,1,5
203010178,2022,10755,1,1
203010178,2023,2,1,8
203010178,2023,1507,1,4
203010178,2023,3382,1,4
203010178,2023,4784,1,4
203010178,2023,4917,1,4
203010178,2023,12124,1,1
203010178,2023,6382,1,5
203010178,2023,6322,1,5
203010178,2023,4382,1,0
203010178,2024,2,1,8
203010178,2024,9269,1,1
203010178,2024,6267,1,5
203010178,2024,3008,1,5
203010187,2022,2,2,8
203010187,2022,6476,1,4
203010187,2022,3629,1,4
203010187,2022,5481,1,4
203010187,2022,1517,1,4
203010187,2022,5376,1,4
203010187,2022,4675,1,4
203010187,2022,4744,1,4
203010187,2022,7521,1,4
203010187,2022,1914,1,4
203010187,2022,3603,1,4
203010187,2022,3913,1,4
203010187,2022,981,1,4
203010187,2022,4521,1,4
203010187,2022,1586,1,4
203010187,2022,12125,1,5
203010187,2022,5122,1,5
203010187,2022,4757,1,1
203010187,2022,4382,1,0
203010187,2022,730,1,4
203010187,2022,3197,1,5
203010187,2022,6281,2,0
203010187,2023,2,2,8
203010187,2023,1178,1,4
203010187,2023,1507,1,4
203010187,2023,863,1,4
203010187,2023,5812,1,4
203010187,2023,9820,1,2
203010187,2023,5250,1,4
203010187,2023,2726,1,0
203010187,2023,4609,1,0
203010187,2023,35,1,0
203010187,2023,10711,1,5
203010187,2023,905,1,3
203010187,2023,6150,1,5
203010187,2023,4458,1,5
203010187,2023,12126,1,3
203010187,2023,11244,1,5
203010187,2023,12127,1,3
203010187,2023,2506,1,4
203010187,2023,1617,1,4
203010187,2023,916,1,4
203010187,2023,8422,1,4
203010187,2023,5511,1,4
203010187,2023,2487,1,4
203010187,2024,6677,1,0
203010187,2024,4362,1,4
203010187,2024,4786,1,4
203010187,2024,5171,1,5
203010187,2024,6212,1,5
203010187,2024,11496,1,5
203010187,2024,6166,1,5
203010187,2024,10709,1,5
203010187,2024,3431,1,1
203010187,2024,5092,1,2
203010187,2024,2,2,8
203010187,2024,1617,1,4
203010187,2024,1002,1,4
203010187,2024,5783,1,4
203010187,2024,2487,1,4
203010187,2024,7443,1,4
203010187,2024,1776,1,4
203010187,2024,743,1,4
203010187,2024,389,1,4
203010187,2024,3924,1,4
203010187,2024,3385,1,4
203010187,2024,6099,1,2
203010239,2022,2,1,8
203010239,2022,3759,1,5
203010239,2022,10681,1,5
203010239,2023,4709,1,5
203010239,2023,4303,1,5
203010239,2024,2,1,8
203010239,2024,7848,1,4
203010239,2024,6847,1,5
203010239,2024,2390,1,4
203010239,2024,4751,1,4
203010248,2022,2,1,8
203010248,2022,940,1,4
203010248,2022,6476,1,4
203010248,2023,376,1,4
203010248,2023,3385,1,4
203010248,2023,2248,1,4
203010248,2023,4887,1,5
203010248,2023,2507,1,4
203010248,2024,2,2,8
203010248,2024,2490,1,4
203010248,2024,3924,1,4
203010248,2024,9092,1,1
203010248,2024,4850,1,4
203010248,2024,4461,1,4
203010257,2022,2,2,8
203010257,2022,2490,1,4
203010257,2022,5002,1,4
203010257,2022,6572,1,1
203010257,2022,3128,1,4
203010257,2022,10907,1,5
203010257,2022,4872,1,5
203010257,2022,3696,1,5
203010257,2022,11254,1,5
203010257,2022,10630,1,5
203010257,2022,4829,1,1
203010257,2022,3369,1,5
203010257,2022,10701,1,5
203010257,2023,834,1,4
203010257,2023,2,2,8
203010257,2023,5481,1,4
203010257,2023,389,1,4
203010257,2023,4784,1,4
203010257,2023,4421,1,4
203010257,2023,649,1,4
203010257,2023,10958,1,5
203010257,2023,10878,1,5
203010257,2023,10630,2,5
203010257,2023,8767,1,5
203010257,2023,10781,1,5
203010257,2023,10755,1,1
203010257,2023,3431,1,1
203010257,2023,10639,1,5
203010257,2023,4942,1,4
203010257,2023,1607,1,4
203010257,2024,4125,1,4
203010257,2024,4359,1,4
203010257,2024,5054,1,4
203010257,2024,647,1,4
203010257,2024,649,1,4
203010257,2024,4917,1,4
203010257,2024,12128,1,5
203010257,2024,3232,1,5
203010257,2024,11270,1,5
203010257,2024,11593,1,5
203010257,2024,2,1,8
203010257,2024,12129,1,5
203010257,2024,10950,1,5
203010257,2024,11254,2,5
203010257,2024,10630,1,5
203010257,2024,4380,1,5
203010257,2024,6570,2,1
203010257,2024,6573,1,5
203010257,2024,10755,1,1
203010257,2024,10701,1,5
203010257,2024,4652,1,1
203010257,2024,12130,1,3
203010257,2024,12131,1,5
203010257,2024,2506,1,4
203010257,2024,107,1,4
203010257,2024,4728,1,4
203010257,2024,8261,1,4
203010257,2024,6355,1,4
203010257,2024,2490,1,4
203010257,2024,11305,1,5
203010257,2024,4764,1,4
203010293,2022,2,2,8
203010293,2022,6417,1,4
203010293,2022,3201,1,4
203010293,2022,4421,1,4
203010293,2022,2442,1,4
203010293,2022,4801,1,2
203010293,2022,11270,1,5
203010293,2022,11345,1,5
203010293,2022,4829,1,1
203010293,2023,2,5,8
203010293,2023,1507,1,4
203010293,2023,2792,1,4
203010293,2023,2370,1,4
203010293,2023,946,1,2
203010293,2023,647,1,4
203010293,2023,10881,1,5
203010293,2023,9269,1,1
203010293,2023,12132,1,5
203010293,2023,4732,1,5
203010293,2023,3007,1,5
203010293,2023,10958,1,5
203010293,2023,11225,1,3
203010293,2023,9094,1,5
203010293,2023,9550,1,5
203010293,2023,6229,1,5
203010293,2023,11194,1,3
203010293,2023,4829,2,1
203010293,2023,6114,1,1
203010293,2023,4384,1,4
203010293,2024,1607,1,4
203010293,2024,4717,1,0
203010293,2024,2,1,8
203010293,2024,4675,1,4
203010293,2024,4784,1,4
203010293,2024,649,1,4
203010293,2024,5086,1,5
203010293,2024,10736,1,3
203010293,2024,6570,1,1
203010293,2024,10755,1,1
203010309,2022,2,4,8
203010309,2022,6476,1,4
203010309,2022,4317,1,4
203010309,2022,3339,1,4
