yop_kodu,year,lise_id,yerlesen_sayisi,school_type
210401725,2023,2,1,8
210401725,2023,3039,1,0
210401725,2023,5597,1,4
210401725,2023,6642,1,4
210401725,2023,6210,1,2
210401725,2023,11160,1,1
210401725,2023,1985,1,5
210401725,2023,1055,1,4
210401725,2023,2194,1,4
210401725,2024,11673,1,2
210401725,2024,6636,1,4
210401725,2024,11604,1,3
210401725,2024,6052,1,4
210401725,2024,5108,1,4
210401725,2024,10888,1,5
210401725,2024,5115,1,3
210401725,2024,5191,1,4
210401725,2024,3970,1,2
210401732,2023,2,2,8
210401732,2023,3611,1,2
210401732,2023,3403,1,4
210401732,2023,724,1,4
210401732,2023,120,1,4
210401732,2023,263,2,2
210401732,2023,14,1,0
210401732,2023,5051,1,4
210401732,2023,950,1,4
210401732,2023,3631,1,4
210401732,2023,871,1,2
210401732,2023,3615,1,4
210401732,2023,3201,1,4
210401732,2023,963,1,4
210401732,2023,6624,1,2
210401732,2023,5387,1,4
210401732,2023,966,1,4
210401732,2023,285,1,4
210401732,2023,839,1,2
210401732,2023,310,1,4
210401732,2023,4219,1,2
210401732,2023,145,1,4
210401732,2023,2958,1,4
210401732,2023,2561,1,2
210401732,2023,1688,1,5
210401732,2023,11657,1,3
210401732,2023,4079,1,3
210401732,2023,3720,1,5
210401732,2023,2895,1,5
210401732,2023,148,1,5
210401732,2023,3449,1,5
210401732,2023,701,1,5
210401732,2023,1957,1,5
210401732,2023,6424,1,5
210401732,2023,11067,1,3
210401732,2023,2485,1,5
210401732,2023,133,1,1
210401732,2023,10986,1,5
210401732,2023,913,1,3
210401732,2023,4306,1,5
210401732,2023,2525,1,4
210401732,2023,2649,2,2
210401732,2023,561,1,4
210401732,2023,562,2,2
210401732,2023,931,1,4
210401732,2023,570,1,4
210401732,2023,154,1,4
210401732,2024,10455,1,5
210401732,2024,3449,1,5
210401732,2024,11067,1,3
210401732,2024,13809,1,3
210401732,2024,6280,1,5
210401732,2024,613,1,3
210401732,2024,711,1,4
210401732,2024,5130,1,2
210401732,2024,4139,1,4
210401732,2024,2,1,8
210401732,2024,871,1,2
210401732,2024,5055,1,2
210401732,2024,888,1,2
210401732,2024,4896,1,5
210401732,2024,10970,1,3
210401732,2024,2567,1,3
210401732,2024,11088,1,3
