yop_kodu,year,lise_id,yerlesen_sayisi,school_type
204710256,2022,2,2,8
204710256,2022,5204,1,2
204710256,2023,2669,1,4
204710256,2023,89,1,5
204710256,2023,8749,1,5
204710256,2023,3238,1,3
204710256,2023,5551,1,4
204710256,2024,2812,1,4
204710256,2024,2,1,8
204710256,2024,4550,2,0
204710256,2024,3129,1,4
204710256,2024,4117,1,4
204710256,2024,975,1,4
204710256,2024,4480,1,0
204710256,2024,11610,1,5
204710256,2024,3261,1,4
204710265,2022,2,1,8
204710265,2022,9933,1,5
204710265,2022,5381,1,4
204710265,2022,10468,1,5
204710265,2022,10628,1,5
204710265,2022,9002,1,1
204710265,2022,10490,1,5
204710265,2022,10919,1,5
204710265,2022,5764,1,5
204710265,2022,10934,1,5
204710265,2022,5089,1,5
204710265,2022,10741,1,5
204710265,2022,1680,1,5
204710265,2022,11686,1,1
204710265,2022,5127,1,5
204710265,2022,4305,1,5
204710265,2022,9859,1,5
204710265,2023,2,5,8
204710265,2023,1882,1,4
204710265,2023,7592,1,1
204710265,2023,4328,1,5
204710265,2023,10841,1,5
204710265,2023,10933,1,5
204710265,2023,1746,1,5
204710265,2023,11295,1,5
204710265,2023,4861,1,5
204710265,2023,10904,1,5
204710265,2023,1894,1,5
204710265,2023,10374,2,5
204710265,2023,7449,1,5
204710265,2023,10556,1,5
204710265,2023,4302,1,5
204710265,2023,9691,1,5
204710265,2023,9127,1,5
204710265,2023,3845,1,5
204710265,2023,5454,1,5
204710265,2023,2715,1,4
204710265,2023,1696,1,4
204710265,2024,7592,2,1
204710265,2024,4328,1,5
204710265,2024,9211,1,5
204710265,2024,4100,1,5
204710265,2024,10908,1,5
204710265,2024,9102,1,5
204710265,2024,2510,1,5
204710265,2024,10162,1,1
204710265,2024,12655,1,5
204710265,2024,3886,1,5
204710265,2024,4372,1,4
204710265,2024,6848,1,5
204710265,2024,5453,1,5
204710265,2024,10905,1,5
204710265,2024,7601,2,5
204710265,2024,10870,1,5
204710265,2024,4047,1,5
204710265,2024,5090,1,5
204710265,2024,9359,1,5
204710265,2024,1680,2,5
204710265,2024,5585,1,5
204710265,2024,2,3,8
204710265,2024,6469,1,5
204710265,2024,5531,1,5
204710265,2024,7190,1,5
204710265,2024,5497,1,5
204710265,2024,7507,1,5
204710265,2024,1627,2,5
204710265,2024,4555,1,5
204710265,2024,2505,1,4
204710265,2024,5455,1,4
204710265,2024,7446,1,1
204710265,2024,4141,1,4
204710265,2024,3802,1,4
204710265,2024,2351,1,4
204710265,2024,13795,1,4
204710265,2024,2228,1,4
204710265,2024,5449,1,4
204710265,2024,5707,1,5
204710283,2022,2,2,8
204710283,2022,3444,1,4
204710283,2022,2862,1,4
204710283,2022,397,1,4
204710283,2023,2,1,8
204710283,2023,4200,1,0
204710283,2023,1874,1,4
204710283,2023,5063,1,5
204710283,2023,6628,1,5
204710283,2023,5497,1,5
204710283,2024,1492,1,4
204710283,2024,2,2,8
204710283,2024,3334,1,4
204710283,2024,4765,1,4
204710283,2024,708,1,5
204710283,2024,7206,1,5
204710283,2024,5617,1,5
204710283,2024,3283,1,5
204710283,2024,4221,1,5
204710292,2022,3310,1,4
204710292,2022,2,3,8
204710292,2022,600,1,4
204710292,2022,7554,1,4
204710292,2022,1635,1,4
204710292,2022,4648,1,1
204710292,2022,988,1,5
204710292,2022,5205,1,5
204710292,2022,11737,1,5
204710292,2022,10501,1,5
204710292,2022,10289,1,5
204710292,2022,6567,1,5
204710292,2022,6689,1,5
204710292,2022,7763,1,5
204710292,2022,5764,1,5
204710292,2022,5662,1,1
204710292,2022,5029,1,5
204710292,2022,7038,1,1
204710292,2022,6438,1,5
204710292,2022,1680,1,5
204710292,2022,3626,1,3
204710292,2022,1492,1,4
204710292,2022,3934,1,0
204710292,2023,1705,1,4
204710292,2023,2,2,8
204710292,2023,5572,1,4
204710292,2023,512,1,4
204710292,2023,1735,1,4
204710292,2023,2988,1,4
204710292,2023,10881,1,5
204710292,2023,4648,1,1
204710292,2023,1931,1,5
204710292,2023,10501,1,5
204710292,2023,2510,1,5
204710292,2023,10628,2,5
204710292,2023,1689,1,3
204710292,2023,10217,1,5
204710292,2023,3886,1,5
204710292,2023,4861,1,5
204710292,2023,11689,1,5
204710292,2023,10708,1,1
204710292,2023,10374,1,5
204710292,2023,7180,1,5
204710292,2023,7776,1,5
204710292,2023,1997,2,5
204710292,2023,5090,2,5
204710292,2023,5529,1,5
204710292,2023,11255,1,5
204710292,2023,7242,1,5
204710292,2023,6621,1,5
204710292,2023,636,1,4
204710292,2023,1602,1,4
204710292,2023,5727,1,4
204710292,2024,6954,1,4
204710292,2024,6237,1,4
204710292,2024,5613,1,5
204710292,2024,10213,1,5
204710292,2024,5257,1,5
204710292,2024,1931,1,5
204710292,2024,4803,1,5
204710292,2024,10154,1,5
204710292,2024,9211,1,5
204710292,2024,2510,1,5
204710292,2024,2,3,8
204710292,2024,11564,1,1
204710292,2024,6587,1,1
204710292,2024,10604,1,1
204710292,2024,6848,1,5
204710292,2024,2522,1,5
204710292,2024,5453,1,5
204710292,2024,10374,1,5
204710292,2024,7601,2,5
204710292,2024,10870,2,5
204710292,2024,7776,1,5
204710292,2024,9886,1,4
204710292,2024,3369,1,5
204710292,2024,1680,1,5
204710292,2024,10846,1,5
204710292,2024,10454,1,3
204710292,2024,1491,1,5
204710292,2024,9125,1,5
204710292,2024,9127,1,5
204710292,2024,10719,2,5
204710292,2024,10968,1,5
204710292,2024,5551,1,4
204710292,2024,1561,1,4
204710292,2024,4138,1,4
204710292,2024,11382,1,5
204710292,2024,13796,1,4
204710292,2024,1528,1,4
204710292,2024,5597,1,4
204710292,2024,1713,2,4
204710292,2024,10742,1,5
204710292,2024,5665,1,4
204710432,2022,3482,1,4
204710432,2022,2,1,8
204710432,2022,2665,1,4
204710432,2022,3597,1,0
204710432,2022,5195,1,5
204710432,2023,2,2,8
204710432,2023,4763,1,4
204710432,2023,5036,1,4
204710432,2023,6647,1,4
204710432,2024,2,3,8
204710432,2024,1882,1,4
204710432,2024,5748,1,5
204710432,2024,10602,1,5
204710432,2024,10904,1,5
204710432,2024,2522,1,5
204710432,2024,5186,1,5
204710432,2024,9694,1,5
204710441,2022,3378,1,4
204710441,2022,5785,1,0
204710441,2022,3227,1,4
204710441,2022,7592,1,1
204710441,2022,10337,1,5
204710441,2022,2510,1,5
204710441,2022,2883,1,5
204710441,2022,5630,1,5
204710441,2022,11564,1,1
204710441,2022,3343,1,5
204710441,2022,10708,2,1
204710441,2022,10919,1,5
204710441,2022,10905,1,5
204710441,2022,5764,2,5
204710441,2022,7776,1,5
204710441,2022,187,1,5
204710441,2022,10741,1,5
204710441,2022,5090,2,5
204710441,2022,6532,1,5
204710441,2022,7507,1,5
204710441,2022,636,1,4
204710441,2022,8180,1,4
204710441,2023,2,2,8
204710441,2023,1513,1,4
204710441,2023,4287,1,4
204710441,2023,3385,1,4
204710441,2023,958,1,5
204710441,2023,4376,1,4
204710441,2023,1717,1,4
204710441,2023,5381,1,4
204710441,2023,10821,1,5
204710441,2023,8364,1,5
204710441,2023,10148,1,5
204710441,2023,6267,1,5
204710441,2023,5526,1,5
204710441,2023,10962,1,5
204710441,2023,7596,1,5
204710441,2023,9983,1,5
204710441,2023,11155,1,5
204710441,2023,10933,1,5
204710441,2023,4948,1,3
204710441,2023,10374,1,5
204710441,2023,10870,1,5
204710441,2023,5090,1,5
204710441,2023,5585,2,5
204710441,2023,7462,1,5
204710441,2023,2523,1,1
204710441,2023,7507,1,5
204710441,2023,1627,1,5
204710441,2023,10867,1,5
204710441,2023,10780,1,5
204710441,2023,10968,1,5
204710441,2023,2941,1,4
204710441,2023,10964,1,1
204710441,2024,10887,1,5
204710441,2024,5328,1,1
204710441,2024,2092,1,5
204710441,2024,11207,1,5
204710441,2024,6150,1,5
204710441,2024,10844,1,5
204710441,2024,5063,1,5
204710441,2024,10708,1,1
204710441,2024,11594,1,5
204710441,2024,5764,2,5
204710441,2024,13452,1,4
204710441,2024,5473,1,5
204710441,2024,10870,1,5
204710441,2024,10741,1,5
204710441,2024,5090,1,5
204710441,2024,6151,1,5
204710441,2024,7419,1,5
204710441,2024,10897,1,5
