yop_kodu,year,lise_id,yerlesen_sayisi,school_type
203210025,2022,2,2,8
203210025,2022,3924,1,4
203210025,2022,2668,1,4
203210025,2022,2989,1,4
203210025,2022,3293,1,5
203210025,2022,3888,1,4
203210025,2022,1207,1,4
203210025,2023,2,1,8
203210025,2023,3629,1,4
203210025,2023,4764,1,4
203210025,2023,5960,1,4
203210025,2023,6896,1,5
203210025,2023,4850,1,4
203210025,2023,107,1,4
203210025,2023,1207,1,4
203210025,2024,455,1,4
203210025,2024,1458,1,4
203210025,2024,4374,1,4
203210025,2024,1863,1,4
203210025,2024,1104,1,4
203210025,2024,2107,1,4
203210025,2024,647,1,4
203210025,2024,982,1,4
203210025,2024,4723,1,4
203210113,2022,2,1,8
203210113,2022,1966,1,4
203210113,2022,1704,1,4
203210113,2022,4732,1,5
203210113,2022,7191,1,4
203210113,2023,794,1,4
203210113,2023,1857,1,4
203210113,2023,2516,1,4
203210113,2024,847,1,4
203210113,2024,11260,1,5
203210113,2024,4951,1,4
203210113,2024,2,1,8
203210113,2024,7622,1,4
203210113,2024,1940,1,4
203210113,2024,6027,1,4
203210113,2024,12293,1,4
203210113,2024,3274,1,4
203210113,2024,1299,1,4
203210149,2022,2,1,8
203210149,2022,2539,1,2
203210149,2022,8530,1,4
203210149,2022,5167,1,2
203210149,2022,6436,1,4
203210149,2022,435,1,4
203210149,2022,11270,1,5
203210149,2022,11298,1,5
203210149,2023,2,1,8
203210149,2023,2436,1,4
203210149,2023,335,1,4
203210149,2023,4783,1,4
203210149,2023,3405,1,4
203210149,2023,6624,1,2
203210149,2023,5092,1,2
203210149,2023,998,1,4
203210149,2023,933,1,2
203210149,2024,2,1,8
203210149,2024,3201,2,4
203210149,2024,3634,1,4
203210149,2024,5092,2,2
203210149,2024,1617,2,4
203210149,2024,9046,1,4
203210149,2024,10617,1,4
203210185,2022,5073,1,4
203210185,2022,794,1,4
203210185,2022,7443,1,4
203210185,2022,5075,1,4
203210185,2022,1443,1,4
203210185,2022,35,1,0
203210185,2022,1955,1,5
203210185,2022,2516,1,4
203210185,2023,2,1,8
203210185,2023,3316,1,4
203210185,2023,3274,1,4
203210185,2023,239,1,4
203210185,2023,1915,1,4
203210185,2023,5106,1,0
203210185,2023,5870,1,3
203210185,2023,4711,1,4
203210185,2023,1878,1,4
203210185,2024,2,2,8
203210185,2024,1471,1,4
203210185,2024,3094,1,4
203210185,2024,4190,1,0
203210185,2024,1743,1,4
203210185,2024,2516,1,4
203210194,2022,7162,1,4
203210194,2022,2,3,8
203210194,2022,1332,1,4
203210194,2022,5407,1,4
203210194,2022,10607,1,4
203210194,2022,4214,1,4
203210194,2022,5073,1,4
203210194,2022,5300,1,4
203210194,2022,3379,1,4
203210194,2022,3316,1,4
203210194,2022,7622,2,4
203210194,2022,5675,1,4
203210194,2022,6098,1,4
203210194,2022,389,1,4
203210194,2022,1563,1,4
203210194,2022,7425,1,4
203210194,2022,15235,1,4
203210194,2022,1790,1,4
203210194,2022,6481,1,4
203210194,2022,7653,1,4
203210194,2022,1814,1,4
203210194,2022,4799,1,4
203210194,2022,466,1,4
203210194,2022,649,1,4
203210194,2022,1793,1,4
203210194,2022,438,1,4
203210194,2022,35,1,0
203210194,2022,4536,1,4
203210194,2022,7608,1,4
203210194,2022,4823,1,4
203210194,2022,3323,1,4
203210194,2022,3486,1,4
203210194,2022,7684,1,5
203210194,2022,6257,1,5
203210194,2022,7396,1,5
203210194,2022,2504,1,5
203210194,2022,4830,1,5
203210194,2022,12059,1,3
203210194,2022,1450,1,4
203210194,2022,6484,1,4
203210194,2022,1658,1,4
203210194,2022,399,1,4
203210194,2022,5810,1,4
203210194,2022,6037,1,4
203210194,2022,7267,1,4
203210194,2024,808,1,4
203210194,2024,6070,1,4
203210194,2024,2476,1,4
203210194,2024,1713,1,4
203210194,2024,513,1,4
203210194,2024,647,1,4
203210194,2024,3274,1,4
203210194,2024,3820,1,4
203210194,2024,466,1,4
203210194,2024,649,1,4
203210194,2024,2,5,8
203210194,2024,8948,2,4
203210194,2024,3408,1,4
203210194,2024,5500,1,4
203210194,2024,4393,1,5
203210194,2024,7200,1,5
203210194,2024,4723,1,4
203210194,2024,9743,1,4
203210194,2024,2506,1,4
203210194,2024,5783,1,4
203210194,2024,502,1,4
203210194,2024,4374,1,4
