yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105510017,2022,5040,1,4
105510017,2022,2,8,8
105510017,2022,3256,1,0
105510017,2022,5072,1,4
105510017,2022,1906,1,2
105510017,2022,1052,1,2
105510017,2022,5073,1,4
105510017,2022,2200,1,4
105510017,2022,480,1,4
105510017,2022,1509,1,4
105510017,2022,6508,2,4
105510017,2022,5157,1,2
105510017,2022,4570,1,4
105510017,2022,2490,1,4
105510017,2022,4746,1,2
105510017,2022,2541,1,2
105510017,2022,2475,1,4
105510017,2022,5076,1,4
105510017,2022,5100,2,2
105510017,2022,6364,1,4
105510017,2022,3631,1,4
105510017,2022,743,1,4
105510017,2022,2906,1,2
105510017,2022,4744,1,4
105510017,2022,2350,1,4
105510017,2022,957,1,4
105510017,2022,5055,1,2
105510017,2022,1027,1,2
105510017,2022,5253,2,0
105510017,2022,2668,1,4
105510017,2022,10762,1,4
105510017,2022,2517,1,4
105510017,2022,3617,1,4
105510017,2022,4294,1,0
105510017,2022,5168,1,2
105510017,2022,4668,1,2
105510017,2022,6642,1,4
105510017,2022,11614,1,3
105510017,2022,3071,1,4
105510017,2022,848,1,4
105510017,2022,6210,1,2
105510017,2022,2266,1,5
105510017,2022,12903,1,3
105510017,2022,1678,1,5
105510017,2022,2480,1,5
105510017,2022,11557,1,3
105510017,2022,9211,1,5
105510017,2022,7773,1,3
105510017,2022,2564,1,5
105510017,2022,10697,1,5
105510017,2022,6615,1,3
105510017,2022,6824,1,3
105510017,2022,10871,1,5
105510017,2022,5087,1,5
105510017,2022,7804,1,5
105510017,2022,2644,1,5
105510017,2022,10532,1,3
105510017,2022,10026,1,5
105510017,2022,3970,1,2
105510017,2022,4461,1,4
105510017,2022,1801,1,4
105510017,2022,5193,1,2
105510017,2022,5228,1,2
105510017,2022,4383,1,4
105510017,2022,7299,1,4
105510017,2022,8440,1,2
105510017,2022,4717,1,0
105510017,2023,1024,1,2
105510017,2023,2,9,8
105510017,2023,4761,1,4
105510017,2023,4417,1,4
105510017,2023,1052,1,2
105510017,2023,4375,1,2
105510017,2023,230,1,4
105510017,2023,5398,1,4
105510017,2023,2662,1,4
105510017,2023,6030,1,4
105510017,2023,511,1,4
105510017,2023,5248,1,2
105510017,2023,952,1,2
105510017,2023,2546,1,4
105510017,2023,3382,1,4
105510017,2023,4796,1,4
105510017,2023,3481,1,2
105510017,2023,6600,1,4
105510017,2023,4376,1,4
105510017,2023,2756,1,4
105510017,2023,838,1,4
105510017,2023,5203,1,2
105510017,2023,4360,1,4
105510017,2023,4884,1,0
105510017,2023,2880,1,2
105510017,2023,4361,1,4
105510017,2023,2377,1,4
105510017,2023,4637,1,4
105510017,2023,4098,1,4
105510017,2023,5082,1,2
105510017,2023,6298,1,4
105510017,2023,2621,1,5
105510017,2023,5113,1,3
105510017,2023,14086,1,3
105510017,2023,10818,1,5
105510017,2023,4365,1,5
105510017,2023,5214,1,3
105510017,2023,5355,1,5
105510017,2023,6659,1,3
105510017,2023,3170,1,4
105510017,2023,2473,1,2
105510017,2023,919,1,2
105510017,2023,6632,1,2
105510017,2023,1055,1,4
105510017,2023,1372,1,4
105510017,2023,5228,1,2
105510017,2023,5241,2,2
105510017,2023,227,1,4
105510017,2023,1060,1,4
105510017,2023,2584,1,2
105510017,2023,3399,1,4
105510017,2023,61,1,4
105510017,2023,5097,1,2
105510017,2024,6039,1,2
105510017,2024,952,1,2
105510017,2024,874,2,2
105510017,2024,7181,1,4
105510017,2024,3140,1,4
105510017,2024,1566,1,4
105510017,2024,6600,1,4
105510017,2024,2954,1,4
105510017,2024,5056,1,2
105510017,2024,2802,1,2
105510017,2024,2,3,8
105510017,2024,967,1,4
105510017,2024,885,1,2
105510017,2024,5103,1,4
105510017,2024,1685,1,4
105510017,2024,968,1,4
105510017,2024,4363,1,4
105510017,2024,2478,1,4
105510017,2024,1034,1,4
105510017,2024,2560,2,4
105510017,2024,5082,1,2
105510017,2024,6476,1,4
105510017,2024,3389,1,4
105510017,2024,4208,1,2
105510017,2024,6052,1,4
105510017,2024,900,1,4
105510017,2024,4078,1,2
105510017,2024,10426,1,3
105510017,2024,2470,1,1
105510017,2024,11194,1,3
105510017,2024,270,1,5
105510017,2024,5191,1,4
105510017,2024,3893,1,4
105510017,2024,560,1,4
105510017,2024,5192,1,2
105510017,2024,3434,1,4
105510017,2024,919,1,2
105510017,2024,246,1,0
105510017,2024,4339,1,4
105510017,2024,931,1,4
105510017,2024,5712,1,4
105510017,2024,3196,1,4
105510017,2024,3671,1,4
105510017,2024,1830,1,4
105510017,2024,3218,1,4
105510017,2024,1608,1,4
105510017,2024,12810,1,4
105510017,2024,5155,1,4
105510017,2024,4384,1,4
105510017,2024,5098,1,4
105510017,2024,9895,1,4
105510017,2024,867,1,4
105510017,2024,5053,1,2
105510026,2022,2537,1,2
105510026,2022,5055,1,2
105510026,2022,5165,1,2
105510026,2022,1431,1,0
105510026,2022,10151,1,5
105510026,2022,11575,1,1
105510026,2022,5773,1,4
105510026,2022,4384,1,4
105510026,2023,2,1,8
105510026,2023,2325,1,4
105510026,2023,886,1,4
105510026,2023,5380,1,4
105510026,2023,5666,1,5
105510026,2023,1497,1,4
105510026,2023,8655,1,4
105510035,2022,3224,1,4
105510035,2023,11860,1,3
105510035,2024,5113,1,3
105510044,2022,2,7,8
105510044,2022,5156,1,2
105510044,2022,5073,1,4
105510044,2022,3333,1,4
105510044,2022,4763,1,4
105510044,2022,2539,1,2
105510044,2022,863,1,4
105510044,2022,946,1,2
105510044,2022,10043,1,2
105510044,2022,6030,1,4
105510044,2022,5100,1,2
105510044,2022,3631,2,4
105510044,2022,5841,1,4
105510044,2022,4796,1,4
105510044,2022,1704,1,4
105510044,2022,5202,1,2
105510044,2022,6610,1,2
