yop_kodu,year,lise_id,yerlesen_sayisi,school_type
105610043,2022,2,16,8
105610043,2022,2589,1,4
105610043,2022,6476,3,4
105610043,2022,5368,1,2
105610043,2022,4214,1,4
105610043,2022,5300,1,4
105610043,2022,5120,1,4
105610043,2022,2538,1,2
105610043,2022,3629,3,4
105610043,2022,5098,1,4
105610043,2022,5159,1,2
105610043,2022,5398,2,4
105610043,2022,1402,1,4
105610043,2022,10735,1,4
105610043,2022,4839,1,2
105610043,2022,4743,1,4
105610043,2022,509,2,4
105610043,2022,2435,1,0
105610043,2022,5160,2,4
105610043,2022,6038,1,4
105610043,2022,5245,3,4
105610043,2022,5246,1,2
105610043,2022,6649,1,4
105610043,2022,5076,2,4
105610043,2022,6039,1,2
105610043,2022,4092,1,2
105610043,2022,5100,2,2
105610043,2022,2906,2,2
105610043,2022,4344,1,4
105610043,2022,2349,1,4
105610043,2022,4744,1,4
105610043,2022,11393,1,2
105610043,2022,6027,1,4
105610043,2022,3382,4,4
105610043,2022,7181,1,4
105610043,2022,4765,1,4
105610043,2022,3223,1,2
105610043,2022,335,1,4
105610043,2022,6297,1,3
105610043,2022,4797,1,4
105610043,2022,3140,1,4
105610043,2022,7187,2,4
105610043,2022,5057,1,2
105610043,2022,5250,1,4
105610043,2022,5252,2,4
105610043,2022,881,2,2
105610043,2022,5203,1,2
105610043,2022,965,1,4
105610043,2022,5165,3,2
105610043,2022,2552,1,0
105610043,2022,11604,2,3
105610043,2022,11606,1,3
105610043,2022,4609,2,0
105610043,2022,2668,1,4
105610043,2022,5102,1,4
105610043,2022,1685,1,4
105610043,2022,3617,2,4
105610043,2022,4278,1,4
105610043,2022,4917,1,4
105610043,2022,6298,1,4
105610043,2022,6052,1,4
105610043,2022,900,1,4
105610043,2022,1745,1,4
105610043,2022,3635,1,5
105610043,2022,9964,1,5
105610043,2022,11519,1,3
105610043,2022,3700,1,5
105610043,2022,10771,1,5
105610043,2022,6680,1,5
105610043,2022,12552,1,3
105610043,2022,2343,1,5
105610043,2022,5260,1,1
105610043,2022,11621,1,3
105610043,2022,11900,1,3
105610043,2022,11913,2,1
105610043,2022,11181,1,1
105610043,2022,7328,1,5
105610043,2022,10387,1,5
105610043,2022,11575,1,1
105610043,2022,6824,1,3
105610043,2022,10784,1,3
105610043,2022,6287,1,5
105610043,2022,11626,1,3
105610043,2022,10490,1,5
105610043,2022,11194,2,3
105610043,2022,2807,1,5
105610043,2022,11221,1,3
105610043,2022,2572,1,3
105610043,2022,10709,1,5
105610043,2022,5215,1,3
105610043,2022,4941,1,5
105610043,2022,4302,1,5
105610043,2022,2646,1,5
105610043,2022,3283,1,5
105610043,2022,4662,1,5
105610043,2022,10862,1,5
105610043,2022,613,1,3
105610043,2022,11298,1,5
105610043,2022,10710,1,5
105610043,2022,5240,3,0
105610043,2022,2581,2,2
105610043,2022,1143,1,2
105610043,2022,5092,1,2
105610043,2022,5192,1,2
105610043,2022,3434,1,4
105610043,2022,1617,1,4
105610043,2022,3149,1,4
105610043,2022,1000,2,4
105610043,2022,1003,1,2
105610043,2022,6632,1,2
105610043,2022,2651,1,2
105610043,2022,1055,1,4
105610043,2022,3249,1,2
105610043,2022,2583,1,2
105610043,2022,936,1,4
105610043,2022,1013,1,2
105610043,2022,7299,1,4
105610043,2022,4717,1,0
105610043,2022,5713,1,1
105610043,2022,3664,1,2
105610043,2023,693,1,4
105610043,2023,3268,1,4
105610043,2023,2,11,8
105610043,2023,4761,1,4
105610043,2023,6476,2,4
105610043,2023,5072,1,4
105610043,2023,942,1,2
105610043,2023,9143,1,4
105610043,2023,5943,1,4
105610043,2023,11832,1,4
105610043,2023,12130,1,3
105610043,2023,4904,1,4
105610043,2023,4449,1,4
105610043,2023,5120,1,4
105610043,2023,3403,1,4
105610043,2023,6508,1,4
105610043,2023,5157,1,2
105610043,2023,5398,3,4
105610043,2023,1402,1,4
105610043,2023,1512,1,4
105610043,2023,2662,1,4
105610043,2023,2435,1,0
105610043,2023,5160,1,4
105610043,2023,6038,1,4
105610043,2023,4675,1,4
105610043,2023,5245,1,4
105610043,2023,2277,1,4
105610043,2023,866,1,4
105610043,2023,5161,1,4
105610043,2023,5076,3,4
105610043,2023,3200,1,4
105610043,2023,3631,1,4
105610043,2023,743,1,4
105610043,2023,6027,2,4
105610043,2023,3382,2,4
105610043,2023,7181,1,4
105610043,2023,3201,1,4
105610043,2023,5202,1,2
105610043,2023,4272,1,2
105610043,2023,5077,1,2
105610043,2023,6283,1,4
105610043,2023,3140,1,4
105610043,2023,3405,1,4
105610043,2023,4961,1,4
105610043,2023,3225,1,4
105610043,2023,7187,3,4
105610043,2023,5250,1,4
105610043,2023,5251,1,0
105610043,2023,8080,1,4
105610043,2023,5252,1,4
105610043,2023,5203,1,2
105610043,2023,2551,1,4
105610043,2023,4858,1,5
105610043,2023,11604,1,3
105610043,2023,4609,1,0
105610043,2023,5102,1,4
105610043,2023,5167,1,2
105610043,2023,1685,1,4
105610043,2023,1993,1,4
105610043,2023,10762,1,4
105610043,2023,649,1,4
105610043,2023,4801,1,2
105610043,2023,893,1,4
105610043,2023,2609,1,2
105610043,2023,4668,1,2
105610043,2023,4278,1,4
105610043,2023,6642,1,4
105610043,2023,1036,1,2
105610043,2023,2862,3,4
105610043,2023,6052,1,4
105610043,2023,4786,1,4
105610043,2023,10881,1,5
105610043,2023,7234,1,5
105610043,2023,5171,1,5
105610043,2023,10664,1,3
105610043,2023,2621,1,5
105610043,2023,4803,1,5
105610043,2023,4203,1,3
105610043,2023,991,1,3
105610043,2023,11527,1,3
105610043,2023,2623,1,3
105610043,2023,5493,1,3
105610043,2023,11216,1,5
105610043,2023,7300,1,3
105610043,2023,11194,1,3
105610043,2023,13810,1,1
105610043,2023,11408,1,3
105610043,2023,10781,1,5
105610043,2023,5043,1,5
105610043,2023,10489,1,3
105610043,2023,7438,1,3
105610043,2023,6741,1,3
105610043,2023,6469,1,5
105610043,2023,4997,1,5
105610043,2023,11431,1,3
105610043,2023,1960,1,1
