yop_kodu,year,lise_id,yerlesen_sayisi,school_type
206210025,2022,392,1,4
206210025,2022,6247,1,5
206210025,2022,3889,1,4
206210025,2023,2,1,8
206210025,2023,11156,1,5
206210025,2024,2792,1,4
206210025,2024,847,1,4
206210025,2024,3640,1,5
206210025,2024,4394,1,4
206210043,2022,1517,1,4
206210043,2022,5076,1,4
206210043,2022,6417,1,4
206210043,2022,2148,1,4
206210043,2022,3276,1,0
206210043,2022,6616,1,3
206210043,2022,640,1,4
206210043,2022,2487,1,4
206210043,2023,693,1,4
206210043,2023,2,2,8
206210043,2023,120,1,4
206210043,2023,4675,1,4
206210043,2023,78,1,4
206210043,2023,4218,1,4
206210043,2023,8094,1,4
206210043,2023,4361,1,4
206210043,2023,6229,1,5
206210043,2023,10979,1,1
206210043,2024,2790,1,2
206210043,2024,10335,1,4
206210043,2024,6027,1,4
206210043,2024,5250,1,4
206210043,2024,649,1,4
206210043,2024,971,1,2
206210043,2024,11736,1,5
206210043,2024,7200,1,5
206210043,2024,1617,1,4
206210043,2024,5147,1,4
206210088,2022,2,2,8
206210088,2022,1552,1,4
206210088,2022,4421,2,4
206210088,2022,466,1,4
206210088,2022,160,1,4
206210088,2023,4374,1,4
206210088,2023,5101,1,4
206210088,2023,4709,1,5
206210088,2023,4791,1,5
206210088,2023,5508,1,4
206210088,2023,1206,1,4
206210088,2023,1607,1,4
206210088,2023,2977,1,4
206210088,2024,483,1,8
206210088,2024,2,1,8
206210088,2024,2476,1,4
206210088,2024,674,1,0
206210088,2024,4917,1,4
206210088,2024,2468,1,4
206210088,2024,1596,1,4
206210088,2024,1117,1,4
206210149,2022,4417,1,4
206210149,2022,7622,1,4
206210149,2022,1172,1,4
206210149,2023,2597,1,4
206210149,2023,8709,1,4
206210149,2023,2518,1,4
206210149,2024,3923,1,4
206210149,2024,5905,1,4
206210149,2024,2224,1,4
206210149,2024,6945,1,4
206210149,2024,4783,1,4
206210149,2024,2206,1,4
206210149,2024,13321,1,1
206210167,2022,3476,1,4
206210167,2022,4679,1,4
206210167,2022,3175,1,4
206210167,2023,507,1,4
206210167,2023,471,1,4
206210167,2023,4823,1,4
206210167,2023,13125,1,5
206210167,2024,3744,1,4
206210167,2024,236,1,4
206210167,2024,2204,1,4
206210167,2024,3921,1,4
206210185,2022,2,1,8
206210185,2022,6868,1,4
206210185,2022,1966,1,4
206210185,2022,4783,1,4
206210185,2022,696,1,4
206210185,2022,2518,1,4
206210185,2022,6189,1,5
206210185,2022,296,1,4
206210185,2023,2,1,8
206210185,2023,2597,1,4
206210185,2023,363,1,4
206210185,2023,2436,1,4
206210185,2023,1704,1,4
206210185,2023,195,1,4
206210185,2023,2476,1,4
206210185,2023,1340,1,4
206210185,2023,649,1,4
206210185,2023,10704,1,5
206210185,2023,704,1,4
206210185,2024,4213,1,4
206210185,2024,3496,1,4
206210185,2024,2788,1,4
206210185,2024,400,1,4
206210185,2024,943,1,4
206210185,2024,1863,1,4
206210185,2024,4269,1,4
206210185,2024,2351,1,4
206210185,2024,5610,1,4
206210185,2024,13322,1,4
206210185,2024,3434,1,4
206210185,2024,1055,1,4
206210201,2022,1634,1,4
206210201,2022,5142,1,4
206210201,2022,6951,1,1
206210201,2022,7862,1,5
206210201,2023,2,3,8
206210201,2023,4419,1,4
206210201,2023,29,1,4
206210201,2023,10695,1,1
206210201,2024,2,2,8
206210201,2024,2476,1,4
206210201,2024,4748,1,5
206210201,2024,4307,1,4
206210228,2022,2,1,8
206210228,2022,6174,1,4
206210228,2022,4728,1,4
206210228,2022,3114,1,4
206210228,2022,3065,1,4
206210228,2022,5737,1,2
206210228,2022,6237,1,4
206210228,2022,7182,1,4
206210228,2022,9997,1,5
206210228,2022,12823,1,5
206210228,2022,2193,1,4
206210228,2022,107,1,4
206210228,2022,7875,1,4
206210228,2022,5147,1,4
206210228,2022,3355,1,4
206210228,2022,457,1,4
206210228,2022,1661,1,4
206210228,2023,6272,1,4
206210228,2023,3268,1,4
206210228,2023,2,5,8
206210228,2023,4373,1,4
206210228,2023,376,1,4
206210228,2023,6174,1,4
206210228,2023,6668,1,4
206210228,2023,8297,1,4
206210228,2023,6180,1,4
206210228,2023,4784,1,4
206210228,2023,1625,1,4
206210228,2023,7847,1,4
206210228,2023,160,1,4
206210228,2023,6962,1,5
206210228,2023,10718,1,5
206210228,2023,8632,1,4
206210228,2023,3153,1,4
206210228,2023,1206,1,4
206210228,2023,6208,1,4
206210228,2023,2977,2,4
206210228,2024,3128,2,4
206210228,2024,4180,1,4
206210228,2024,1596,1,4
206210228,2024,2938,1,4
206210228,2024,2,1,8
206210228,2024,5481,1,4
206210228,2024,9751,1,4
206210228,2024,7645,1,4
206210228,2024,5295,1,4
206210228,2024,3385,1,4
206210228,2024,492,1,4
206210246,2022,6432,1,4
206210246,2022,2433,1,4
206210246,2022,363,1,4
206210246,2022,5264,1,4
206210246,2022,6098,1,4
206210246,2022,2351,1,4
206210246,2022,1918,1,4
206210246,2022,10672,1,5
206210246,2022,5135,1,5
206210246,2022,6150,1,5
206210246,2022,11050,1,5
206210246,2022,10642,1,5
206210246,2022,11639,1,5
206210246,2022,7976,2,4
206210246,2022,6486,1,4
206210246,2023,4698,1,4
206210246,2023,2,2,8
206210246,2023,1882,1,4
206210246,2023,5264,1,4
206210246,2023,3316,1,4
206210246,2023,1469,2,4
206210246,2023,2370,1,4
206210246,2023,5572,1,4
206210246,2023,6605,1,4
206210246,2023,5004,1,0
206210246,2023,26,1,4
206210246,2023,2166,1,4
206210246,2023,5916,1,4
206210246,2023,6699,1,4
206210246,2023,9153,1,4
206210246,2023,471,1,4
206210246,2023,10981,1,5
206210246,2023,7565,1,4
206210246,2023,8632,1,4
206210246,2023,736,1,4
206210246,2023,4138,1,4
206210246,2023,1607,1,4
206210246,2023,4991,1,4
206210246,2024,4958,1,4
206210246,2024,115,1,4
206210246,2024,8297,1,4
206210246,2024,8708,1,4
206210246,2024,8912,1,4
206210246,2024,6306,1,4
206210246,2024,3065,1,4
206210246,2024,3254,1,4
206210246,2024,8948,1,4
206210246,2024,471,1,4
206210246,2024,2,1,8
206210246,2024,9969,1,5
206210246,2024,4101,1,1
206210246,2024,11800,1,1
206210246,2024,11709,1,5
206210246,2024,11856,1,5
206210246,2024,4850,1,4
206210246,2024,6372,1,4
206210246,2024,3932,1,4
206210246,2024,3935,1,4
206210246,2024,3333,1,4
206210246,2024,6219,1,4
206210246,2024,6943,1,4
206210246,2024,2284,1,4
206210246,2024,13323,1,4
206210246,2024,9897,1,4
206210325,2022,2,1,8
206210325,2022,794,1,4
206210325,2022,1507,1,4
206210325,2022,2172,2,4
206210325,2022,1863,1,4
206210325,2022,3316,1,4
206210325,2022,2122,1,4
206210325,2022,405,1,0
206210325,2022,6605,1,4
206210325,2022,389,1,4
206210325,2022,3772,1,4
206210325,2022,5677,1,4
206210325,2022,1704,1,4
206210325,2022,1564,1,4
206210325,2022,2148,1,4
206210325,2022,5955,1,4
206210325,2022,1625,1,4
206210325,2022,466,2,4
206210325,2022,5625,1,4
206210325,2022,1482,1,4
206210325,2022,4318,1,4
206210325,2022,4322,1,4
206210325,2022,12262,1,5
206210325,2022,4985,1,5
206210325,2022,10978,1,5
206210325,2022,11184,1,1
206210325,2022,10912,1,1
206210325,2022,4653,1,5
206210325,2022,1962,1,5
206210325,2022,1492,1,4
206210325,2022,3686,1,4
206210325,2022,1010,1,4
206210325,2022,1602,1,4
206210325,2022,5712,1,4
206210325,2022,568,1,4
206210325,2022,2271,1,4
206210325,2023,2,8,8
206210325,2023,5407,1,4
206210325,2023,771,1,4
206210325,2023,603,1,4
206210325,2023,119,1,4
206210325,2023,6233,1,4
206210325,2023,1507,1,4
206210325,2023,1378,1,4
206210325,2023,5481,1,4
206210325,2023,3359,1,4
206210325,2023,6098,1,4
206210325,2023,2260,1,4
206210325,2023,1524,1,4
206210325,2023,6027,1,4
206210325,2023,2261,1,4
206210325,2023,2244,1,4
206210325,2023,4961,1,4
206210325,2023,5413,1,4
206210325,2023,252,1,4
206210325,2023,5101,1,4
206210325,2023,10085,1,4
206210325,2023,3128,1,4
206210325,2023,1818,1,4
206210325,2023,2890,1,4
206210325,2023,4072,1,4
206210325,2023,160,1,4
206210325,2023,4535,1,4
206210325,2023,2479,1,4
206210325,2023,244,1,5
206210325,2023,10706,1,5
206210325,2023,9972,1,5
206210325,2023,10151,1,5
206210325,2023,4775,1,5
206210325,2023,4741,1,5
206210325,2023,10779,1,5
206210325,2023,2312,1,4
206210325,2023,3355,1,4
206210325,2023,2486,1,4
206210325,2023,2274,1,4
206210325,2024,1863,1,4
206210325,2024,5003,1,4
206210325,2024,6605,1,4
206210325,2024,1561,1,4
206210325,2024,2705,1,4
206210325,2024,3772,1,4
206210325,2024,4994,1,4
206210325,2024,4287,1,4
206210325,2024,2165,1,4
206210325,2024,2244,1,4
206210325,2024,3268,2,4
206210325,2024,4798,1,4
206210325,2024,239,1,4
206210325,2024,5665,1,4
206210325,2024,142,1,4
206210325,2024,12338,1,4
206210325,2024,8555,1,4
206210325,2024,847,1,4
206210325,2024,9968,1,5
206210325,2024,4628,1,5
206210325,2024,13324,1,5
206210325,2024,2,6,8
206210325,2024,3509,1,5
206210325,2024,4850,1,4
206210325,2024,4523,1,4
206210325,2024,1596,1,4
206210325,2024,204,1,4
206210325,2024,297,1,4
206210325,2024,2271,1,4
206210325,2024,1607,1,4
206210325,2024,2272,1,4
206210325,2024,2105,1,4
