yop_kodu,year,lise_id,yerlesen_sayisi,school_type
209610020,2022,5040,1,4
209610020,2022,2,1,8
209610020,2022,7424,1,2
209610020,2022,2982,2,0
209610020,2022,5159,1,2
209610020,2022,3693,3,4
209610020,2022,601,1,4
209610020,2022,6039,1,2
209610020,2022,3005,1,4
209610020,2022,6600,1,4
209610020,2022,5103,1,4
209610020,2022,6388,1,0
209610020,2022,2558,3,4
209610020,2022,6530,1,2
209610020,2022,10557,1,3
209610020,2022,5107,1,2
209610020,2022,7750,1,3
209610020,2022,5259,1,3
209610020,2022,5208,2,3
209610020,2022,7946,1,1
209610020,2022,5209,1,3
209610020,2022,5815,1,5
209610020,2022,8379,1,1
209610020,2022,6651,1,3
209610020,2022,11321,3,3
209610020,2022,3667,1,5
209610020,2022,10871,1,5
209610020,2022,5216,1,3
209610020,2022,2639,1,3
209610020,2022,5789,1,3
209610020,2022,13916,1,3
209610020,2022,10026,1,5
209610020,2022,5128,1,2
209610020,2022,2651,1,2
209610020,2022,2848,1,4
209610020,2022,4022,1,4
209610020,2022,6304,1,2
209610020,2022,5034,2,4
209610020,2023,1633,1,4
209610020,2023,2982,1,0
209610020,2023,5074,1,4
209610020,2023,4839,1,2
209610020,2023,5053,1,2
209610020,2023,4189,1,4
209610020,2023,3298,1,4
209610020,2023,4796,2,4
209610020,2023,541,1,4
209610020,2023,6220,1,4
209610020,2023,969,1,4
209610020,2023,2558,1,4
209610020,2023,8344,1,4
209610020,2023,898,1,4
209610020,2023,2617,1,2
209610020,2023,4378,1,3
209610020,2023,5259,1,3
209610020,2023,11620,1,3
209610020,2023,11554,1,3
209610020,2023,5208,1,3
209610020,2023,11632,1,5
209610020,2023,11506,1,1
209610020,2023,11602,1,3
209610020,2023,11718,1,3
209610020,2023,11575,4,1
209610020,2023,10596,1,3
209610020,2023,5211,1,5
209610020,2023,5871,1,3
209610020,2023,5858,1,5
209610020,2023,908,1,3
209610020,2023,13635,1,3
209610020,2023,10871,1,5
209610020,2023,6407,1,5
209610020,2023,5657,1,5
209610020,2023,6424,1,5
209610020,2023,11732,1,5
209610020,2023,6807,1,3
209610020,2023,11609,1,3
209610020,2023,11186,1,3
209610020,2023,2641,1,3
209610020,2023,2824,1,4
209610020,2023,4794,2,4
209610020,2023,5130,1,2
209610020,2023,11358,1,1
209610020,2023,9859,1,5
209610020,2023,6304,1,2
209610020,2023,7423,1,2
209610020,2024,10424,1,2
209610020,2024,5108,2,4
209610020,2024,11799,1,3
209610020,2024,1667,1,5
209610020,2024,10537,1,5
209610020,2024,5259,4,3
209610020,2024,11554,1,3
209610020,2024,11845,1,3
209610020,2024,7189,1,3
209610020,2024,11523,3,5
209610020,2024,5157,1,2
209610020,2024,6654,1,3
209610020,2024,11401,1,1
209610020,2024,6424,1,5
209610020,2024,10828,1,5
209610020,2024,4110,1,2
209610020,2024,5131,1,0
209610020,2024,5517,1,4
209610020,2024,6039,1,2
209610020,2024,6600,1,4
209610020,2024,546,1,2
209610020,2024,5170,1,2
209610020,2024,11623,1,5
209610021,2022,2982,1,0
209610021,2022,120,1,4
209610021,2022,3298,1,4
209610021,2022,5056,1,2
209610021,2022,5259,1,3
209610021,2022,11506,1,1
209610021,2022,11575,1,1
209610021,2022,11742,1,3
209610021,2022,11321,1,3
209610021,2022,9859,1,5
209610021,2022,5034,1,4
209610021,2023,2,1,8
209610021,2023,2982,3,0
209610021,2023,5051,1,4
209610021,2023,6364,1,4
209610021,2023,2546,1,4
209610021,2023,3636,1,3
209610021,2023,11554,1,3
209610021,2023,10406,1,5
209610021,2023,11069,1,3
209610021,2024,11575,2,1
209610021,2024,11553,1,3
209610021,2024,5156,1,2
209610021,2024,3693,1,4
209610021,2024,5051,1,4
209610021,2024,509,1,4
209610021,2024,577,1,2
209610021,2024,4028,1,5
209610021,2024,6596,1,5
209610021,2024,11607,1,3
209610022,2022,2,1,8
209610022,2022,3693,1,4
209610022,2022,1019,1,4
209610022,2022,1687,1,4
209610022,2022,10811,1,5
209610022,2022,5034,1,4
209610022,2023,2,1,8
209610022,2023,5074,1,4
209610022,2023,3298,1,4
209610022,2023,2992,1,4
209610022,2023,11359,1,5
209610022,2023,10406,1,5
209610022,2023,1920,1,5
209610022,2024,2,1,8
209610022,2024,1089,1,4
209610022,2024,1624,1,4
209610022,2024,1942,1,4
209610022,2024,765,1,4
209610022,2024,7515,1,5
209610022,2024,11575,1,1
209610023,2022,5275,1,4
209610023,2022,5517,1,4
209610023,2022,6039,1,2
209610023,2022,767,1,4
209610023,2022,1994,1,4
209610023,2022,7629,1,5
209610023,2022,7952,1,5
209610023,2022,2824,1,4
209610023,2022,2585,1,4
209610023,2023,4268,1,4
209610023,2023,78,1,4
209610023,2023,8932,1,4
209610023,2023,1874,1,4
209610023,2023,5108,1,4
209610023,2023,10261,1,5
209610023,2023,4307,1,4
209610023,2023,7090,1,4
209610023,2023,850,1,4
209610023,2023,3918,1,4
209610023,2023,640,1,4
209610023,2024,11608,1,3
209610023,2024,10474,1,5
209610023,2024,4265,1,4
209610023,2024,6049,1,5
209610023,2024,5040,1,4
209610023,2024,5074,1,4
209610023,2024,4268,1,4
209610023,2024,3298,1,4
209610023,2024,10579,1,4
209610023,2024,2987,1,4
209610023,2024,1578,1,4
209610023,2024,126,1,4
209610024,2022,4952,1,4
209610024,2022,2,2,8
209610024,2022,2980,1,4
209610024,2022,4954,1,4
209610024,2022,119,1,4
209610024,2022,1270,1,4
209610024,2022,6875,1,4
209610024,2022,643,1,4
209610024,2022,4865,1,4
209610024,2022,5074,1,4
209610024,2022,6461,1,4
209610024,2022,4956,2,4
209610024,2022,4525,1,4
209610024,2022,1089,1,4
209610024,2022,5955,1,4
209610024,2022,4767,1,4
209610024,2022,5804,1,4
209610024,2022,3278,1,4
209610024,2022,3444,1,4
209610024,2022,4468,1,4
209610024,2022,1677,1,4
209610024,2022,1687,3,4
209610024,2022,6474,1,4
209610024,2022,4691,1,5
209610024,2022,8146,2,5
209610024,2022,4129,1,5
209610024,2022,582,1,5
209610024,2022,7057,1,5
209610024,2022,2625,1,5
209610024,2022,10757,1,5
209610024,2022,13725,1,1
209610024,2022,11782,1,5
209610024,2022,11766,1,5
209610024,2022,4392,1,5
209610024,2022,11512,1,5
209610024,2022,10277,1,5
209610024,2022,5752,1,5
209610024,2022,4440,1,5
209610024,2022,1592,1,5
209610024,2022,7996,1,4
209610024,2022,5370,1,4
209610024,2022,4596,1,4
209610024,2022,3741,1,4
209610024,2022,594,1,4
209610024,2022,5274,1,4
209610024,2022,4598,1,0
209610024,2023,4952,1,4
209610024,2023,2,8,8
209610024,2023,5048,1,4
209610024,2023,4904,1,4
209610024,2023,5275,1,4
209610024,2023,5517,1,4
209610024,2023,5074,2,4
209610024,2023,1516,1,4
209610024,2023,4268,1,4
209610024,2023,4956,1,4
209610024,2023,4855,1,4
209610024,2023,3956,1,4
209610024,2023,4116,1,4
209610024,2023,308,1,4
209610024,2023,6388,2,0
209610024,2023,4533,1,4
209610024,2023,765,5,4
209610024,2023,1579,1,4
209610024,2023,6303,1,3
209610024,2023,6400,1,5
209610024,2023,6604,1,5
209610024,2023,10667,1,5
209610024,2023,4567,1,5
209610024,2023,3843,1,5
209610024,2023,10567,1,5
209610024,2023,560,1,4
209610024,2023,588,1,4
209610024,2023,1628,1,4
209610024,2023,5016,1,4
209610024,2023,3930,1,4
209610024,2023,3918,3,4
209610024,2023,5129,1,4
209610024,2023,565,2,4
209610024,2023,477,1,4
209610024,2023,3452,1,4
209610024,2023,1499,2,4
209610024,2023,529,1,4
209610024,2023,11811,1,4
209610024,2024,5875,1,4
209610024,2024,4124,1,4
209610024,2024,4855,1,4
209610024,2024,1089,2,4
209610024,2024,0,2,4
209610024,2024,4657,1,4
209610024,2024,5279,1,4
209610024,2024,3386,1,4
209610024,2024,8099,1,4
209610024,2024,765,1,4
209610024,2024,2,6,8
209610024,2024,1579,2,4
209610024,2024,5380,1,4
209610024,2024,1687,2,4
209610024,2024,2211,1,4
209610024,2024,4377,1,4
209610024,2024,1994,1,4
209610024,2024,4325,1,4
209610024,2024,11916,1,3
209610024,2024,11736,1,5
209610024,2024,4824,1,5
209610024,2024,4417,1,4
209610024,2024,3522,1,5
209610024,2024,9621,1,5
209610024,2024,5871,1,3
209610024,2024,5291,1,5
209610024,2024,6653,1,5
209610024,2024,4392,1,5
209610024,2024,10977,1,5
209610024,2024,2634,1,5
209610024,2024,11164,1,5
209610024,2024,1920,1,5
209610024,2024,5153,1,4
209610024,2024,3843,1,5
209610024,2024,10815,1,5
209610024,2024,7245,1,3
209610024,2024,4307,1,4
209610024,2024,3917,1,4
209610024,2024,6684,1,4
209610024,2024,4580,1,4
209610024,2024,4368,1,4
209610024,2024,4338,1,4
209610024,2024,5129,1,4
209610024,2024,1590,1,0
209610024,2024,6633,1,4
209610024,2024,4369,1,4
209610024,2024,9857,1,4
209610024,2024,529,1,4
209610024,2024,229,1,4
209610024,2024,2976,1,4
209610024,2024,152,1,4
209610024,2024,5302,1,4
209610024,2024,5517,1,4
209610024,2024,3702,1,4
209610024,2024,601,1,4
209610025,2022,2,2,8
209610025,2022,9236,1,4
209610025,2022,3693,1,4
209610025,2022,1624,1,4
209610025,2022,10429,1,5
209610025,2022,2643,1,1
209610025,2022,2824,1,4
209610025,2022,4198,1,4
209610025,2022,4022,1,4
209610025,2023,119,1,4
209610025,2023,12,1,4
209610025,2023,1019,2,4
209610025,2023,78,1,4
209610025,2023,4377,2,4
209610025,2023,5290,1,5
209610025,2023,7522,1,5
209610025,2023,225,1,5
209610025,2023,10406,1,5
209610025,2023,2291,1,5
209610025,2024,988,1,5
209610025,2024,5984,1,4
209610025,2024,2585,1,4
209610025,2024,11854,1,4
209610025,2024,216,1,4
209610025,2024,2,1,8
209610025,2024,1019,2,4
209610025,2024,5051,1,4
209610025,2024,2665,1,4
209610025,2024,1525,1,4
209610025,2024,2558,1,4
209610025,2024,5341,1,4
209610026,2022,2,3,8
209610026,2022,4248,1,4
209610026,2022,2980,1,4
209610026,2022,4448,1,4
209610026,2022,4417,1,4
209610026,2022,4581,1,4
209610026,2022,533,1,4
209610026,2022,4399,1,4
209610026,2022,6875,1,4
209610026,2022,3871,1,4
209610026,2022,601,1,4
209610026,2022,5792,1,4
209610026,2022,8498,1,4
209610026,2022,4855,1,4
209610026,2022,9593,1,4
209610026,2022,3298,2,4
209610026,2022,1477,1,4
209610026,2022,5282,1,4
209610026,2022,2985,1,4
209610026,2022,883,1,4
209610026,2022,3300,1,4
209610026,2022,8109,1,4
209610026,2022,970,1,4
209610026,2022,3278,1,4
209610026,2022,7572,1,4
209610026,2022,3463,1,4
209610026,2022,5842,1,4
209610026,2022,4377,1,4
209610026,2022,3339,1,4
209610026,2022,4045,1,4
209610026,2022,1583,1,4
209610026,2022,8146,1,5
209610026,2022,4824,1,5
209610026,2022,3522,1,5
209610026,2022,10406,1,5
209610026,2022,5211,1,5
209610026,2022,6817,1,5
209610026,2022,9625,1,5
209610026,2022,778,1,5
209610026,2022,5566,1,5
209610026,2022,6360,1,5
209610026,2022,226,1,5
209610026,2022,10957,1,5
209610026,2022,10334,1,5
209610026,2022,10969,1,3
209610026,2022,1698,1,4
209610026,2022,2824,2,4
209610026,2022,9063,1,4
209610026,2022,594,1,4
209610026,2022,570,1,4
209610026,2022,2585,4,4
209610026,2022,4972,1,4
209610026,2022,153,1,4
209610026,2023,2,10,8
209610026,2023,1728,1,4
209610026,2023,2396,1,4
209610026,2023,5458,1,4
209610026,2023,139,1,4
209610026,2023,1019,3,4
209610026,2023,4268,1,4
209610026,2023,1089,1,4
209610026,2023,6364,1,4
209610026,2023,3298,3,4
209610026,2023,4272,1,2
209610026,2023,4116,1,4
209610026,2023,5253,1,0
209610026,2023,3300,3,4
209610026,2023,5367,1,4
209610026,2023,765,1,4
209610026,2023,6390,1,5
209610026,2023,1687,1,4
209610026,2023,4377,1,4
209610026,2023,3339,1,4
209610026,2023,13031,1,4
209610026,2023,10868,1,5
209610026,2023,8147,1,5
209610026,2023,11602,1,3
209610026,2023,3522,1,5
209610026,2023,6602,1,5
209610026,2023,708,1,5
209610026,2023,10728,1,5
209610026,2023,8588,1,5
209610026,2023,5267,1,5
209610026,2023,7777,1,5
209610026,2023,5587,1,4
209610026,2023,3660,1,4
209610026,2023,5016,1,4
209610026,2023,2824,2,4
209610026,2023,3918,1,4
209610026,2023,5129,1,4
209610026,2023,565,2,4
209610026,2023,6633,2,4
209610026,2023,477,1,4
209610026,2023,11011,1,4
209610026,2023,4341,1,4
209610026,2023,570,1,4
209610026,2023,1499,1,4
209610026,2023,5745,1,4
209610026,2023,5034,1,4
209610026,2024,2876,1,4
209610026,2024,1358,1,4
209610026,2024,1624,1,4
209610026,2024,2688,1,4
209610026,2024,4418,1,4
209610026,2024,2418,1,4
209610026,2024,2300,2,4
209610026,2024,0,2,4
209610026,2024,4116,1,4
209610026,2024,5253,1,0
209610026,2024,2,5,8
209610026,2024,3300,2,4
209610026,2024,6388,1,0
209610026,2024,3278,1,4
209610026,2024,5738,1,4
209610026,2024,7095,1,4
209610026,2024,765,2,4
209610026,2024,1579,1,4
209610026,2024,2210,1,4
209610026,2024,767,1,4
209610026,2024,4377,1,4
209610026,2024,4954,1,4
209610026,2024,3711,1,4
209610026,2024,1667,1,5
209610026,2024,10975,1,5
209610026,2024,7522,2,5
209610026,2024,3522,1,5
209610026,2024,11366,1,5
209610026,2024,5267,1,5
209610026,2024,10525,1,5
209610026,2024,5545,1,3
209610026,2024,2780,1,5
209610026,2024,5275,1,4
209610026,2024,8597,2,5
209610026,2024,10800,2,5
209610026,2024,5216,1,3
209610026,2024,5648,1,5
209610026,2024,4262,1,5
209610026,2024,2968,1,5
209610026,2024,4307,1,4
209610026,2024,4712,1,4
209610026,2024,730,1,4
209610026,2024,4794,1,4
209610026,2024,5074,2,4
209610026,2024,3918,1,4
209610026,2024,565,1,4
209610026,2024,684,1,4
209610026,2024,1549,1,4
209610026,2024,5034,2,4
209610026,2024,4268,3,4
209610026,2024,4955,1,4
209610026,2024,601,1,4
209610026,2024,2800,1,4
209610027,2022,1807,1,4
209610027,2022,2721,1,4
209610027,2022,6600,1,4
209610027,2022,10557,1,3
209610027,2022,5815,1,5
209610027,2022,5178,1,5
209610027,2022,6424,1,5
209610027,2022,4368,1,4
209610027,2022,5745,1,4
209610027,2023,2,2,8
209610027,2023,1942,1,4
209610027,2023,6257,1,5
209610027,2023,10824,1,5
209610027,2023,13917,1,5
209610027,2023,7758,1,5
209610027,2023,4306,1,5
209610027,2023,4663,1,4
209610027,2023,5034,1,4
209610027,2024,11447,1,4
209610027,2024,2721,1,4
209610027,2024,4766,1,4
209610027,2024,2558,1,4
209610027,2024,3522,1,5
209610028,2022,1727,1,4
209610028,2022,2,4,8
209610028,2022,5131,1,0
209610028,2022,3693,1,4
209610028,2022,5051,1,4
209610028,2022,4855,1,4
209610028,2022,1089,1,4
209610028,2022,4189,1,4
209610028,2022,4766,1,4
209610028,2022,1968,1,4
209610028,2022,970,2,4
209610028,2022,4423,1,4
209610028,2022,4098,1,4
209610028,2022,767,1,4
209610028,2022,520,1,4
209610028,2022,4325,1,4
209610028,2022,5502,1,5
209610028,2022,2379,1,5
209610028,2022,5528,1,5
209610028,2022,11684,1,5
209610028,2022,5174,1,5
209610028,2022,7522,1,5
209610028,2022,11506,1,1
209610028,2022,3522,1,5
209610028,2022,2471,1,5
209610028,2022,7178,1,3
209610028,2022,10824,1,5
209610028,2022,10406,2,5
209610028,2022,5858,1,5
209610028,2022,11523,2,5
209610028,2022,10818,1,5
209610028,2022,10977,1,5
209610028,2022,5731,1,5
209610028,2022,5566,1,5
