yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112270818,2022,2,5,8
112270818,2022,2765,1,4
112270818,2022,1273,1,4
112270818,2022,3089,1,4
112270818,2022,4112,1,4
112270818,2022,739,1,4
112270818,2022,5302,1,4
112270818,2022,1829,1,4
112270818,2022,215,1,4
112270818,2022,261,1,4
112270818,2022,1182,1,4
112270818,2022,626,1,4
112270818,2022,2179,1,4
112270818,2022,3600,1,4
112270818,2022,1623,1,4
112270818,2022,2526,1,4
112270818,2022,5024,1,4
112270818,2022,1384,1,4
112270818,2022,2464,1,4
112270818,2022,3043,1,4
112270818,2022,2858,1,4
112270818,2022,2607,2,4
112270818,2022,1478,2,4
112270818,2022,4454,1,0
112270818,2022,634,1,4
112270818,2022,3407,1,4
112270818,2022,4388,1,4
112270818,2022,7933,1,4
112270818,2022,35,1,0
112270818,2022,897,1,4
112270818,2022,2805,1,4
112270818,2022,1585,1,4
112270818,2022,1323,1,4
112270818,2022,583,1,5
112270818,2022,11670,1,5
112270818,2022,1963,1,4
112270818,2022,1004,1,4
112270818,2022,1877,1,4
112270818,2022,683,1,4
112270818,2022,2898,1,4
112270818,2022,2386,1,4
112270818,2022,2162,1,4
112270818,2022,596,1,4
112270818,2022,656,1,4
112270818,2022,457,1,4
112270818,2022,5512,1,4
112270818,2023,1211,1,4
112270818,2023,1504,1,4
112270818,2023,2,14,8
112270818,2023,118,1,0
112270818,2023,941,1,2
112270818,2023,4398,1,4
112270818,2023,1043,1,4
112270818,2023,3089,1,4
112270818,2023,3722,1,4
112270818,2023,1730,1,4
112270818,2023,4491,1,4
112270818,2023,1334,1,4
112270818,2023,3356,1,4
112270818,2023,2815,1,4
112270818,2023,5877,1,4
112270818,2023,4720,1,4
112270818,2023,5793,1,4
112270818,2023,5348,1,4
112270818,2023,2526,1,4
112270818,2023,173,1,4
112270818,2023,2770,1,4
112270818,2023,3988,1,0
112270818,2023,1337,1,4
112270818,2023,262,1,4
112270818,2023,5054,1,4
112270818,2023,5363,1,4
112270818,2023,961,1,4
112270818,2023,3285,1,4
112270818,2023,3112,1,4
112270818,2023,1319,1,4
112270818,2023,5414,1,4
112270818,2023,2795,2,4
112270818,2023,1760,1,4
112270818,2023,1478,1,4
112270818,2023,578,1,4
112270818,2023,2922,1,4
112270818,2023,6210,1,2
112270818,2023,2694,1,5
112270818,2023,13762,1,5
112270818,2023,10594,1,5
112270818,2023,1161,1,4
112270818,2023,6250,1,4
112270818,2023,3122,1,4
112270818,2023,4012,1,4
112270818,2023,1372,1,4
112270818,2023,1618,1,4
112270818,2023,1547,1,4
112270818,2023,1871,1,4
112270818,2023,3587,1,4
112270818,2023,640,1,4
112270818,2023,1457,1,4
112270818,2024,11447,1,4
112270818,2024,2434,1,4
112270818,2024,4512,1,4
112270818,2024,4447,1,4
112270818,2024,1472,1,4
112270818,2024,1734,1,4
112270818,2024,5775,1,4
112270818,2024,1561,1,4
112270818,2024,763,1,4
112270818,2024,4287,1,4
112270818,2024,1213,1,4
112270818,2024,1293,1,0
112270818,2024,1385,1,4
112270818,2024,491,1,4
112270818,2024,12047,1,4
112270818,2024,6986,1,4
112270818,2024,791,1,4
112270818,2024,1478,1,4
112270818,2024,1571,1,4
112270818,2024,2937,1,4
112270818,2024,1095,1,4
112270818,2024,2049,1,4
112270818,2024,5738,1,4
112270818,2024,5560,1,4
112270818,2024,440,1,4
112270818,2024,2922,1,4
112270818,2024,2468,1,4
112270818,2024,7505,1,4
112270818,2024,3521,1,5
112270818,2024,9979,1,5
112270818,2024,11439,1,5
112270818,2024,11530,1,3
112270818,2024,3085,1,4
