yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106210017,2022,5040,1,4
106210017,2022,856,1,4
106210017,2022,2,7,8
106210017,2022,3401,3,2
106210017,2022,1908,1,4
106210017,2022,1122,1,4
106210017,2022,4142,1,2
106210017,2022,5157,1,2
106210017,2022,2538,1,2
106210017,2022,2539,1,2
106210017,2022,536,1,0
106210017,2022,1018,1,2
106210017,2022,3308,1,4
106210017,2022,866,1,4
106210017,2022,5053,1,2
106210017,2022,2542,1,2
106210017,2022,6845,1,4
106210017,2022,3923,1,4
106210017,2022,3404,1,4
106210017,2022,873,2,2
106210017,2022,411,1,2
106210017,2022,953,1,4
106210017,2022,2544,1,4
106210017,2022,876,2,2
106210017,2022,955,2,2
106210017,2022,6610,1,2
106210017,2022,3252,1,4
106210017,2022,5057,1,2
106210017,2022,6650,1,4
106210017,2022,3226,1,4
106210017,2022,2669,6,4
106210017,2022,886,1,4
106210017,2022,3738,1,4
106210017,2022,6641,3,2
106210017,2022,1575,1,4
106210017,2022,3205,4,4
106210017,2022,974,1,2
106210017,2022,1109,1,2
106210017,2022,1743,1,4
106210017,2022,899,1,2
106210017,2022,900,1,4
106210017,2022,1432,1,4
106210017,2022,6210,1,2
106210017,2022,2881,1,4
106210017,2022,4786,1,4
106210017,2022,6379,1,5
106210017,2022,1952,1,5
106210017,2022,1281,1,5
106210017,2022,5179,2,5
106210017,2022,6863,1,5
106210017,2022,6939,1,5
106210017,2022,7217,1,5
106210017,2022,5546,1,5
106210017,2022,414,1,5
106210017,2022,2697,1,5
106210017,2022,6597,1,5
106210017,2022,12954,1,1
106210017,2022,3642,1,2
106210017,2022,1051,2,2
106210017,2022,915,1,4
106210017,2022,1344,1,4
106210017,2022,4107,1,4
106210017,2022,5395,1,4
106210017,2022,1989,1,4
106210017,2022,6623,1,4
106210017,2022,5293,1,2
106210017,2022,935,4,2
106210017,2022,936,1,4
106210017,2022,5511,1,4
106210017,2022,716,1,4
106210017,2022,5198,1,2
106210017,2022,5095,1,4
106210017,2022,1149,1,4
106210017,2022,7428,1,2
106210017,2022,4780,1,2
106210017,2022,1066,1,4
106210017,2022,5097,1,2
106210017,2023,2,7,8
106210017,2023,940,1,4
106210017,2023,3401,3,2
106210017,2023,1178,1,4
106210017,2023,1780,2,4
106210017,2023,4489,2,2
106210017,2023,3403,1,4
106210017,2023,1070,1,4
106210017,2023,2905,1,4
106210017,2023,2539,1,2
106210017,2023,3834,1,4
106210017,2023,5515,2,4
106210017,2023,2816,1,2
106210017,2023,2662,1,4
106210017,2023,946,1,2
106210017,2023,3265,1,2
106210017,2023,7294,1,2
106210017,2023,3631,2,4
106210017,2023,2601,1,4
106210017,2023,173,1,4
106210017,2023,773,1,4
106210017,2023,2705,1,4
106210017,2023,2546,1,4
106210017,2023,955,1,2
106210017,2023,1836,1,0
106210017,2023,6099,1,2
106210017,2023,1025,4,2
106210017,2023,6610,1,2
106210017,2023,1758,1,4
106210017,2023,2464,1,4
106210017,2023,881,2,2
106210017,2023,5203,1,2
106210017,2023,2669,4,4
106210017,2023,3738,1,4
106210017,2023,1076,1,2
106210017,2023,1299,1,4
106210017,2023,3205,1,4
106210017,2023,893,1,4
106210017,2023,2758,1,4
106210017,2023,2560,1,4
106210017,2023,2893,1,2
106210017,2023,900,1,4
106210017,2023,4226,1,2
106210017,2023,2881,1,4
106210017,2023,2672,1,4
106210017,2023,902,1,4
106210017,2023,11549,1,3
106210017,2023,11628,1,5
106210017,2023,1952,1,5
106210017,2023,3639,1,5
106210017,2023,7217,2,5
106210017,2023,7429,2,3
106210017,2023,6153,1,5
106210017,2023,843,1,2
106210017,2023,3642,1,2
106210017,2023,5192,1,2
106210017,2023,999,3,4
106210017,2023,2582,2,2
106210017,2023,2971,1,4
106210017,2023,4108,1,4
106210017,2023,737,1,4
106210017,2023,1804,1,4
106210017,2023,1286,1,2
106210017,2023,2657,1,2
106210017,2023,5196,1,2
106210017,2023,1606,2,4
106210017,2023,2658,1,2
106210017,2023,934,1,2
106210017,2023,6623,2,4
106210017,2023,5293,2,2
106210017,2023,935,1,2
106210017,2023,1014,1,4
106210017,2023,1148,1,2
106210017,2023,1015,2,2
106210017,2023,2661,1,2
106210017,2024,863,1,4
106210017,2024,2435,1,0
106210017,2024,4250,1,2
106210017,2024,2542,1,2
106210017,2024,876,1,2
106210017,2024,853,1,0
106210017,2024,122,1,4
106210017,2024,2602,1,4
106210017,2024,2324,1,4
106210017,2024,956,1,4
106210017,2024,5040,1,4
106210017,2024,4077,1,4
106210017,2024,2669,2,4
106210017,2024,5103,1,4
106210017,2024,4347,1,4
106210017,2024,3205,1,4
106210017,2024,160,1,4
106210017,2024,5169,1,4
106210017,2024,517,1,4
106210017,2024,5255,1,2
106210017,2024,898,1,4
106210017,2024,2,1,8
106210017,2024,900,2,4
106210017,2024,4226,1,2
106210017,2024,1586,1,4
106210017,2024,2626,1,3
106210017,2024,1046,1,3
106210017,2024,7232,1,3
106210017,2024,5182,1,3
106210017,2024,12059,1,3
106210017,2024,5192,2,2
106210017,2024,915,1,4
106210017,2024,3644,1,4
106210017,2024,999,3,4
106210017,2024,918,1,4
106210017,2024,2650,1,2
106210017,2024,2865,1,4
106210017,2024,6648,2,4
106210017,2024,1285,1,4
106210017,2024,10553,1,4
106210017,2024,5196,1,2
106210017,2024,3662,1,4
106210017,2024,5293,1,2
106210017,2024,3401,3,2
106210017,2024,935,2,2
106210017,2024,1964,1,4
106210017,2024,1148,1,2
106210017,2024,1067,1,2
106210017,2024,2718,1,4
106210017,2024,4449,1,4
106210017,2024,3403,1,4
106210017,2024,2538,1,2
106210017,2024,2539,1,2
106210168,2022,2,2,8
106210168,2022,2904,1,4
106210168,2022,2078,1,4
106210168,2022,862,1,2
106210168,2022,1943,1,4
106210168,2022,2706,1,4
106210168,2022,963,1,4
106210168,2022,1188,1,4
106210168,2022,2985,1,4
106210168,2022,7319,1,0
