yop_kodu,year,lise_id,yerlesen_sayisi,school_type
106410015,2022,3311,1,0
106410015,2022,7809,1,4
106410015,2022,8287,1,4
106410015,2022,4929,1,4
106410015,2022,2603,1,0
106410015,2022,2548,1,4
106410015,2022,1478,1,4
106410015,2022,3913,1,4
106410015,2022,10449,1,5
106410015,2022,5534,1,4
106410015,2022,3735,1,4
106410015,2022,3417,1,4
106410015,2022,227,1,4
106410015,2022,656,1,4
106410015,2023,2432,1,4
106410015,2023,3005,1,4
106410015,2023,3738,1,4
106410015,2023,3913,1,4
106410015,2023,4212,1,0
106410015,2023,1053,1,0
106410015,2023,2973,1,4
106410015,2023,4083,1,2
106410015,2024,2548,1,4
106410024,2022,4389,1,4
106410024,2022,2588,1,2
106410024,2022,2,6,8
106410024,2022,5643,1,4
106410024,2022,945,1,4
106410024,2022,659,1,4
106410024,2022,2434,1,4
106410024,2022,4644,1,2
106410024,2022,2462,1,4
106410024,2022,2769,1,2
106410024,2022,1733,1,4
106410024,2022,6661,1,2
106410024,2022,2242,1,4
106410024,2022,2526,2,4
106410024,2022,871,1,2
106410024,2022,1022,1,2
106410024,2022,1126,1,4
106410024,2022,4420,1,4
106410024,2022,845,1,2
106410024,2022,2555,1,2
106410024,2022,3738,2,4
106410024,2022,1388,1,4
106410024,2022,2671,1,2
106410024,2022,6447,1,4
106410024,2022,2910,1,4
106410024,2022,5305,1,5
106410024,2022,3639,1,5
106410024,2022,1985,1,5
106410024,2022,5670,1,5
106410024,2022,2219,1,5
106410024,2022,11296,1,5
106410024,2022,5618,1,5
106410024,2022,5068,1,2
106410024,2022,7117,1,4
106410024,2022,5358,1,4
106410024,2022,850,1,4
106410024,2022,97,1,4
106410024,2022,4809,1,4
106410024,2022,925,1,4
106410024,2022,2408,1,4
106410024,2022,1115,1,4
106410024,2022,2737,1,4
106410024,2022,591,1,4
106410024,2022,3654,1,4
106410024,2022,3329,1,2
106410024,2023,1290,1,4
106410024,2023,6662,1,4
106410024,2023,3311,1,0
106410024,2023,1464,1,4
106410024,2023,2,7,8
106410024,2023,3256,1,0
106410024,2023,806,1,4
106410024,2023,1935,1,4
106410024,2023,3402,1,4
106410024,2023,7051,1,4
106410024,2023,2370,1,4
106410024,2023,660,1,4
106410024,2023,4249,1,4
106410024,2023,262,1,4
106410024,2023,3223,1,2
106410024,2023,956,1,4
106410024,2023,1566,1,4
106410024,2023,7620,1,2
106410024,2023,1029,1,2
106410024,2023,3738,1,4
106410024,2023,12265,1,4
106410024,2023,1840,1,0
106410024,2023,4361,1,4
106410024,2023,839,1,2
106410024,2023,144,1,4
106410024,2023,8958,1,4
106410024,2023,1917,1,2
106410024,2023,700,1,2
106410024,2023,5344,1,4
106410024,2023,2290,1,4
106410024,2023,4226,1,2
106410024,2023,2615,1,4
106410024,2023,10570,1,5
106410024,2023,10449,1,5
106410024,2023,908,1,3
106410024,2023,14089,1,3
106410024,2023,2473,1,2
106410024,2023,7191,1,4
106410024,2023,927,1,4
106410024,2023,3397,1,2
106410024,2023,4674,1,4
106410024,2023,1547,1,4
106410024,2023,2812,1,4
106410024,2023,4083,2,2
106410024,2023,2585,1,4
106410024,2024,4639,1,4
106410024,2024,5094,1,2
106410024,2024,3329,1,2
106410024,2024,2432,1,4
106410024,2024,12282,1,4
106410024,2024,3311,1,0
106410024,2024,1514,1,4
106410024,2024,2414,1,4
106410024,2024,1914,1,4
106410024,2024,3913,2,4
106410024,2024,6279,1,5
106410033,2022,2432,1,4
106410033,2022,641,1,4
106410033,2022,2049,1,4
106410033,2022,2,8,8
106410033,2022,3592,1,4
106410033,2022,1729,1,4
106410033,2022,5334,1,4
106410033,2022,2396,1,4
106410033,2022,10075,1,4
106410033,2022,2414,1,4
106410033,2022,2371,1,4
106410033,2022,1471,1,4
106410033,2022,19,1,4
106410033,2022,2462,1,4
106410033,2022,13625,1,4
106410033,2022,2299,1,4
106410033,2022,2372,1,4
106410033,2022,485,1,0
106410033,2022,7165,1,4
106410033,2022,4499,1,4
106410033,2022,4755,1,2
106410033,2022,9460,1,2
106410033,2022,1339,1,4
106410033,2022,3778,1,4
106410033,2022,810,1,4
106410033,2022,2548,1,4
106410033,2022,3602,1,4
106410033,2022,1814,1,4
106410033,2022,670,1,4
106410033,2022,4055,1,4
106410033,2022,180,1,4
106410033,2022,3910,1,4
106410033,2022,9414,1,4
106410033,2022,2869,1,4
106410033,2022,5353,1,4
106410033,2022,3913,2,4
106410033,2022,2822,1,4
106410033,2022,1158,1,4
106410033,2022,4480,1,0
106410033,2022,6924,1,4
106410033,2022,6990,1,4
106410033,2022,3505,1,4
106410033,2022,1141,1,5
106410033,2022,3787,1,1
106410033,2022,7330,1,5
106410033,2022,681,1,4
106410033,2022,8188,1,4
106410033,2022,682,1,4
106410033,2022,638,1,4
106410033,2022,704,1,4
106410033,2022,1100,1,4
106410033,2022,4339,1,4
106410033,2022,1205,1,4
106410033,2022,2973,1,4
106410033,2022,7984,1,4
106410033,2022,2508,1,4
106410033,2022,1247,1,4
106410033,2022,4416,1,0
106410033,2022,3654,1,4
106410033,2022,399,1,4
106410033,2022,7064,1,4
106410033,2022,2827,1,4
106410033,2022,1457,1,4
106410033,2022,229,1,4
106410033,2023,8876,1,4
106410033,2023,1727,1,4
106410033,2023,3311,2,0
106410033,2023,7809,1,4
106410033,2023,2,10,8
106410033,2023,9652,1,4
106410033,2023,69,1,4
106410033,2023,4417,1,4
106410033,2023,806,1,4
106410033,2023,9326,1,4
106410033,2023,1708,1,4
106410033,2023,1084,1,4
106410033,2023,2368,1,4
106410033,2023,4727,1,4
106410033,2023,2704,1,0
106410033,2023,2932,1,4
106410033,2023,139,1,4
106410033,2023,2414,1,4
106410033,2023,4493,1,4
106410033,2023,4512,1,4
106410033,2023,19,1,4
106410033,2023,9901,1,4
106410033,2023,3600,1,4
106410033,2023,1811,1,4
106410033,2023,1444,1,4
106410033,2023,264,1,4
106410033,2023,7796,1,4
106410033,2023,13566,1,4
106410033,2023,609,1,4
106410033,2023,2185,1,4
106410033,2023,2088,1,4
106410033,2023,514,1,4
106410033,2023,669,1,4
106410033,2023,2335,1,4
106410033,2023,1914,1,4
106410033,2023,8095,1,4
106410033,2023,4202,1,0
106410033,2023,1408,1,4
106410033,2023,1387,1,4
106410033,2023,1975,2,4
106410033,2023,1362,1,4
106410033,2023,674,1,0
106410033,2023,5341,1,4
106410033,2023,1430,1,4
106410033,2023,2822,1,4
106410033,2023,7608,1,4
106410033,2023,651,1,4
106410033,2023,1745,1,4
106410033,2023,6924,1,4
106410033,2023,4130,1,5
106410033,2023,10449,1,5
106410033,2023,4793,1,4
106410033,2023,5930,1,4
106410033,2023,590,1,4
106410033,2023,1240,1,0
106410033,2023,1246,1,4
106410033,2023,5980,1,4
106410033,2023,5094,1,2
106410033,2023,6057,1,4
106410033,2023,2163,1,4
106410033,2023,1880,1,4
106410033,2024,2462,1,4
106410033,2024,1936,1,2
106410033,2024,1170,1,4
106410033,2024,6978,1,4
106410033,2024,6003,1,4
106410033,2024,2548,1,4
106410033,2024,5387,1,4
106410033,2024,4454,1,0
106410033,2024,180,1,4
106410033,2024,5541,1,4
106410033,2024,2,3,8
106410033,2024,184,1,4
106410033,2024,4098,1,4
106410033,2024,3913,2,4
106410033,2024,2892,1,0
106410033,2024,8134,1,0
106410033,2024,2992,1,4
106410033,2024,6756,1,4
106410033,2024,2232,1,4
106410033,2024,12532,1,4
106410033,2024,3762,1,4
106410033,2024,9789,1,0
106410033,2024,1344,1,4
106410033,2024,2838,1,4
106410033,2024,3262,1,4
106410033,2024,297,1,4
106410033,2024,567,1,4
106410033,2024,3417,1,4
106410033,2024,3919,1,4
106410033,2024,7040,1,4
106410033,2024,595,1,4
106410033,2024,2788,1,4
106410033,2024,794,1,4
106410033,2024,2660,1,4
106410033,2024,10194,1,4
106410033,2024,6452,1,4
106410033,2024,11137,1,4
106410033,2024,481,1,4
106410033,2024,4313,1,4
106410033,2024,3923,1,4
106410033,2024,14294,1,4
106410042,2022,1290,1,4
106410042,2022,2053,1,4
106410042,2022,3311,1,0
106410042,2022,2,2,8
106410042,2022,941,1,2
106410042,2022,1353,1,4
106410042,2022,2841,1,2
106410042,2022,6748,1,4
106410042,2022,8672,1,4
106410042,2022,1782,1,4
106410042,2022,508,1,4
106410042,2022,946,1,2
106410042,2022,3600,1,4
106410042,2022,2500,1,4
106410042,2022,539,1,0
106410042,2022,8505,1,4
106410042,2022,878,1,4
106410042,2022,9460,1,2
106410042,2022,2548,1,4
106410042,2022,514,1,4
106410042,2022,4115,1,2
106410042,2022,7674,1,4
106410042,2022,3407,1,4
106410042,2022,3909,1,4
106410042,2022,1916,1,4
106410042,2022,1978,1,4
106410042,2022,3913,1,4
106410042,2022,8134,1,0
106410042,2022,2672,1,4
106410042,2022,1302,2,0
106410042,2022,4324,1,4
106410042,2022,7182,1,4
106410042,2022,2068,1,5
106410042,2022,7183,1,5
106410042,2022,3720,1,5
106410042,2022,11246,1,5
106410042,2022,7074,1,5
106410042,2022,2155,1,5
106410042,2022,6819,1,5
106410042,2022,4212,1,0
106410042,2022,730,1,4
106410042,2022,1802,1,4
106410042,2022,2715,1,4
106410042,2022,7436,1,4
106410042,2022,1987,1,4
106410042,2022,9385,1,4
106410042,2022,1058,1,4
106410042,2022,387,1,4
106410042,2022,3329,1,2
106410042,2022,153,1,4
106410042,2023,5312,1,4
106410042,2023,7162,1,4
106410042,2023,2,7,8
106410042,2023,1938,1,4
106410042,2023,3357,1,4
106410042,2023,1863,1,4
106410042,2023,1275,1,4
106410042,2023,1554,1,4
106410042,2023,4644,1,2
