yop_kodu,year,lise_id,yerlesen_sayisi,school_type
112310932,2022,1331,1,4
112310932,2022,788,1,4
112310932,2022,2,4,8
112310932,2022,3087,1,4
112310932,2022,858,1,4
112310932,2022,8255,1,4
112310932,2022,718,1,4
112310932,2022,2022,3,4
112310932,2022,3985,1,4
112310932,2022,2497,1,4
112310932,2022,951,1,4
112310932,2022,1185,1,4
112310932,2022,1075,1,4
112310932,2022,1360,1,4
112310932,2022,3594,1,2
112310932,2022,1534,2,4
112310932,2022,8533,1,4
112310932,2022,2532,1,4
112310932,2022,3603,1,4
112310932,2022,1408,3,4
112310932,2022,2229,1,4
112310932,2022,8108,1,4
112310932,2022,1387,1,4
112310932,2022,1095,1,4
112310932,2022,890,1,4
112310932,2022,1133,1,4
112310932,2022,126,2,4
112310932,2022,677,1,4
112310932,2022,2468,2,4
112310932,2022,3901,2,4
112310932,2022,14920,1,1
112310932,2022,7942,1,5
112310932,2022,2779,1,5
112310932,2022,7226,1,5
112310932,2022,8154,2,5
112310932,2022,2628,2,5
112310932,2022,10346,1,5
112310932,2022,3211,1,5
112310932,2022,3133,1,4
112310932,2022,918,2,4
112310932,2022,921,1,4
112310932,2022,1284,1,2
112310932,2022,1146,1,4
112310932,2022,1603,1,4
112310932,2022,1804,2,4
112310932,2022,8842,2,4
112310932,2023,1705,1,4
112310932,2023,2,17,8
112310932,2023,480,1,4
112310932,2023,1181,1,4
112310932,2023,1853,1,4
112310932,2023,1510,1,4
112310932,2023,1275,3,4
112310932,2023,7142,1,4
112310932,2023,2497,1,4
112310932,2023,951,1,4
112310932,2023,695,1,4
112310932,2023,773,1,4
112310932,2023,1125,1,4
112310932,2023,1075,2,4
112310932,2023,9920,1,4
112310932,2023,1152,1,4
112310932,2023,2186,2,4
112310932,2023,1193,1,4
112310932,2023,1387,1,4
112310932,2023,2337,1,4
112310932,2023,890,1,4
112310932,2023,1109,1,2
112310932,2023,677,1,4
112310932,2023,2512,1,4
112310932,2023,982,2,4
112310932,2023,2673,1,4
112310932,2023,2994,1,5
112310932,2023,1281,1,5
112310932,2023,1876,1,5
112310932,2023,3241,1,5
112310932,2023,3430,1,5
112310932,2023,10008,1,5
112310932,2023,915,1,4
112310932,2023,921,2,4
112310932,2023,1203,1,4
112310932,2023,1115,1,4
112310932,2023,1205,1,4
112310932,2023,1804,3,4
112310932,2023,596,1,4
112310932,2023,6426,1,4
112310932,2024,3769,1,4
112310932,2024,1558,1,0
112310932,2024,951,2,4
112310932,2024,1020,1,0
112310932,2024,4162,1,4
112310932,2024,963,1,4
112310932,2024,1813,1,4
112310932,2024,12476,1,4
112310932,2024,2247,1,4
112310932,2024,8531,1,4
112310932,2024,2,4,8
112310932,2024,1534,1,4
112310932,2024,1298,1,4
112310932,2024,8936,1,4
112310932,2024,8722,1,0
112310932,2024,1387,2,4
112310932,2024,1095,1,4
112310932,2024,1429,1,4
112310932,2024,126,2,4
112310932,2024,895,1,4
112310932,2024,2468,2,4
112310932,2024,1270,1,4
112310932,2024,1097,1,4
112310932,2024,1134,1,4
112310932,2024,2673,1,4
112310932,2024,987,1,5
112310932,2024,5327,1,3
112310932,2024,6946,1,5
112310932,2024,2628,1,5
112310932,2024,2734,1,5
112310932,2024,1046,1,3
112310932,2024,11829,1,5
112310932,2024,1072,2,4
112310932,2024,11174,1,5
112310932,2024,2013,1,4
112310932,2024,921,1,4
112310932,2024,10923,1,4
112310932,2024,3122,1,4
112310932,2024,7691,1,2
112310932,2024,1603,3,4
112310932,2024,10187,1,4
112310932,2024,1804,2,4
112310932,2024,9703,1,4
112310932,2024,4905,1,4
112310932,2024,1312,1,4
112310932,2024,8842,2,4
112310932,2024,569,1,4
112310932,2024,2656,1,1
112310932,2024,13473,1,4
112310932,2024,1456,2,4
112310932,2024,9876,1,4
112310932,2024,11447,1,4
112310932,2024,1701,2,4
112310932,2024,2475,1,4
112310932,2024,2663,1,4
112310941,2022,1504,1,4
112310941,2022,2,8,8
112310941,2022,2393,1,4
112310941,2022,3284,1,4
112310941,2022,1072,1,4
112310941,2022,1275,1,4
112310941,2022,1701,2,4
112310941,2022,3478,1,4
112310941,2022,951,3,4
112310941,2022,2181,1,4
112310941,2022,4095,1,4
112310941,2022,954,2,4
112310941,2022,1075,1,4
112310941,2022,4797,1,4
112310941,2022,7514,1,4
112310941,2022,2725,1,0
112310941,2022,542,1,4
112310941,2022,6775,1,4
112310941,2022,1715,1,4
112310941,2022,2337,1,4
112310941,2022,1254,2,4
112310941,2022,7728,1,4
112310941,2022,1133,1,4
112310941,2022,126,2,4
112310941,2022,2468,1,4
112310941,2022,1097,1,4
112310941,2022,11618,1,5
112310941,2022,8584,1,5
112310941,2022,7381,1,5
112310941,2022,6788,1,5
112310941,2022,8154,1,5
112310941,2022,7607,3,3
112310941,2022,6549,1,5
112310941,2022,6617,2,5
112310941,2022,2213,1,5
112310941,2022,7342,1,5
112310941,2022,7432,1,5
112310941,2022,915,1,4
112310941,2022,918,1,4
112310941,2022,10923,1,4
112310941,2022,8417,1,4
112310941,2022,1146,1,4
112310941,2022,1804,1,4
112310941,2022,2297,1,4
112310941,2022,1375,1,4
112310941,2022,1661,1,4
112310941,2023,1291,1,4
112310941,2023,2,17,8
112310941,2023,3893,1,4
112310941,2023,1181,1,4
112310941,2023,1638,1,4
112310941,2023,1635,1,4
112310941,2023,5278,1,4
112310941,2023,954,1,4
112310941,2023,1611,1,4
112310941,2023,2725,1,0
112310941,2023,466,1,4
112310941,2023,4454,1,0
112310941,2023,4055,1,4
112310941,2023,1572,1,4
112310941,2023,1408,1,4
112310941,2023,12265,1,4
